year,month,rank_ME,rank_r1a,nstocks,ret_vw
1967,1,1,1,147,22.6794
1967,1,1,2,125,17.4975
1967,1,1,3,140,19.2136
1967,1,1,4,149,18.3813
1967,1,1,5,292,20.8241
1967,1,2,1,65,13.4986
1967,1,2,2,65,12.8851
1967,1,2,3,82,16.9506
1967,1,2,4,83,16.1276
1967,1,2,5,93,18.6016
1967,1,3,1,132,5.7874
1967,1,3,2,138,7.5898
1967,1,3,3,119,7.4323
1967,1,3,4,124,10.4963
1967,1,3,5,87,11.2441
1967,2,1,1,168,4.4559
1967,2,1,2,108,4.8395
1967,2,1,3,144,3.1541
1967,2,1,4,160,5.0603
1967,2,1,5,287,6.6499
1967,2,2,1,72,2.5951
1967,2,2,2,66,1.3877
1967,2,2,3,87,2.7236
1967,2,2,4,77,2.8091
1967,2,2,5,90,2.2808
1967,2,3,1,133,0.0984
1967,2,3,2,136,-0.4956
1967,2,3,3,125,1.2174
1967,2,3,4,112,2.7538
1967,2,3,5,96,2.3712
1967,3,1,1,245,6.3760
1967,3,1,2,130,6.2446
1967,3,1,3,119,7.4681
1967,3,1,4,137,7.8718
1967,3,1,5,234,7.3130
1967,3,2,1,98,7.6722
1967,3,2,2,85,5.4856
1967,3,2,3,80,5.2678
1967,3,2,4,58,5.6818
1967,3,2,5,77,5.8508
1967,3,3,1,92,5.3004
1967,3,3,2,106,4.2909
1967,3,3,3,127,4.0254
1967,3,3,4,135,3.0546
1967,3,3,5,143,5.6962
1967,4,1,1,231,4.2550
1967,4,1,2,119,2.9113
1967,4,1,3,126,5.9901
1967,4,1,4,141,5.5908
1967,4,1,5,242,4.1775
1967,4,2,1,76,3.2274
1967,4,2,2,76,2.6063
1967,4,2,3,71,3.1746
1967,4,2,4,67,3.8775
1967,4,2,5,107,4.5858
1967,4,3,1,115,5.7603
1967,4,3,2,119,3.6536
1967,4,3,3,122,3.5889
1967,4,3,4,128,5.1707
1967,4,3,5,115,3.0716
1967,5,1,1,333,0.0935
1967,5,1,2,169,-0.4493
1967,5,1,3,129,0.3877
1967,5,1,4,97,1.4145
1967,5,1,5,127,0.2358
1967,5,2,1,121,-2.7306
1967,5,2,2,83,-2.7848
1967,5,2,3,79,-0.9518
1967,5,2,4,60,-0.5519
1967,5,2,5,56,-0.4666
1967,5,3,1,81,-2.3446
1967,5,3,2,102,-5.5318
1967,5,3,3,116,-3.8912
1967,5,3,4,147,-4.8950
1967,5,3,5,153,-3.9032
1967,6,1,1,248,11.8430
1967,6,1,2,164,11.1493
1967,6,1,3,146,10.4282
1967,6,1,4,122,7.4519
1967,6,1,5,176,13.2105
1967,6,2,1,89,7.4765
1967,6,2,2,70,6.2377
1967,6,2,3,79,7.8014
1967,6,2,4,81,6.0177
1967,6,2,5,85,9.0924
1967,6,3,1,92,3.0160
1967,6,3,2,117,1.4829
1967,6,3,3,125,0.2493
1967,6,3,4,126,2.7100
1967,6,3,5,137,4.3139
1967,7,1,1,236,10.5134
1967,7,1,2,172,9.2642
1967,7,1,3,137,9.9286
1967,7,1,4,145,7.7625
1967,7,1,5,154,11.5388
1967,7,2,1,97,7.3133
1967,7,2,2,84,7.9521
1967,7,2,3,72,5.1779
1967,7,2,4,74,6.9935
1967,7,2,5,88,8.9135
1967,7,3,1,110,6.8275
