year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1967,12,2,2,6,1.0829
1967,12,2,3,17,6.0326
1967,12,2,4,17,4.0587
1967,12,2,5,22,6.7906
1967,12,3,1,61,2.6701
1967,12,3,2,62,1.9548
1967,12,3,3,45,3.0618
1967,12,3,4,47,2.1330
1967,12,3,5,40,3.7384
1968,1,1,1,0,
1968,1,1,2,7,-2.7010
1968,1,1,3,11,3.2315
1968,1,1,4,10,5.7673
1968,1,1,5,12,4.8161
1968,1,2,1,14,1.2943
1968,1,2,2,6,1.4354
1968,1,2,3,17,1.5067
1968,1,2,4,17,0.5477
1968,1,2,5,22,-2.7227
1968,1,3,1,61,-4.9439
1968,1,3,2,62,-3.8743
1968,1,3,3,45,-5.9327
1968,1,3,4,47,-2.0837
1968,1,3,5,40,-4.0472
1968,2,1,1,0,
1968,2,1,2,7,-7.0588
1968,2,1,3,11,-5.2392
1968,2,1,4,10,-4.1998
1968,2,1,5,12,-4.5210
1968,2,2,1,14,-1.9358
1968,2,2,2,6,-8.0301
1968,2,2,3,17,2.6567
1968,2,2,4,17,-3.5294
1968,2,2,5,22,-5.2814
1968,2,3,1,61,-2.1216
1968,2,3,2,62,-2.7537
1968,2,3,3,45,-3.6134
1968,2,3,4,47,-2.2153
1968,2,3,5,40,-4.1709
1968,3,1,1,0,
1968,3,1,2,7,0.1531
1968,3,1,3,11,2.3009
1968,3,1,4,10,-1.6683
1968,3,1,5,12,-1.1738
1968,3,2,1,14,-3.7379
1968,3,2,2,6,1.3953
1968,3,2,3,17,-0.8146
1968,3,2,4,17,-0.4076
1968,3,2,5,22,-1.3252
1968,3,3,1,61,3.2391
1968,3,3,2,62,0.8687
1968,3,3,3,45,-0.9835
1968,3,3,4,47,-0.4809
1968,3,3,5,40,-1.3020
1968,4,1,1,0,
1968,4,1,2,7,10.8343
1968,4,1,3,11,12.6630
1968,4,1,4,10,12.0839
1968,4,1,5,12,18.4041
1968,4,2,1,14,12.1907
1968,4,2,2,6,10.0944
1968,4,2,3,17,12.5090
1968,4,2,4,17,14.6783
1968,4,2,5,22,10.0593
1968,4,3,1,61,9.6521
1968,4,3,2,62,9.3071
1968,4,3,3,45,8.2422
1968,4,3,4,47,5.0206
1968,4,3,5,40,9.4179
1968,5,1,1,0,
1968,5,1,2,7,5.9454
1968,5,1,3,11,7.2203
1968,5,1,4,10,6.0666
1968,5,1,5,12,4.9820
1968,5,2,1,14,5.3997
1968,5,2,2,6,7.3521
1968,5,2,3,17,5.2529
1968,5,2,4,17,5.5125
1968,5,2,5,22,7.6292
1968,5,3,1,61,2.0961
1968,5,3,2,62,0.4552
1968,5,3,3,45,-0.8761
1968,5,3,4,47,0.3965
1968,5,3,5,40,0.8687
1968,6,1,1,0,
1968,6,1,2,7,7.2004
1968,6,1,3,11,0.8596
1968,6,1,4,10,4.3589
1968,6,1,5,12,1.7169
1968,6,2,1,14,3.6002
1968,6,2,2,6,5.1630
1968,6,2,3,17,3.1410
1968,6,2,4,17,1.5516
1968,6,2,5,22,-1.6783
1968,6,3,1,61,-0.0073
1968,6,3,2,62,-0.2344
1968,6,3,3,45,2.1473
1968,6,3,4,47,2.2471
1968,6,3,5,40,-0.0441
1968,7,1,1,1,-10.2740
1968,7,1,2,8,-0.1553
1968,7,1,3,9,-4.5586
1968,7,1,4,13,9.4842
1968,7,1,5,17,-4.2405
