year,month,rank_ME,rank_OLq_1,nstocks,ret_vw
1973,1,1,1,26,0.9931
1973,1,1,2,19,-3.5033
1973,1,1,3,26,-6.2186
1973,1,1,4,22,-0.5824
1973,1,1,5,41,-6.1810
1973,1,2,1,7,-9.9058
1973,1,2,2,8,-7.6125
1973,1,2,3,10,-6.4974
1973,1,2,4,13,-8.0416
1973,1,2,5,13,-7.4147
1973,1,3,1,12,-10.0755
1973,1,3,2,18,-3.7523
1973,1,3,3,10,-4.1085
1973,1,3,4,10,-6.8592
1973,1,3,5,10,-1.5789
1973,2,1,1,13,-10.6803
1973,2,1,2,21,-12.7255
1973,2,1,3,14,-8.7452
1973,2,1,4,19,-13.1524
1973,2,1,5,44,-7.8459
1973,2,2,1,7,-10.2853
1973,2,2,2,7,-13.2017
1973,2,2,3,9,-10.1875
1973,2,2,4,11,-6.3083
1973,2,2,5,8,-12.6504
1973,2,3,1,11,-5.6724
1973,2,3,2,12,-8.1127
1973,2,3,3,12,-5.0164
1973,2,3,4,9,-3.9123
1973,2,3,5,9,-5.3592
1973,3,1,1,10,3.1571
1973,3,1,2,20,-4.6536
1973,3,1,3,15,-0.6744
1973,3,1,4,28,-1.8009
1973,3,1,5,47,-1.7861
1973,3,2,1,8,0.0484
1973,3,2,2,10,-1.7859
1973,3,2,3,9,-8.2042
1973,3,2,4,8,0.7442
1973,3,2,5,11,-6.5047
1973,3,3,1,14,-1.7961
1973,3,3,2,11,-2.7926
1973,3,3,3,14,-4.7974
1973,3,3,4,7,-1.9509
1973,3,3,5,11,-4.8447
1973,4,1,1,16,-7.5129
1973,4,1,2,21,-10.3749
1973,4,1,3,17,-10.5624
1973,4,1,4,27,-11.1078
1973,4,1,5,48,-9.4898
1973,4,2,1,9,-15.5725
1973,4,2,2,6,-12.3635
1973,4,2,3,10,-10.6784
1973,4,2,4,6,4.6882
1973,4,2,5,9,-12.3847
1973,4,3,1,11,-3.2923
1973,4,3,2,11,-7.9577
1973,4,3,3,11,-8.7005
1973,4,3,4,9,-7.5789
1973,4,3,5,11,-8.0545
1973,5,1,1,51,-10.2875
1973,5,1,2,89,-10.6418
1973,5,1,3,72,-9.2638
1973,5,1,4,130,-10.2813
1973,5,1,5,183,-10.6649
1973,5,2,1,60,-7.7046
1973,5,2,2,43,-10.1902
1973,5,2,3,51,-9.0191
1973,5,2,4,49,-9.5174
1973,5,2,5,64,-6.9719
1973,5,3,1,119,-2.2798
1973,5,3,2,84,-0.8805
1973,5,3,3,73,-2.5901
1973,5,3,4,61,0.3241
1973,5,3,5,50,-3.4054
1973,6,1,1,59,-1.8873
1973,6,1,2,95,-4.1991
1973,6,1,3,81,-6.5117
1973,6,1,4,131,-3.4957
1973,6,1,5,185,-3.0507
1973,6,2,1,62,-4.2386
1973,6,2,2,42,-6.6340
1973,6,2,3,44,-4.6466
1973,6,2,4,53,-4.5749
1973,6,2,5,59,-2.7458
1973,6,3,1,119,-0.1961
1973,6,3,2,90,0.6140
1973,6,3,3,70,-3.1880
1973,6,3,4,60,-1.3660
1973,6,3,5,56,-6.6333
1973,7,1,1,52,9.6884
1973,7,1,2,94,17.4037
1973,7,1,3,83,15.9113
1973,7,1,4,133,14.0242
1973,7,1,5,172,12.9532
1973,7,2,1,63,11.8007
1973,7,2,2,40,17.1446
1973,7,2,3,49,14.4387
1973,7,2,4,53,14.8492
1973,7,2,5,67,9.6904
1973,7,3,1,123,3.2187
1973,7,3,2,93,3.1137
1973,7,3,3,70,8.7387
1973,7,3,4,60,6.1682
1973,7,3,5,57,11.5992
1973,8,1,1,34,-9.1746
1973,8,1,2,22,-6.3077
1973,8,1,3,24,-5.5758
1973,8,1,4,25,-9.4245
1973,8,1,5,21,-6.0855
1973,8,2,1,25,-3.3193
1973,8,2,2,11,-5.0468
1973,8,2,3,7,-8.3236
1973,8,2,4,11,-6.7406
1973,8,2,5,12,-5.3270
1973,8,3,1,31,-1.2432
1973,8,3,2,8,-4.8901
1973,8,3,3,10,-5.6889
1973,8,3,4,10,-5.1102
1973,8,3,5,7,-2.2399
1973,9,1,1,22,17.9847
1973,9,1,2,25,5.2622
1973,9,1,3,18,11.0556
1973,9,1,4,33,9.5307
1973,9,1,5,18,7.5917
1973,9,2,1,24,8.5068
1973,9,2,2,10,14.8257
1973,9,2,3,7,18.4791
1973,9,2,4,7,11.8735
1973,9,2,5,10,6.8400
1973,9,3,1,32,4.8713
1973,9,3,2,2,3.3368
1973,9,3,3,7,9.1878
1973,9,3,4,8,10.3484
1973,9,3,5,5,3.5982
1973,10,1,1,24,5.6372
1973,10,1,2,23,2.4284
1973,10,1,3,15,2.1042
1973,10,1,4,25,-6.6407
1973,10,1,5,29,-6.5565
1973,10,2,1,27,6.9083
1973,10,2,2,8,-1.7318
1973,10,2,3,9,-6.5136
1973,10,2,4,6,2.7699
1973,10,2,5,11,-2.1108
1973,10,3,1,31,2.6982
1973,10,3,2,2,-5.1423
1973,10,3,3,5,4.6736
1973,10,3,4,9,1.7696
1973,10,3,5,3,-8.8536
1973,11,1,1,44,-18.3989
1973,11,1,2,24,-15.9171
1973,11,1,3,30,-24.4326
1973,11,1,4,42,-25.1479
1973,11,1,5,38,-23.6028
1973,11,2,1,33,-16.4076
1973,11,2,2,14,-20.9629
1973,11,2,3,12,-27.3620
1973,11,2,4,9,-27.2307
1973,11,2,5,16,-23.0829
1973,11,3,1,37,-13.8919
1973,11,3,2,11,-14.1737
1973,11,3,3,10,-11.6097
1973,11,3,4,12,-19.3342
1973,11,3,5,8,-16.6902
1973,12,1,1,42,-3.3927
1973,12,1,2,30,-7.3051
1973,12,1,3,31,-6.6457
1973,12,1,4,38,-8.9997
1973,12,1,5,42,-9.8569
1973,12,2,1,30,4.3212
1973,12,2,2,12,-0.0597
1973,12,2,3,14,2.6954
1973,12,2,4,14,-6.1184
1973,12,2,5,13,-6.2349
1973,12,3,1,35,5.7119
1973,12,3,2,12,6.7592
1973,12,3,3,11,-2.5980
1973,12,3,4,8,2.0340
1973,12,3,5,10,-4.8796
1974,1,1,1,30,18.0779
1974,1,1,2,34,16.9932
1974,1,1,3,29,16.8119
1974,1,1,4,37,21.1949
1974,1,1,5,55,13.3226
1974,1,2,1,27,7.5235
1974,1,2,2,13,10.7371
1974,1,2,3,10,8.5938
1974,1,2,4,16,10.5487
1974,1,2,5,14,8.0183
1974,1,3,1,43,0.1868
1974,1,3,2,15,-0.9618
1974,1,3,3,16,-2.1510
1974,1,3,4,8,5.9597
1974,1,3,5,8,3.2905
1974,2,1,1,14,-5.3190
1974,2,1,2,30,-1.9234
1974,2,1,3,25,-3.9125
1974,2,1,4,29,-3.7388
1974,2,1,5,54,-2.5919
1974,2,2,1,20,-1.7975
1974,2,2,2,9,-1.3237
1974,2,2,3,11,-4.2538
1974,2,2,4,14,2.6982
1974,2,2,5,11,-2.2559
1974,2,3,1,41,-0.3729
1974,2,3,2,10,0.8583
1974,2,3,3,9,-2.4719
1974,2,3,4,9,-3.1884
1974,2,3,5,8,-3.8980
1974,3,1,1,9,5.0292
1974,3,1,2,27,-3.5479
1974,3,1,3,28,0.6238
1974,3,1,4,36,-0.6519
1974,3,1,5,56,2.8378
1974,3,2,1,23,-0.6565
1974,3,2,2,7,-6.7818
1974,3,2,3,11,-2.3579
1974,3,2,4,12,-6.1185
1974,3,2,5,9,-1.2192
1974,3,3,1,40,-3.7835
1974,3,3,2,13,-2.0921
1974,3,3,3,12,-0.2323
1974,3,3,4,10,4.1148
1974,3,3,5,9,2.6716
1974,4,1,1,15,-10.6831
1974,4,1,2,32,-5.6399
1974,4,1,3,30,-4.4853
1974,4,1,4,23,-4.5713
1974,4,1,5,60,-2.7582
1974,4,2,1,26,-6.6447
1974,4,2,2,6,-8.8977
1974,4,2,3,9,-7.5451
1974,4,2,4,13,-7.9589
1974,4,2,5,10,-6.5855
1974,4,3,1,36,-6.8034
1974,4,3,2,12,-2.2695
1974,4,3,3,8,-4.9487
1974,4,3,4,10,-4.4983
1974,4,3,5,9,-5.0713
1974,5,1,1,44,-9.2069
1974,5,1,2,76,-6.5139
1974,5,1,3,84,-7.6612
1974,5,1,4,113,-6.6269
1974,5,1,5,206,-5.7953
1974,5,2,1,65,-9.9260
1974,5,2,2,48,-8.6646
1974,5,2,3,49,-9.3262
1974,5,2,4,55,-8.1536
1974,5,2,5,70,-5.8428
1974,5,3,1,129,-6.1411
1974,5,3,2,88,-1.4732
1974,5,3,3,79,0.5953
1974,5,3,4,59,-2.4783
1974,5,3,5,47,-5.7956
1974,6,1,1,44,-2.4473
1974,6,1,2,81,-1.0844
1974,6,1,3,97,-4.2128
1974,6,1,4,130,-1.9640
1974,6,1,5,185,-2.4343
1974,6,2,1,70,-2.8262
1974,6,2,2,54,-4.9270
1974,6,2,3,48,-2.3529
1974,6,2,4,53,-0.8270
1974,6,2,5,69,-1.5983
