year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1982,12,1,4,66,1.6251
1982,12,1,5,120,1.5792
1982,12,2,1,123,2.1250
1982,12,2,2,93,1.3367
1982,12,2,3,92,2.5826
1982,12,2,4,90,-0.7735
1982,12,2,5,87,1.6474
1982,12,3,1,106,-0.1154
1982,12,3,2,151,2.2606
1982,12,3,3,152,1.7844
1982,12,3,4,137,0.2794
1982,12,3,5,81,3.8127
1983,1,1,1,104,9.1905
1983,1,1,2,37,10.2161
1983,1,1,3,49,6.9693
1983,1,1,4,60,7.6060
1983,1,1,5,119,9.5893
1983,1,2,1,125,8.2068
1983,1,2,2,109,5.5451
1983,1,2,3,86,5.2882
1983,1,2,4,90,5.7649
1983,1,2,5,85,7.4265
1983,1,3,1,102,4.5280
1983,1,3,2,150,3.0254
1983,1,3,3,151,4.5543
1983,1,3,4,136,4.1705
1983,1,3,5,84,5.6134
1983,2,1,1,97,5.8551
1983,2,1,2,36,11.0087
1983,2,1,3,44,4.5516
1983,2,1,4,66,6.1392
1983,2,1,5,113,3.6777
1983,2,2,1,123,4.9976
1983,2,2,2,103,7.1174
1983,2,2,3,99,5.6913
1983,2,2,4,93,6.9316
1983,2,2,5,87,4.3973
1983,2,3,1,106,3.0791
1983,2,3,2,155,3.7138
1983,2,3,3,140,0.9517
1983,2,3,4,137,3.4544
1983,2,3,5,84,2.3512
1983,3,1,1,94,5.3926
1983,3,1,2,52,4.2465
1983,3,1,3,20,0.4098
1983,3,1,4,63,2.5718
1983,3,1,5,142,4.5121
1983,3,2,1,100,5.6107
1983,3,2,2,107,3.3626
1983,3,2,3,88,2.6607
1983,3,2,4,99,3.3077
1983,3,2,5,107,3.7720
1983,3,3,1,102,2.1784
1983,3,3,2,146,3.2303
1983,3,3,3,161,2.6852
1983,3,3,4,140,3.3308
1983,3,3,5,86,0.7218
1983,4,1,1,111,7.6647
1983,4,1,2,72,9.1976
1983,4,1,3,20,4.3941
1983,4,1,4,41,7.5898
1983,4,1,5,119,5.8661
1983,4,2,1,93,5.4682
1983,4,2,2,124,7.2651
1983,4,2,3,94,8.8038
1983,4,2,4,88,6.5331
1983,4,2,5,103,4.8081
1983,4,3,1,98,8.7523
1983,4,3,2,127,8.1456
1983,4,3,3,162,6.9840
1983,4,3,4,149,6.3890
1983,4,3,5,99,5.8269
1983,5,1,1,113,12.9605
1983,5,1,2,74,6.2865
1983,5,1,3,28,8.4029
1983,5,1,4,41,8.0761
1983,5,1,5,119,8.3369
1983,5,2,1,94,6.7432
1983,5,2,2,123,6.4503
1983,5,2,3,97,4.6675
1983,5,2,4,90,3.2574
1983,5,2,5,104,7.4837
1983,5,3,1,93,1.6021
1983,5,3,2,127,1.2598
1983,5,3,3,162,-1.9275
1983,5,3,4,151,0.5553
1983,5,3,5,100,3.4985
1983,6,1,1,120,4.0755
1983,6,1,2,70,3.5635
1983,6,1,3,34,1.3524
1983,6,1,4,54,4.1561
1983,6,1,5,111,5.4389
1983,6,2,1,102,6.4443
1983,6,2,2,120,5.9261
1983,6,2,3,103,5.6583
1983,6,2,4,90,3.6027
1983,6,2,5,97,5.1814
1983,6,3,1,93,4.1208
1983,6,3,2,134,4.5652
1983,6,3,3,164,3.9922
