year,month,rank_ME,rank_r15a,nstocks,ret_vw
1967,1,1,1,20,13.1480
1967,1,1,2,17,16.2038
1967,1,1,3,29,21.5459
1967,1,1,4,30,17.4047
1967,1,1,5,37,21.3447
1967,1,2,1,26,15.4745
1967,1,2,2,32,14.5067
1967,1,2,3,31,13.6340
1967,1,2,4,44,13.9716
1967,1,2,5,34,17.7743
1967,1,3,1,93,8.8279
1967,1,3,2,90,7.2698
1967,1,3,3,80,7.1814
1967,1,3,4,66,6.0146
1967,1,3,5,67,6.1984
1967,2,1,1,28,4.3139
1967,2,1,2,23,1.5411
1967,2,1,3,30,5.1519
1967,2,1,4,29,5.0966
1967,2,1,5,23,-0.2178
1967,2,2,1,48,0.5671
1967,2,2,2,31,2.6396
1967,2,2,3,24,1.6778
1967,2,2,4,32,1.6854
1967,2,2,5,35,1.2818
1967,2,3,1,65,-0.1086
1967,2,3,2,84,0.0364
1967,2,3,3,87,0.9814
1967,2,3,4,77,0.5491
1967,2,3,5,80,0.6829
1967,3,1,1,40,8.0407
1967,3,1,2,29,5.4556
1967,3,1,3,23,12.4938
1967,3,1,4,21,5.9242
1967,3,1,5,21,4.6650
1967,3,2,1,47,3.7702
1967,3,2,2,31,4.7961
1967,3,2,3,33,6.0856
1967,3,2,4,34,5.5337
1967,3,2,5,27,6.6695
1967,3,3,1,53,2.9743
1967,3,3,2,79,4.1856
1967,3,3,3,84,3.9626
1967,3,3,4,85,3.6923
1967,3,3,5,90,4.1347
1967,4,1,1,32,0.6239
1967,4,1,2,31,6.2934
1967,4,1,3,26,6.5119
1967,4,1,4,19,2.0649
1967,4,1,5,26,6.9518
1967,4,2,1,42,1.9741
1967,4,2,2,26,5.4192
1967,4,2,3,31,1.5581
1967,4,2,4,41,2.7821
1967,4,2,5,31,1.5905
1967,4,3,1,67,3.5573
1967,4,3,2,83,4.0500
1967,4,3,3,83,1.9573
1967,4,3,4,78,5.8933
1967,4,3,5,80,5.2158
1967,5,1,1,41,-0.4316
1967,5,1,2,25,1.4922
1967,5,1,3,21,0.0615
1967,5,1,4,26,1.2144
1967,5,1,5,23,3.1535
1967,5,2,1,36,-1.6809
1967,5,2,2,41,-0.3741
1967,5,2,3,31,-2.0060
1967,5,2,4,28,-3.3512
1967,5,2,5,31,-0.2787
1967,5,3,1,65,-5.1603
1967,5,3,2,72,-4.0113
1967,5,3,3,87,-4.9482
1967,5,3,4,85,-4.8776
1967,5,3,5,83,-4.0995
1967,6,1,1,42,8.8447
1967,6,1,2,30,11.5388
1967,6,1,3,25,8.3142
1967,6,1,4,22,6.3047
1967,6,1,5,15,1.4199
1967,6,2,1,44,5.7233
1967,6,2,2,38,6.5317
1967,6,2,3,28,4.3403
1967,6,2,4,30,3.8460
1967,6,2,5,29,8.5876
1967,6,3,1,54,4.0007
1967,6,3,2,71,3.0975
1967,6,3,3,85,2.6837
1967,6,3,4,84,0.3844
1967,6,3,5,94,1.6969
1967,7,1,1,31,10.0561
1967,7,1,2,24,8.6278
1967,7,1,3,27,9.5694
1967,7,1,4,18,9.1377
1967,7,1,5,29,10.4650
1967,7,2,1,42,8.7291
1967,7,2,2,30,9.8769
1967,7,2,3,38,6.8692
1967,7,2,4,35,8.5982
1967,7,2,5,28,8.2754
1967,7,3,1,64,8.4515
1967,7,3,2,83,1.3922
1967,7,3,3,77,5.0469
1967,7,3,4,83,5.1727
1967,7,3,5,79,6.2283
1967,8,1,1,23,1.4874
1967,8,1,2,24,-2.3614
1967,8,1,3,25,1.7100
1967,8,1,4,23,3.0651
1967,8,1,5,35,-1.0478
1967,8,2,1,33,-0.3326
1967,8,2,2,31,0.2234
1967,8,2,3,26,2.4205
1967,8,2,4,34,0.8727
1967,8,2,5,43,0.4235
1967,8,3,1,82,-0.7129
1967,8,3,2,82,-0.5040
1967,8,3,3,86,-1.0636
1967,8,3,4,79,-0.8742
1967,8,3,5,59,-0.1510
1967,9,1,1,33,6.7019
1967,9,1,2,31,3.9221
1967,9,1,3,20,5.7700
1967,9,1,4,18,4.5880
1967,9,1,5,25,2.8225
1967,9,2,1,39,1.3840
1967,9,2,2,31,4.0981
1967,9,2,3,32,3.0621
1967,9,2,4,29,5.5720
1967,9,2,5,39,3.8780
1967,9,3,1,65,2.2173
1967,9,3,2,75,3.6967
1967,9,3,3,84,3.2024
1967,9,3,4,90,3.0705
1967,9,3,5,72,2.9658
1967,10,1,1,37,-2.4361
1967,10,1,2,25,-3.2584
1967,10,1,3,31,-2.8797
1967,10,1,4,15,-2.1363
1967,10,1,5,21,-2.7885
1967,10,2,1,38,-3.3455
1967,10,2,2,33,-3.7099
1967,10,2,3,29,-2.2152
1967,10,2,4,33,-4.7274
1967,10,2,5,35,-4.9399
1967,10,3,1,63,-2.4567
1967,10,3,2,78,-4.6704
1967,10,3,3,78,-4.0789
1967,10,3,4,86,-0.4769
1967,10,3,5,79,-4.5715
1967,11,1,1,48,0.3456
1967,11,1,2,29,1.9734
1967,11,1,3,19,-0.5492
1967,11,1,4,13,-2.9173
1967,11,1,5,18,2.2421
1967,11,2,1,40,1.0871
1967,11,2,2,29,0.9388
1967,11,2,3,32,-1.0811
1967,11,2,4,33,0.0185
1967,11,2,5,33,0.4088
1967,11,3,1,49,0.5159
1967,11,3,2,80,0.2047
1967,11,3,3,85,0.1688
1967,11,3,4,89,0.4340
1967,11,3,5,83,1.5056
1967,12,1,1,31,10.0139
1967,12,1,2,33,6.5693
1967,12,1,3,20,5.9916
1967,12,1,4,22,5.9749
1967,12,1,5,20,11.8200
1967,12,2,1,41,7.2263
1967,12,2,2,27,5.5879
1967,12,2,3,27,5.1428
1967,12,2,4,33,5.3600
1967,12,2,5,41,10.4429
1967,12,3,1,66,1.8967
1967,12,3,2,76,2.7605
1967,12,3,3,89,3.1244
1967,12,3,4,78,2.2878
1967,12,3,5,73,2.9081
1968,1,1,1,18,1.6986
1968,1,1,2,22,6.3906
1968,1,1,3,25,5.5914
1968,1,1,4,22,3.7880
1968,1,1,5,43,1.7224
1968,1,2,1,20,1.5881
1968,1,2,2,27,2.6050
1968,1,2,3,36,-0.8964
1968,1,2,4,35,2.9164
1968,1,2,5,48,1.5346
1968,1,3,1,98,-4.6687
1968,1,3,2,84,-3.7879
1968,1,3,3,75,-2.1244
1968,1,3,4,79,-1.6812
1968,1,3,5,45,-5.1252
1968,2,1,1,33,-3.7317
1968,2,1,2,23,-5.2321
1968,2,1,3,21,-3.7269
1968,2,1,4,25,-3.3570
1968,2,1,5,23,-5.3777
1968,2,2,1,39,-4.2690
1968,2,2,2,24,-3.0432
1968,2,2,3,37,-6.5786
1968,2,2,4,29,-2.1374
1968,2,2,5,30,-2.8897
1968,2,3,1,61,-2.7666
1968,2,3,2,86,-2.2276
1968,2,3,3,74,-2.5726
1968,2,3,4,79,-2.6008
1968,2,3,5,80,-3.3393
1968,3,1,1,38,-2.0980
1968,3,1,2,27,1.3101
1968,3,1,3,21,-1.3527
1968,3,1,4,13,-0.2449
1968,3,1,5,25,-2.1105
1968,3,2,1,49,0.4291
1968,3,2,2,28,1.5690
1968,3,2,3,24,-2.9996
1968,3,2,4,33,0.3051
1968,3,2,5,24,-4.0530
1968,3,3,1,49,0.5484
1968,3,3,2,76,-1.0034
1968,3,3,3,87,0.3759
1968,3,3,4,84,1.3016
1968,3,3,5,84,1.4360
1968,4,1,1,32,15.7495
1968,4,1,2,34,10.8531
1968,4,1,3,20,12.4166
1968,4,1,4,18,14.1549
1968,4,1,5,16,8.6503
1968,4,2,1,46,12.0946
1968,4,2,2,29,8.9593
1968,4,2,3,26,9.6211
1968,4,2,4,36,12.1724
1968,4,2,5,25,15.7602
1968,4,3,1,58,11.1522
1968,4,3,2,69,7.9371
1968,4,3,3,84,6.0442
1968,4,3,4,78,7.7131
1968,4,3,5,89,9.1972
1968,5,1,1,37,9.1259
1968,5,1,2,16,6.5112
1968,5,1,3,25,10.8794
1968,5,1,4,28,8.9175
1968,5,1,5,15,17.1472
1968,5,2,1,44,6.9148
1968,5,2,2,29,6.4179
1968,5,2,3,29,4.2457
1968,5,2,4,31,5.5871
1968,5,2,5,25,7.3046
1968,5,3,1,53,-0.7158
1968,5,3,2,86,1.9032
1968,5,3,3,76,0.7506
1968,5,3,4,73,0.3766
1968,5,3,5,89,3.2073
1968,6,1,1,32,3.1409
1968,6,1,2,32,2.3569
1968,6,1,3,18,1.9294
1968,6,1,4,19,4.0243
1968,6,1,5,18,0.4794
1968,6,2,1,39,1.8012
1968,6,2,2,37,0.5424
1968,6,2,3,28,2.4054
1968,6,2,4,28,3.9827
1968,6,2,5,24,0.3549
1968,6,3,1,60,2.5663
1968,6,3,2,63,4.4006
1968,6,3,3,83,1.9490
1968,6,3,4,84,0.8656
1968,6,3,5,89,-0.1179
1968,7,1,1,33,-3.0900
1968,7,1,2,22,-1.3118
1968,7,1,3,21,-1.1073
1968,7,1,4,21,-2.6147
1968,7,1,5,25,3.8140
1968,7,2,1,28,-5.4776
1968,7,2,2,36,-1.6707
1968,7,2,3,25,-2.9014
1968,7,2,4,32,-1.2715
1968,7,2,5,28,-1.3929
1968,7,3,1,69,-3.7560
1968,7,3,2,72,-1.5061
1968,7,3,3,83,-1.4461
1968,7,3,4,78,0.5517
1968,7,3,5,78,-1.7810
1968,8,1,1,19,2.3450
1968,8,1,2,20,3.6514
1968,8,1,3,20,0.6997
1968,8,1,4,25,1.9499
1968,8,1,5,34,1.5534
1968,8,2,1,34,3.7070
1968,8,2,2,24,7.3902
1968,8,2,3,26,5.3959
1968,8,2,4,23,1.3193
1968,8,2,5,42,0.9585
1968,8,3,1,76,1.9883
1968,8,3,2,87,1.3827
1968,8,3,3,83,2.0206
1968,8,3,4,79,0.4795
1968,8,3,5,54,2.0702
1968,9,1,1,30,6.3147
1968,9,1,2,28,7.3760
1968,9,1,3,19,9.2011
1968,9,1,4,21,7.9603
1968,9,1,5,23,3.4932
1968,9,2,1,36,6.7095
1968,9,2,2,28,4.7458
1968,9,2,3,25,8.6107
1968,9,2,4,26,6.7875
1968,9,2,5,27,5.5519
1968,9,3,1,64,4.8725
1968,9,3,2,72,3.6511
1968,9,3,3,82,2.8507
1968,9,3,4,81,3.5485
1968,9,3,5,80,5.0976
1968,10,1,1,35,0.1732
1968,10,1,2,29,3.6454
1968,10,1,3,17,2.1890
1968,10,1,4,19,0.9074
1968,10,1,5,21,3.9422
1968,10,2,1,43,-0.5616
1968,10,2,2,25,3.0561
1968,10,2,3,27,3.6384
1968,10,2,4,23,0.4066
1968,10,2,5,21,2.7332
1968,10,3,1,53,-0.6131
1968,10,3,2,74,1.0065
1968,10,3,3,82,2.5666
1968,10,3,4,84,-1.5160
1968,10,3,5,84,1.2366
1968,11,1,1,41,7.3617
1968,11,1,2,24,8.9675
1968,11,1,3,16,9.6058
1968,11,1,4,21,7.6568
1968,11,1,5,17,6.5737
1968,11,2,1,39,6.6327
1968,11,2,2,30,8.0505
1968,11,2,3,23,5.2561
1968,11,2,4,26,7.6018
1968,11,2,5,20,9.0510
1968,11,3,1,47,0.4177
1968,11,3,2,73,6.1555
1968,11,3,3,89,8.5452
1968,11,3,4,79,4.4544
1968,11,3,5,89,5.9315
1968,12,1,1,37,1.2027
1968,12,1,2,29,0.3139
1968,12,1,3,16,-3.8856
1968,12,1,4,20,-0.6155
1968,12,1,5,17,0.3682
1968,12,2,1,31,0.1502
1968,12,2,2,28,0.4944
1968,12,2,3,25,-0.6045
1968,12,2,4,31,-2.3937
1968,12,2,5,25,-0.9318
1968,12,3,1,61,-4.1929
1968,12,3,2,71,-2.4669
1968,12,3,3,86,-4.8446
1968,12,3,4,74,-2.2968
1968,12,3,5,83,-4.0494
1969,1,1,1,13,-2.5580
1969,1,1,2,21,0.9864
1969,1,1,3,18,-1.5331
1969,1,1,4,20,-0.2579
1969,1,1,5,45,0.3128
1969,1,2,1,14,3.0400
1969,1,2,2,27,-0.1211
1969,1,2,3,28,0.1456
1969,1,2,4,28,-1.3291
1969,1,2,5,38,-1.3888
1969,1,3,1,97,-0.8270
1969,1,3,2,78,-2.6513
1969,1,3,3,80,1.1961
1969,1,3,4,79,-0.0323
1969,1,3,5,43,-0.9449
1969,2,1,1,29,-10.1488
1969,2,1,2,25,-10.1628
1969,2,1,3,21,-7.8743
1969,2,1,4,16,-9.5402
1969,2,1,5,21,-8.9944
1969,2,2,1,38,-7.1129
1969,2,2,2,28,-8.7698
1969,2,2,3,20,-6.7041
1969,2,2,4,27,-7.5710
1969,2,2,5,26,-6.8424
1969,2,3,1,60,-5.3012
1969,2,3,2,71,-4.1059
1969,2,3,3,83,-3.9795
1969,2,3,4,82,-3.4434
1969,2,3,5,79,-5.2634
1969,3,1,1,36,0.7248
1969,3,1,2,25,1.4458
1969,3,1,3,18,0.6469
1969,3,1,4,16,-1.0155
1969,3,1,5,20,4.3594
1969,3,2,1,38,1.7945
1969,3,2,2,23,1.7457
1969,3,2,3,29,4.0956
1969,3,2,4,27,1.0965
1969,3,2,5,16,3.9928
1969,3,3,1,54,1.7384
1969,3,3,2,76,1.5128
1969,3,3,3,77,0.9412
1969,3,3,4,80,5.2161
1969,3,3,5,89,5.1503
1969,4,1,1,36,0.3981
1969,4,1,2,23,-2.4456
1969,4,1,3,17,-1.9580
1969,4,1,4,22,-4.2957
1969,4,1,5,17,0.0209
1969,4,2,1,37,-1.3825
1969,4,2,2,30,2.6156
1969,4,2,3,17,0.7729
1969,4,2,4,21,2.6215
1969,4,2,5,22,-2.0176
1969,4,3,1,54,-0.6065
1969,4,3,2,71,4.7754
1969,4,3,3,88,2.3167
1969,4,3,4,81,0.1947
1969,4,3,5,84,2.6911
1969,5,1,1,35,-1.3134
1969,5,1,2,30,2.3635
1969,5,1,3,17,-3.5050
1969,5,1,4,16,0.3307
1969,5,1,5,16,-4.0216
1969,5,2,1,32,-0.8125
1969,5,2,2,22,-2.3508
1969,5,2,3,28,-0.0207
1969,5,2,4,26,1.0918
1969,5,2,5,24,-0.4778
1969,5,3,1,57,1.8317
1969,5,3,2,74,0.4924
1969,5,3,3,79,1.3928
1969,5,3,4,81,-0.1480
1969,5,3,5,82,-0.2385
1969,6,1,1,36,-13.8675
1969,6,1,2,25,-11.5626
1969,6,1,3,18,-12.8187
1969,6,1,4,19,-11.3182
1969,6,1,5,16,-11.4383
1969,6,2,1,27,-10.1477
1969,6,2,2,33,-8.7695
1969,6,2,3,28,-11.2317
1969,6,2,4,21,-7.6979
1969,6,2,5,21,-10.4995
1969,6,3,1,60,-7.2585
1969,6,3,2,66,-6.4970
1969,6,3,3,78,-5.9223
1969,6,3,4,83,-7.6627
1969,6,3,5,85,-3.4150
1969,7,1,1,28,-9.9647
1969,7,1,2,21,-11.0942
1969,7,1,3,15,-11.3076
1969,7,1,4,16,-14.8064
1969,7,1,5,35,-8.4244
1969,7,2,1,26,-8.1884
1969,7,2,2,31,-7.1286
1969,7,2,3,25,-6.6884
1969,7,2,4,21,-8.9504
1969,7,2,5,27,-10.2180
1969,7,3,1,70,-5.2012
1969,7,3,2,69,-4.3347
1969,7,3,3,82,-8.1564
1969,7,3,4,85,-6.4254
1969,7,3,5,62,-6.8486
1969,8,1,1,25,3.4841
1969,8,1,2,20,4.1213
1969,8,1,3,17,2.5608
1969,8,1,4,26,1.5967
1969,8,1,5,27,4.9190
1969,8,2,1,19,4.1826
1969,8,2,2,19,4.7445
1969,8,2,3,26,4.8668
1969,8,2,4,31,3.6923
1969,8,2,5,34,3.6485
1969,8,3,1,80,5.5860
1969,8,3,2,83,3.6581
1969,8,3,3,79,3.1589
1969,8,3,4,64,4.7302
1969,8,3,5,63,4.7844
1969,9,1,1,18,-4.0997
1969,9,1,2,22,0.1834
1969,9,1,3,18,-0.5524
1969,9,1,4,31,-3.3121
1969,9,1,5,27,-2.8789
1969,9,2,1,33,-1.7413
