year,month,rank_ME,rank_RER,nstocks,ret_vw
1971,6,2,1,34,-0.8263
1971,6,2,2,37,-2.4538
1971,6,2,3,39,-1.9112
1971,6,2,4,40,0.5081
1971,6,2,5,25,-1.8165
1971,6,3,1,59,-0.1817
1971,6,3,2,44,-1.4221
1971,6,3,3,41,2.0761
1971,6,3,4,47,1.0440
1971,6,3,5,53,0.9457
1971,7,1,1,122,-8.8764
1971,7,1,2,113,-4.8541
1971,7,1,3,78,-5.6874
1971,7,1,4,104,-5.3499
1971,7,1,5,127,-7.5605
1971,7,2,1,43,-5.0711
1971,7,2,2,43,-7.4500
1971,7,2,3,45,-4.3508
1971,7,2,4,52,-4.5314
1971,7,2,5,35,-4.5256
1971,7,3,1,73,-4.7632
1971,7,3,2,60,-3.0819
1971,7,3,3,58,-2.7642
1971,7,3,4,54,-4.5794
1971,7,3,5,61,-3.8370
1971,8,1,1,122,3.6350
1971,8,1,2,113,2.5588
1971,8,1,3,78,6.6840
1971,8,1,4,104,6.7931
1971,8,1,5,127,4.3859
1971,8,2,1,43,6.1176
1971,8,2,2,43,4.9955
1971,8,2,3,45,6.6618
1971,8,2,4,52,4.1670
1971,8,2,5,35,5.2707
1971,8,3,1,73,6.6161
1971,8,3,2,60,4.8545
1971,8,3,3,58,3.1426
1971,8,3,4,54,4.8644
1971,8,3,5,61,6.1346
1971,9,1,1,122,-0.9248
1971,9,1,2,113,-0.7893
1971,9,1,3,78,-0.8704
1971,9,1,4,104,0.5003
1971,9,1,5,127,0.1858
1971,9,2,1,43,-2.4329
1971,9,2,2,43,-2.2854
1971,9,2,3,45,1.3894
1971,9,2,4,52,0.9776
1971,9,2,5,35,2.0791
1971,9,3,1,73,0.1507
1971,9,3,2,60,0.4733
1971,9,3,3,58,1.6156
1971,9,3,4,54,-0.0985
1971,9,3,5,61,1.2589
1971,10,1,1,122,-8.0551
1971,10,1,2,113,-6.2137
1971,10,1,3,78,-8.7226
1971,10,1,4,104,-5.0537
1971,10,1,5,127,-6.3314
1971,10,2,1,43,-4.7750
1971,10,2,2,43,-4.4293
1971,10,2,3,45,-7.5836
1971,10,2,4,52,-4.4799
1971,10,2,5,35,-4.5492
1971,10,3,1,73,-4.2548
1971,10,3,2,60,-3.8045
1971,10,3,3,58,-5.1597
1971,10,3,4,54,-4.7834
1971,10,3,5,61,-3.8408
1971,11,1,1,122,-4.7891
1971,11,1,2,113,-4.4598
1971,11,1,3,78,-5.8915
1971,11,1,4,104,-4.8041
1971,11,1,5,127,-3.7807
1971,11,2,1,43,-2.0780
1971,11,2,2,43,-2.4884
1971,11,2,3,45,-1.5232
1971,11,2,4,52,-4.0024
1971,11,2,5,35,-1.9498
1971,11,3,1,73,1.0668
1971,11,3,2,60,0.9618
1971,11,3,3,58,-0.5995
1971,11,3,4,54,-0.5349
1971,11,3,5,61,-0.3510
1971,12,1,1,122,13.3002
1971,12,1,2,113,13.7699
1971,12,1,3,78,14.4055
1971,12,1,4,104,12.2745
1971,12,1,5,127,12.3578
1971,12,2,1,43,13.5333
1971,12,2,2,43,13.6348
1971,12,2,3,45,11.9189
1971,12,2,4,52,12.7523
1971,12,2,5,35,13.8457
1971,12,3,1,73,9.0612
1971,12,3,2,60,8.5665
1971,12,3,3,58,8.8560
1971,12,3,4,54,11.0417
1971,12,3,5,61,9.0852
1972,1,1,1,122,13.8471
