year,month,rank_ME,rank_ETL,nstocks,ret_vw
1967,12,2,1,19,8.8877
1967,12,2,2,14,4.4726
1967,12,2,3,20,5.8870
1967,12,2,4,18,5.9976
1967,12,2,5,19,2.9363
1967,12,3,1,63,2.5610
1967,12,3,2,69,3.2770
1967,12,3,3,60,2.5911
1967,12,3,4,64,2.8499
1967,12,3,5,59,1.9884
1968,1,1,1,8,9.0392
1968,1,1,2,7,1.8715
1968,1,1,3,9,1.1014
1968,1,1,4,8,2.4964
1968,1,1,5,11,-2.1088
1968,1,2,1,19,-0.3969
1968,1,2,2,14,0.9847
1968,1,2,3,20,-2.6257
1968,1,2,4,18,1.2908
1968,1,2,5,19,1.7981
1968,1,3,1,63,-4.8303
1968,1,3,2,69,-4.2252
1968,1,3,3,60,-3.1476
1968,1,3,4,64,-4.6978
1968,1,3,5,59,-2.5068
1968,2,1,1,8,-4.4467
1968,2,1,2,7,-3.0906
1968,2,1,3,9,-4.6919
1968,2,1,4,8,-5.6883
1968,2,1,5,11,-8.5641
1968,2,2,1,19,1.1778
1968,2,2,2,14,-3.3135
1968,2,2,3,20,-8.2626
1968,2,2,4,18,-1.0558
1968,2,2,5,19,-0.3036
1968,2,3,1,63,-2.1147
1968,2,3,2,69,-2.7672
1968,2,3,3,60,-3.1519
1968,2,3,4,64,-2.1279
1968,2,3,5,59,-2.4562
1968,3,1,1,8,-1.9668
1968,3,1,2,7,5.7251
1968,3,1,3,9,-1.0049
1968,3,1,4,8,-3.2282
1968,3,1,5,11,0.5335
1968,3,2,1,19,-2.7274
1968,3,2,2,14,-0.2298
1968,3,2,3,20,-0.0332
1968,3,2,4,18,0.1040
1968,3,2,5,19,-3.4843
1968,3,3,1,63,0.7311
1968,3,3,2,69,1.7806
1968,3,3,3,60,-0.5178
1968,3,3,4,64,-0.9309
1968,3,3,5,59,1.2301
1968,4,1,1,8,19.0849
1968,4,1,2,7,5.9704
1968,4,1,3,9,13.5542
1968,4,1,4,8,17.4347
1968,4,1,5,11,12.3779
1968,4,2,1,19,9.8791
1968,4,2,2,14,13.4814
1968,4,2,3,20,13.5340
1968,4,2,4,18,9.1908
1968,4,2,5,19,12.2825
1968,4,3,1,63,10.5810
1968,4,3,2,69,8.1978
1968,4,3,3,60,6.6406
1968,4,3,4,64,9.4290
1968,4,3,5,59,7.5317
1968,5,1,1,8,4.7543
1968,5,1,2,7,7.5404
1968,5,1,3,9,2.8335
1968,5,1,4,8,11.5622
1968,5,1,5,11,6.4481
1968,5,2,1,19,8.0231
1968,5,2,2,14,7.1805
1968,5,2,3,20,6.0418
1968,5,2,4,18,4.0173
1968,5,2,5,19,6.4519
1968,5,3,1,63,1.9082
1968,5,3,2,69,2.5896
1968,5,3,3,60,0.8712
1968,5,3,4,64,-1.5557
1968,5,3,5,59,-0.3191
1968,6,1,1,8,0.7651
1968,6,1,2,7,1.2496
1968,6,1,3,9,1.5225
1968,6,1,4,8,10.3916
1968,6,1,5,11,3.8339
1968,6,2,1,19,0.3234
1968,6,2,2,14,0.9285
1968,6,2,3,20,3.2361
1968,6,2,4,18,3.1509
1968,6,2,5,19,0.6209
1968,6,3,1,63,0.3808
1968,6,3,2,69,1.1668
1968,6,3,3,60,1.6076
1968,6,3,4,64,0.9807
1968,6,3,5,59,0.7973
1968,7,1,1,8,-4.6000
1968,7,1,2,8,0.6725
1968,7,1,3,9,-4.4837
1968,7,1,4,15,0.3080
1968,7,1,5,10,2.1988
1968,7,2,1,20,-1.9793
1968,7,2,2,18,-3.9328
1968,7,2,3,22,-0.1014
1968,7,2,4,11,-2.9796
1968,7,2,5,18,-2.9365
1968,7,3,1,62,-2.3978
1968,7,3,2,64,-2.5134
1968,7,3,3,60,-1.8466
1968,7,3,4,64,0.5021
1968,7,3,5,61,-0.8214
1968,8,1,1,8,4.8422
1968,8,1,2,8,2.6014
1968,8,1,3,9,-2.7375
1968,8,1,4,15,1.7370
1968,8,1,5,10,-3.5919
1968,8,2,1,20,5.6081
1968,8,2,2,18,2.3779
1968,8,2,3,22,3.4589
1968,8,2,4,11,4.3733
1968,8,2,5,18,5.1236
1968,8,3,1,62,1.2953
1968,8,3,2,64,0.5988
1968,8,3,3,60,1.1474
1968,8,3,4,64,2.1110
1968,8,3,5,61,2.5536
1968,9,1,1,8,16.4651
1968,9,1,2,8,10.5998
1968,9,1,3,9,11.7652
1968,9,1,4,15,4.8884
1968,9,1,5,10,7.7647
1968,9,2,1,20,4.6036
1968,9,2,2,18,6.0302
1968,9,2,3,22,6.5696
1968,9,2,4,11,4.7037
1968,9,2,5,18,5.6818
1968,9,3,1,62,4.9768
1968,9,3,2,64,2.5051
1968,9,3,3,60,4.5184
1968,9,3,4,64,2.6798
1968,9,3,5,61,5.5275
1968,10,1,1,8,2.6810
1968,10,1,2,8,2.9154
1968,10,1,3,9,3.7892
1968,10,1,4,15,3.3731
1968,10,1,5,10,-1.9798
1968,10,2,1,20,-2.0129
1968,10,2,2,18,4.1219
1968,10,2,3,22,1.9964
1968,10,2,4,11,0.0878
1968,10,2,5,18,3.0525
1968,10,3,1,62,0.5999
1968,10,3,2,64,-1.4334
1968,10,3,3,60,2.9089
1968,10,3,4,64,1.2166
1968,10,3,5,61,0.9989
1968,11,1,1,8,12.6372
1968,11,1,2,8,4.2531
1968,11,1,3,8,7.9979
1968,11,1,4,15,7.1896
1968,11,1,5,10,0.2948
1968,11,2,1,20,8.3826
1968,11,2,2,18,7.5175
1968,11,2,3,22,8.7685
1968,11,2,4,11,6.9402
1968,11,2,5,18,9.3376
1968,11,3,1,62,5.0800
1968,11,3,2,64,7.1531
1968,11,3,3,60,2.8166
1968,11,3,4,64,4.9182
1968,11,3,5,61,5.9921
1968,12,1,1,8,0.3067
1968,12,1,2,8,-2.7285
1968,12,1,3,9,-6.8691
1968,12,1,4,15,-0.4219
1968,12,1,5,9,-4.6979
1968,12,2,1,20,-0.8905
1968,12,2,2,18,-1.4185
1968,12,2,3,22,-2.3638
1968,12,2,4,11,-1.0561
1968,12,2,5,18,-1.0899
1968,12,3,1,62,-1.6630
1968,12,3,2,64,-5.6680
1968,12,3,3,60,-4.2540
1968,12,3,4,64,-4.0905
1968,12,3,5,61,-3.6797
1969,1,1,1,8,-5.9660
1969,1,1,2,8,1.5825
1969,1,1,3,9,-3.1160
1969,1,1,4,15,2.1931
1969,1,1,5,9,1.9196
1969,1,2,1,20,-1.2421
1969,1,2,2,18,-0.1063
1969,1,2,3,22,-2.5677
1969,1,2,4,11,-0.0255
1969,1,2,5,18,-1.1955
1969,1,3,1,62,-1.0915
1969,1,3,2,64,-2.7014
1969,1,3,3,60,0.7796
1969,1,3,4,64,0.1914
1969,1,3,5,61,-1.7863
1969,2,1,1,8,-12.8868
1969,2,1,2,8,-13.7104
1969,2,1,3,9,-7.4977
1969,2,1,4,15,-8.2980
1969,2,1,5,9,-10.7028
1969,2,2,1,20,-8.7918
1969,2,2,2,18,-5.4923
1969,2,2,3,22,-6.3529
1969,2,2,4,11,-6.7696
1969,2,2,5,18,-8.7785
1969,2,3,1,62,-5.5028
1969,2,3,2,64,-2.5632
1969,2,3,3,60,-3.3002
1969,2,3,4,64,-4.2538
1969,2,3,5,61,-5.8150
1969,3,1,1,8,2.5653
1969,3,1,2,8,-1.2650
1969,3,1,3,9,5.3442
1969,3,1,4,15,1.7431
1969,3,1,5,9,-0.5000
1969,3,2,1,20,2.9764
1969,3,2,2,18,1.3894
1969,3,2,3,22,1.4465
1969,3,2,4,11,-0.1086
1969,3,2,5,18,3.6626
1969,3,3,1,62,3.6627
1969,3,3,2,64,5.1151
1969,3,3,3,60,2.2893
1969,3,3,4,64,2.5387
1969,3,3,5,61,5.2961
1969,4,1,1,8,-0.7655
1969,4,1,2,8,2.1172
1969,4,1,3,9,-3.4633
1969,4,1,4,15,-2.3599
1969,4,1,5,9,-5.7665
1969,4,2,1,20,-0.9083
1969,4,2,2,18,0.9048
1969,4,2,3,22,-1.5343
1969,4,2,4,11,2.4881
1969,4,2,5,18,7.1409
1969,4,3,1,62,1.6373
1969,4,3,2,64,2.0048
1969,4,3,3,60,3.4464
1969,4,3,4,64,2.4404
1969,4,3,5,61,1.0654
1969,5,1,1,8,0.3681
1969,5,1,2,8,-1.8513
1969,5,1,3,8,-4.9813
1969,5,1,4,15,2.5249
1969,5,1,5,9,-1.6298
1969,5,2,1,20,-0.9054
1969,5,2,2,18,1.8281
1969,5,2,3,21,0.0086
1969,5,2,4,11,-2.0119
1969,5,2,5,18,0.0699
1969,5,3,1,62,1.2696
1969,5,3,2,64,0.0475
1969,5,3,3,60,1.1569
1969,5,3,4,64,-0.6304
1969,5,3,5,61,2.0988
1969,6,1,1,8,-17.7142
1969,6,1,2,8,-11.5899
1969,6,1,3,8,-12.5028
1969,6,1,4,15,-11.7028
1969,6,1,5,9,-9.0511
1969,6,2,1,20,-9.1691
1969,6,2,2,18,-9.2754
1969,6,2,3,22,-10.6909
1969,6,2,4,11,-10.1872
1969,6,2,5,18,-9.7798
1969,6,3,1,62,-8.0492
1969,6,3,2,64,-2.7484
1969,6,3,3,60,-5.1660
1969,6,3,4,64,-5.5856
1969,6,3,5,61,-6.8595
1969,7,1,1,5,-13.4512
1969,7,1,2,10,-11.6632
1969,7,1,3,15,-9.3628
1969,7,1,4,7,-10.6546
1969,7,1,5,12,-13.8957
1969,7,2,1,23,-6.3452
1969,7,2,2,18,-5.0559
1969,7,2,3,14,-9.0908
1969,7,2,4,15,-9.8007
1969,7,2,5,20,-9.5765
1969,7,3,1,63,-3.8707
1969,7,3,2,62,-4.4085
1969,7,3,3,62,-6.0973
1969,7,3,4,68,-6.8148
1969,7,3,5,58,-7.8897
1969,8,1,1,5,-0.1697
1969,8,1,2,10,-0.8007
1969,8,1,3,15,4.7961
1969,8,1,4,7,1.8475
1969,8,1,5,12,4.8209
1969,8,2,1,23,0.9205
1969,8,2,2,18,3.6259
1969,8,2,3,14,6.5058
1969,8,2,4,15,6.1451
1969,8,2,5,20,4.8864
1969,8,3,1,63,3.0790
1969,8,3,2,62,4.6042
1969,8,3,3,62,4.7906
1969,8,3,4,68,3.2351
1969,8,3,5,58,6.0552
1969,9,1,1,5,-3.4238
1969,9,1,2,10,0.2489
1969,9,1,3,15,-4.2327
1969,9,1,4,7,1.3031
1969,9,1,5,12,0.9069
1969,9,2,1,23,-1.8362
1969,9,2,2,18,-0.5134
1969,9,2,3,14,-4.2630
1969,9,2,4,15,1.6218
1969,9,2,5,20,-0.8075
1969,9,3,1,63,-4.1577
1969,9,3,2,62,-2.2594
1969,9,3,3,62,-2.1915
1969,9,3,4,68,-0.9886
1969,9,3,5,58,-4.2673
1969,10,1,1,5,6.3796
1969,10,1,2,10,9.0358
1969,10,1,3,15,9.0838
1969,10,1,4,7,9.3297
1969,10,1,5,12,13.1049
1969,10,2,1,23,5.9125
1969,10,2,2,18,3.2858
1969,10,2,3,14,11.4822
1969,10,2,4,15,3.3170
1969,10,2,5,20,11.2790
1969,10,3,1,63,4.3080
1969,10,3,2,62,4.8004
1969,10,3,3,62,5.7591
1969,10,3,4,67,4.6342
1969,10,3,5,58,3.0917
1969,11,1,1,5,-5.6432
1969,11,1,2,10,-9.4426
1969,11,1,3,15,-5.2937
1969,11,1,4,7,-4.4097
1969,11,1,5,12,-8.9188
1969,11,2,1,23,-2.0099
1969,11,2,2,18,-8.0306
1969,11,2,3,14,-5.3074
1969,11,2,4,15,-3.0344
1969,11,2,5,20,-3.9512
1969,11,3,1,63,-1.9973
1969,11,3,2,62,-2.1897
1969,11,3,3,62,-3.5311
1969,11,3,4,68,-4.3282
1969,11,3,5,58,-3.6891
1969,12,1,1,5,-3.1233
1969,12,1,2,10,-4.7918
1969,12,1,3,15,-8.2191
1969,12,1,4,7,-6.2993
1969,12,1,5,12,-6.1682
1969,12,2,1,23,-2.0213
1969,12,2,2,18,-2.9444
1969,12,2,3,14,-6.1068
1969,12,2,4,15,-7.4995
1969,12,2,5,20,-5.3860
1969,12,3,1,63,-2.9422
1969,12,3,2,62,-0.3770
1969,12,3,3,62,-0.1795
1969,12,3,4,68,-2.4433
1969,12,3,5,58,0.1989
1970,1,1,1,5,-3.4275
1970,1,1,2,10,-5.0553
1970,1,1,3,15,-0.0756
1970,1,1,4,7,-3.7009
1970,1,1,5,12,-2.7044
1970,1,2,1,23,-3.2747
1970,1,2,2,18,-6.1032
1970,1,2,3,14,-6.4356
1970,1,2,4,15,-1.7358
1970,1,2,5,20,-2.1480
1970,1,3,1,63,-4.4806
1970,1,3,2,62,-8.4880
1970,1,3,3,62,-8.3209
1970,1,3,4,68,-7.9077
1970,1,3,5,58,-8.7123
1970,2,1,1,5,1.3239
1970,2,1,2,10,8.0323
1970,2,1,3,14,5.1746
1970,2,1,4,7,-3.0937
1970,2,1,5,12,2.5478
1970,2,2,1,23,5.6292
1970,2,2,2,18,6.2798
1970,2,2,3,14,2.3653
1970,2,2,4,15,4.9555
1970,2,2,5,20,7.1374
1970,2,3,1,63,8.0753
1970,2,3,2,62,5.3039
1970,2,3,3,62,6.1885
1970,2,3,4,68,6.0362
1970,2,3,5,58,5.0697
