year,month,rank_ME,rank_r10n,nstocks,ret_vw
1967,12,2,1,46,7.7890
1967,12,2,2,37,7.0268
1967,12,2,3,38,5.4018
1967,12,2,4,37,5.2341
1967,12,2,5,34,8.9155
1967,12,3,1,66,2.2104
1967,12,3,2,84,4.4910
1967,12,3,3,86,2.6577
1967,12,3,4,93,2.1140
1967,12,3,5,87,2.3317
1968,1,1,1,53,3.0536
1968,1,1,2,25,4.1635
1968,1,1,3,21,6.6513
1968,1,1,4,21,3.5176
1968,1,1,5,15,-0.6412
1968,1,2,1,45,-0.9598
1968,1,2,2,50,1.0863
1968,1,2,3,35,2.7764
1968,1,2,4,26,2.6812
1968,1,2,5,34,2.5034
1968,1,3,1,52,-4.1264
1968,1,3,2,72,-3.4168
1968,1,3,3,92,-3.9492
1968,1,3,4,101,-1.5689
1968,1,3,5,98,-6.1841
1968,2,1,1,43,-5.2533
1968,2,1,2,25,-5.3336
1968,2,1,3,23,-2.6434
1968,2,1,4,19,-4.6720
1968,2,1,5,20,-1.9031
1968,2,2,1,45,-6.3814
1968,2,2,2,40,-4.2511
1968,2,2,3,37,-0.0649
1968,2,2,4,29,-2.0581
1968,2,2,5,34,-4.3772
1968,2,3,1,58,-5.0328
1968,2,3,2,81,-1.9844
1968,2,3,3,84,-2.7973
1968,2,3,4,99,-2.6437
1968,2,3,5,91,-2.6530
1968,3,1,1,46,-2.3744
1968,3,1,2,20,-0.2644
1968,3,1,3,22,-0.4703
1968,3,1,4,24,-1.1155
1968,3,1,5,17,1.9546
1968,3,2,1,41,-3.0622
1968,3,2,2,46,0.4235
1968,3,2,3,31,-2.0962
1968,3,2,4,31,-1.3387
1968,3,2,5,35,0.2629
1968,3,3,1,60,-0.0939
1968,3,3,2,78,1.1076
1968,3,3,3,92,-0.4421
1968,3,3,4,92,-0.6394
1968,3,3,5,93,2.8319
1968,4,1,1,38,13.0321
1968,4,1,2,29,10.4284
1968,4,1,3,17,12.1912
1968,4,1,4,17,16.6703
1968,4,1,5,26,9.7281
1968,4,2,1,43,13.5475
1968,4,2,2,39,12.0831
1968,4,2,3,36,8.6724
1968,4,2,4,38,11.2369
1968,4,2,5,32,14.1269
1968,4,3,1,65,7.0871
1968,4,3,2,77,7.3170
1968,4,3,3,90,8.1538
1968,4,3,4,93,6.9736
1968,4,3,5,86,11.1119
1968,5,1,1,36,12.1273
1968,5,1,2,30,6.1854
1968,5,1,3,23,13.3954
1968,5,1,4,18,14.0230
1968,5,1,5,21,8.3192
1968,5,2,1,47,7.2139
1968,5,2,2,34,4.6552
1968,5,2,3,39,5.2088
1968,5,2,4,33,6.7574
1968,5,2,5,30,7.1744
1968,5,3,1,61,0.0198
1968,5,3,2,80,1.0345
1968,5,3,3,83,-0.3415
1968,5,3,4,92,2.4038
1968,5,3,5,92,3.1990
1968,6,1,1,40,1.8541
1968,6,1,2,24,1.4259
1968,6,1,3,20,3.5011
1968,6,1,4,19,4.4292
1968,6,1,5,22,0.8423
1968,6,2,1,44,0.5860
1968,6,2,2,32,2.5569
1968,6,2,3,38,1.2633
1968,6,2,4,36,3.5121
1968,6,2,5,31,0.1939
1968,6,3,1,60,0.3768
1968,6,3,2,88,1.3771
1968,6,3,3,86,4.2663
1968,6,3,4,88,1.3234
1968,6,3,5,89,-0.6940
1968,7,1,1,49,-0.5383
1968,7,1,2,17,1.0682
1968,7,1,3,20,1.0561
1968,7,1,4,23,-2.2280
1968,7,1,5,20,-2.2078
1968,7,2,1,43,-3.6233
1968,7,2,2,40,-2.8442
1968,7,2,3,32,-0.7796
1968,7,2,4,29,-1.8558
1968,7,2,5,33,-3.8831
1968,7,3,1,54,-2.8959
1968,7,3,2,85,1.5561
1968,7,3,3,92,-1.6352
1968,7,3,4,91,-0.8850
1968,7,3,5,88,-4.8386
1968,8,1,1,41,2.4787
1968,8,1,2,19,1.8360
1968,8,1,3,26,2.7548
1968,8,1,4,12,-3.0419
1968,8,1,5,23,3.7597
1968,8,2,1,42,3.5372
1968,8,2,2,38,2.8452
1968,8,2,3,33,2.9673
1968,8,2,4,31,2.0159
1968,8,2,5,33,5.6727
1968,8,3,1,60,1.6538
1968,8,3,2,85,2.1998
1968,8,3,3,84,1.7078
1968,8,3,4,97,1.5494
1968,8,3,5,85,0.8081
1968,9,1,1,46,6.5613
1968,9,1,2,23,7.0786
1968,9,1,3,23,6.4886
1968,9,1,4,17,5.5436
1968,9,1,5,18,9.2460
1968,9,2,1,42,7.2054
1968,9,2,2,41,5.8285
1968,9,2,3,28,4.3063
1968,9,2,4,30,4.7298
1968,9,2,5,29,7.9710
1968,9,3,1,56,6.2903
1968,9,3,2,77,2.9933
1968,9,3,3,92,5.6285
1968,9,3,4,93,3.4307
1968,9,3,5,94,2.9477
1968,10,1,1,49,1.6155
1968,10,1,2,20,5.9745
1968,10,1,3,20,-1.4201
1968,10,1,4,14,1.1782
1968,10,1,5,24,3.5566
1968,10,2,1,38,1.2644
1968,10,2,2,31,1.5957
1968,10,2,3,31,1.6440
1968,10,2,4,29,0.9652
1968,10,2,5,36,2.3412
1968,10,3,1,55,1.4391
1968,10,3,2,90,3.0659
1968,10,3,3,90,0.5443
1968,10,3,4,96,1.8863
1968,10,3,5,80,-2.9658
1968,11,1,1,44,8.7347
1968,11,1,2,26,10.6750
1968,11,1,3,17,4.4146
1968,11,1,4,16,7.4507
1968,11,1,5,22,5.5125
1968,11,2,1,38,6.6195
1968,11,2,2,29,6.6535
1968,11,2,3,30,7.9752
1968,11,2,4,30,6.9640
1968,11,2,5,36,7.7479
1968,11,3,1,60,7.2741
1968,11,3,2,84,5.6363
1968,11,3,3,91,5.7052
1968,11,3,4,94,6.1383
1968,11,3,5,82,4.0393
1968,12,1,1,43,1.6337
1968,12,1,2,25,-3.4329
1968,12,1,3,19,-2.1592
1968,12,1,4,16,0.2680
1968,12,1,5,21,2.8789
1968,12,2,1,40,-0.7559
1968,12,2,2,31,-0.8289
1968,12,2,3,34,1.8671
1968,12,2,4,31,-2.2020
1968,12,2,5,30,0.1145
1968,12,3,1,60,-0.6372
1968,12,3,2,83,-3.1624
1968,12,3,3,85,-3.9218
1968,12,3,4,92,-4.9002
1968,12,3,5,87,-4.1866
1969,1,1,1,50,-1.1359
1969,1,1,2,22,-0.4754
1969,1,1,3,25,-2.2819
1969,1,1,4,12,-2.4933
1969,1,1,5,13,0.7720
1969,1,2,1,45,0.2650
1969,1,2,2,39,-0.2720
1969,1,2,3,23,-1.7040
1969,1,2,4,28,-1.0730
1969,1,2,5,27,0.3648
1969,1,3,1,47,-0.1509
1969,1,3,2,77,-0.6549
1969,1,3,3,90,-0.1516
1969,1,3,4,96,0.3095
1969,1,3,5,97,-2.5286
1969,2,1,1,47,-11.3901
1969,2,1,2,23,-7.5784
1969,2,1,3,19,-7.9839
1969,2,1,4,13,-8.5263
1969,2,1,5,17,-6.6717
1969,2,2,1,42,-11.1639
1969,2,2,2,38,-7.6389
1969,2,2,3,24,-5.2566
1969,2,2,4,33,-4.5474
