year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1990,12,1,3,265,1.2844
1990,12,1,4,299,3.2674
1990,12,1,5,487,-1.3438
1990,12,2,1,48,5.1436
1990,12,2,2,53,12.0373
1990,12,2,3,61,7.9962
1990,12,2,4,77,3.9980
1990,12,2,5,130,6.7140
1990,12,3,1,55,5.6416
1990,12,3,2,50,4.1907
1990,12,3,3,64,1.0142
1990,12,3,4,56,3.2069
1990,12,3,5,73,3.2309
1991,1,1,1,151,12.5861
1991,1,1,2,135,12.6272
1991,1,1,3,214,11.0221
1991,1,1,4,239,13.3787
1991,1,1,5,418,18.9322
1991,1,2,1,32,7.8556
1991,1,2,2,31,13.1588
1991,1,2,3,44,10.7759
1991,1,2,4,69,14.2095
1991,1,2,5,108,23.1345
1991,1,3,1,24,5.1266
1991,1,3,2,37,7.5150
1991,1,3,3,36,9.6474
1991,1,3,4,36,6.5330
1991,1,3,5,46,9.6035
1991,2,1,1,164,13.0788
1991,2,1,2,152,9.6004
1991,2,1,3,231,13.2427
1991,2,1,4,276,14.1319
1991,2,1,5,457,18.4185
1991,2,2,1,34,10.1689
1991,2,2,2,36,8.7158
1991,2,2,3,51,10.0342
1991,2,2,4,68,10.8563
1991,2,2,5,109,10.6150
1991,2,3,1,26,6.9280
1991,2,3,2,40,6.0182
1991,2,3,3,42,4.9952
1991,2,3,4,37,7.5487
1991,2,3,5,50,6.9297
1991,3,1,1,170,9.9525
1991,3,1,2,153,8.5046
1991,3,1,3,233,9.3438
1991,3,1,4,289,10.7832
1991,3,1,5,461,15.5452
1991,3,2,1,33,3.8339
1991,3,2,2,41,8.2752
1991,3,2,3,50,9.2127
1991,3,2,4,69,8.1717
1991,3,2,5,111,8.8558
1991,3,3,1,29,2.6252
1991,3,3,2,40,2.3679
1991,3,3,3,45,1.0795
1991,3,3,4,39,1.7048
1991,3,3,5,51,0.9400
1991,4,1,1,159,0.3502
1991,4,1,2,143,1.4259
1991,4,1,3,198,-1.3675
1991,4,1,4,258,2.5000
1991,4,1,5,424,1.6705
1991,4,2,1,38,-2.0988
1991,4,2,2,39,2.0065
1991,4,2,3,48,-3.5747
1991,4,2,4,69,-0.8283
1991,4,2,5,110,-2.3317
1991,4,3,1,27,3.3971
1991,4,3,2,41,-1.2330
1991,4,3,3,44,1.4678
1991,4,3,4,40,-1.7204
1991,4,3,5,51,-2.2241
1991,5,1,1,202,6.4093
1991,5,1,2,198,4.9358
1991,5,1,3,255,5.5471
1991,5,1,4,285,3.0477
1991,5,1,5,497,2.2122
1991,5,2,1,55,2.3618
1991,5,2,2,54,4.1553
1991,5,2,3,70,3.6026
1991,5,2,4,83,1.7619
1991,5,2,5,134,5.2334
1991,5,3,1,56,3.0556
1991,5,3,2,62,6.9371
1991,5,3,3,67,2.3032
1991,5,3,4,59,4.4430
1991,5,3,5,78,5.9958
1991,6,1,1,200,-4.7815
1991,6,1,2,191,-4.1396
1991,6,1,3,257,-6.4600
1991,6,1,4,282,-8.8210
1991,6,1,5,497,-7.8635
1991,6,2,1,55,-2.7516
1991,6,2,2,51,-4.0822
1991,6,2,3,74,-5.7303
1991,6,2,4,88,-9.9461
1991,6,2,5,133,-9.7532
1991,6,3,1,54,-4.9076
1991,6,3,2,61,-4.4633
1991,6,3,3,68,-2.3936
1991,6,3,4,57,-4.7850
1991,6,3,5,80,-6.9027
1991,7,1,1,181,2.8787
1991,7,1,2,165,3.2813
1991,7,1,3,228,2.8523
1991,7,1,4,261,3.1583
1991,7,1,5,439,4.8215
1991,7,2,1,53,5.8357
1991,7,2,2,45,2.8874
1991,7,2,3,70,7.1622
1991,7,2,4,78,3.3999
1991,7,2,5,124,4.7673
1991,7,3,1,53,4.5635
1991,7,3,2,58,4.8094
1991,7,3,3,65,4.8662
1991,7,3,4,57,4.4931
1991,7,3,5,77,6.5125
1991,8,1,1,188,4.3155
1991,8,1,2,182,4.2930
1991,8,1,3,251,2.0572
1991,8,1,4,276,4.1029
1991,8,1,5,472,7.0704
1991,8,2,1,59,2.1769
1991,8,2,2,48,5.2178
1991,8,2,3,69,2.7116
1991,8,2,4,79,5.1797
1991,8,2,5,137,6.5600
1991,8,3,1,52,0.8788
1991,8,3,2,60,2.9408
1991,8,3,3,69,0.5061
1991,8,3,4,57,2.3873
1991,8,3,5,83,1.8364
1991,9,1,1,186,-0.3467
1991,9,1,2,176,-1.3192
1991,9,1,3,246,1.4519
1991,9,1,4,260,1.7201
1991,9,1,5,473,5.7140
1991,9,2,1,57,-0.2998
1991,9,2,2,48,-1.0984
1991,9,2,3,67,-1.0906
1991,9,2,4,77,1.8179
1991,9,2,5,144,0.2382
1991,9,3,1,52,-3.9089
1991,9,3,2,61,-1.8886
1991,9,3,3,69,-0.9981
1991,9,3,4,57,-2.5819
1991,9,3,5,83,-0.5401
1991,10,1,1,179,0.5440
1991,10,1,2,163,0.0069
1991,10,1,3,216,3.2022
1991,10,1,4,239,7.0349
1991,10,1,5,441,10.2832
1991,10,2,1,58,3.1776
1991,10,2,2,49,0.6260
1991,10,2,3,59,-2.2669
