year,month,rank_ME,rank_r1n,nstocks,ret_vw
1967,1,1,1,312,25.7739
1967,1,1,2,151,19.8240
1967,1,1,3,125,17.9426
1967,1,1,4,120,14.8406
1967,1,1,5,151,17.0081
1967,1,2,1,86,20.9136
1967,1,2,2,75,17.4365
1967,1,2,3,78,13.7105
1967,1,2,4,69,13.3255
1967,1,2,5,82,13.2602
1967,1,3,1,70,14.1379
1967,1,3,2,94,8.3224
1967,1,3,3,131,8.4959
1967,1,3,4,141,5.9428
1967,1,3,5,165,6.3731
1967,2,1,1,279,5.6034
1967,2,1,2,169,2.8635
1967,2,1,3,126,4.1214
1967,2,1,4,121,4.9811
1967,2,1,5,171,7.3089
1967,2,2,1,83,1.5366
1967,2,2,2,76,2.6040
1967,2,2,3,65,1.0979
1967,2,2,4,68,2.8682
1967,2,2,5,98,3.6052
1967,2,3,1,80,-1.4171
1967,2,3,2,101,-0.5499
1967,2,3,3,127,0.7043
1967,2,3,4,147,0.8199
1967,2,3,5,145,3.5754
1967,3,1,1,251,5.0656
1967,3,1,2,153,7.2016
1967,3,1,3,130,8.0009
1967,3,1,4,145,6.5021
1967,3,1,5,182,8.6094
1967,3,2,1,75,6.8760
1967,3,2,2,79,5.1623
1967,3,2,3,63,3.8929
1967,3,2,4,77,6.9275
1967,3,2,5,101,7.2407
1967,3,3,1,86,4.4078
1967,3,3,2,110,4.5811
1967,3,3,3,138,3.3360
1967,3,3,4,130,4.1294
1967,3,3,5,135,5.5350
1967,4,1,1,293,2.1033
1967,4,1,2,140,3.7518
1967,4,1,3,105,5.7613
1967,4,1,4,131,4.9099
1967,4,1,5,191,7.0143
1967,4,2,1,79,3.0327
1967,4,2,2,69,2.1473
1967,4,2,3,76,2.4582
1967,4,2,4,70,4.5322
1967,4,2,5,104,5.0676
1967,4,3,1,82,7.5379
1967,4,3,2,116,4.5631
1967,4,3,3,122,1.7482
1967,4,3,4,142,3.3953
1967,4,3,5,135,5.3818
1967,5,1,1,264,0.7001
1967,5,1,2,118,0.6720
1967,5,1,3,127,1.2959
1967,5,1,4,148,0.5487
1967,5,1,5,209,-1.5143
1967,5,2,1,76,-0.6766
1967,5,2,2,64,-2.4837
1967,5,2,3,70,-1.7057
1967,5,2,4,76,-2.4211
1967,5,2,5,115,-1.6489
1967,5,3,1,87,-4.2143
1967,5,3,2,127,-3.6125
1967,5,3,3,123,-5.0424
1967,5,3,4,132,-4.1795
1967,5,3,5,132,-3.7895
1967,6,1,1,239,6.8343
1967,6,1,2,114,4.8039
1967,6,1,3,134,7.3526
1967,6,1,4,136,10.9496
1967,6,1,5,239,19.4380
1967,6,2,1,74,4.7661
1967,6,2,2,70,5.4182
1967,6,2,3,68,3.9262
1967,6,2,4,81,6.8713
1967,6,2,5,112,13.0555
1967,6,3,1,93,0.3758
1967,6,3,2,130,0.5340
1967,6,3,3,125,1.2111
1967,6,3,4,120,4.1385
1967,6,3,5,129,6.7072
1967,7,1,1,187,11.3222
1967,7,1,2,119,10.2171
1967,7,1,3,133,10.5267
1967,7,1,4,135,11.7671
1967,7,1,5,278,7.5248
1967,7,2,1,68,7.6039
1967,7,2,2,68,6.2124
1967,7,2,3,73,8.1204
1967,7,2,4,70,7.6257
1967,7,2,5,136,7.4582
1967,7,3,1,106,7.6052
1967,7,3,2,123,0.2054
1967,7,3,3,124,5.5776
1967,7,3,4,127,5.0131
