year,month,rank_ME,rank_RDM,nstocks,ret_vw
1977,6,1,4,166,7.1969
1977,6,1,5,285,6.4672
1977,6,2,1,58,5.9886
1977,6,2,2,54,6.9793
1977,6,2,3,63,6.2404
1977,6,2,4,59,6.5417
1977,6,2,5,39,11.4752
1977,6,3,1,104,4.3357
1977,6,3,2,88,3.9181
1977,6,3,3,69,5.4381
1977,6,3,4,58,3.2783
1977,6,3,5,45,5.3796
1977,7,1,1,105,0.3468
1977,7,1,2,118,-1.7059
1977,7,1,3,137,0.0177
1977,7,1,4,148,0.9477
1977,7,1,5,301,-0.1770
1977,7,2,1,59,-0.7687
1977,7,2,2,57,-2.0228
1977,7,2,3,46,-2.7206
1977,7,2,4,60,-2.6673
1977,7,2,5,44,0.0863
1977,7,3,1,105,-2.1953
1977,7,3,2,78,-1.4975
1977,7,3,3,78,-2.1542
1977,7,3,4,61,-1.4756
1977,7,3,5,45,-3.8869
1977,8,1,1,104,-3.0668
1977,8,1,2,117,1.0388
1977,8,1,3,136,-0.0112
1977,8,1,4,148,-1.0969
1977,8,1,5,300,-1.2424
1977,8,2,1,59,1.6937
1977,8,2,2,56,-0.9732
1977,8,2,3,46,-1.3289
1977,8,2,4,60,2.4964
1977,8,2,5,43,-2.4261
1977,8,3,1,105,-3.2689
1977,8,3,2,78,-1.3965
1977,8,3,3,78,0.4517
1977,8,3,4,61,-0.0606
1977,8,3,5,45,-2.4114
1977,9,1,1,104,-0.9507
1977,9,1,2,116,2.3739
1977,9,1,3,135,-0.2476
1977,9,1,4,147,1.4292
1977,9,1,5,301,0.2721
1977,9,2,1,59,-0.5383
1977,9,2,2,56,-0.4407
1977,9,2,3,45,-0.8689
1977,9,2,4,60,0.3887
1977,9,2,5,43,2.8304
1977,9,3,1,104,1.0242
1977,9,3,2,78,-0.4399
1977,9,3,3,78,-1.6909
1977,9,3,4,61,1.2669
1977,9,3,5,45,-0.8893
1977,10,1,1,104,-3.7760
1977,10,1,2,114,-2.5679
1977,10,1,3,134,-2.2624
1977,10,1,4,145,-2.8290
1977,10,1,5,301,-2.9507
1977,10,2,1,59,-5.2736
1977,10,2,2,56,-1.7257
1977,10,2,3,44,1.8587
1977,10,2,4,60,-2.6639
1977,10,2,5,43,-3.4733
1977,10,3,1,104,-4.7571
1977,10,3,2,77,-3.0771
1977,10,3,3,78,-3.9635
1977,10,3,4,61,-4.6845
1977,10,3,5,45,-4.4232
1977,11,1,1,104,7.9636
1977,11,1,2,113,8.7118
1977,11,1,3,135,8.3985
1977,11,1,4,144,10.8854
1977,11,1,5,296,10.8792
1977,11,2,1,59,8.6284
1977,11,2,2,56,9.2529
1977,11,2,3,44,7.9362
1977,11,2,4,60,9.9662
1977,11,2,5,42,9.4111
1977,11,3,1,104,2.4428
1977,11,3,2,77,4.2036
1977,11,3,3,77,2.9047
1977,11,3,4,61,3.3556
1977,11,3,5,45,6.3451
1977,12,1,1,104,0.8314
1977,12,1,2,112,0.5235
1977,12,1,3,135,2.1125
1977,12,1,4,146,3.2338
1977,12,1,5,296,2.6826
1977,12,2,1,59,1.3287
1977,12,2,2,55,1.6669
1977,12,2,3,44,1.8352
1977,12,2,4,60,1.2669
1977,12,2,5,42,-0.9072
1977,12,3,1,103,1.6563
1977,12,3,2,77,-0.1738
1977,12,3,3,78,1.0636
1977,12,3,4,61,0.0053
1977,12,3,5,45,1.4006
1978,1,1,1,103,-0.6238
1978,1,1,2,112,-1.9524
1978,1,1,3,134,-2.3006
1978,1,1,4,143,-2.0384
1978,1,1,5,291,-1.8422
1978,1,2,1,59,-4.7646
1978,1,2,2,54,-5.2877
1978,1,2,3,44,-5.4568
1978,1,2,4,59,-4.6845
1978,1,2,5,42,-2.9704
1978,1,3,1,103,-6.0860
1978,1,3,2,77,-6.0580
1978,1,3,3,78,-4.8874
1978,1,3,4,60,-6.5382
1978,1,3,5,45,-5.7366
1978,2,1,1,103,1.8531
1978,2,1,2,110,3.9845
1978,2,1,3,135,2.3842
1978,2,1,4,143,5.3920
1978,2,1,5,285,4.3529
1978,2,2,1,59,3.7019
1978,2,2,2,53,0.5919
1978,2,2,3,43,3.5420
1978,2,2,4,59,2.1723
1978,2,2,5,41,2.6290
1978,2,3,1,103,0.0928
1978,2,3,2,77,-1.6971
1978,2,3,3,77,-3.8748
1978,2,3,4,60,-1.7263
1978,2,3,5,45,-0.8193
1978,3,1,1,103,10.5912
1978,3,1,2,110,5.5619
1978,3,1,3,134,9.1618
1978,3,1,4,143,7.7421
1978,3,1,5,284,10.4105
1978,3,2,1,59,5.5387
1978,3,2,2,53,6.9208
1978,3,2,3,43,6.4030
1978,3,2,4,59,5.3297
1978,3,2,5,41,9.6551
1978,3,3,1,103,2.6419
1978,3,3,2,77,3.0033
1978,3,3,3,77,-0.1479
1978,3,3,4,60,5.3173
1978,3,3,5,45,6.4762
1978,4,1,1,103,8.2032
1978,4,1,2,110,8.8585
1978,4,1,3,132,9.2865
1978,4,1,4,142,11.5812
1978,4,1,5,284,11.0030
1978,4,2,1,59,8.8651
1978,4,2,2,53,9.3449
1978,4,2,3,43,8.3143
1978,4,2,4,59,10.2140
1978,4,2,5,41,9.5464
1978,4,3,1,103,6.2573
1978,4,3,2,77,8.0244
1978,4,3,3,77,12.7163
1978,4,3,4,60,10.3190
1978,4,3,5,45,13.2803
1978,5,1,1,103,7.3386
1978,5,1,2,109,6.4499
1978,5,1,3,132,5.7782
1978,5,1,4,140,9.5892
1978,5,1,5,284,12.8225
1978,5,2,1,56,7.1264
1978,5,2,2,52,5.0668
1978,5,2,3,43,7.3162
1978,5,2,4,59,8.2937
1978,5,2,5,41,9.2196
1978,5,3,1,103,0.6517
1978,5,3,2,77,2.5287
1978,5,3,3,77,1.5358
1978,5,3,4,59,2.4226
1978,5,3,5,45,5.3561
1978,6,1,1,101,1.4739
1978,6,1,2,106,-1.1973
1978,6,1,3,131,1.6489
1978,6,1,4,137,1.6510
1978,6,1,5,281,-0.5898
1978,6,2,1,55,-0.3887
1978,6,2,2,52,-0.6250
1978,6,2,3,43,0.0408
1978,6,2,4,57,-2.6528
1978,6,2,5,41,-0.6692
1978,6,3,1,103,-2.6780
1978,6,3,2,77,-1.5380
1978,6,3,3,76,-1.2206
1978,6,3,4,59,-0.1427
1978,6,3,5,44,-0.7871
1978,7,1,1,113,7.1239
1978,7,1,2,107,4.3886
1978,7,1,3,153,5.5691
1978,7,1,4,131,4.6549
1978,7,1,5,240,8.9088
1978,7,2,1,54,4.5078
1978,7,2,2,49,5.4995
1978,7,2,3,53,9.3495
1978,7,2,4,59,8.3179
1978,7,2,5,47,8.7034
1978,7,3,1,91,3.0371
1978,7,3,2,75,5.0300
1978,7,3,3,75,8.0828
1978,7,3,4,64,7.1997
1978,7,3,5,49,8.4787
1978,8,1,1,113,8.6446
1978,8,1,2,105,7.8661
1978,8,1,3,151,10.7538
1978,8,1,4,131,9.5909
1978,8,1,5,238,12.2140
1978,8,2,1,52,9.0388
1978,8,2,2,49,8.2658
1978,8,2,3,53,10.3008
1978,8,2,4,59,8.6203
1978,8,2,5,47,11.2345
1978,8,3,1,91,4.2208
1978,8,3,2,75,3.0323
1978,8,3,3,75,3.4893
1978,8,3,4,63,3.0132
1978,8,3,5,49,2.5645
1978,9,1,1,113,-0.4922
1978,9,1,2,103,0.2021
1978,9,1,3,146,-0.6866
1978,9,1,4,130,-0.5210
1978,9,1,5,238,-2.0630
1978,9,2,1,53,-1.8582
1978,9,2,2,48,-1.3266
1978,9,2,3,51,-2.2459
1978,9,2,4,59,-3.1885
1978,9,2,5,47,-4.0484
1978,9,3,1,89,2.5211
1978,9,3,2,74,0.1241
1978,9,3,3,75,-3.1852
1978,9,3,4,63,-1.5325
1978,9,3,5,49,-1.7865
1978,10,1,1,113,-23.1811
1978,10,1,2,104,-25.2970
1978,10,1,3,146,-25.7308
1978,10,1,4,130,-26.4973
1978,10,1,5,238,-28.2099
1978,10,2,1,53,-19.1771
1978,10,2,2,48,-20.5694
1978,10,2,3,51,-22.2188
1978,10,2,4,59,-22.8393
1978,10,2,5,46,-26.3409
1978,10,3,1,89,-7.4173
1978,10,3,2,74,-10.1716
1978,10,3,3,75,-7.9914
1978,10,3,4,63,-11.6612
1978,10,3,5,49,-11.6175
1978,11,1,1,112,6.1160
1978,11,1,2,104,4.6405
1978,11,1,3,146,7.9061
1978,11,1,4,130,7.8736
1978,11,1,5,238,9.7110
1978,11,2,1,53,5.2469
1978,11,2,2,48,7.1108
1978,11,2,3,49,12.0219
1978,11,2,4,59,8.6574
1978,11,2,5,45,10.6139
1978,11,3,1,89,3.2445
1978,11,3,2,74,3.2061
1978,11,3,3,74,3.1278
1978,11,3,4,63,3.8035
1978,11,3,5,49,3.3254
1978,12,1,1,111,2.1696
1978,12,1,2,103,2.1616
1978,12,1,3,144,2.6841
1978,12,1,4,130,3.5246
1978,12,1,5,236,3.7953
1978,12,2,1,53,1.2736
1978,12,2,2,48,5.7547
1978,12,2,3,50,1.4498
1978,12,2,4,59,3.8606
1978,12,2,5,44,2.6693
1978,12,3,1,89,1.9273
1978,12,3,2,74,0.1935
1978,12,3,3,74,4.6345
1978,12,3,4,63,1.3719
1978,12,3,5,49,0.6708
1979,1,1,1,111,8.7281
1979,1,1,2,103,9.9898
1979,1,1,3,145,10.0688
1979,1,1,4,130,12.2005
1979,1,1,5,231,14.0817
1979,1,2,1,52,7.5326
1979,1,2,2,48,6.6986
1979,1,2,3,50,7.6718
1979,1,2,4,57,8.5002
1979,1,2,5,44,11.2698
1979,1,3,1,89,3.5812
1979,1,3,2,74,4.0141
1979,1,3,3,74,3.5346
1979,1,3,4,63,5.4287
1979,1,3,5,49,4.6059
1979,2,1,1,111,-2.6143
1979,2,1,2,103,-4.3363
1979,2,1,3,143,-2.5367
1979,2,1,4,130,-3.7938
1979,2,1,5,230,-3.4421
1979,2,2,1,50,-4.1248
1979,2,2,2,47,-1.9244
1979,2,2,3,48,-5.3957
1979,2,2,4,57,-2.9602
1979,2,2,5,44,-5.4047
1979,2,3,1,88,-0.9923
1979,2,3,2,74,-2.3801
1979,2,3,3,74,-3.8350
1979,2,3,4,63,-4.0367
1979,2,3,5,48,-5.9071
1979,3,1,1,111,8.3326
1979,3,1,2,103,8.4731
1979,3,1,3,142,11.2897
1979,3,1,4,128,10.3202
1979,3,1,5,230,13.6215
1979,3,2,1,50,7.6552
1979,3,2,2,46,13.6828
1979,3,2,3,47,11.0177
1979,3,2,4,57,10.1748
1979,3,2,5,43,13.5671
1979,3,3,1,88,4.8953
1979,3,3,2,74,6.1517
1979,3,3,3,73,5.8874
1979,3,3,4,63,8.7729
1979,3,3,5,48,6.9242
1979,4,1,1,111,2.0619
1979,4,1,2,102,0.2500
1979,4,1,3,142,1.1909
1979,4,1,4,128,1.8750
1979,4,1,5,227,2.7024
1979,4,2,1,50,-0.0092
1979,4,2,2,46,1.6765
1979,4,2,3,46,2.5355
1979,4,2,4,57,1.7327
1979,4,2,5,43,2.5355
1979,4,3,1,88,0.7590
1979,4,3,2,74,2.1413
1979,4,3,3,73,-0.3094
1979,4,3,4,63,-0.7158
1979,4,3,5,48,1.3740
1979,5,1,1,111,-0.9926
1979,5,1,2,102,-2.4997
1979,5,1,3,141,1.2411
1979,5,1,4,125,-1.2296
1979,5,1,5,227,-1.8338
1979,5,2,1,50,-1.7637
1979,5,2,2,45,-3.7576
1979,5,2,3,46,-1.4784
1979,5,2,4,57,-2.5002
1979,5,2,5,42,-2.1428
1979,5,3,1,88,-1.3921
1979,5,3,2,74,-2.5511
1979,5,3,3,73,-2.6317
1979,5,3,4,63,-1.4320
1979,5,3,5,48,-1.9904
1979,6,1,1,110,4.8600
1979,6,1,2,102,2.8475
1979,6,1,3,141,3.0673
1979,6,1,4,125,3.0598
1979,6,1,5,227,5.4412
1979,6,2,1,50,6.5196
1979,6,2,2,45,8.1121
1979,6,2,3,46,2.8963
1979,6,2,4,56,1.7673
1979,6,2,5,42,6.3808
1979,6,3,1,88,4.8727
1979,6,3,2,73,4.2741
1979,6,3,3,73,1.5025
1979,6,3,4,63,3.6065
1979,6,3,5,48,3.7013
1979,7,1,1,107,1.7221
1979,7,1,2,130,1.9870
1979,7,1,3,129,4.5472
1979,7,1,4,118,1.3165
1979,7,1,5,223,0.6395
1979,7,2,1,60,2.8401
1979,7,2,2,48,2.9852
1979,7,2,3,50,3.8863
1979,7,2,4,54,1.2932
1979,7,2,5,48,3.9485
1979,7,3,1,87,1.4614
1979,7,3,2,69,1.1332
1979,7,3,3,73,-1.0357
1979,7,3,4,68,2.1002
1979,7,3,5,50,1.1577
1979,8,1,1,107,7.8470
1979,8,1,2,130,7.8644
1979,8,1,3,127,8.6545
1979,8,1,4,118,9.4519
1979,8,1,5,222,7.8468
1979,8,2,1,60,7.3619
1979,8,2,2,47,7.7207
1979,8,2,3,48,9.1588
1979,8,2,4,53,8.5445
1979,8,2,5,48,11.8014
1979,8,3,1,87,5.3691
1979,8,3,2,69,8.5982
1979,8,3,3,73,5.0799
1979,8,3,4,67,7.8140
1979,8,3,5,50,7.2015
1979,9,1,1,107,-2.4864
1979,9,1,2,130,-1.3825
1979,9,1,3,124,-1.7205
1979,9,1,4,118,-0.7135
1979,9,1,5,220,-0.2330
1979,9,2,1,60,-1.6713
1979,9,2,2,47,0.4529
1979,9,2,3,49,-0.7299
1979,9,2,4,53,1.5993
1979,9,2,5,48,1.7689
1979,9,3,1,86,2.2670
1979,9,3,2,69,1.2438
1979,9,3,3,73,-1.9380
1979,9,3,4,67,-0.4321
1979,9,3,5,50,0.3331
1979,10,1,1,107,-10.7082
1979,10,1,2,130,-9.6431
1979,10,1,3,123,-11.5225
1979,10,1,4,118,-9.0558
1979,10,1,5,216,-11.2907
1979,10,2,1,60,-9.0408
