year,month,rank_ME,rank_RCA,nstocks,ret_vw
1981,6,2,1,41,-3.8020
1981,6,2,2,44,-1.4346
1981,6,2,3,55,-4.8628
1981,6,2,4,49,-6.7899
1981,6,2,5,59,-8.8898
1981,6,3,1,75,2.5055
1981,6,3,2,62,1.6859
1981,6,3,3,61,-1.2012
1981,6,3,4,65,-3.2361
1981,6,3,5,76,-4.7444
1981,7,1,1,120,-4.4372
1981,7,1,2,137,-5.4625
1981,7,1,3,135,-2.8835
1981,7,1,4,135,-4.4200
1981,7,1,5,214,-5.4522
1981,7,2,1,42,-1.1425
1981,7,2,2,55,-4.4619
1981,7,2,3,57,-3.0664
1981,7,2,4,56,-3.6158
1981,7,2,5,50,-4.6891
1981,7,3,1,69,5.9356
1981,7,3,2,70,2.2210
1981,7,3,3,56,-0.7975
1981,7,3,4,67,-3.8415
1981,7,3,5,77,-4.6604
1981,8,1,1,119,-8.7013
1981,8,1,2,135,-10.4642
1981,8,1,3,135,-11.0541
1981,8,1,4,135,-10.9643
1981,8,1,5,214,-13.8075
1981,8,2,1,42,-4.6365
1981,8,2,2,55,-7.9748
1981,8,2,3,56,-10.5879
1981,8,2,4,56,-10.3218
1981,8,2,5,50,-11.9823
1981,8,3,1,68,-4.3435
1981,8,3,2,69,-6.3401
1981,8,3,3,56,-5.0152
1981,8,3,4,67,-7.4074
1981,8,3,5,77,-6.5467
1981,9,1,1,118,-10.9963
1981,9,1,2,136,-10.5935
1981,9,1,3,135,-8.2722
1981,9,1,4,134,-8.5028
1981,9,1,5,213,-9.4519
1981,9,2,1,42,-8.1489
1981,9,2,2,55,-8.0796
1981,9,2,3,56,-9.5776
1981,9,2,4,56,-7.8688
1981,9,2,5,50,-6.5633
1981,9,3,1,67,-7.6552
1981,9,3,2,69,-6.7266
1981,9,3,3,55,-7.3445
1981,9,3,4,67,-3.2953
1981,9,3,5,77,-2.5186
1981,10,1,1,117,10.0552
1981,10,1,2,134,8.8405
1981,10,1,3,135,6.2857
1981,10,1,4,134,8.9321
1981,10,1,5,211,11.8573
1981,10,2,1,42,7.0595
1981,10,2,2,55,10.0849
1981,10,2,3,56,9.7097
1981,10,2,4,56,7.5988
1981,10,2,5,49,9.1027
1981,10,3,1,67,7.5272
1981,10,3,2,69,5.8513
1981,10,3,3,55,5.0543
1981,10,3,4,67,3.8421
1981,10,3,5,77,0.7862
1981,11,1,1,116,0.2188
1981,11,1,2,136,2.7032
1981,11,1,3,135,2.0363
1981,11,1,4,134,2.5070
1981,11,1,5,210,0.9800
1981,11,2,1,42,1.7965
1981,11,2,2,55,2.5355
1981,11,2,3,55,0.6618
1981,11,2,4,55,3.3047
1981,11,2,5,50,2.6984
1981,11,3,1,66,6.1398
1981,11,3,2,69,5.2414
1981,11,3,3,54,1.5408
1981,11,3,4,67,6.8148
1981,11,3,5,77,3.0773
1981,12,1,1,116,-2.8937
1981,12,1,2,135,0.0835
1981,12,1,3,134,0.1356
1981,12,1,4,134,-0.9081
1981,12,1,5,210,-1.5277
1981,12,2,1,42,-1.3659
1981,12,2,2,55,1.7243
1981,12,2,3,55,-1.8666
1981,12,2,4,55,0.5009
1981,12,2,5,50,-1.4056
1981,12,3,1,66,-4.5556
1981,12,3,2,69,-3.2019
1981,12,3,3,55,-1.4552
1981,12,3,4,67,-1.2431
1981,12,3,5,77,0.0391
1982,1,1,1,113,-2.8051
1982,1,1,2,134,-1.1583
1982,1,1,3,133,0.4416
1982,1,1,4,133,-2.4324
1982,1,1,5,210,-1.8677
1982,1,2,1,42,-5.6976
1982,1,2,2,54,-4.7603
1982,1,2,3,55,-3.4563
1982,1,2,4,55,-4.2398
1982,1,2,5,48,0.5768
1982,1,3,1,66,-6.2783
1982,1,3,2,68,-4.2744
1982,1,3,3,55,-5.4047
1982,1,3,4,67,0.2103
1982,1,3,5,77,3.5296
1982,2,1,1,113,-1.9108
1982,2,1,2,134,-4.4949
1982,2,1,3,133,-4.8017
1982,2,1,4,132,-4.2079
1982,2,1,5,209,-4.9823
1982,2,2,1,42,-5.5763
1982,2,2,2,55,-4.6024
1982,2,2,3,55,-7.8966
1982,2,2,4,55,-4.6485
1982,2,2,5,48,-4.4333
1982,2,3,1,66,-8.0339
1982,2,3,2,68,-6.9324
1982,2,3,3,54,-6.1144
1982,2,3,4,67,-3.8246
1982,2,3,5,77,-3.2149
1982,3,1,1,113,-0.5328
1982,3,1,2,133,-3.2720
1982,3,1,3,129,-1.6256
1982,3,1,4,132,-0.5418
1982,3,1,5,208,-1.1799
1982,3,2,1,42,-1.6062
1982,3,2,2,55,-2.0953
1982,3,2,3,55,-2.5171
1982,3,2,4,55,-1.5538
1982,3,2,5,47,2.4926
1982,3,3,1,66,-0.9984
1982,3,3,2,68,-1.7403
1982,3,3,3,54,-2.7328
1982,3,3,4,67,-0.2917
1982,3,3,5,77,-1.8163
1982,4,1,1,112,7.3772
1982,4,1,2,132,4.9680
1982,4,1,3,130,4.1008
1982,4,1,4,131,5.7629
1982,4,1,5,205,9.7846
1982,4,2,1,42,5.7793
1982,4,2,2,55,6.3306
1982,4,2,3,55,6.1322
1982,4,2,4,55,5.7166
1982,4,2,5,46,8.2124
1982,4,3,1,65,2.1611
1982,4,3,2,68,2.6847
1982,4,3,3,54,5.1206
1982,4,3,4,66,4.9059
1982,4,3,5,76,5.5202
1982,5,1,1,111,-2.5421
1982,5,1,2,132,-1.9025
1982,5,1,3,126,-1.5347
1982,5,1,4,130,-0.4756
1982,5,1,5,204,-2.3462
1982,5,2,1,42,-3.1721
1982,5,2,2,55,-3.5608
1982,5,2,3,54,-5.5617
1982,5,2,4,55,-3.5233
1982,5,2,5,46,-4.7651
1982,5,3,1,65,1.0689
1982,5,3,2,68,-1.7591
1982,5,3,3,54,-4.7921
1982,5,3,4,66,-5.1358
1982,5,3,5,75,-2.9687
1982,6,1,1,111,-3.0329
1982,6,1,2,132,-2.2720
1982,6,1,3,126,-2.8017
1982,6,1,4,131,-2.5418
1982,6,1,5,204,-3.0220
1982,6,2,1,41,0.0687
1982,6,2,2,55,-2.3894
1982,6,2,3,54,-3.7548
1982,6,2,4,55,-0.7007
1982,6,2,5,46,-2.9706
1982,6,3,1,64,-4.0918
1982,6,3,2,68,-3.8926
1982,6,3,3,54,-1.8819
1982,6,3,4,66,0.8638
1982,6,3,5,75,-1.2138
1982,7,1,1,138,-0.3672
1982,7,1,2,152,-1.8911
1982,7,1,3,157,-2.7276
1982,7,1,4,179,-0.5616
1982,7,1,5,224,-1.4633
1982,7,2,1,48,-2.1655
1982,7,2,2,46,2.6867
1982,7,2,3,57,-2.2535
1982,7,2,4,44,-2.0276
1982,7,2,5,66,-1.8724
1982,7,3,1,61,-4.6420
1982,7,3,2,70,-5.8786
1982,7,3,3,57,-3.1806
1982,7,3,4,72,-0.0004
1982,7,3,5,70,1.3586
1982,8,1,1,138,5.3252
1982,8,1,2,151,4.3205
1982,8,1,3,156,5.2213
1982,8,1,4,177,5.6859
1982,8,1,5,219,5.2792
1982,8,2,1,47,7.9742
1982,8,2,2,46,9.0049
1982,8,2,3,57,10.1304
1982,8,2,4,43,8.3135
1982,8,2,5,66,11.1961
1982,8,3,1,59,10.9742
1982,8,3,2,69,13.3279
1982,8,3,3,56,13.5009
1982,8,3,4,72,14.4522
1982,8,3,5,70,13.6039
1982,9,1,1,137,2.6466
1982,9,1,2,150,7.0584
1982,9,1,3,156,5.4402
1982,9,1,4,178,3.1870
1982,9,1,5,217,6.1835
1982,9,2,1,47,0.7466
1982,9,2,2,45,3.3569
1982,9,2,3,57,1.5847
1982,9,2,4,43,2.3152
1982,9,2,5,66,3.0029
1982,9,3,1,61,1.8256
1982,9,3,2,68,-1.6624
1982,9,3,3,55,0.4442
1982,9,3,4,72,-1.1833
1982,9,3,5,70,-0.0863
1982,10,1,1,136,13.6334
1982,10,1,2,149,10.4572
1982,10,1,3,154,16.1096
1982,10,1,4,178,16.1585
1982,10,1,5,216,17.8894
1982,10,2,1,47,13.0603
1982,10,2,2,44,14.6940
1982,10,2,3,57,12.7250
1982,10,2,4,42,12.2869
1982,10,2,5,66,18.1243
1982,10,3,1,61,5.9661
1982,10,3,2,68,10.2601
1982,10,3,3,54,13.5116
1982,10,3,4,72,13.2879
1982,10,3,5,70,12.7870
1982,11,1,1,136,11.9166
1982,11,1,2,149,12.9887
1982,11,1,3,154,13.7101
1982,11,1,4,176,9.9992
1982,11,1,5,213,13.1057
1982,11,2,1,47,7.8214
1982,11,2,2,44,11.4750
1982,11,2,3,57,6.1695
1982,11,2,4,42,9.3363
1982,11,2,5,65,13.7624
1982,11,3,1,61,0.2695
1982,11,3,2,68,0.8560
1982,11,3,3,54,5.1317
1982,11,3,4,72,6.6871
1982,11,3,5,70,7.5866
1982,12,1,1,134,3.5800
1982,12,1,2,150,-0.2042
1982,12,1,3,153,2.5067
1982,12,1,4,175,3.6825
1982,12,1,5,210,2.3073
1982,12,2,1,47,-1.6531
1982,12,2,2,44,1.2550
1982,12,2,3,57,1.9428
1982,12,2,4,42,2.4863
1982,12,2,5,66,-0.9900
1982,12,3,1,61,2.1143
1982,12,3,2,68,5.4318
1982,12,3,3,54,-1.4865
1982,12,3,4,72,-0.5594
1982,12,3,5,70,2.9571
1983,1,1,1,135,6.9762
1983,1,1,2,149,10.7369
1983,1,1,3,153,12.6899
1983,1,1,4,175,13.3113
1983,1,1,5,208,12.5176
1983,1,2,1,47,5.0206
1983,1,2,2,44,4.0242
1983,1,2,3,57,9.5325
1983,1,2,4,41,9.1541
1983,1,2,5,65,16.6183
1983,1,3,1,60,8.2102
