year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1977,7,1,1,71,0.2768
1977,7,1,2,64,-0.1257
1977,7,1,3,58,-0.0234
1977,7,1,4,61,-0.3038
1977,7,1,5,72,-3.4329
1977,7,2,1,36,-0.2348
1977,7,2,2,33,-1.3852
1977,7,2,3,27,-0.0551
1977,7,2,4,28,-2.9951
1977,7,2,5,31,-1.7099
1977,7,3,1,51,-3.7062
1977,7,3,2,44,-2.5517
1977,7,3,3,53,-2.0498
1977,7,3,4,53,-3.4156
1977,7,3,5,57,-2.3058
1977,8,1,1,69,-1.0927
1977,8,1,2,53,-2.1969
1977,8,1,3,60,-2.8528
1977,8,1,4,63,-4.0655
1977,8,1,5,83,-1.7291
1977,8,2,1,38,-3.1044
1977,8,2,2,25,-2.1931
1977,8,2,3,30,-2.0835
1977,8,2,4,26,-0.2328
1977,8,2,5,32,-1.9856
1977,8,3,1,49,-2.4370
1977,8,3,2,58,-4.2603
1977,8,3,3,52,1.7771
1977,8,3,4,58,0.0532
1977,8,3,5,42,-2.1347
1977,9,1,1,55,1.3263
1977,9,1,2,53,-0.1823
1977,9,1,3,64,-1.9318
1977,9,1,4,63,0.7330
1977,9,1,5,90,2.0039
1977,9,2,1,30,2.4101
1977,9,2,2,36,2.7438
1977,9,2,3,31,3.5155
1977,9,2,4,26,-0.5219
1977,9,2,5,32,0.3624
1977,9,3,1,63,0.1458
1977,9,3,2,47,0.1515
1977,9,3,3,41,-1.3348
1977,9,3,4,58,-1.3630
1977,9,3,5,49,-1.4474
1977,10,1,1,80,-3.3778
1977,10,1,2,50,-4.6894
1977,10,1,3,60,-2.6068
1977,10,1,4,63,-1.6258
1977,10,1,5,74,-2.9224
1977,10,2,1,35,-1.8950
1977,10,2,2,30,-1.1770
1977,10,2,3,27,-2.5770
1977,10,2,4,31,-3.0433
1977,10,2,5,26,-2.6763
1977,10,3,1,41,-2.1321
1977,10,3,2,55,-3.6557
1977,10,3,3,55,-4.8150
1977,10,3,4,53,-4.5260
1977,10,3,5,56,-4.9234
1977,11,1,1,76,7.0880
1977,11,1,2,61,8.4164
1977,11,1,3,59,8.9785
1977,11,1,4,64,7.4358
1977,11,1,5,67,10.8433
1977,11,2,1,31,8.0432
1977,11,2,2,24,9.5733
1977,11,2,3,27,4.4759
1977,11,2,4,30,8.9354
1977,11,2,5,38,7.4638
1977,11,3,1,54,3.3328
1977,11,3,2,60,4.8879
1977,11,3,3,52,5.2295
1977,11,3,4,53,4.8443
1977,11,3,5,39,5.7050
1977,12,1,1,38,5.7618
1977,12,1,2,69,0.4437
1977,12,1,3,69,3.4881
1977,12,1,4,89,1.3027
1977,12,1,5,67,2.5626
1977,12,2,1,21,-1.6794
1977,12,2,2,25,1.2395
1977,12,2,3,29,-0.1973
1977,12,2,4,39,2.9228
1977,12,2,5,33,3.6037
1977,12,3,1,68,-0.7346
1977,12,3,2,49,1.4157
1977,12,3,3,50,-0.0454
1977,12,3,4,43,1.2021
1977,12,3,5,48,1.0911
1978,1,1,1,68,-1.9003
1978,1,1,2,84,-2.2808
1978,1,1,3,56,0.2416
1978,1,1,4,67,-0.0819
1978,1,1,5,55,-4.7508
1978,1,2,1,39,-1.7526
1978,1,2,2,29,-5.4095
1978,1,2,3,27,-4.4006
1978,1,2,4,30,-2.7477
1978,1,2,5,24,-4.7705
1978,1,3,1,40,-7.4186
1978,1,3,2,54,-5.8228
1978,1,3,3,53,-5.8158
1978,1,3,4,48,-7.5230
1978,1,3,5,63,-7.0359
1978,2,1,1,79,3.0138
1978,2,1,2,62,1.5860
1978,2,1,3,73,1.1096
1978,2,1,4,57,4.0282
1978,2,1,5,55,3.6374
1978,2,2,1,31,2.2392
1978,2,2,2,22,3.5487
1978,2,2,3,30,2.2469
1978,2,2,4,36,1.3687
1978,2,2,5,33,-0.2826
1978,2,3,1,49,-1.5826
1978,2,3,2,63,-2.5814
1978,2,3,3,51,-2.0379
1978,2,3,4,46,0.5134
1978,2,3,5,47,-3.1190
1978,3,1,1,52,4.3550
1978,3,1,2,86,6.4659
1978,3,1,3,57,9.3103
1978,3,1,4,67,8.1136
1978,3,1,5,68,7.4240
1978,3,2,1,20,5.0684
1978,3,2,2,34,5.5542
1978,3,2,3,29,7.1543
1978,3,2,4,28,6.4296
1978,3,2,5,36,8.3693
1978,3,3,1,64,2.4922
1978,3,3,2,43,2.1745
1978,3,3,3,54,4.3639
1978,3,3,4,51,5.5611
1978,3,3,5,45,4.3963
1978,4,1,1,69,7.6093
1978,4,1,2,53,10.4444
1978,4,1,3,70,8.4224
1978,4,1,4,60,8.1360
1978,4,1,5,78,8.8821
1978,4,2,1,31,7.6378
1978,4,2,2,30,6.2950
1978,4,2,3,29,9.8675
1978,4,2,4,34,9.8462
1978,4,2,5,23,8.4851
1978,4,3,1,57,8.0045
1978,4,3,2,53,10.9283
1978,4,3,3,48,10.0177
1978,4,3,4,50,10.7388
1978,4,3,5,48,11.5303
1978,5,1,1,51,4.9422
1978,5,1,2,64,11.8210
1978,5,1,3,74,5.4095
1978,5,1,4,53,7.4880
1978,5,1,5,89,8.9423
1978,5,2,1,22,6.6891
1978,5,2,2,32,5.1342
1978,5,2,3,36,6.1989
1978,5,2,4,29,7.8623
1978,5,2,5,29,5.9703
1978,5,3,1,60,1.9519
1978,5,3,2,44,0.9941
1978,5,3,3,45,2.9245
1978,5,3,4,62,4.2639
1978,5,3,5,47,4.5735
1978,6,1,1,40,1.3917
1978,6,1,2,42,-0.2150
1978,6,1,3,89,0.5670
1978,6,1,4,80,-0.5951
1978,6,1,5,79,-1.5092
1978,6,2,1,32,-2.4484
1978,6,2,2,25,2.6157
1978,6,2,3,29,-3.7124
1978,6,2,4,29,-2.3790
1978,6,2,5,33,4.2358
1978,6,3,1,59,-3.1942
1978,6,3,2,58,-1.2737
1978,6,3,3,42,0.4362
1978,6,3,4,55,-2.0486
1978,6,3,5,45,-1.4145
1978,7,1,1,145,4.9841
1978,7,1,2,119,4.5445
1978,7,1,3,100,6.1868
1978,7,1,4,130,4.7244
1978,7,1,5,129,5.9486
1978,7,2,1,55,3.0592
1978,7,2,2,38,6.4520
1978,7,2,3,57,7.2160
1978,7,2,4,47,7.4405
1978,7,2,5,42,6.6943
1978,7,3,1,81,4.5262
1978,7,3,2,67,5.6511
1978,7,3,3,78,7.9514
1978,7,3,4,68,5.8872
1978,7,3,5,91,7.5305
1978,8,1,1,106,9.8497
1978,8,1,2,125,7.0092
1978,8,1,3,110,10.2234
1978,8,1,4,115,10.0969
1978,8,1,5,167,11.9699
1978,8,2,1,44,8.1525
1978,8,2,2,47,6.8795
1978,8,2,3,48,9.0639
1978,8,2,4,55,7.1626
1978,8,2,5,52,10.1782
1978,8,3,1,92,4.5005
1978,8,3,2,75,5.6005
1978,8,3,3,73,4.3322
1978,8,3,4,71,1.5712
1978,8,3,5,69,4.3866
1978,9,1,1,78,0.2932
