year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1967,12,2,1,330,6.9944
1967,12,2,2,327,8.4651
1967,12,2,3,357,7.1009
1967,12,2,4,353,6.2896
1967,12,2,5,224,8.6888
1967,12,3,1,511,3.2932
1967,12,3,2,419,3.1402
1967,12,3,3,448,2.3466
1967,12,3,4,473,2.5396
1967,12,3,5,282,2.0925
1968,1,1,1,569,2.9645
1968,1,1,2,656,2.8106
1968,1,1,3,664,4.2790
1968,1,1,4,763,3.2894
1968,1,1,5,394,3.6438
1968,1,2,1,342,-1.2056
1968,1,2,2,351,-1.3688
1968,1,2,3,354,-0.3884
1968,1,2,4,382,-1.7678
1968,1,2,5,197,-0.9955
1968,1,3,1,508,-4.8291
1968,1,3,2,442,-4.4769
1968,1,3,3,438,-2.6885
1968,1,3,4,516,-3.7685
1968,1,3,5,231,-7.5638
1968,2,1,1,536,-6.9156
1968,2,1,2,603,-6.7918
1968,2,1,3,650,-6.2787
1968,2,1,4,696,-5.5648
1968,2,1,5,420,-7.4330
1968,2,2,1,322,-4.6620
1968,2,2,2,337,-5.5219
1968,2,2,3,343,-4.9494
1968,2,2,4,342,-4.3469
1968,2,2,5,220,-7.1019
1968,2,3,1,486,-3.6125
1968,2,3,2,451,-3.4310
1968,2,3,3,427,-2.8204
1968,2,3,4,492,-2.7998
1968,2,3,5,333,-3.1194
1968,3,1,1,661,-1.9442
1968,3,1,2,533,-1.9932
1968,3,1,3,611,-1.2159
1968,3,1,4,720,-1.1727
1968,3,1,5,419,-1.7592
1968,3,2,1,357,-1.9361
1968,3,2,2,295,-1.8595
1968,3,2,3,324,-1.3158
1968,3,2,4,358,-0.3387
1968,3,2,5,230,-0.2219
1968,3,3,1,495,0.9014
1968,3,3,2,347,1.5836
1968,3,3,3,401,-0.5393
1968,3,3,4,501,0.3641
1968,3,3,5,353,2.3399
1968,4,1,1,631,15.8160
1968,4,1,2,548,15.1454
1968,4,1,3,618,15.0181
1968,4,1,4,731,17.5017
1968,4,1,5,427,16.6003
1968,4,2,1,338,14.3860
1968,4,2,2,307,14.5085
1968,4,2,3,329,13.5614
1968,4,2,4,364,14.5322
1968,4,2,5,230,14.7014
1968,4,3,1,489,9.2900
1968,4,3,2,381,9.4783
1968,4,3,3,398,10.0100
1968,4,3,4,504,7.3390
1968,4,3,5,352,10.4696
1968,5,1,1,597,11.2774
1968,5,1,2,562,11.3988
1968,5,1,3,483,11.5001
1968,5,1,4,703,13.0643
1968,5,1,5,409,13.2977
1968,5,2,1,323,6.9328
1968,5,2,2,302,7.3005
1968,5,2,3,284,6.7819
1968,5,2,4,345,6.7352
1968,5,2,5,221,5.8825
1968,5,3,1,464,1.6001
1968,5,3,2,376,1.9831
1968,5,3,3,334,2.1464
1968,5,3,4,488,0.8262
1968,5,3,5,342,3.7229
1968,6,1,1,583,0.1229
1968,6,1,2,621,-0.0078
1968,6,1,3,472,0.4598
1968,6,1,4,647,1.4550
1968,6,1,5,401,0.6311
1968,6,2,1,317,0.2931
1968,6,2,2,346,0.2955
1968,6,2,3,263,0.3887
1968,6,2,4,306,-0.8307
1968,6,2,5,215,0.9210
1968,6,3,1,459,0.8087
1968,6,3,2,489,0.5836
1968,6,3,3,366,1.1531
1968,6,3,4,379,1.0132
1968,6,3,5,342,0.4378
1968,7,1,1,550,-3.2886
1968,7,1,2,603,-3.7433
1968,7,1,3,452,-3.7926
1968,7,1,4,665,-3.7656
1968,7,1,5,393,-1.8670
1968,7,2,1,302,-4.7329
1968,7,2,2,334,-3.9142
1968,7,2,3,237,-3.3713
1968,7,2,4,305,-3.4405
1968,7,2,5,217,-1.9011
1968,7,3,1,432,-2.9380
1968,7,3,2,484,-1.7308
1968,7,3,3,300,-2.1421
1968,7,3,4,376,-2.6059
1968,7,3,5,343,-2.7774
1968,8,1,1,567,3.1103
1968,8,1,2,547,3.6913
1968,8,1,3,615,4.7667
1968,8,1,4,663,5.7113
1968,8,1,5,358,5.8356
1968,8,2,1,300,2.2986
1968,8,2,2,299,2.8384
1968,8,2,3,317,3.8418
1968,8,2,4,297,4.9544
1968,8,2,5,210,4.4423
1968,8,3,1,437,0.9741
1968,8,3,2,426,1.9319
1968,8,3,3,397,2.3523
1968,8,3,4,347,1.7598
1968,8,3,5,362,1.2941
1968,9,1,1,454,6.2569
1968,9,1,2,527,6.3801
1968,9,1,3,576,6.9891
1968,9,1,4,694,6.4309
1968,9,1,5,364,9.1609
1968,9,2,1,268,5.9285
1968,9,2,2,285,6.0807
1968,9,2,3,320,6.7017
1968,9,2,4,291,7.0840
1968,9,2,5,201,6.7462
1968,9,3,1,381,3.4110
1968,9,3,2,398,4.3309
1968,9,3,3,394,4.8410
1968,9,3,4,353,5.1180
1968,9,3,5,343,3.4048
1968,10,1,1,513,-1.0564
1968,10,1,2,551,-0.8205
1968,10,1,3,571,1.0970
1968,10,1,4,676,1.3768
1968,10,1,5,363,-1.0606
1968,10,2,1,284,0.8266
1968,10,2,2,290,0.8137
1968,10,2,3,313,0.6408
1968,10,2,4,308,1.2101
1968,10,2,5,208,0.7332
1968,10,3,1,386,-0.5087
1968,10,3,2,402,1.9991
1968,10,3,3,373,1.6932
1968,10,3,4,382,1.5432
1968,10,3,5,356,0.8789
1968,11,1,1,527,7.1541
1968,11,1,2,511,6.8447
1968,11,1,3,581,6.9822
1968,11,1,4,664,7.7354
1968,11,1,5,415,6.9427
1968,11,2,1,283,8.0562
1968,11,2,2,253,9.3539
1968,11,2,3,323,7.2469
1968,11,2,4,340,7.8390
1968,11,2,5,234,7.6588
1968,11,3,1,398,6.4915
1968,11,3,2,346,4.6015
1968,11,3,3,380,5.7521
1968,11,3,4,444,4.7294
1968,11,3,5,376,5.9431
1968,12,1,1,549,2.6134
1968,12,1,2,545,2.8203
1968,12,1,3,660,1.6254
1968,12,1,4,646,1.8217
1968,12,1,5,453,3.7522
1968,12,2,1,296,-1.1163
1968,12,2,2,252,-1.1394
1968,12,2,3,357,-1.4538
1968,12,2,4,332,-1.6404
1968,12,2,5,242,-0.7683
1968,12,3,1,422,-3.7186
1968,12,3,2,292,-3.5024
1968,12,3,3,475,-4.2570
1968,12,3,4,436,-4.0017
1968,12,3,5,387,-3.6009
1969,1,1,1,517,-1.3021
1969,1,1,2,557,-0.2068
1969,1,1,3,682,-0.3515
1969,1,1,4,654,-0.5637
1969,1,1,5,409,-0.7322
1969,1,2,1,271,-1.7870
1969,1,2,2,272,-1.2777
1969,1,2,3,358,-0.3590
1969,1,2,4,338,-1.2247
1969,1,2,5,233,-1.3439
1969,1,3,1,403,-1.8812
1969,1,3,2,310,-0.5395
1969,1,3,3,445,0.2885
1969,1,3,4,441,-0.4968
1969,1,3,5,382,-1.5857
1969,2,1,1,510,-10.8356
1969,2,1,2,558,-9.6487
1969,2,1,3,684,-9.9875
1969,2,1,4,651,-9.6265
1969,2,1,5,451,-10.7916
1969,2,2,1,266,-8.3040
1969,2,2,2,275,-8.9048
1969,2,2,3,357,-8.0138
1969,2,2,4,359,-8.1888
1969,2,2,5,231,-10.1061
1969,2,3,1,383,-4.2378
1969,2,3,2,325,-5.2627
1969,2,3,3,417,-5.1475
1969,2,3,4,465,-4.8340
1969,2,3,5,337,-4.9217
1969,3,1,1,627,1.8408
1969,3,1,2,528,2.2084
1969,3,1,3,659,2.6605
1969,3,1,4,662,1.6484
1969,3,1,5,546,1.9331
1969,3,2,1,299,2.2046
1969,3,2,2,281,2.5940
1969,3,2,3,342,2.2055
1969,3,2,4,368,1.4334
1969,3,2,5,256,3.0450
1969,3,3,1,426,3.0145
1969,3,3,2,332,3.9306
1969,3,3,3,421,1.8283
1969,3,3,4,482,3.1420
1969,3,3,5,361,4.2933
1969,4,1,1,573,-0.5594
1969,4,1,2,727,-0.6954
1969,4,1,3,671,-0.8010
1969,4,1,4,621,-0.5568
1969,4,1,5,557,-0.9162
1969,4,2,1,257,0.4694
1969,4,2,2,372,0.9314
1969,4,2,3,352,0.3662
1969,4,2,4,345,0.0436
1969,4,2,5,269,1.7100
1969,4,3,1,331,2.4765
1969,4,3,2,479,2.1020
1969,4,3,3,461,2.9640
1969,4,3,4,450,1.2488
1969,4,3,5,364,2.4436
1969,5,1,1,586,-0.4425
1969,5,1,2,706,0.2363
1969,5,1,3,602,1.7549
1969,5,1,4,657,0.7194
1969,5,1,5,575,2.6335
1969,5,2,1,265,-0.9365
1969,5,2,2,371,-0.0586
1969,5,2,3,320,0.9091
1969,5,2,4,353,-0.2950
1969,5,2,5,276,1.2918
1969,5,3,1,340,0.5218
1969,5,3,2,469,0.4246
1969,5,3,3,438,0.0959
1969,5,3,4,465,0.5055
1969,5,3,5,359,-0.5716
1969,6,1,1,582,-13.0179
1969,6,1,2,717,-12.7986
1969,6,1,3,550,-13.4693
1969,6,1,4,617,-12.9563
1969,6,1,5,580,-13.6443
1969,6,2,1,265,-11.7881
1969,6,2,2,381,-11.4474
1969,6,2,3,330,-11.5894
1969,6,2,4,337,-10.6456
1969,6,2,5,280,-11.7291
1969,6,3,1,337,-5.6412
1969,6,3,2,481,-6.4277
1969,6,3,3,424,-7.0303
1969,6,3,4,418,-6.1420
1969,6,3,5,364,-5.8849
1969,7,1,1,580,-11.4445
1969,7,1,2,655,-11.7709
1969,7,1,3,609,-11.5543
1969,7,1,4,627,-10.7870
1969,7,1,5,514,-11.3885
1969,7,2,1,257,-9.5167
1969,7,2,2,358,-10.2585
1969,7,2,3,353,-9.3082
1969,7,2,4,341,-8.6270
1969,7,2,5,287,-9.0972
1969,7,3,1,320,-6.1902
1969,7,3,2,445,-6.2768
1969,7,3,3,439,-6.8365
1969,7,3,4,438,-5.3497
1969,7,3,5,417,-5.3173
1969,8,1,1,581,4.2946
1969,8,1,2,719,5.2933
1969,8,1,3,686,4.5079
1969,8,1,4,652,4.2917
1969,8,1,5,449,4.1641
1969,8,2,1,258,5.9604
1969,8,2,2,392,6.7365
1969,8,2,3,385,6.4406
1969,8,2,4,358,6.2716
1969,8,2,5,236,6.3275
1969,8,3,1,345,5.3438
1969,8,3,2,462,5.3875
1969,8,3,3,498,4.4988
1969,8,3,4,452,3.1582
1969,8,3,5,350,5.3738
1969,9,1,1,511,-3.8311
1969,9,1,2,717,-3.1925
1969,9,1,3,680,-3.2192
1969,9,1,4,713,-2.5414
1969,9,1,5,457,-2.9448
1969,9,2,1,262,-1.2403
1969,9,2,2,387,-0.5261
1969,9,2,3,375,-0.6979
1969,9,2,4,378,0.3894
1969,9,2,5,243,-0.9522
1969,9,3,1,397,-2.6622
1969,9,3,2,465,-3.2433
1969,9,3,3,498,-2.9797
1969,9,3,4,510,-1.7573
1969,9,3,5,366,-1.5671
1969,10,1,1,517,9.5941
1969,10,1,2,703,9.9908
1969,10,1,3,747,10.2060
1969,10,1,4,744,10.4703
1969,10,1,5,459,12.1745
1969,10,2,1,272,7.0368
1969,10,2,2,340,6.9839
1969,10,2,3,399,7.9534
1969,10,2,4,389,8.2624
1969,10,2,5,247,8.7637
1969,10,3,1,390,4.9222
1969,10,3,2,387,4.7655
1969,10,3,3,496,4.7360
1969,10,3,4,531,5.4429
1969,10,3,5,373,5.8399
1969,11,1,1,506,-7.5939
1969,11,1,2,711,-6.9813
1969,11,1,3,725,-6.6191
1969,11,1,4,740,-6.7313
1969,11,1,5,456,-6.8964
