year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1980,6,1,5,252,4.4019
1980,6,2,1,82,2.6308
1980,6,2,2,73,3.3727
1980,6,2,3,67,6.3104
1980,6,2,4,79,5.7794
1980,6,2,5,72,5.6107
1980,6,3,1,62,4.9303
1980,6,3,2,56,2.7581
1980,6,3,3,63,3.9535
1980,6,3,4,59,6.2528
1980,6,3,5,59,7.3450
1980,7,1,1,285,13.9566
1980,7,1,2,249,10.9325
1980,7,1,3,249,14.1879
1980,7,1,4,250,12.8851
1980,7,1,5,277,13.3193
1980,7,2,1,82,11.9665
1980,7,2,2,80,10.5953
1980,7,2,3,68,8.8478
1980,7,2,4,82,10.4935
1980,7,2,5,84,10.5924
1980,7,3,1,63,10.5306
1980,7,3,2,60,9.5214
1980,7,3,3,65,9.3281
1980,7,3,4,60,8.3839
1980,7,3,5,61,10.2486
1980,8,1,1,303,9.6948
1980,8,1,2,265,8.4246
1980,8,1,3,270,9.0543
1980,8,1,4,252,8.4855
1980,8,1,5,307,11.4143
1980,8,2,1,87,6.7097
1980,8,2,2,83,6.9085
1980,8,2,3,73,6.6964
1980,8,2,4,80,7.1465
1980,8,2,5,89,7.1467
1980,8,3,1,66,2.3370
1980,8,3,2,64,2.8625
1980,8,3,3,66,2.0760
1980,8,3,4,60,3.5318
1980,8,3,5,67,3.2989
1980,9,1,1,291,4.4646
1980,9,1,2,266,5.1061
1980,9,1,3,273,4.3982
1980,9,1,4,261,3.5985
1980,9,1,5,314,5.3541
1980,9,2,1,85,5.0022
1980,9,2,2,86,3.7957
1980,9,2,3,83,3.5246
1980,9,2,4,82,4.8868
1980,9,2,5,93,4.3530
1980,9,3,1,68,5.3734
1980,9,3,2,64,3.5211
1980,9,3,3,67,2.1510
1980,9,3,4,62,2.3727
1980,9,3,5,68,7.4921
1980,10,1,1,290,5.2354
1980,10,1,2,264,4.7039
1980,10,1,3,268,4.7396
1980,10,1,4,274,5.8005
1980,10,1,5,304,6.8631
1980,10,2,1,85,4.1699
1980,10,2,2,87,3.6300
1980,10,2,3,82,2.8286
1980,10,2,4,89,3.4679
1980,10,2,5,92,7.1672
1980,10,3,1,67,3.5626
1980,10,3,2,63,1.2297
1980,10,3,3,64,1.4323
