year,month,rank_ME,rank_R6_12,nstocks,ret_vw
1967,1,1,1,405,24.5301
1967,1,1,2,196,19.5513
1967,1,1,3,126,17.8493
1967,1,1,4,91,13.2951
1967,1,1,5,72,14.5389
1967,1,2,1,94,21.9568
1967,1,2,2,79,16.2502
1967,1,2,3,78,15.6739
1967,1,2,4,72,11.9852
1967,1,2,5,73,12.1404
1967,1,3,1,68,13.2797
1967,1,3,2,94,13.5720
1967,1,3,3,121,7.1884
1967,1,3,4,155,6.0433
1967,1,3,5,169,5.8743
1967,2,1,1,501,4.2774
1967,2,1,2,283,4.5241
1967,2,1,3,200,5.6207
1967,2,1,4,157,5.9547
1967,2,1,5,118,8.0862
1967,2,2,1,133,1.1331
1967,2,2,2,134,2.0478
1967,2,2,3,125,2.3978
1967,2,2,4,107,2.1307
1967,2,2,5,96,4.2372
1967,2,3,1,89,1.0636
1967,2,3,2,150,-1.0660
1967,2,3,3,199,-0.0478
1967,2,3,4,243,1.1829
1967,2,3,5,223,2.0974
1967,3,1,1,556,5.4081
1967,3,1,2,377,6.9267
1967,3,1,3,298,7.7083
1967,3,1,4,229,8.0052
1967,3,1,5,194,8.9601
1967,3,2,1,160,6.0020
1967,3,2,2,184,5.9691
1967,3,2,3,170,4.6839
1967,3,2,4,149,7.1682
1967,3,2,5,139,7.3894
1967,3,3,1,129,3.7420
1967,3,3,2,216,5.5001
1967,3,3,3,275,4.3322
1967,3,3,4,322,3.5635
1967,3,3,5,260,4.7638
1967,4,1,1,589,3.3541
1967,4,1,2,443,3.6133
1967,4,1,3,383,4.2581
1967,4,1,4,332,6.0564
1967,4,1,5,298,7.2960
1967,4,2,1,179,2.7191
1967,4,2,2,214,2.8382
1967,4,2,3,201,2.8880
1967,4,2,4,190,4.6921
1967,4,2,5,167,4.1365
1967,4,3,1,162,6.3985
1967,4,3,2,271,6.1340
1967,4,3,3,348,2.0231
1967,4,3,4,358,2.9325
1967,4,3,5,284,6.0032
1967,5,1,1,617,-0.4142
1967,5,1,2,498,0.9106
1967,5,1,3,444,0.2112
1967,5,1,4,407,-0.1875
1967,5,1,5,354,-0.9491
1967,5,2,1,203,-1.9845
1967,5,2,2,235,-1.4605
1967,5,2,3,221,-1.5937
1967,5,2,4,225,-1.2233
1967,5,2,5,196,-1.5489
1967,5,3,1,212,-5.4781
1967,5,3,2,329,-4.9636
1967,5,3,3,386,-3.6106
1967,5,3,4,396,-3.8859
1967,5,3,5,309,-3.7529
1967,6,1,1,624,8.6253
1967,6,1,2,533,8.0469
1967,6,1,3,511,9.1420
1967,6,1,4,468,11.8945
1967,6,1,5,409,17.7431
1967,6,2,1,219,4.6550
1967,6,2,2,252,6.3116
1967,6,2,3,259,5.8326
1967,6,2,4,250,6.8576
1967,6,2,5,218,10.6834
1967,6,3,1,270,1.0537
1967,6,3,2,370,1.1866
1967,6,3,3,422,1.2332
1967,6,3,4,430,2.9088
1967,6,3,5,318,4.5901
1967,7,1,1,632,9.9112
1967,7,1,2,565,9.7158
1967,7,1,3,554,9.4193
1967,7,1,4,524,10.3805
1967,7,1,5,468,6.9252
1967,7,2,1,229,7.6528
1967,7,2,2,268,7.6116
1967,7,2,3,278,7.6421
1967,7,2,4,281,7.3772
1967,7,2,5,257,7.2324
1967,7,3,1,300,5.7502
1967,7,3,2,391,5.4832
1967,7,3,3,460,3.8938
1967,7,3,4,448,3.7553
1967,7,3,5,338,5.2880
1967,8,1,1,641,1.1093
1967,8,1,2,583,0.7458
1967,8,1,3,582,1.1932
1967,8,1,4,584,0.4522
1967,8,1,5,531,-0.7778
1967,8,2,1,241,-0.1224
1967,8,2,2,283,0.7716
1967,8,2,3,300,0.2736
1967,8,2,4,301,-0.3135
1967,8,2,5,275,-1.2730
1967,8,3,1,319,-0.4598
1967,8,3,2,421,-0.3766
1967,8,3,3,479,-0.6274
1967,8,3,4,462,-0.9744
1967,8,3,5,349,-1.1696
1967,9,1,1,654,8.2051
1967,9,1,2,607,6.6676
1967,9,1,3,613,7.7103
1967,9,1,4,623,8.5835
1967,9,1,5,573,9.6045
1967,9,2,1,249,3.5817
1967,9,2,2,296,4.0195
1967,9,2,3,313,4.0415
1967,9,2,4,319,4.4997
1967,9,2,5,290,6.6022
1967,9,3,1,336,4.1705
1967,9,3,2,441,2.3838
1967,9,3,3,502,2.6463
1967,9,3,4,480,3.8538
1967,9,3,5,362,3.2094
1967,10,1,1,680,-2.1472
1967,10,1,2,635,-2.3852
1967,10,1,3,643,-2.3039
1967,10,1,4,642,-1.8529
1967,10,1,5,595,-0.9457
1967,10,2,1,260,-3.3547
1967,10,2,2,314,-2.6758
1967,10,2,3,320,-2.8919
1967,10,2,4,334,-2.3971
1967,10,2,5,301,-1.9352
1967,10,3,1,346,-4.2026
1967,10,3,2,452,-3.8465
1967,10,3,3,511,-3.1717
1967,10,3,4,494,-1.4042
1967,10,3,5,377,-0.2098
1967,11,1,1,693,-0.3337
1967,11,1,2,654,0.0643
1967,11,1,3,660,0.0785
1967,11,1,4,682,-0.1438
1967,11,1,5,638,0.2461
1967,11,2,1,274,0.6137
1967,11,2,2,329,0.8286
1967,11,2,3,337,0.8759
1967,11,2,4,340,0.8404
1967,11,2,5,321,2.2135
1967,11,3,1,364,0.1749
1967,11,3,2,470,-0.4931
1967,11,3,3,526,0.5679
1967,11,3,4,514,1.7048
1967,11,3,5,390,1.8318
1967,12,1,1,706,8.8314
1967,12,1,2,671,8.2061
1967,12,1,3,684,8.6054
1967,12,1,4,698,9.5927
1967,12,1,5,671,13.6058
1967,12,2,1,287,5.9596
1967,12,2,2,343,6.0998
1967,12,2,3,350,5.7623
1967,12,2,4,354,5.6439
1967,12,2,5,339,8.6276
1967,12,3,1,386,2.5324
1967,12,3,2,479,2.8744
1967,12,3,3,533,2.7988
1967,12,3,4,527,2.4406
1967,12,3,5,403,3.0052
1968,1,1,1,684,4.3761
1968,1,1,2,642,4.5894
1968,1,1,3,679,3.7821
1968,1,1,4,706,3.5213
1968,1,1,5,669,1.0991
1968,1,2,1,289,0.8734
1968,1,2,2,340,1.7250
1968,1,2,3,354,0.0313
1968,1,2,4,355,-0.7343
1968,1,2,5,342,-3.7775
1968,1,3,1,388,-2.4105
1968,1,3,2,482,-3.1345
1968,1,3,3,524,-4.2760
1968,1,3,4,506,-6.3818
1968,1,3,5,391,-7.7158
1968,2,1,1,622,-6.3284
1968,2,1,2,595,-4.1670
1968,2,1,3,676,-5.0294
1968,2,1,4,704,-5.7129
1968,2,1,5,676,-9.7893
1968,2,2,1,279,-3.6275
1968,2,2,2,330,-2.4001
1968,2,2,3,339,-3.3660
1968,2,2,4,351,-5.0401
1968,2,2,5,351,-8.7571
1968,2,3,1,397,-2.5453
1968,2,3,2,477,-2.2569
1968,2,3,3,506,-2.9184
1968,2,3,4,474,-3.1610
1968,2,3,5,337,-5.6406
1968,3,1,1,565,-1.9115
1968,3,1,2,591,-1.2797
1968,3,1,3,675,-1.3611
1968,3,1,4,711,-1.3561
1968,3,1,5,719,-0.8314
1968,3,2,1,287,-2.0752
1968,3,2,2,332,-2.1438
1968,3,2,3,340,-1.1432
1968,3,2,4,355,-0.6502
