year,month,rank_ME,rank_Resid6_6,nstocks,ret_vw
1967,12,2,1,162,7.3574
1967,12,2,2,213,6.5159
1967,12,2,3,240,6.4852
1967,12,2,4,235,6.2617
1967,12,2,5,182,8.2897
1967,12,3,1,282,2.2068
1967,12,3,2,363,2.6216
1967,12,3,3,365,3.8176
1967,12,3,4,334,2.8606
1967,12,3,5,270,2.2930
1968,1,1,1,289,3.7769
1968,1,1,2,360,4.4446
1968,1,1,3,412,4.1201
1968,1,1,4,492,4.4213
1968,1,1,5,390,3.7184
1968,1,2,1,167,-0.6520
1968,1,2,2,217,0.7133
1968,1,2,3,229,-0.3963
1968,1,2,4,238,-1.0277
1968,1,2,5,182,-0.0926
1968,1,3,1,292,-7.5882
1968,1,3,2,360,-3.1643
1968,1,3,3,361,-3.2299
1968,1,3,4,333,-3.4407
1968,1,3,5,258,-3.8035
1968,2,1,1,280,-7.5012
1968,2,1,2,356,-5.9471
1968,2,1,3,404,-5.5000
1968,2,1,4,472,-5.9731
1968,2,1,5,388,-7.9434
1968,2,2,1,168,-6.0023
1968,2,2,2,222,-4.7357
1968,2,2,3,215,-3.9727
1968,2,2,4,231,-4.0952
1968,2,2,5,176,-5.1986
1968,2,3,1,296,-4.4204
1968,2,3,2,356,-2.9894
1968,2,3,3,361,-2.9075
1968,2,3,4,337,-2.5787
1968,2,3,5,254,-2.2087
1968,3,1,1,284,-2.0393
1968,3,1,2,368,-1.4385
1968,3,1,3,420,-1.7011
1968,3,1,4,479,-0.9508
1968,3,1,5,382,-0.6755
1968,3,2,1,180,-1.4287
1968,3,2,2,231,-2.1990
1968,3,2,3,228,-1.4316
1968,3,2,4,221,-1.2396
1968,3,2,5,184,-0.3223
1968,3,3,1,284,0.7096
1968,3,3,2,351,0.4770
1968,3,3,3,372,0.9906
1968,3,3,4,342,0.4875
1968,3,3,5,272,1.4222
1968,4,1,1,275,14.8405
1968,4,1,2,360,15.0681
1968,4,1,3,425,15.2003
1968,4,1,4,484,15.9502
1968,4,1,5,368,17.5620
1968,4,2,1,175,14.3698
1968,4,2,2,228,13.3685
1968,4,2,3,226,12.6612
1968,4,2,4,224,12.1693
1968,4,2,5,183,14.9427
1968,4,3,1,278,10.3677
1968,4,3,2,334,8.0329
1968,4,3,3,375,8.8061
1968,4,3,4,334,9.0646
1968,4,3,5,253,7.6500
1968,5,1,1,279,10.9975
1968,5,1,2,364,11.7535
1968,5,1,3,431,11.4139
1968,5,1,4,471,12.5186
1968,5,1,5,370,13.0344
1968,5,2,1,174,8.2453
1968,5,2,2,233,7.3327
1968,5,2,3,222,5.6909
1968,5,2,4,221,5.6142
1968,5,2,5,197,7.2335
1968,5,3,1,289,1.9881
1968,5,3,2,324,2.2131
1968,5,3,3,371,2.4430
1968,5,3,4,330,1.9354
1968,5,3,5,249,1.0692
1968,6,1,1,294,0.3190
1968,6,1,2,382,-0.1100
1968,6,1,3,436,0.4995
1968,6,1,4,455,0.7492
1968,6,1,5,362,0.0384
1968,6,2,1,182,-1.2341
1968,6,2,2,226,0.6422
1968,6,2,3,222,1.7961
1968,6,2,4,217,2.3024
1968,6,2,5,190,-0.1743
1968,6,3,1,279,-0.1672
1968,6,3,2,336,0.0386
1968,6,3,3,361,1.5205
1968,6,3,4,337,2.0385
1968,6,3,5,260,1.2329
1968,7,1,1,296,-5.1326
1968,7,1,2,371,-2.8212
1968,7,1,3,432,-3.0839
1968,7,1,4,438,-3.2682
1968,7,1,5,344,-1.1080
1968,7,2,1,177,-5.7459
1968,7,2,2,213,-4.3958
1968,7,2,3,227,-3.0300
1968,7,2,4,217,-2.1694
1968,7,2,5,177,-1.9421
1968,7,3,1,257,-4.0096
1968,7,3,2,322,-3.6091
1968,7,3,3,355,-2.4462
1968,7,3,4,329,-1.3802
1968,7,3,5,256,0.4340
1968,8,1,1,317,3.0536
1968,8,1,2,385,3.6817
1968,8,1,3,412,4.2104
1968,8,1,4,439,5.3197
1968,8,1,5,333,5.7704
1968,8,2,1,178,1.8222
1968,8,2,2,202,4.0856
1968,8,2,3,226,4.2807
1968,8,2,4,199,3.6793
1968,8,2,5,184,5.1302
1968,8,3,1,252,1.0669
1968,8,3,2,327,1.3515
1968,8,3,3,353,1.8622
1968,8,3,4,333,1.1957
1968,8,3,5,245,2.0551
1968,9,1,1,337,7.0028
1968,9,1,2,403,6.8018
1968,9,1,3,418,7.2239
1968,9,1,4,431,7.3535
1968,9,1,5,337,7.6901
1968,9,2,1,175,7.3656
1968,9,2,2,210,6.5916
1968,9,2,3,219,5.6451
1968,9,2,4,208,5.2577
1968,9,2,5,189,7.5067
1968,9,3,1,255,4.7820
1968,9,3,2,345,4.0203
1968,9,3,3,363,3.9746
1968,9,3,4,344,3.2668
1968,9,3,5,253,4.2211
1968,10,1,1,337,-0.3883
1968,10,1,2,402,1.0930
1968,10,1,3,403,0.1079
1968,10,1,4,416,0.4054
1968,10,1,5,354,0.3509
1968,10,2,1,176,0.1983
1968,10,2,2,213,2.5124
1968,10,2,3,217,2.1760
1968,10,2,4,207,1.4031
1968,10,2,5,181,0.4139
1968,10,3,1,242,2.6010
1968,10,3,2,343,1.4708
1968,10,3,3,370,0.7071
1968,10,3,4,339,0.0996
1968,10,3,5,241,0.5656
1968,11,1,1,340,6.8637
1968,11,1,2,401,7.9534
1968,11,1,3,389,6.9225
1968,11,1,4,396,7.1310
1968,11,1,5,359,7.7152
1968,11,2,1,174,8.6428
1968,11,2,2,209,7.6303
1968,11,2,3,214,8.1279
1968,11,2,4,209,7.5233
1968,11,2,5,179,7.8155
1968,11,3,1,235,5.6991
1968,11,3,2,343,5.0933
1968,11,3,3,370,5.3997
1968,11,3,4,342,6.1373
1968,11,3,5,239,5.4161
1968,12,1,1,329,3.0162
1968,12,1,2,390,3.9943
1968,12,1,3,388,2.4873
1968,12,1,4,402,3.0526
1968,12,1,5,348,1.8711
