year,month,rank_ME,rank_SUE_6,nstocks,ret_vw
1967,1,1,1,12,20.9973
1967,1,1,2,9,24.4331
1967,1,1,3,5,24.1331
1967,1,1,4,4,14.7514
1967,1,1,5,1,46.7949
1967,1,2,1,26,19.6759
1967,1,2,2,15,13.9860
1967,1,2,3,24,18.9938
1967,1,2,4,12,13.3880
1967,1,2,5,11,19.4657
1967,1,3,1,67,10.7537
1967,1,3,2,79,8.9188
1967,1,3,3,75,6.3071
1967,1,3,4,89,6.1490
1967,1,3,5,93,7.0110
1967,2,1,1,16,2.2547
1967,2,1,2,15,0.3380
1967,2,1,3,10,5.6761
1967,2,1,4,8,4.1641
1967,2,1,5,3,3.1774
1967,2,2,1,40,-0.4101
1967,2,2,2,30,1.7528
1967,2,2,3,35,1.1333
1967,2,2,4,19,1.0269
1967,2,2,5,18,-0.5321
1967,2,3,1,107,-1.4289
1967,2,3,2,125,0.2762
1967,2,3,3,127,0.9681
1967,2,3,4,150,0.8160
1967,2,3,5,134,1.9426
1967,3,1,1,16,5.1099
1967,3,1,2,15,4.9003
1967,3,1,3,11,8.9300
1967,3,1,4,9,9.1810
1967,3,1,5,3,5.5675
1967,3,2,1,44,6.8988
1967,3,2,2,30,3.5782
1967,3,2,3,38,5.9125
1967,3,2,4,22,7.0073
1967,3,2,5,19,8.6863
1967,3,3,1,115,5.2744
1967,3,3,2,134,4.3378
1967,3,3,3,136,3.7914
1967,3,3,4,156,4.1508
1967,3,3,5,139,3.8942
1967,4,1,1,19,3.2602
1967,4,1,2,15,6.5944
1967,4,1,3,12,5.1839
1967,4,1,4,9,5.1913
1967,4,1,5,3,5.2301
1967,4,2,1,47,1.9142
1967,4,2,2,33,3.1066
1967,4,2,3,40,3.6465
1967,4,2,4,24,5.0408
1967,4,2,5,21,6.2486
1967,4,3,1,116,7.4485
1967,4,3,2,136,2.0723
1967,4,3,3,140,3.5753
1967,4,3,4,159,6.0496
1967,4,3,5,142,3.0725
1967,5,1,1,23,2.5604
1967,5,1,2,18,3.0503
1967,5,1,3,15,-2.8752
1967,5,1,4,11,-0.6902
1967,5,1,5,5,7.1740
1967,5,2,1,58,-3.6231
1967,5,2,2,47,-2.0391
1967,5,2,3,51,-1.8267
1967,5,2,4,34,-2.4576
1967,5,2,5,28,-2.3414
1967,5,3,1,151,-6.3559
1967,5,3,2,184,-3.9026
1967,5,3,3,185,-3.1744
1967,5,3,4,205,-5.1738
1967,5,3,5,180,-4.9346
1967,6,1,1,23,9.9596
1967,6,1,2,18,7.4560
1967,6,1,3,16,9.9632
1967,6,1,4,14,7.2176
1967,6,1,5,5,4.8480
1967,6,2,1,62,7.7893
1967,6,2,2,50,2.8244
1967,6,2,3,54,6.6576
1967,6,2,4,37,5.1362
1967,6,2,5,29,6.7004
1967,6,3,1,154,0.1116
1967,6,3,2,190,1.3778
1967,6,3,3,189,1.3883
1967,6,3,4,212,2.5862
1967,6,3,5,185,2.5462
1967,7,1,1,21,7.6733
1967,7,1,2,15,6.7467
1967,7,1,3,15,11.8185
1967,7,1,4,14,6.5150
1967,7,1,5,4,5.5069
1967,7,2,1,58,9.1325
1967,7,2,2,43,7.2920
1967,7,2,3,44,6.8413
1967,7,2,4,34,9.3346
1967,7,2,5,23,8.2953
1967,7,3,1,124,7.3669
1967,7,3,2,156,6.6311
