year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1967,1,1,1,201,18.9039
1967,1,1,2,250,18.3386
1967,1,1,3,246,18.6814
1967,1,1,4,135,20.3378
1967,1,1,5,103,19.2957
1967,1,2,1,70,18.5012
1967,1,2,2,117,17.0118
1967,1,2,3,108,14.3964
1967,1,2,4,52,16.0797
1967,1,2,5,68,11.8712
1967,1,3,1,84,11.6685
1967,1,3,2,117,13.2211
1967,1,3,3,126,12.5789
1967,1,3,4,100,8.3860
1967,1,3,5,187,6.5338
1967,2,1,1,244,5.6030
1967,2,1,2,332,4.3374
1967,2,1,3,391,5.3672
1967,2,1,4,277,5.5433
1967,2,1,5,175,5.5252
1967,2,2,1,99,1.6493
1967,2,2,2,150,2.8906
1967,2,2,3,176,3.0797
1967,2,2,4,88,5.0328
1967,2,2,5,105,4.7694
1967,2,3,1,109,0.2916
1967,2,3,2,159,0.9514
1967,2,3,3,335,0.5217
1967,2,3,4,147,3.5561
1967,2,3,5,241,3.3618
1967,3,1,1,250,7.5233
1967,3,1,2,435,7.9356
1967,3,1,3,449,8.9338
1967,3,1,4,376,9.0297
1967,3,1,5,250,10.0633
1967,3,2,1,103,3.1539
1967,3,2,2,192,8.0025
1967,3,2,3,223,8.1138
1967,3,2,4,146,9.1088
1967,3,2,5,117,8.5108
1967,3,3,1,110,1.2989
1967,3,3,2,252,6.1148
1967,3,3,3,391,4.9243
1967,3,3,4,198,5.5415
1967,3,3,5,246,6.2828
1967,4,1,1,304,3.9115
1967,4,1,2,471,5.5719
1967,4,1,3,533,3.5766
1967,4,1,4,400,5.1034
1967,4,1,5,277,6.3142
1967,4,2,1,143,2.9823
1967,4,2,2,221,2.9257
1967,4,2,3,274,2.9963
1967,4,2,4,166,4.1104
1967,4,2,5,134,5.0332
1967,4,3,1,247,6.9164
1967,4,3,2,305,4.4836
1967,4,3,3,433,4.5107
1967,4,3,4,225,6.2466
1967,4,3,5,256,7.9962
1967,5,1,1,363,1.4474
1967,5,1,2,631,0.6419
1967,5,1,3,581,0.4846
1967,5,1,4,410,-0.0900
1967,5,1,5,274,-1.7701
1967,5,2,1,173,-0.8589
1967,5,2,2,293,-1.1597
1967,5,2,3,294,-1.8683
1967,5,2,4,181,-2.5549
1967,5,2,5,140,-0.8658
1967,5,3,1,306,-2.3714
1967,5,3,2,393,-3.0277
1967,5,3,3,448,-3.3546
1967,5,3,4,232,-2.4135
1967,5,3,5,258,-1.9870
1967,6,1,1,368,8.2740
1967,6,1,2,684,9.8838
1967,6,1,3,622,10.4002
1967,6,1,4,441,12.9200
1967,6,1,5,279,12.1843
1967,6,2,1,177,8.2757
1967,6,2,2,314,7.0694
1967,6,2,3,323,8.2077
1967,6,2,4,195,8.4632
1967,6,2,5,144,8.5436
1967,6,3,1,329,1.8739
1967,6,3,2,409,1.8351
1967,6,3,3,469,3.0876
1967,6,3,4,237,4.4181
1967,6,3,5,255,5.6868
1967,7,1,1,377,8.0322
1967,7,1,2,606,8.5203
1967,7,1,3,707,9.8838
1967,7,1,4,394,8.3818
1967,7,1,5,220,6.7936
1967,7,2,1,202,7.7146
1967,7,2,2,299,7.8945
1967,7,2,3,367,8.3216
1967,7,2,4,196,6.6538
1967,7,2,5,105,7.0943
1967,7,3,1,362,6.5895
1967,7,3,2,400,4.5944
1967,7,3,3,483,5.6626
1967,7,3,4,193,4.6231
1967,7,3,5,107,1.6072
1967,8,1,1,385,-1.2305
1967,8,1,2,585,0.6536
1967,8,1,3,613,0.0614
1967,8,1,4,322,1.7403
1967,8,1,5,171,0.9320
1967,8,2,1,206,0.4491
1967,8,2,2,291,-0.3622
1967,8,2,3,335,-1.6024
1967,8,2,4,194,-1.0065
1967,8,2,5,77,0.9487
1967,8,3,1,371,-2.4792
1967,8,3,2,397,-0.2070
1967,8,3,3,400,-0.8111
1967,8,3,4,172,0.2770
1967,8,3,5,70,-1.0068
1967,9,1,1,381,7.2413
1967,9,1,2,535,8.7090
1967,9,1,3,626,7.1041
1967,9,1,4,399,9.1538
1967,9,1,5,187,11.1809
1967,9,2,1,209,4.2758
1967,9,2,2,258,4.8785
1967,9,2,3,326,5.7452
1967,9,2,4,214,8.0745
1967,9,2,5,87,3.9780
1967,9,3,1,377,2.2076
1967,9,3,2,369,2.7518
1967,9,3,3,335,3.3709
1967,9,3,4,183,4.2380
1967,9,3,5,72,5.5075
1967,10,1,1,221,-3.3609
1967,10,1,2,534,-2.3975
1967,10,1,3,648,-1.5004
1967,10,1,4,420,-1.6579
1967,10,1,5,183,0.1565
1967,10,2,1,153,-3.7788
1967,10,2,2,260,-4.3394
1967,10,2,3,335,-2.3728
1967,10,2,4,227,-1.2424
1967,10,2,5,87,0.4177
1967,10,3,1,317,-4.1684
1967,10,3,2,356,-3.7536
1967,10,3,3,351,-3.6840
1967,10,3,4,188,-0.4662
1967,10,3,5,68,-0.5312
1967,11,1,1,271,0.3456
1967,11,1,2,535,-0.5369
1967,11,1,3,697,0.0927
1967,11,1,4,408,0.1132
1967,11,1,5,223,1.8413
1967,11,2,1,187,-0.6307
1967,11,2,2,260,0.9364
1967,11,2,3,337,1.6243
1967,11,2,4,217,0.8853
1967,11,2,5,100,1.6084
1967,11,3,1,344,-0.3117
1967,11,3,2,368,-0.5932
1967,11,3,3,391,0.5179
1967,11,3,4,184,0.3275
1967,11,3,5,87,3.4841
1967,12,1,1,215,7.6701
1967,12,1,2,440,10.1240
1967,12,1,3,679,8.7275
1967,12,1,4,429,8.9989
1967,12,1,5,247,12.0640
1967,12,2,1,162,4.9723
1967,12,2,2,231,5.7136
1967,12,2,3,327,7.0362
1967,12,2,4,226,9.3679
1967,12,2,5,113,9.6637
1967,12,3,1,291,3.0282
1967,12,3,2,334,2.5785
1967,12,3,3,392,2.2134
1967,12,3,4,196,3.1685
1967,12,3,5,97,7.7079
1968,1,1,1,228,3.5860
1968,1,1,2,468,3.4817
1968,1,1,3,677,1.8156
1968,1,1,4,475,3.4653
1968,1,1,5,248,3.2306
1968,1,2,1,169,0.7750
1968,1,2,2,277,-0.6915
1968,1,2,3,332,-1.1269
1968,1,2,4,245,-2.0933
1968,1,2,5,115,-5.3377
1968,1,3,1,308,-3.0900
1968,1,3,2,419,-4.9765
1968,1,3,3,385,-3.5938
1968,1,3,4,245,-4.4146
1968,1,3,5,101,-6.5649
1968,2,1,1,267,-6.4272
1968,2,1,2,475,-7.1361
1968,2,1,3,659,-6.0121
1968,2,1,4,557,-4.9194
1968,2,1,5,233,-8.0986
1968,2,2,1,183,-5.2046
1968,2,2,2,278,-4.5741
1968,2,2,3,361,-6.3121
1968,2,2,4,269,-4.5522
1968,2,2,5,110,-6.9745
1968,2,3,1,314,-3.6071
1968,2,3,2,430,-3.2173
1968,2,3,3,477,-3.3556
1968,2,3,4,276,-3.2066
1968,2,3,5,82,-8.6134
1968,3,1,1,272,-1.8548
1968,3,1,2,478,-2.5635
1968,3,1,3,581,-0.8999
1968,3,1,4,526,-0.9598
1968,3,1,5,261,-2.5022
1968,3,2,1,182,-1.4705
1968,3,2,2,282,-1.5156
1968,3,2,3,307,-0.6019
1968,3,2,4,241,-1.2263
1968,3,2,5,115,-1.3564
1968,3,3,1,308,0.8959
1968,3,3,2,427,1.5538
1968,3,3,3,404,1.2616
1968,3,3,4,231,1.8936
1968,3,3,5,89,1.2518
1968,4,1,1,258,14.3427
1968,4,1,2,440,15.1352
1968,4,1,3,582,14.8262
1968,4,1,4,511,15.2071
1968,4,1,5,326,18.2373
1968,4,2,1,173,13.2997
1968,4,2,2,265,12.1701
1968,4,2,3,308,14.0316
1968,4,2,4,232,13.8007
1968,4,2,5,133,20.7885
1968,4,3,1,291,9.3178
1968,4,3,2,380,9.6120
1968,4,3,3,391,10.3663
1968,4,3,4,233,10.7746
1968,4,3,5,109,13.9534
1968,5,1,1,259,9.8718
1968,5,1,2,481,12.3295
1968,5,1,3,604,12.5563
1968,5,1,4,507,13.7752
1968,5,1,5,329,14.0016
1968,5,2,1,176,6.1491
1968,5,2,2,288,6.0555
1968,5,2,3,305,6.7582
1968,5,2,4,231,5.9653
1968,5,2,5,137,7.6968
1968,5,3,1,287,3.5028
1968,5,3,2,433,2.4116
1968,5,3,3,400,2.6965
1968,5,3,4,247,3.8678
1968,5,3,5,112,5.1773
1968,6,1,1,248,-0.4204
1968,6,1,2,468,-0.5427
1968,6,1,3,514,1.9407
1968,6,1,4,565,0.3273
1968,6,1,5,332,0.4981
1968,6,2,1,175,-0.9223
1968,6,2,2,284,-0.3523
1968,6,2,3,276,0.6204
1968,6,2,4,247,1.0509
1968,6,2,5,139,-0.2260
1968,6,3,1,268,-0.7803
