year,month,rank_ME,rank_dEF_1,nstocks,ret_vw
1976,3,1,1,9,1.8696
1976,3,1,2,1,-6.0976
1976,3,1,3,2,-9.1943
1976,3,1,4,7,-2.8411
1976,3,1,5,8,2.0521
1976,3,2,1,15,1.9746
1976,3,2,2,11,-0.9067
1976,3,2,3,7,1.4582
1976,3,2,4,2,-4.0290
1976,3,2,5,18,0.7982
1976,3,3,1,24,-3.3161
1976,3,3,2,36,4.8454
1976,3,3,3,33,-0.1198
1976,3,3,4,35,2.4356
1976,3,3,5,25,6.4964
1976,4,1,1,5,1.1350
1976,4,1,2,3,3.8173
1976,4,1,3,0,
1976,4,1,4,1,-6.5789
1976,4,1,5,4,0.4210
1976,4,2,1,24,-0.4856
1976,4,2,2,5,0.3659
1976,4,2,3,1,2.4540
1976,4,2,4,13,1.5799
1976,4,2,5,18,-1.1677
1976,4,3,1,41,-2.9557
1976,4,3,2,57,-0.3657
1976,4,3,3,56,-0.3164
1976,4,3,4,50,-1.8368
1976,4,3,5,39,-1.6146
1976,5,1,1,10,-4.3096
1976,5,1,2,0,
1976,5,1,3,3,-8.2512
1976,5,1,4,0,
1976,5,1,5,8,-4.0400
1976,5,2,1,19,0.0920
1976,5,2,2,8,0.7164
1976,5,2,3,9,-5.2854
1976,5,2,4,16,-0.2001
1976,5,2,5,33,-4.6127
1976,5,3,1,66,-1.2596
1976,5,3,2,80,-2.1995
1976,5,3,3,84,-0.1019
1976,5,3,4,72,1.4165
1976,5,3,5,60,-1.9406
1976,6,1,1,8,5.6198
1976,6,1,2,1,-4.4444
1976,6,1,3,1,0.0000
1976,6,1,4,4,3.9577
1976,6,1,5,7,4.1773
1976,6,2,1,27,2.6294
1976,6,2,2,12,7.3616
1976,6,2,3,11,5.2439
1976,6,2,4,16,5.4247
1976,6,2,5,25,5.6296
1976,6,3,1,70,4.2153
1976,6,3,2,76,4.2554
1976,6,3,3,79,4.9565
1976,6,3,4,69,3.3700
1976,6,3,5,61,3.1301
1976,7,1,1,19,-2.0385
1976,7,1,2,0,
1976,7,1,3,0,
1976,7,1,4,2,3.2438
1976,7,1,5,5,-0.8330
1976,7,2,1,25,-4.1310
1976,7,2,2,10,-1.8895
1976,7,2,3,12,2.6458
1976,7,2,4,17,-1.2322
1976,7,2,5,33,-0.0807
1976,7,3,1,68,-1.8523
1976,7,3,2,85,-1.4643
1976,7,3,3,77,-0.6227
1976,7,3,4,78,-2.1105
1976,7,3,5,64,-0.3708
1976,8,1,1,12,-9.7203
1976,8,1,2,0,
1976,8,1,3,4,-1.1277
1976,8,1,4,1,3.8571
1976,8,1,5,4,-5.0508
1976,8,2,1,34,-4.5023
1976,8,2,2,15,-4.8706
1976,8,2,3,8,-1.7216
1976,8,2,4,16,-1.9953
1976,8,2,5,33,-4.1998
1976,8,3,1,77,-1.3240
1976,8,3,2,89,1.5641
1976,8,3,3,87,0.9048
1976,8,3,4,90,-1.2829
1976,8,3,5,71,-1.9452
1976,9,1,1,7,-6.3382
1976,9,1,2,2,-6.1908
1976,9,1,3,1,5.8824
1976,9,1,4,0,
1976,9,1,5,3,-0.9317
1976,9,2,1,28,4.9555
1976,9,2,2,9,6.5688
1976,9,2,3,5,0.9370
1976,9,2,4,17,5.3591
