year,month,rank_ME,rank_R11_12,nstocks,ret_vw
1967,1,1,1,298,24.6034
1967,1,1,2,142,19.5055
1967,1,1,3,104,21.6520
1967,1,1,4,150,14.4692
1967,1,1,5,161,16.3750
1967,1,2,1,81,21.6474
1967,1,2,2,88,14.7083
1967,1,2,3,76,14.2899
1967,1,2,4,57,15.0825
1967,1,2,5,85,13.8663
1967,1,3,1,80,13.7073
1967,1,3,2,93,8.4446
1967,1,3,3,134,6.4455
1967,1,3,4,144,6.4449
1967,1,3,5,149,6.9794
1967,2,1,1,400,3.9883
1967,2,1,2,241,3.2484
1967,2,1,3,187,4.7710
1967,2,1,4,219,5.7212
1967,2,1,5,195,8.5593
1967,2,2,1,118,0.7905
1967,2,2,2,129,2.6905
1967,2,2,3,112,1.8617
1967,2,2,4,105,2.9689
1967,2,2,5,106,3.7771
1967,2,3,1,96,-1.4214
1967,2,3,2,150,-0.7548
1967,2,3,3,208,0.2217
1967,2,3,4,218,0.5304
1967,2,3,5,188,3.6422
1967,3,1,1,458,6.0485
1967,3,1,2,325,5.6814
1967,3,1,3,274,8.3851
1967,3,1,4,269,7.1166
1967,3,1,5,235,8.4451
1967,3,2,1,139,6.5044
1967,3,2,2,160,6.1434
1967,3,2,3,142,4.9742
1967,3,2,4,147,5.6307
1967,3,2,5,137,7.4375
1967,3,3,1,119,3.8594
1967,3,3,2,189,4.8931
1967,3,3,3,254,3.4156
1967,3,3,4,265,4.1870
1967,3,3,5,208,4.9559
1967,4,1,1,496,2.9024
1967,4,1,2,392,4.9309
1967,4,1,3,331,4.0590
1967,4,1,4,317,5.2759
1967,4,1,5,268,6.6679
1967,4,2,1,153,2.7856
1967,4,2,2,194,3.0679
1967,4,2,3,173,3.0966
1967,4,2,4,174,3.9633
1967,4,2,5,153,4.5270
1967,4,3,1,140,8.6588
1967,4,3,2,231,4.9213
1967,4,3,3,292,2.1738
1967,4,3,4,299,2.3743
1967,4,3,5,222,5.2243
1967,5,1,1,543,0.1341
1967,5,1,2,444,0.7700
1967,5,1,3,384,0.5024
1967,5,1,4,376,0.3396
1967,5,1,5,297,-1.6343
1967,5,2,1,166,-2.8463
1967,5,2,2,222,-2.2112
1967,5,2,3,209,-1.0997
1967,5,2,4,197,-1.1821
1967,5,2,5,174,-0.3106
1967,5,3,1,154,-6.0976
1967,5,3,2,271,-4.1880
1967,5,3,3,321,-3.6143
1967,5,3,4,344,-4.2351
1967,5,3,5,248,-3.8918
1967,6,1,1,563,9.9566
1967,6,1,2,482,10.2903
1967,6,1,3,420,10.2243
1967,6,1,4,415,11.1655
1967,6,1,5,342,15.5539
1967,6,2,1,185,5.3541
1967,6,2,2,237,6.4631
1967,6,2,3,225,5.6215
1967,6,2,4,225,7.5398
1967,6,2,5,185,10.2246
1967,6,3,1,173,0.3188
1967,6,3,2,301,1.3913
1967,6,3,3,344,1.5670
1967,6,3,4,372,1.6749
1967,6,3,5,255,4.3263
1967,7,1,1,580,11.1309
1967,7,1,2,515,9.6433
1967,7,1,3,459,9.3633
1967,7,1,4,444,8.8997
1967,7,1,5,375,7.3414
1967,7,2,1,194,8.6095
1967,7,2,2,253,7.3970
1967,7,2,3,246,6.4838
1967,7,2,4,246,7.3693
1967,7,2,5,211,7.6534
1967,7,3,1,188,8.1608
1967,7,3,2,327,5.4451
1967,7,3,3,371,3.2470
1967,7,3,4,395,2.9575
1967,7,3,5,272,4.9290
1967,8,1,1,591,1.2125
1967,8,1,2,539,1.2122
1967,8,1,3,503,0.4259
1967,8,1,4,483,-0.3968
1967,8,1,5,412,-0.5083
1967,8,2,1,206,0.3957
1967,8,2,2,270,0.0526
1967,8,2,3,262,0.1535
1967,8,2,4,256,-0.0856
1967,8,2,5,230,-1.4693
1967,8,3,1,216,-0.0525
1967,8,3,2,352,-0.4423
1967,8,3,3,405,-0.6585
1967,8,3,4,420,-0.8891
1967,8,3,5,284,-1.0770
1967,9,1,1,606,7.8530
1967,9,1,2,570,7.4330
1967,9,1,3,546,7.6097
1967,9,1,4,528,8.4832
1967,9,1,5,456,9.5884
1967,9,2,1,220,3.4097
1967,9,2,2,286,3.6756
1967,9,2,3,277,4.1194
1967,9,2,4,274,5.0957
1967,9,2,5,245,6.7531
1967,9,3,1,255,5.0062
1967,9,3,2,376,2.7761
1967,9,3,3,430,2.4070
1967,9,3,4,441,1.8672
1967,9,3,5,293,4.1857
1967,10,1,1,612,-1.3041
1967,10,1,2,597,-2.2538
1967,10,1,3,575,-1.6990
1967,10,1,4,561,-1.0859
1967,10,1,5,488,-1.6447
1967,10,2,1,228,-4.1201
1967,10,2,2,294,-2.7094
1967,10,2,3,293,-2.3801
1967,10,2,4,288,-2.4457
