year,month,rank_ME,rank_Resid11_12,nstocks,ret_vw
1967,1,1,1,147,22.5275
1967,1,1,2,137,19.8289
1967,1,1,3,141,19.2137
1967,1,1,4,137,20.6581
1967,1,1,5,121,17.4415
1967,1,2,1,75,17.8450
1967,1,2,2,70,15.0196
1967,1,2,3,56,15.9504
1967,1,2,4,56,16.0667
1967,1,2,5,62,13.5588
1967,1,3,1,96,11.1405
1967,1,3,2,98,11.2854
1967,1,3,3,115,6.4344
1967,1,3,4,125,5.9447
1967,1,3,5,128,7.3154
1967,2,1,1,211,2.1478
1967,2,1,2,235,3.4381
1967,2,1,3,234,4.6892
1967,2,1,4,212,6.0276
1967,2,1,5,160,7.0221
1967,2,2,1,104,0.8379
1967,2,2,2,125,1.8020
1967,2,2,3,96,3.6403
1967,2,2,4,94,2.9657
1967,2,2,5,91,2.8242
1967,2,3,1,132,-0.9395
1967,2,3,2,170,-0.2393
1967,2,3,3,189,2.0823
1967,2,3,4,199,0.5498
1967,2,3,5,175,2.0644
1967,3,1,1,267,5.3471
1967,3,1,2,328,7.2077
1967,3,1,3,305,6.7897
1967,3,1,4,278,7.5121
1967,3,1,5,202,8.3796
1967,3,2,1,131,5.7723
1967,3,2,2,147,5.8638
1967,3,2,3,128,4.9417
1967,3,2,4,132,4.4509
1967,3,2,5,112,8.2683
1967,3,3,1,161,4.1515
1967,3,3,2,222,4.4851
1967,3,3,3,258,4.4025
1967,3,3,4,258,3.7018
1967,3,3,5,215,4.2596
1967,4,1,1,314,2.9711
1967,4,1,2,385,3.5589
1967,4,1,3,376,5.2431
1967,4,1,4,340,4.4700
1967,4,1,5,228,6.9322
1967,4,2,1,146,2.4833
1967,4,2,2,170,2.6519
1967,4,2,3,160,3.8601
1967,4,2,4,160,3.1130
1967,4,2,5,135,4.6764
1967,4,3,1,180,8.0884
1967,4,3,2,260,3.3266
1967,4,3,3,306,3.0548
1967,4,3,4,299,3.4146
1967,4,3,5,232,3.6811
1967,5,1,1,362,0.8939
1967,5,1,2,429,0.4628
1967,5,1,3,422,0.5981
1967,5,1,4,381,0.2623
1967,5,1,5,267,-1.9117
1967,5,2,1,163,-1.5036
1967,5,2,2,198,-1.2805
1967,5,2,3,192,-1.5205
1967,5,2,4,192,-1.9531
1967,5,2,5,150,-1.4208
1967,5,3,1,211,-5.7877
1967,5,3,2,310,-4.0280
1967,5,3,3,352,-3.3822
1967,5,3,4,347,-4.2920
1967,5,3,5,263,-3.8387
1967,6,1,1,379,9.4708
1967,6,1,2,457,10.7164
1967,6,1,3,455,12.0680
1967,6,1,4,425,12.8929
1967,6,1,5,286,13.0172
1967,6,2,1,175,5.8887
1967,6,2,2,215,5.7213
1967,6,2,3,201,6.3747
1967,6,2,4,210,7.6945
1967,6,2,5,161,8.9373
1967,6,3,1,228,1.1413
1967,6,3,2,333,1.1219
1967,6,3,3,386,1.9865
1967,6,3,4,365,2.1381
1967,6,3,5,273,3.0880
1967,7,1,1,401,10.0277
1967,7,1,2,486,10.1253
1967,7,1,3,481,9.0204
1967,7,1,4,449,9.3031
1967,7,1,5,306,8.8839
1967,7,2,1,187,7.4574
1967,7,2,2,231,7.8542
1967,7,2,3,224,7.4322
1967,7,2,4,228,8.1830
1967,7,2,5,177,7.9143
1967,7,3,1,251,6.6473
1967,7,3,2,358,5.0205
1967,7,3,3,407,4.9645
1967,7,3,4,387,4.5835
1967,7,3,5,288,2.5197
1967,8,1,1,410,1.0397
1967,8,1,2,499,-0.2615
1967,8,1,3,506,0.1332
1967,8,1,4,486,-0.0995
1967,8,1,5,330,-0.6378
1967,8,2,1,193,0.7399
1967,8,2,2,245,-0.1919
1967,8,2,3,245,-0.4172
1967,8,2,4,243,-0.6864
1967,8,2,5,198,-0.0727
1967,8,3,1,264,-0.2378
1967,8,3,2,378,-0.9134
1967,8,3,3,426,-0.7504
1967,8,3,4,412,-0.7696
1967,8,3,5,305,-0.7870
1967,9,1,1,424,6.1870
1967,9,1,2,518,8.6616
1967,9,1,3,534,8.6234
1967,9,1,4,512,9.0486
1967,9,1,5,363,8.3994
1967,9,2,1,203,4.8364
1967,9,2,2,255,3.3280
1967,9,2,3,262,3.8734
1967,9,2,4,258,3.9738
1967,9,2,5,206,5.6017
1967,9,3,1,280,4.3966
1967,9,3,2,397,3.0684
1967,9,3,3,447,2.0162
1967,9,3,4,436,2.2183
1967,9,3,5,321,3.4993
1967,10,1,1,440,-1.9500
1967,10,1,2,546,-0.5301
1967,10,1,3,549,-0.5984
1967,10,1,4,530,-1.2009
1967,10,1,5,383,-1.3369
1967,10,2,1,211,-2.7092
1967,10,2,2,272,-3.2458
1967,10,2,3,276,-2.3818
1967,10,2,4,271,-2.7338
1967,10,2,5,214,-2.2822
1967,10,3,1,294,-4.1182
1967,10,3,2,417,-3.3933
1967,10,3,3,455,-3.7110
1967,10,3,4,454,-3.6678
1967,10,3,5,341,-0.2601
1967,11,1,1,454,-0.3168
1967,11,1,2,562,-0.0951
1967,11,1,3,569,0.3315
1967,11,1,4,541,0.4621
1967,11,1,5,408,0.2705
1967,11,2,1,216,1.3216
1967,11,2,2,287,1.0506
1967,11,2,3,284,1.0655
1967,11,2,4,287,1.5898
1967,11,2,5,228,1.9327
1967,11,3,1,316,0.0314
1967,11,3,2,446,0.5855
1967,11,3,3,476,0.9533
1967,11,3,4,479,0.9704
1967,11,3,5,352,1.1964
1967,12,1,1,456,8.7618
1967,12,1,2,580,10.1650
1967,12,1,3,585,10.3739
1967,12,1,4,565,10.8126
1967,12,1,5,442,13.0584
1967,12,2,1,226,6.2379
1967,12,2,2,298,6.9537
1967,12,2,3,300,6.7937
1967,12,2,4,301,6.3318
1967,12,2,5,239,7.6971
1967,12,3,1,335,1.9880
1967,12,3,2,463,2.6386
1967,12,3,3,495,2.7540
1967,12,3,4,491,3.0646
1967,12,3,5,367,2.8142
1968,1,1,1,439,4.0426
1968,1,1,2,567,4.6912
1968,1,1,3,572,2.8202
1968,1,1,4,577,3.3769
1968,1,1,5,436,3.3453
1968,1,2,1,228,-1.3091
1968,1,2,2,290,0.7562
1968,1,2,3,303,-0.0340
1968,1,2,4,300,0.3946
1968,1,2,5,240,-1.7153
1968,1,3,1,330,-6.6535
1968,1,3,2,461,-4.2262
1968,1,3,3,492,-3.0642
1968,1,3,4,475,-3.6066
1968,1,3,5,366,-3.2134
1968,2,1,1,422,-6.2865
1968,2,1,2,542,-6.6446
1968,2,1,3,567,-6.3283
1968,2,1,4,568,-6.8382
1968,2,1,5,420,-8.7279
1968,2,2,1,222,-5.5242
1968,2,2,2,286,-3.6358
1968,2,2,3,300,-4.1096
1968,2,2,4,287,-4.4981
1968,2,2,5,236,-5.9625
1968,2,3,1,326,-3.2150
1968,2,3,2,463,-3.0813
1968,2,3,3,487,-2.7810
1968,2,3,4,467,-3.3676
1968,2,3,5,349,-2.5490
1968,3,1,1,414,-1.0079
1968,3,1,2,526,-1.6228
1968,3,1,3,563,-1.2992
1968,3,1,4,558,-1.1009
1968,3,1,5,439,-0.6810
1968,3,2,1,225,-1.8276
1968,3,2,2,281,-1.3773
1968,3,2,3,310,-1.6062
1968,3,2,4,285,-1.4872
1968,3,2,5,234,-0.0854
1968,3,3,1,329,1.1311
1968,3,3,2,460,0.4196
1968,3,3,3,472,-0.1430
1968,3,3,4,456,0.7635
1968,3,3,5,326,1.5769
1968,4,1,1,394,15.3567
1968,4,1,2,517,15.8979
1968,4,1,3,546,16.8937
1968,4,1,4,561,15.7856
1968,4,1,5,435,17.6381
1968,4,2,1,222,13.9938
1968,4,2,2,282,12.9637
1968,4,2,3,303,12.3342
1968,4,2,4,296,12.4892
1968,4,2,5,230,15.4403
1968,4,3,1,326,10.2755
1968,4,3,2,449,7.8391
1968,4,3,3,466,7.3885
1968,4,3,4,444,8.8889
1968,4,3,5,333,8.7482
1968,5,1,1,381,10.4966
1968,5,1,2,513,11.6582
1968,5,1,3,546,11.5426
1968,5,1,4,566,13.1107
1968,5,1,5,433,12.2667
1968,5,2,1,221,6.3243
1968,5,2,2,282,7.0283
1968,5,2,3,302,6.1655
1968,5,2,4,298,6.8368
1968,5,2,5,237,8.7029
1968,5,3,1,330,2.4665
1968,5,3,2,452,1.3760
1968,5,3,3,457,1.1725
1968,5,3,4,442,2.5837
1968,5,3,5,324,2.1091
1968,6,1,1,377,0.5144
1968,6,1,2,510,0.0937
1968,6,1,3,538,0.9694
1968,6,1,4,571,0.7111
1968,6,1,5,447,-0.9251
1968,6,2,1,210,-1.0863
1968,6,2,2,283,0.8969
1968,6,2,3,311,1.3035
1968,6,2,4,297,1.4671
1968,6,2,5,237,0.2659
1968,6,3,1,327,-1.0305
1968,6,3,2,452,1.8474
1968,6,3,3,460,2.5179
1968,6,3,4,427,1.3217
1968,6,3,5,314,0.6844
1968,7,1,1,372,-3.1160
1968,7,1,2,502,-3.4067
1968,7,1,3,534,-3.2660
1968,7,1,4,556,-2.9835
1968,7,1,5,440,-3.0209
1968,7,2,1,222,-5.6430
1968,7,2,2,284,-4.3387
1968,7,2,3,304,-3.1569
1968,7,2,4,300,-2.2257
1968,7,2,5,244,-2.2305
1968,7,3,1,337,-4.5985
1968,7,3,2,447,-1.9074
1968,7,3,3,452,-1.2936
1968,7,3,4,421,-1.5607
1968,7,3,5,308,-0.9881
1968,8,1,1,357,3.2968
1968,8,1,2,498,4.0348
1968,8,1,3,523,3.9321
1968,8,1,4,547,4.5923
1968,8,1,5,443,5.3026
1968,8,2,1,220,3.1143
1968,8,2,2,282,3.9744
1968,8,2,3,303,3.5223
1968,8,2,4,292,3.3215
1968,8,2,5,241,5.5546
1968,8,3,1,335,1.8340
1968,8,3,2,450,1.5771
1968,8,3,3,454,1.4240
1968,8,3,4,421,1.1733
1968,8,3,5,306,1.3804
1968,9,1,1,362,8.4714
1968,9,1,2,480,6.5847
1968,9,1,3,532,6.9421
1968,9,1,4,547,7.3404
1968,9,1,5,443,6.8660
1968,9,2,1,224,7.7468
1968,9,2,2,272,6.0590
1968,9,2,3,299,6.1695
1968,9,2,4,290,5.6774
1968,9,2,5,242,8.6137
1968,9,3,1,331,4.5002
1968,9,3,2,444,3.7303
1968,9,3,3,453,3.9907
1968,9,3,4,421,3.7985
1968,9,3,5,297,3.6270
1968,10,1,1,342,0.0169
1968,10,1,2,471,0.8486
1968,10,1,3,520,-0.1629
1968,10,1,4,555,0.6650
1968,10,1,5,455,0.0663
1968,10,2,1,221,-0.2296
1968,10,2,2,277,1.9226
1968,10,2,3,298,2.1634
1968,10,2,4,275,1.3498
1968,10,2,5,242,0.3527
1968,10,3,1,320,0.3899
1968,10,3,2,437,1.5225
1968,10,3,3,450,1.7221
1968,10,3,4,416,0.4060
1968,10,3,5,292,1.0214
1968,11,1,1,338,7.0788
1968,11,1,2,464,6.5854
1968,11,1,3,509,6.4725
1968,11,1,4,545,7.5631
1968,11,1,5,453,8.2222
1968,11,2,1,220,8.2009
1968,11,2,2,279,8.2760
1968,11,2,3,292,7.8599
1968,11,2,4,269,7.6848
1968,11,2,5,229,7.8621
1968,11,3,1,324,7.1831
1968,11,3,2,438,6.3990
1968,11,3,3,457,5.6251
1968,11,3,4,406,5.0133
1968,11,3,5,301,4.0188
1968,12,1,1,344,3.1513
1968,12,1,2,469,3.8024
1968,12,1,3,519,3.6685
1968,12,1,4,544,3.8199
1968,12,1,5,455,0.8146
1968,12,2,1,221,-1.1362
1968,12,2,2,281,-0.8371
1968,12,2,3,288,-0.8974
1968,12,2,4,273,-0.4981
1968,12,2,5,227,-1.9079
1968,12,3,1,328,-4.2014
1968,12,3,2,442,-3.1700
1968,12,3,3,450,-3.0564
1968,12,3,4,409,-3.9392
1968,12,3,5,302,-4.7367
1969,1,1,1,366,-0.2108
1969,1,1,2,481,-1.0242
1969,1,1,3,503,-0.5614
1969,1,1,4,537,-0.9760
1969,1,1,5,451,-0.3175
1969,1,2,1,220,-1.8761
1969,1,2,2,293,-0.5293
1969,1,2,3,285,0.0559
1969,1,2,4,272,-0.9315
1969,1,2,5,228,-1.9650
1969,1,3,1,327,-0.8612
1969,1,3,2,441,-0.7592
1969,1,3,3,452,-0.5869
1969,1,3,4,413,-0.7465
1969,1,3,5,302,-0.8639
1969,2,1,1,384,-11.4464
1969,2,1,2,482,-9.8790
1969,2,1,3,500,-10.2037
1969,2,1,4,529,-10.7048
1969,2,1,5,445,-9.6788
1969,2,2,1,220,-9.6731
1969,2,2,2,292,-8.7439
1969,2,2,3,289,-7.4330
1969,2,2,4,275,-6.9943
1969,2,2,5,231,-7.7150
1969,2,3,1,330,-6.3348
1969,2,3,2,448,-4.9964
1969,2,3,3,458,-4.8275
1969,2,3,4,418,-4.1822
1969,2,3,5,312,-3.4100
1969,3,1,1,389,1.1903
1969,3,1,2,487,2.0586
1969,3,1,3,507,2.0450
1969,3,1,4,529,2.4401
1969,3,1,5,443,3.7152
1969,3,2,1,220,0.7608
1969,3,2,2,287,1.6510
1969,3,2,3,296,2.5307
1969,3,2,4,279,2.1010
1969,3,2,5,232,3.7245
1969,3,3,1,341,2.5738
1969,3,3,2,454,3.1077
1969,3,3,3,476,2.5431
1969,3,3,4,429,3.7191
1969,3,3,5,314,4.2769
1969,4,1,1,388,-1.1466
1969,4,1,2,492,-1.1941
1969,4,1,3,501,-0.5229
1969,4,1,4,526,-0.5168
1969,4,1,5,435,0.3299
1969,4,2,1,225,0.5064
1969,4,2,2,292,0.5602
1969,4,2,3,297,1.0354
1969,4,2,4,278,0.9825
1969,4,2,5,230,2.0046
1969,4,3,1,347,2.0453
1969,4,3,2,456,1.9681
1969,4,3,3,481,2.1024
1969,4,3,4,435,1.9790
1969,4,3,5,334,2.6771
1969,5,1,1,395,-0.8232
1969,5,1,2,500,0.6409
1969,5,1,3,511,1.3268
1969,5,1,4,527,1.6123
1969,5,1,5,425,1.8682
1969,5,2,1,226,-0.9284
1969,5,2,2,292,-0.3444
1969,5,2,3,302,1.5612
1969,5,2,4,282,1.0415
1969,5,2,5,237,0.8629
1969,5,3,1,345,-0.3420
1969,5,3,2,451,0.3989
1969,5,3,3,475,1.0710
1969,5,3,4,439,0.4443
1969,5,3,5,343,0.5899
1969,6,1,1,409,-14.5225
1969,6,1,2,515,-13.5873
1969,6,1,3,520,-12.8204
1969,6,1,4,518,-13.2734
1969,6,1,5,431,-14.0069
1969,6,2,1,230,-12.0918
1969,6,2,2,300,-11.0928
1969,6,2,3,306,-10.5796
1969,6,2,4,291,-10.3316
1969,6,2,5,247,-11.6439
1969,6,3,1,345,-4.9741
1969,6,3,2,447,-5.5782
1969,6,3,3,475,-5.7669
