year,month,rank_ME,rank_SIM_1,nstocks,ret_vw
1967,12,2,1,40,6.8263
1967,12,2,2,87,8.6123
1967,12,2,3,117,7.0259
1967,12,2,4,67,9.5202
1967,12,2,5,111,6.1707
1967,12,3,1,45,6.5404
1967,12,3,2,117,4.0195
1967,12,3,3,113,1.8335
1967,12,3,4,69,0.7303
1967,12,3,5,247,2.5064
1968,1,1,1,170,1.0302
1968,1,1,2,138,4.7598
1968,1,1,3,131,3.3205
1968,1,1,4,123,3.4589
1968,1,1,5,284,5.5739
1968,1,2,1,80,-1.7670
1968,1,2,2,97,-1.0074
1968,1,2,3,63,-0.8469
1968,1,2,4,80,-0.8206
1968,1,2,5,110,0.7118
1968,1,3,1,83,-7.0714
1968,1,3,2,181,-3.4414
1968,1,3,3,59,-4.5062
1968,1,3,4,112,-8.0240
1968,1,3,5,152,-2.0341
1968,2,1,1,171,-9.8452
1968,2,1,2,131,-7.7209
1968,2,1,3,142,-4.1579
1968,2,1,4,110,-4.6224
1968,2,1,5,278,-4.6841
1968,2,2,1,87,-8.0428
1968,2,2,2,69,-5.9690
1968,2,2,3,91,-4.8081
1968,2,2,4,82,-1.4312
1968,2,2,5,98,-4.6248
1968,2,3,1,116,-3.7153
1968,2,3,2,113,-2.8277
1968,2,3,3,93,-3.2989
1968,2,3,4,143,-2.6363
1968,2,3,5,115,-1.8010
1968,3,1,1,300,-0.2147
1968,3,1,2,100,-0.6977
1968,3,1,3,156,-2.2190
1968,3,1,4,152,-3.0796
1968,3,1,5,136,-2.2028
1968,3,2,1,114,-0.1159
1968,3,2,2,50,0.3797
1968,3,2,3,77,-1.3868
1968,3,2,4,74,-0.1817
1968,3,2,5,100,-2.2005
1968,3,3,1,146,0.9243
1968,3,3,2,79,1.4337
1968,3,3,3,122,2.6133
1968,3,3,4,78,0.9403
1968,3,3,5,151,-2.4547
1968,4,1,1,115,13.3552
1968,4,1,2,189,17.7320
1968,4,1,3,106,16.0901
1968,4,1,4,283,14.8732
1968,4,1,5,150,18.6389
1968,4,2,1,96,9.2369
1968,4,2,2,74,16.2201
1968,4,2,3,52,16.0384
1968,4,2,4,125,13.5256
1968,4,2,5,62,17.1119
1968,4,3,1,142,4.7566
1968,4,3,2,68,10.5412
1968,4,3,3,103,10.4568
1968,4,3,4,159,8.7018
1968,4,3,5,105,8.9045
1968,5,1,1,131,10.3439
1968,5,1,2,120,11.1989
1968,5,1,3,153,12.9854
1968,5,1,4,136,12.0936
1968,5,1,5,291,13.3475
1968,5,2,1,112,4.8328
1968,5,2,2,62,9.0332
1968,5,2,3,77,6.7938
1968,5,2,4,46,5.9546
1968,5,2,5,112,7.2160
1968,5,3,1,154,1.1045
1968,5,3,2,71,0.2296
1968,5,3,3,87,4.9190
1968,5,3,4,105,2.7313
1968,5,3,5,161,1.2652
1968,6,1,1,182,0.3802
1968,6,1,2,138,0.2105
1968,6,1,3,251,1.5224
1968,6,1,4,97,1.4465
1968,6,1,5,162,0.2652
1968,6,2,1,79,-0.5646
1968,6,2,2,91,1.7384
1968,6,2,3,98,0.0662
1968,6,2,4,56,0.8102
1968,6,2,5,79,0.4213
1968,6,3,1,135,0.3651
1968,6,3,2,161,1.0023
1968,6,3,3,130,1.0939
1968,6,3,4,67,0.8277
1968,6,3,5,83,1.9688
1968,7,1,1,202,-3.1620
1968,7,1,2,144,-4.3023
1968,7,1,3,97,-1.8034
1968,7,1,4,105,-4.6029
1968,7,1,5,263,-3.2886
1968,7,2,1,69,-3.6687
1968,7,2,2,83,-3.8212
1968,7,2,3,55,-2.9851
1968,7,2,4,57,-2.5413
1968,7,2,5,141,-3.5275
