year,month,rank_ME,rank_COP,nstocks,ret_vw
1967,12,2,1,56,9.1374
1967,12,2,2,43,7.8953
1967,12,2,3,53,4.9799
1967,12,2,4,38,7.0559
1967,12,2,5,42,4.3588
1967,12,3,1,61,1.0443
1967,12,3,2,76,2.4704
1967,12,3,3,79,3.4053
1967,12,3,4,95,2.7566
1967,12,3,5,99,2.6808
1968,1,1,1,122,1.7058
1968,1,1,2,96,3.5578
1968,1,1,3,58,1.0721
1968,1,1,4,59,4.5680
1968,1,1,5,57,3.9947
1968,1,2,1,56,-1.6941
1968,1,2,2,43,-0.6815
1968,1,2,3,53,-0.0108
1968,1,2,4,38,-0.2313
1968,1,2,5,42,-1.3422
1968,1,3,1,61,-5.6106
1968,1,3,2,76,-6.8304
1968,1,3,3,79,-4.3309
1968,1,3,4,95,-1.6373
1968,1,3,5,99,-6.1049
1968,2,1,1,122,-8.3232
1968,2,1,2,96,-5.5268
1968,2,1,3,57,-4.8076
1968,2,1,4,59,-4.4648
1968,2,1,5,57,-6.0463
1968,2,2,1,56,-6.5272
1968,2,2,2,43,-5.7644
1968,2,2,3,53,-4.0188
1968,2,2,4,38,-3.9605
1968,2,2,5,41,-4.3094
1968,2,3,1,61,-4.5445
1968,2,3,2,76,-3.5968
1968,2,3,3,79,-2.6614
1968,2,3,4,95,-2.9395
1968,2,3,5,98,-2.8599
1968,3,1,1,122,-2.9064
1968,3,1,2,97,0.5803
1968,3,1,3,57,-1.8906
1968,3,1,4,59,0.6741
1968,3,1,5,57,0.0504
1968,3,2,1,56,-2.0335
1968,3,2,2,43,-0.9698
1968,3,2,3,53,-0.9010
1968,3,2,4,38,-2.0206
1968,3,2,5,41,0.0718
1968,3,3,1,61,3.1998
1968,3,3,2,76,-0.2178
1968,3,3,3,79,0.2926
1968,3,3,4,95,0.6670
1968,3,3,5,98,2.4082
1968,4,1,1,122,19.6421
1968,4,1,2,97,16.4547
1968,4,1,3,57,17.2598
1968,4,1,4,58,17.5094
1968,4,1,5,57,13.1409
1968,4,2,1,56,12.9860
1968,4,2,2,43,16.5278
1968,4,2,3,53,13.4452
1968,4,2,4,38,14.9828
1968,4,2,5,41,12.2760
1968,4,3,1,61,14.3217
1968,4,3,2,76,9.4205
1968,4,3,3,79,8.9941
1968,4,3,4,95,6.3554
1968,4,3,5,98,10.2291
1968,5,1,1,122,10.4630
1968,5,1,2,97,9.6185
1968,5,1,3,57,8.8161
1968,5,1,4,58,14.1571
1968,5,1,5,57,15.6074
1968,5,2,1,56,8.9504
1968,5,2,2,43,9.0375
1968,5,2,3,53,7.3241
1968,5,2,4,37,7.5648
1968,5,2,5,41,5.9767
1968,5,3,1,61,2.9805
1968,5,3,2,76,2.0654
1968,5,3,3,79,1.6862
1968,5,3,4,95,0.3263
1968,5,3,5,98,2.5240
1968,6,1,1,122,0.2028
1968,6,1,2,97,1.1090
1968,6,1,3,57,-0.8422
1968,6,1,4,58,0.2550
1968,6,1,5,57,-0.5716
1968,6,2,1,56,-2.4198
1968,6,2,2,43,-0.7612
1968,6,2,3,53,0.8063
1968,6,2,4,37,1.4834
1968,6,2,5,41,0.7701
1968,6,3,1,61,-0.1262
1968,6,3,2,76,0.2502
1968,6,3,3,79,0.0304
1968,6,3,4,95,1.6123
1968,6,3,5,98,-0.2427
1968,7,1,1,183,-4.3788
1968,7,1,2,95,-1.8046
1968,7,1,3,97,-2.1024
1968,7,1,4,83,-3.4092
1968,7,1,5,116,-3.6705
1968,7,2,1,70,-8.7171
1968,7,2,2,50,-2.4617
1968,7,2,3,52,-1.4607
1968,7,2,4,48,-3.3413
1968,7,2,5,45,-4.9119
1968,7,3,1,68,-6.6031
1968,7,3,2,82,-4.0883
1968,7,3,3,78,1.0685
1968,7,3,4,88,0.7674
1968,7,3,5,94,-3.9172
1968,8,1,1,182,3.2380
1968,8,1,2,95,4.5680
1968,8,1,3,97,5.2488
1968,8,1,4,83,4.4727
1968,8,1,5,116,6.5909
1968,8,2,1,70,3.7915
1968,8,2,2,50,3.8522
1968,8,2,3,52,4.1656
1968,8,2,4,48,5.4048
1968,8,2,5,44,5.9023
1968,8,3,1,68,0.3935
1968,8,3,2,82,1.8826
1968,8,3,3,77,2.0657
1968,8,3,4,88,1.5518
1968,8,3,5,94,1.3980
1968,9,1,1,182,7.4679
1968,9,1,2,95,8.7981
1968,9,1,3,97,7.4881
