year,month,rank_ME,rank_CLA,nstocks,ret_vw
1967,12,2,1,57,9.0431
1967,12,2,2,38,7.4707
1967,12,2,3,55,5.2980
1967,12,2,4,39,5.9383
1967,12,2,5,43,5.4879
1967,12,3,1,59,1.2884
1967,12,3,2,72,0.7991
1967,12,3,3,79,4.4088
1967,12,3,4,94,2.9468
1967,12,3,5,106,2.5854
1968,1,1,1,127,2.0008
1968,1,1,2,96,2.2227
1968,1,1,3,56,2.9031
1968,1,1,4,62,3.9718
1968,1,1,5,51,4.1075
1968,1,2,1,57,-0.5611
1968,1,2,2,38,-2.5836
1968,1,2,3,55,1.1432
1968,1,2,4,39,1.1457
1968,1,2,5,43,-3.6959
1968,1,3,1,59,-5.1673
1968,1,3,2,72,-5.3766
1968,1,3,3,79,-4.8388
1968,1,3,4,94,-2.5187
1968,1,3,5,106,-6.0805
1968,2,1,1,127,-7.9300
1968,2,1,2,96,-5.7599
1968,2,1,3,56,-4.4966
1968,2,1,4,61,-4.3798
1968,2,1,5,51,-6.8088
1968,2,2,1,57,-6.9539
1968,2,2,2,38,-4.9799
1968,2,2,3,55,-3.6559
1968,2,2,4,38,-4.9228
1968,2,2,5,43,-4.1256
1968,2,3,1,59,-4.8531
1968,2,3,2,72,-3.2624
1968,2,3,3,79,-2.5915
1968,2,3,4,94,-2.8479
1968,2,3,5,105,-3.0505
1968,3,1,1,127,-2.7644
1968,3,1,2,97,-0.0182
1968,3,1,3,56,1.2060
1968,3,1,4,61,-2.3815
1968,3,1,5,51,1.1078
1968,3,2,1,57,-1.1963
1968,3,2,2,38,-2.0639
1968,3,2,3,55,-1.0989
1968,3,2,4,38,-1.8032
1968,3,2,5,43,0.0094
1968,3,3,1,59,3.0464
1968,3,3,2,72,1.0950
1968,3,3,3,79,-0.8970
1968,3,3,4,94,0.6281
1968,3,3,5,105,2.5035
1968,4,1,1,127,18.4445
1968,4,1,2,97,18.3463
1968,4,1,3,56,16.6349
1968,4,1,4,60,16.3427
1968,4,1,5,51,13.5419
1968,4,2,1,57,13.4095
1968,4,2,2,38,15.5760
1968,4,2,3,55,13.0896
1968,4,2,4,38,13.4739
1968,4,2,5,43,14.7302
1968,4,3,1,59,14.4585
1968,4,3,2,72,9.6546
1968,4,3,3,79,8.5822
1968,4,3,4,94,6.0849
1968,4,3,5,105,10.6183
1968,5,1,1,127,10.5963
1968,5,1,2,97,9.0971
1968,5,1,3,56,9.0462
1968,5,1,4,60,14.1444
1968,5,1,5,51,16.1443
1968,5,2,1,57,9.9837
1968,5,2,2,38,6.6326
1968,5,2,3,54,7.2987
1968,5,2,4,38,5.9930
1968,5,2,5,43,8.4294
1968,5,3,1,59,2.5898
1968,5,3,2,72,1.4224
1968,5,3,3,79,1.9688
1968,5,3,4,94,0.1926
1968,5,3,5,105,2.8525
1968,6,1,1,127,-0.0402
1968,6,1,2,97,0.5767
1968,6,1,3,56,0.4914
1968,6,1,4,60,0.1158
1968,6,1,5,51,-0.6337
1968,6,2,1,57,-2.3800
1968,6,2,2,38,-1.1723
1968,6,2,3,54,1.2995
1968,6,2,4,38,1.8930
1968,6,2,5,43,0.0969
1968,6,3,1,59,0.0768
1968,6,3,2,72,0.6034
1968,6,3,3,79,-0.3011
1968,6,3,4,94,1.6902
1968,6,3,5,105,-0.3513
1968,7,1,1,194,-3.8523
1968,7,1,2,102,-1.3662
1968,7,1,3,87,-3.0718
1968,7,1,4,90,-3.1212
1968,7,1,5,100,-4.4852
1968,7,2,1,73,-8.5448
1968,7,2,2,50,-2.4136
1968,7,2,3,49,-2.1507
1968,7,2,4,43,-3.0797
1968,7,2,5,50,-4.1444
1968,7,3,1,63,-7.3427
1968,7,3,2,76,-3.1195
1968,7,3,3,85,0.7839
1968,7,3,4,88,0.5839
1968,7,3,5,98,-4.0134
1968,8,1,1,193,3.1602
1968,8,1,2,102,4.6609
1968,8,1,3,87,6.3148
1968,8,1,4,90,5.0754
1968,8,1,5,100,5.6803
1968,8,2,1,73,3.7796
1968,8,2,2,50,5.1012
1968,8,2,3,49,4.0032
1968,8,2,4,43,5.2494
1968,8,2,5,49,4.9568
1968,8,3,1,63,0.5101
