year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1967,1,1,1,110,20.3009
1967,1,1,2,73,19.6889
1967,1,1,3,70,20.8374
1967,1,1,4,42,18.7394
1967,1,1,5,26,16.3573
1967,1,2,1,44,19.2343
1967,1,2,2,32,20.0444
1967,1,2,3,30,15.9572
1967,1,2,4,38,15.0410
1967,1,2,5,24,17.5892
1967,1,3,1,55,9.5611
1967,1,3,2,69,9.2466
1967,1,3,3,70,6.0072
1967,1,3,4,79,10.0716
1967,1,3,5,95,8.2077
1967,2,1,1,97,4.9640
1967,2,1,2,64,4.7428
1967,2,1,3,70,5.7447
1967,2,1,4,53,2.2925
1967,2,1,5,34,4.5333
1967,2,2,1,44,0.5950
1967,2,2,2,33,1.9264
1967,2,2,3,35,3.5274
1967,2,2,4,34,4.3113
1967,2,2,5,28,2.7499
1967,2,3,1,64,-0.6992
1967,2,3,2,68,1.4619
1967,2,3,3,69,-0.3215
1967,2,3,4,82,1.1442
1967,2,3,5,87,3.9335
1967,3,1,1,92,8.8525
1967,3,1,2,66,7.5331
1967,3,1,3,74,6.8173
1967,3,1,4,53,3.4309
1967,3,1,5,36,6.1032
1967,3,2,1,43,8.4179
1967,3,2,2,34,5.5425
1967,3,2,3,36,6.9763
1967,3,2,4,32,6.6362
1967,3,2,5,31,6.3181
1967,3,3,1,67,5.3385
1967,3,3,2,67,4.4581
1967,3,3,3,65,4.4177
1967,3,3,4,85,5.2262
1967,3,3,5,85,4.3071
1967,4,1,1,92,4.5537
1967,4,1,2,67,4.3751
1967,4,1,3,78,6.1962
1967,4,1,4,52,1.6435
1967,4,1,5,38,4.3545
1967,4,2,1,40,6.3383
1967,4,2,2,36,3.6098
1967,4,2,3,35,5.3543
1967,4,2,4,36,4.1387
1967,4,2,5,32,4.4900
1967,4,3,1,69,8.8647
1967,4,3,2,64,3.3537
1967,4,3,3,66,1.9413
1967,4,3,4,83,4.6903
1967,4,3,5,84,4.9061
1967,5,1,1,77,1.0900
1967,5,1,2,82,1.3367
1967,5,1,3,71,-0.4567
1967,5,1,4,61,1.0999
1967,5,1,5,54,0.6235
1967,5,2,1,39,-3.2040
1967,5,2,2,43,-1.2503
1967,5,2,3,33,1.9304
1967,5,2,4,37,0.9270
1967,5,2,5,43,-3.5323
1967,5,3,1,75,-5.3204
1967,5,3,2,62,-3.8604
1967,5,3,3,79,-5.0085
1967,5,3,4,85,-3.6665
1967,5,3,5,78,-4.4189
1967,6,1,1,73,12.6362
1967,6,1,2,85,10.2976
1967,6,1,3,68,12.2792
1967,6,1,4,62,6.3982
1967,6,1,5,58,7.1370
1967,6,2,1,42,6.0398
1967,6,2,2,44,7.7431
1967,6,2,3,30,8.4414
1967,6,2,4,39,7.9672
1967,6,2,5,41,7.9672
1967,6,3,1,78,3.1765
1967,6,3,2,63,0.3303
1967,6,3,3,82,3.3178
1967,6,3,4,85,1.6554
1967,6,3,5,77,3.1533
1967,7,1,1,74,8.1322
1967,7,1,2,83,10.0803
1967,7,1,3,63,10.1122
1967,7,1,4,65,11.5960
1967,7,1,5,62,9.7064
1967,7,2,1,41,8.4786
1967,7,2,2,47,8.0558
1967,7,2,3,33,8.9521
1967,7,2,4,35,8.0580
1967,7,2,5,40,10.4623
1967,7,3,1,78,8.5281
1967,7,3,2,61,4.0962
1967,7,3,3,81,5.1878
1967,7,3,4,89,3.1960
1967,7,3,5,77,5.0850
1967,8,1,1,70,-1.1602
1967,8,1,2,70,-1.1894
1967,8,1,3,63,2.5521
1967,8,1,4,68,-0.8599
1967,8,1,5,78,2.2117
1967,8,2,1,40,-0.6744
1967,8,2,2,40,-0.2547
1967,8,2,3,33,0.5816
1967,8,2,4,36,0.8542
1967,8,2,5,46,0.3605
1967,8,3,1,79,0.3420
1967,8,3,2,74,-1.3273
1967,8,3,3,82,-0.5546
1967,8,3,4,83,-1.1358
1967,8,3,5,70,-1.8080
1967,9,1,1,67,5.2471
1967,9,1,2,73,11.5222
1967,9,1,3,63,5.9289
1967,9,1,4,69,6.2876
1967,9,1,5,78,8.2175
1967,9,2,1,39,4.0563
1967,9,2,2,38,4.6700
1967,9,2,3,35,5.0837
1967,9,2,4,35,4.4345
1967,9,2,5,53,5.0641
1967,9,3,1,81,4.3892
1967,9,3,2,75,4.7689
1967,9,3,3,78,5.7613
1967,9,3,4,84,2.5006
1967,9,3,5,67,1.7060
1967,10,1,1,66,0.2425
1967,10,1,2,74,-2.1336
1967,10,1,3,65,-1.4365
1967,10,1,4,69,-1.7708
1967,10,1,5,77,-2.8884
1967,10,2,1,40,-0.1429
1967,10,2,2,43,-4.0273
1967,10,2,3,33,-1.2708
1967,10,2,4,35,-5.0496
1967,10,2,5,53,-4.5070
1967,10,3,1,80,-2.9918
1967,10,3,2,72,-4.2443
1967,10,3,3,80,-0.7074
1967,10,3,4,84,-1.6374
1967,10,3,5,68,-1.1952
1967,11,1,1,63,0.0133
1967,11,1,2,64,0.6243
1967,11,1,3,62,1.0928
1967,11,1,4,82,2.6904
1967,11,1,5,83,-0.6343
1967,11,2,1,41,-0.5332
1967,11,2,2,38,0.2529
1967,11,2,3,38,2.1401
1967,11,2,4,43,0.6448
1967,11,2,5,54,-0.6285
1967,11,3,1,80,-0.0301
1967,11,3,2,82,-0.3002
1967,11,3,3,81,0.1972
1967,11,3,4,70,1.2742
1967,11,3,5,66,0.7360
1967,12,1,1,60,6.8965
1967,12,1,2,67,9.9847
1967,12,1,3,64,10.3359
1967,12,1,4,81,9.8653
1967,12,1,5,87,7.2311
1967,12,2,1,40,4.4656
1967,12,2,2,36,6.2920
1967,12,2,3,35,7.7988
1967,12,2,4,47,9.6857
1967,12,2,5,48,6.4307
1967,12,3,1,83,0.4863
1967,12,3,2,83,3.0556
1967,12,3,3,83,3.8153
1967,12,3,4,70,2.3045
1967,12,3,5,65,3.3687
1968,1,1,1,63,4.5479
1968,1,1,2,71,3.3411
1968,1,1,3,59,4.9128
1968,1,1,4,81,0.7480
1968,1,1,5,93,4.5528
1968,1,2,1,39,-2.2212
1968,1,2,2,34,-0.3290
1968,1,2,3,34,0.7877
1968,1,2,4,45,1.8391
1968,1,2,5,47,-0.7762
1968,1,3,1,84,-9.5205
1968,1,3,2,83,-5.3958
1968,1,3,3,86,-4.1040
1968,1,3,4,71,-3.2924
1968,1,3,5,65,-6.2631
1968,2,1,1,52,-7.5498
1968,2,1,2,80,-6.0212
1968,2,1,3,73,-6.8158
1968,2,1,4,77,-6.1428
1968,2,1,5,95,-3.8724
1968,2,2,1,49,-8.7301
1968,2,2,2,39,-5.2350
1968,2,2,3,45,-3.2090
1968,2,2,4,35,-4.6736
1968,2,2,5,41,-1.2158
1968,2,3,1,80,-5.0255
1968,2,3,2,80,-3.5219
1968,2,3,3,70,-3.6640
1968,2,3,4,81,-2.1100
1968,2,3,5,73,-2.9064
1968,3,1,1,59,-2.2170
1968,3,1,2,82,-1.8446
1968,3,1,3,78,-0.1539
1968,3,1,4,79,0.2953
1968,3,1,5,89,-2.3593
1968,3,2,1,50,-0.8222
1968,3,2,2,38,-3.2821
1968,3,2,3,45,-1.2337
1968,3,2,4,32,-0.1435
1968,3,2,5,47,0.6076
1968,3,3,1,75,1.6648
1968,3,3,2,80,-0.0496
1968,3,3,3,71,0.2172
1968,3,3,4,81,0.2340
1968,3,3,5,76,3.2777
1968,4,1,1,63,16.7610
1968,4,1,2,83,16.4785
1968,4,1,3,82,16.1813
1968,4,1,4,71,18.1937
1968,4,1,5,94,16.9383
1968,4,2,1,45,15.8637
1968,4,2,2,37,13.7407
1968,4,2,3,45,15.0085
1968,4,2,4,36,13.0293
1968,4,2,5,41,12.5138
1968,4,3,1,79,12.3699
1968,4,3,2,82,10.2683
1968,4,3,3,67,9.5588
1968,4,3,4,81,6.6127
1968,4,3,5,78,9.7771
1968,5,1,1,113,10.9648
1968,5,1,2,91,10.8238
1968,5,1,3,71,13.8642
1968,5,1,4,68,12.5244
1968,5,1,5,117,13.2023
1968,5,2,1,56,8.2327
1968,5,2,2,44,5.8356
1968,5,2,3,32,9.1696
1968,5,2,4,35,5.0568
1968,5,2,5,56,9.2046
1968,5,3,1,74,2.2705
1968,5,3,2,76,2.2846
1968,5,3,3,93,4.3237
1968,5,3,4,88,-0.0176
1968,5,3,5,65,2.7297
1968,6,1,1,117,-0.0101
1968,6,1,2,89,0.8183
1968,6,1,3,60,3.1213
1968,6,1,4,67,1.2460
1968,6,1,5,131,0.0377
1968,6,2,1,56,-0.4146
1968,6,2,2,42,-0.2557
1968,6,2,3,33,-1.0311
1968,6,2,4,39,1.2696
1968,6,2,5,52,-0.7428
1968,6,3,1,75,-0.0381
1968,6,3,2,78,0.2849
1968,6,3,3,96,-0.2029
1968,6,3,4,86,1.0821
1968,6,3,5,65,-0.5198
1968,7,1,1,119,-3.4754
1968,7,1,2,82,-4.1122
1968,7,1,3,58,-3.2951
1968,7,1,4,69,-1.8238
1968,7,1,5,132,-2.9055
1968,7,2,1,57,-7.8857
1968,7,2,2,43,-4.7665
1968,7,2,3,38,-2.1146
1968,7,2,4,39,-0.4547
1968,7,2,5,53,-3.2593
1968,7,3,1,75,-5.9743
1968,7,3,2,78,-5.0053
1968,7,3,3,91,-1.6997
1968,7,3,4,87,1.0145
1968,7,3,5,62,-3.8805
1968,8,1,1,116,3.3856
1968,8,1,2,90,3.1876
1968,8,1,3,60,4.5144
1968,8,1,4,70,4.4067
1968,8,1,5,127,6.9387
1968,8,2,1,53,2.8593
1968,8,2,2,55,3.6779
1968,8,2,3,39,3.8656
1968,8,2,4,38,4.0341
1968,8,2,5,47,5.9601
1968,8,3,1,79,0.3817
1968,8,3,2,72,2.5498
1968,8,3,3,83,0.6435
1968,8,3,4,95,1.6371
1968,8,3,5,66,1.8970
1968,9,1,1,120,7.6335
1968,9,1,2,95,4.8458
1968,9,1,3,64,5.8385
1968,9,1,4,63,9.2137
1968,9,1,5,128,7.4219
1968,9,2,1,58,8.1154
1968,9,2,2,54,5.2960
1968,9,2,3,33,9.2615
1968,9,2,4,38,6.8397
1968,9,2,5,46,7.2434
1968,9,3,1,74,5.7821
1968,9,3,2,71,4.9400
1968,9,3,3,88,5.9638
1968,9,3,4,94,2.0303
1968,9,3,5,68,5.4326
1968,10,1,1,122,0.3019
1968,10,1,2,96,-0.2598
1968,10,1,3,58,3.2016
1968,10,1,4,65,-1.2524
1968,10,1,5,128,0.0723
1968,10,2,1,58,-2.2543
1968,10,2,2,51,1.1660
1968,10,2,3,39,0.9067
1968,10,2,4,37,1.4098
1968,10,2,5,44,3.7244
1968,10,3,1,72,-0.1735
1968,10,3,2,75,0.7572
1968,10,3,3,86,1.0881
1968,10,3,4,94,-0.3153
1968,10,3,5,72,2.8605
1968,11,1,1,138,8.0442
1968,11,1,2,78,4.8316
1968,11,1,3,67,6.8623
1968,11,1,4,66,7.1974
1968,11,1,5,132,8.2721
1968,11,2,1,60,9.8500
1968,11,2,2,44,6.6107
1968,11,2,3,39,9.2241
1968,11,2,4,44,6.5688
1968,11,2,5,43,8.4117
1968,11,3,1,67,8.1237
1968,11,3,2,80,4.0509
1968,11,3,3,87,6.2434
1968,11,3,4,88,4.2011
1968,11,3,5,73,6.4522
1968,12,1,1,140,2.4067
1968,12,1,2,86,1.9977
1968,12,1,3,67,0.9480
1968,12,1,4,61,-0.3204
1968,12,1,5,125,3.2911
1968,12,2,1,62,-0.6436
1968,12,2,2,43,-0.3100
1968,12,2,3,40,-0.1823
1968,12,2,4,42,-1.0132
1968,12,2,5,48,-1.3575
1968,12,3,1,68,-2.8136
1968,12,3,2,81,-4.0720
1968,12,3,3,87,-3.3324
1968,12,3,4,90,-4.3339
1968,12,3,5,69,-4.6232
1969,1,1,1,145,-1.8640
1969,1,1,2,84,-1.4200
1969,1,1,3,67,-1.8751
1969,1,1,4,63,-1.6550
1969,1,1,5,121,-0.4639
1969,1,2,1,59,-1.7038
1969,1,2,2,40,-1.7740
1969,1,2,3,44,-1.9679
1969,1,2,4,42,-0.7941
1969,1,2,5,46,-0.5980
1969,1,3,1,69,-2.9045
1969,1,3,2,86,-1.5852
1969,1,3,3,86,-1.9329
1969,1,3,4,89,0.4907
1969,1,3,5,70,-2.5347
1969,2,1,1,138,-12.0624
1969,2,1,2,94,-8.0992
1969,2,1,3,68,-8.5584
1969,2,1,4,66,-8.0508
1969,2,1,5,112,-8.2911
1969,2,2,1,64,-11.1082
1969,2,2,2,43,-8.6593
1969,2,2,3,43,-8.0365
1969,2,2,4,35,-7.4301
1969,2,2,5,49,-8.5960
1969,2,3,1,73,-6.3156
1969,2,3,2,83,-4.2381
1969,2,3,3,89,-5.2309
1969,2,3,4,87,-3.2889
1969,2,3,5,68,-4.5179
1969,3,1,1,151,2.3135
1969,3,1,2,84,1.1834
1969,3,1,3,66,2.3761
1969,3,1,4,69,1.3479
1969,3,1,5,116,4.1053
1969,3,2,1,59,-1.4370
1969,3,2,2,44,3.3720
1969,3,2,3,50,6.1287
1969,3,2,4,37,3.0058
1969,3,2,5,42,4.5738
1969,3,3,1,73,0.4595
1969,3,3,2,82,4.5463
1969,3,3,3,87,4.8038
1969,3,3,4,86,3.9814
1969,3,3,5,69,4.3224
1969,4,1,1,149,-1.6019
1969,4,1,2,81,-0.6705
1969,4,1,3,75,-0.8200
1969,4,1,4,69,-2.1800
1969,4,1,5,104,0.2152
1969,4,2,1,61,0.4542
1969,4,2,2,43,2.0355
1969,4,2,3,45,-1.2151
1969,4,2,4,37,3.2579
1969,4,2,5,45,1.9599
1969,4,3,1,68,3.1492
1969,4,3,2,86,2.9648
1969,4,3,3,86,1.8912
1969,4,3,4,88,2.7079
1969,4,3,5,74,1.9177
1969,5,1,1,190,0.0480
1969,5,1,2,67,0.7848
1969,5,1,3,72,-0.4651
1969,5,1,4,72,1.2592
1969,5,1,5,89,1.4441
1969,5,2,1,62,-1.2249
1969,5,2,2,54,-0.0314
1969,5,2,3,53,-0.2048
1969,5,2,4,41,-0.2215
1969,5,2,5,51,-1.5135
1969,5,3,1,68,0.4900
1969,5,3,2,82,0.1506
1969,5,3,3,83,1.3956
1969,5,3,4,93,0.6126
1969,5,3,5,80,0.1764
1969,6,1,1,190,-14.0851
1969,6,1,2,84,-12.8688
1969,6,1,3,70,-11.2997
1969,6,1,4,67,-11.2081
1969,6,1,5,89,-13.1488
1969,6,2,1,63,-13.0653
1969,6,2,2,49,-8.7353
1969,6,2,3,48,-11.4435
1969,6,2,4,44,-9.8189
1969,6,2,5,52,-12.4978
1969,6,3,1,68,-10.2837
1969,6,3,2,81,-7.1846
1969,6,3,3,87,-6.8053
1969,6,3,4,96,-6.1726
1969,6,3,5,81,-2.3788
1969,7,1,1,195,-12.6502
1969,7,1,2,85,-10.8601
1969,7,1,3,72,-10.2666
1969,7,1,4,63,-9.0491
1969,7,1,5,97,-10.8044
1969,7,2,1,64,-13.2101
1969,7,2,2,46,-10.9079
1969,7,2,3,52,-8.5091
1969,7,2,4,44,-6.8338
1969,7,2,5,48,-7.9600
1969,7,3,1,66,-9.0658
1969,7,3,2,82,-8.6078
1969,7,3,3,87,-5.4426
1969,7,3,4,94,-5.7829
1969,7,3,5,81,-4.8349
1969,8,1,1,194,4.1823
1969,8,1,2,121,4.3223
1969,8,1,3,71,4.5063
1969,8,1,4,61,4.3118
1969,8,1,5,74,3.9626
1969,8,2,1,69,9.0290
1969,8,2,2,50,6.2907
1969,8,2,3,42,6.2383
1969,8,2,4,43,5.3892
1969,8,2,5,50,6.2530
1969,8,3,1,61,10.5119
