year,month,rank_ME,rank_TBIq_12,nstocks,ret_vw
1967,1,1,1,15,27.7833
1967,1,1,2,9,21.1039
1967,1,1,3,11,19.5991
1967,1,1,4,10,19.4445
1967,1,1,5,9,22.4749
1967,1,2,1,23,18.1964
1967,1,2,2,24,17.0198
1967,1,2,3,24,18.4839
1967,1,2,4,19,18.2756
1967,1,2,5,31,16.4268
1967,1,3,1,76,8.2468
1967,1,3,2,74,9.3320
1967,1,3,3,71,8.6175
1967,1,3,4,73,8.0307
1967,1,3,5,68,7.1952
1967,2,1,1,33,2.1013
1967,2,1,2,18,5.6210
1967,2,1,3,17,3.6878
1967,2,1,4,14,3.7516
1967,2,1,5,17,2.9107
1967,2,2,1,32,1.6776
1967,2,2,2,35,0.5285
1967,2,2,3,35,2.7016
1967,2,2,4,31,0.9013
1967,2,2,5,44,2.7643
1967,2,3,1,93,-0.7624
1967,2,3,2,107,-0.6103
1967,2,3,3,106,0.9702
1967,2,3,4,105,4.2167
1967,2,3,5,90,3.2746
1967,3,1,1,36,7.3705
1967,3,1,2,23,3.8328
1967,3,1,3,23,7.0534
1967,3,1,4,16,9.8042
1967,3,1,5,19,7.3634
1967,3,2,1,35,8.1318
1967,3,2,2,37,6.6608
1967,3,2,3,40,5.3182
1967,3,2,4,38,9.9812
1967,3,2,5,48,7.4083
1967,3,3,1,97,4.4670
1967,3,3,2,112,6.3391
1967,3,3,3,114,3.6085
1967,3,3,4,112,4.7264
1967,3,3,5,97,4.6213
1967,4,1,1,40,1.4123
1967,4,1,2,30,2.8900
1967,4,1,3,27,6.8471
1967,4,1,4,18,11.1690
1967,4,1,5,26,4.3452
1967,4,2,1,40,5.9129
1967,4,2,2,38,4.7519
1967,4,2,3,41,4.8480
1967,4,2,4,42,2.8136
1967,4,2,5,49,4.2266
1967,4,3,1,100,4.9326
1967,4,3,2,117,4.9497
1967,4,3,3,119,2.9706
1967,4,3,4,115,3.6333
1967,4,3,5,101,7.2780
1967,5,1,1,59,1.4897
1967,5,1,2,43,1.3198
1967,5,1,3,43,0.4444
1967,5,1,4,36,-0.5631
1967,5,1,5,42,-0.7040
1967,5,2,1,50,-2.8916
1967,5,2,2,60,0.0414
1967,5,2,3,54,-1.5421
1967,5,2,4,53,-0.5422
1967,5,2,5,65,-1.8945
1967,5,3,1,118,-3.9104
1967,5,3,2,159,-4.7852
1967,5,3,3,167,-5.0252
1967,5,3,4,146,-5.4708
1967,5,3,5,126,-4.4103
1967,6,1,1,60,11.0276
1967,6,1,2,48,14.1220
1967,6,1,3,44,11.1936
1967,6,1,4,40,8.9287
1967,6,1,5,46,12.8647
1967,6,2,1,54,10.7411
1967,6,2,2,64,8.0276
1967,6,2,3,57,5.1574
1967,6,2,4,55,8.3399
1967,6,2,5,68,6.6676
1967,6,3,1,118,1.1564
1967,6,3,2,161,1.2086
1967,6,3,3,175,2.2991
1967,6,3,4,153,2.3365
1967,6,3,5,130,4.6079
1967,7,1,1,62,11.0633
1967,7,1,2,50,8.9354
1967,7,1,3,45,7.7979
1967,7,1,4,47,6.8796
1967,7,1,5,49,8.6962
1967,7,2,1,59,10.2057
1967,7,2,2,67,8.4785
1967,7,2,3,57,7.7399
1967,7,2,4,58,8.3021
1967,7,2,5,71,8.8143
1967,7,3,1,120,7.2741
1967,7,3,2,161,4.5755
1967,7,3,3,182,1.0490
1967,7,3,4,160,5.0855
1967,7,3,5,130,5.4738
1967,8,1,1,94,0.5589
1967,8,1,2,76,0.4181
1967,8,1,3,76,-0.0915
1967,8,1,4,71,-0.6239
1967,8,1,5,89,1.6182
1967,8,2,1,82,-0.3333
1967,8,2,2,87,-0.3927
1967,8,2,3,80,0.2335
1967,8,2,4,79,-0.1991
1967,8,2,5,87,0.8291
1967,8,3,1,138,-0.8965
1967,8,3,2,184,-0.6775
1967,8,3,3,202,-0.8117
1967,8,3,4,179,0.1515
1967,8,3,5,145,-0.7701
1967,9,1,1,100,10.0770
1967,9,1,2,82,6.3780
1967,9,1,3,79,5.1111
1967,9,1,4,77,8.1215
1967,9,1,5,98,5.0297
1967,9,2,1,86,5.3572
1967,9,2,2,95,4.2632
1967,9,2,3,85,3.0881
1967,9,2,4,81,5.9573
1967,9,2,5,88,5.1521
1967,9,3,1,140,3.4965
1967,9,3,2,190,3.2848
1967,9,3,3,206,3.8525
1967,9,3,4,184,4.0054
1967,9,3,5,149,5.0017
1967,10,1,1,103,-2.2482
1967,10,1,2,86,-3.1879
1967,10,1,3,83,-2.4291
1967,10,1,4,79,-1.8843
1967,10,1,5,104,-2.1711
1967,10,2,1,89,-0.6454
1967,10,2,2,99,-3.6183
1967,10,2,3,89,-2.4888
1967,10,2,4,86,-1.7901
1967,10,2,5,93,-4.6613
1967,10,3,1,141,-4.9782
1967,10,3,2,191,-2.9302
1967,10,3,3,209,-3.9083
1967,10,3,4,186,-2.3247
1967,10,3,5,152,1.6712
1967,11,1,1,130,1.0651
1967,11,1,2,110,2.1205
1967,11,1,3,104,3.9646
1967,11,1,4,110,2.0642
1967,11,1,5,144,0.6330
1967,11,2,1,103,1.9114
1967,11,2,2,115,0.7919
1967,11,2,3,99,1.5520
1967,11,2,4,101,-0.1420
1967,11,2,5,113,0.7398
1967,11,3,1,155,-0.4636
1967,11,3,2,213,-0.5649
1967,11,3,3,227,-0.5130
1967,11,3,4,200,0.5130
1967,11,3,5,164,2.3705
1967,12,1,1,136,10.7573
1967,12,1,2,114,10.2342
1967,12,1,3,108,9.5458
1967,12,1,4,115,8.3701
1967,12,1,5,162,7.3476
1967,12,2,1,109,9.7172
1967,12,2,2,118,5.8261
1967,12,2,3,103,3.4046
1967,12,2,4,108,4.4911
1967,12,2,5,114,4.1859
1967,12,3,1,156,4.4294
1967,12,3,2,218,3.3362
1967,12,3,3,230,2.0485
1967,12,3,4,202,2.1114
1967,12,3,5,167,2.0841
1968,1,1,1,141,0.2644
1968,1,1,2,114,1.8296
1968,1,1,3,105,2.4435
1968,1,1,4,117,1.3529
1968,1,1,5,168,2.8445
1968,1,2,1,110,-0.0748
1968,1,2,2,118,-1.9603
1968,1,2,3,100,-0.1313
1968,1,2,4,104,-2.7381
1968,1,2,5,112,-1.8256
1968,1,3,1,154,-4.2768
1968,1,3,2,212,-5.3777
1968,1,3,3,222,-2.9507
1968,1,3,4,198,-6.8291
1968,1,3,5,159,-6.2024
1968,2,1,1,159,-6.3839
1968,2,1,2,137,-5.6371
1968,2,1,3,121,-4.5642
1968,2,1,4,138,-5.6878
1968,2,1,5,191,-5.7839
1968,2,2,1,118,-4.9593
1968,2,2,2,131,-4.7092
1968,2,2,3,108,-5.0520
1968,2,2,4,121,-5.0181
1968,2,2,5,122,-6.0462
1968,2,3,1,158,-3.2688
1968,2,3,2,224,-3.7488
1968,2,3,3,230,-2.6640
1968,2,3,4,209,-2.8509
1968,2,3,5,166,-2.8131
1968,3,1,1,170,0.2025
1968,3,1,2,148,-0.1318
1968,3,1,3,125,0.2960
1968,3,1,4,149,0.4300
1968,3,1,5,201,-0.7106
1968,3,2,1,121,-1.1080
1968,3,2,2,132,0.0411
1968,3,2,3,109,-0.9812
1968,3,2,4,124,-0.5081
1968,3,2,5,128,-0.8926
1968,3,3,1,158,-0.5268
1968,3,3,2,226,0.3526
1968,3,3,3,234,0.2493
1968,3,3,4,208,1.9526
1968,3,3,5,167,3.8500
1968,4,1,1,164,18.4238
1968,4,1,2,140,15.6219
1968,4,1,3,122,17.0526
1968,4,1,4,149,15.6213
1968,4,1,5,204,16.0266
1968,4,2,1,118,16.0311
1968,4,2,2,126,13.8662
1968,4,2,3,104,13.0962
1968,4,2,4,121,13.1404
1968,4,2,5,123,14.9036
1968,4,3,1,150,7.1750
1968,4,3,2,211,9.3431
1968,4,3,3,220,7.8355
1968,4,3,4,201,12.5757
1968,4,3,5,156,10.4101
1968,5,1,1,205,9.2292
1968,5,1,2,168,10.6507
1968,5,1,3,146,11.0745
1968,5,1,4,165,10.3120
1968,5,1,5,248,10.9038
1968,5,2,1,133,6.7188
1968,5,2,2,138,7.8884
1968,5,2,3,124,7.8811
1968,5,2,4,133,8.2751
1968,5,2,5,149,7.6297
1968,5,3,1,167,2.8302
1968,5,3,2,238,1.0919
1968,5,3,3,240,-0.0959
1968,5,3,4,229,1.3373
1968,5,3,5,178,3.4944
1968,6,1,1,212,2.5311
1968,6,1,2,171,2.0615
1968,6,1,3,151,0.5921
1968,6,1,4,175,2.6851
1968,6,1,5,256,1.8015
1968,6,2,1,136,-0.1470
1968,6,2,2,142,-0.6363
1968,6,2,3,128,0.5538
1968,6,2,4,139,0.5563
1968,6,2,5,153,0.5383
1968,6,3,1,169,1.3274
1968,6,3,2,239,0.1424
1968,6,3,3,241,1.1300
1968,6,3,4,233,-0.2502
1968,6,3,5,183,-0.7961
1968,7,1,1,207,-3.3159
1968,7,1,2,166,-4.8507
1968,7,1,3,148,-2.8376
1968,7,1,4,170,-2.8698
1968,7,1,5,262,-3.0437
1968,7,2,1,129,-3.1019
1968,7,2,2,130,-3.5284
1968,7,2,3,120,-3.8084
1968,7,2,4,139,-4.8381
1968,7,2,5,152,-5.3480
1968,7,3,1,158,-0.0848
1968,7,3,2,217,-1.0376
1968,7,3,3,219,-2.1802
1968,7,3,4,206,-4.1358
1968,7,3,5,169,-3.9762
1968,8,1,1,238,3.7877
1968,8,1,2,198,5.3925
1968,8,1,3,185,5.3448
1968,8,1,4,202,6.2924
1968,8,1,5,281,4.5883
1968,8,2,1,142,3.7901
1968,8,2,2,147,5.7771
1968,8,2,3,145,3.8528
1968,8,2,4,161,4.3410
1968,8,2,5,167,4.1153
1968,8,3,1,172,1.1103
1968,8,3,2,236,2.4264
1968,8,3,3,244,1.9240
1968,8,3,4,223,2.0130
1968,8,3,5,192,0.9988
1968,9,1,1,247,7.8732
1968,9,1,2,205,7.5641
1968,9,1,3,199,6.9351
1968,9,1,4,214,6.3530
1968,9,1,5,289,7.1252
1968,9,2,1,142,7.3301
1968,9,2,2,151,6.4592
1968,9,2,3,155,6.7127
1968,9,2,4,163,7.9197
1968,9,2,5,168,8.1816
1968,9,3,1,173,5.8330
1968,9,3,2,237,4.8646
1968,9,3,3,246,3.7609
1968,9,3,4,228,3.8572
1968,9,3,5,198,2.9811
1968,10,1,1,238,-0.9942
1968,10,1,2,202,0.6854
1968,10,1,3,196,1.1860
1968,10,1,4,210,0.7272
1968,10,1,5,281,-0.4726
1968,10,2,1,140,0.0371
1968,10,2,2,148,0.4775
1968,10,2,3,151,1.5639
1968,10,2,4,159,2.2610
1968,10,2,5,168,0.2523
1968,10,3,1,167,2.5829
1968,10,3,2,225,2.0208
1968,10,3,3,237,1.4118
1968,10,3,4,219,1.4018
1968,10,3,5,197,-2.5730
1968,11,1,1,261,9.0673
1968,11,1,2,225,6.6704
1968,11,1,3,225,6.6945
1968,11,1,4,232,7.7744
1968,11,1,5,334,7.6218
1968,11,2,1,147,8.4161
1968,11,2,2,165,7.5193
1968,11,2,3,165,7.5741
1968,11,2,4,169,7.3518
1968,11,2,5,185,8.4369
1968,11,3,1,179,5.5220
1968,11,3,2,243,5.0048
1968,11,3,3,255,5.5253
1968,11,3,4,241,3.7737
