year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1967,12,2,1,60,3.8176
1967,12,2,2,48,5.3360
1967,12,2,3,39,5.2829
1967,12,2,4,43,5.4200
1967,12,2,5,67,11.2451
1967,12,3,1,68,2.0312
1967,12,3,2,91,3.9043
1967,12,3,3,107,1.2558
1967,12,3,4,111,3.1483
1967,12,3,5,100,2.6465
1968,1,1,1,144,5.7841
1968,1,1,2,87,5.0066
1968,1,1,3,64,4.1199
1968,1,1,4,61,-0.9500
1968,1,1,5,107,0.9361
1968,1,2,1,55,0.6038
1968,1,2,2,48,0.9352
1968,1,2,3,39,1.9409
1968,1,2,4,44,0.1528
1968,1,2,5,70,-3.5691
1968,1,3,1,69,-2.5299
1968,1,3,2,90,-4.4945
1968,1,3,3,108,-0.4682
1968,1,3,4,106,-5.9374
1968,1,3,5,108,-7.2507
1968,2,1,1,117,-8.3217
1968,2,1,2,70,-4.6929
1968,2,1,3,72,-4.7633
1968,2,1,4,65,-5.6868
1968,2,1,5,119,-6.7086
1968,2,2,1,59,-6.6316
1968,2,2,2,52,-3.9201
1968,2,2,3,38,-1.8982
1968,2,2,4,60,-4.8842
1968,2,2,5,61,-6.2133
1968,2,3,1,72,-3.3947
1968,2,3,2,90,-2.1532
1968,2,3,3,105,-2.5325
1968,2,3,4,95,-3.4267
1968,2,3,5,108,-3.5185
1968,3,1,1,132,-2.4002
1968,3,1,2,69,-2.2165
1968,3,1,3,73,2.1332
1968,3,1,4,74,-2.0458
1968,3,1,5,122,-0.5221
1968,3,2,1,53,-0.0357
1968,3,2,2,52,-0.7380
1968,3,2,3,38,-2.9018
1968,3,2,4,59,-3.3402
1968,3,2,5,67,0.8853
1968,3,3,1,73,0.2754
1968,3,3,2,89,-2.4595
1968,3,3,3,109,-0.1587
1968,3,3,4,94,1.4630
1968,3,3,5,105,2.1482
1968,4,1,1,135,15.4895
1968,4,1,2,72,13.8305
1968,4,1,3,72,13.4898
1968,4,1,4,83,17.3237
1968,4,1,5,121,19.1327
