year,month,rank_ME,rank_OPA,nstocks,ret_vw
1967,12,2,1,59,10.2713
1967,12,2,2,50,5.1829
1967,12,2,3,55,5.8292
1967,12,2,4,51,5.7438
1967,12,2,5,56,5.8119
1967,12,3,1,48,3.8715
1967,12,3,2,84,2.8171
1967,12,3,3,90,2.0956
1967,12,3,4,92,3.3065
1967,12,3,5,109,2.4725
1968,1,1,1,230,5.0896
1968,1,1,2,113,3.1725
1968,1,1,3,80,1.5717
1968,1,1,4,91,1.9099
1968,1,1,5,63,-0.0246
1968,1,2,1,59,1.0648
1968,1,2,2,50,0.7735
1968,1,2,3,55,0.3741
1968,1,2,4,51,-3.6218
1968,1,2,5,56,-4.0458
1968,1,3,1,48,-6.4675
1968,1,3,2,84,-1.5661
1968,1,3,3,90,-4.3914
1968,1,3,4,92,-6.2665
1968,1,3,5,109,-6.4698
1968,2,1,1,230,-8.4564
1968,2,1,2,113,-7.2048
1968,2,1,3,79,-5.8179
1968,2,1,4,91,-6.3331
1968,2,1,5,63,-5.5421
1968,2,2,1,59,-4.0665
1968,2,2,2,49,-6.3184
1968,2,2,3,55,-5.8840
1968,2,2,4,51,-4.1311
1968,2,2,5,56,-5.2146
1968,2,3,1,48,-5.7196
1968,2,3,2,84,-2.6055
1968,2,3,3,90,-3.1188
1968,2,3,4,91,-3.6386
1968,2,3,5,109,-2.9535
1968,3,1,1,231,-1.9727
1968,3,1,2,113,-0.3471
1968,3,1,3,79,-0.6058
1968,3,1,4,91,-0.9831
1968,3,1,5,63,-0.4250
1968,3,2,1,59,-1.9526
1968,3,2,2,49,-1.3213
1968,3,2,3,55,-0.6475
1968,3,2,4,51,-0.5113
1968,3,2,5,56,-1.0061
1968,3,3,1,48,2.1499
1968,3,3,2,84,-0.1278
1968,3,3,3,90,0.9899
1968,3,3,4,91,1.6118
1968,3,3,5,109,2.3398
1968,4,1,1,231,19.8803
1968,4,1,2,113,18.0767
1968,4,1,3,78,19.2865
1968,4,1,4,91,15.4696
1968,4,1,5,63,14.9168
1968,4,2,1,59,13.8433
1968,4,2,2,49,13.4298
1968,4,2,3,55,15.4172
1968,4,2,4,51,13.4154
1968,4,2,5,56,14.7582
1968,4,3,1,48,14.4981
1968,4,3,2,84,7.0060
1968,4,3,3,90,7.0108
1968,4,3,4,91,10.9334
1968,4,3,5,109,10.8596
1968,5,1,1,230,12.5076
1968,5,1,2,113,10.5074
1968,5,1,3,78,11.1966
1968,5,1,4,91,9.9427
1968,5,1,5,63,14.1098
1968,5,2,1,59,9.0264
1968,5,2,2,49,8.8171
1968,5,2,3,55,8.0494
1968,5,2,4,50,7.9053
1968,5,2,5,56,6.3727
1968,5,3,1,48,4.7025
1968,5,3,2,84,0.9600
1968,5,3,3,90,-0.1550
1968,5,3,4,91,2.5071
1968,5,3,5,109,2.8592
1968,6,1,1,230,-1.0725
1968,6,1,2,113,2.1777
1968,6,1,3,78,0.9715
1968,6,1,4,91,-0.4991
1968,6,1,5,63,-0.6878
1968,6,2,1,59,-1.2844
1968,6,2,2,49,-0.2257
1968,6,2,3,55,-0.8789
1968,6,2,4,50,-0.6619
1968,6,2,5,56,1.2687
1968,6,3,1,48,1.0121
1968,6,3,2,84,1.7612
1968,6,3,3,90,0.6778
1968,6,3,4,91,-1.0178
1968,6,3,5,109,-0.4240
1968,7,1,1,250,-2.1029
1968,7,1,2,110,-3.2350
1968,7,1,3,90,-4.3699
1968,7,1,4,85,-4.0622
1968,7,1,5,101,-4.8308
1968,7,2,1,59,-5.8697
1968,7,2,2,62,-4.1638
1968,7,2,3,54,-1.6793
1968,7,2,4,62,-3.7896
1968,7,2,5,58,-6.5796
1968,7,3,1,52,-2.6773
1968,7,3,2,80,-0.8333
1968,7,3,3,84,-1.0835
1968,7,3,4,102,0.3798
1968,7,3,5,104,-4.4600
1968,8,1,1,249,4.6543
1968,8,1,2,110,3.8047
1968,8,1,3,90,5.5396
1968,8,1,4,85,4.6044
1968,8,1,5,101,4.5171
1968,8,2,1,59,4.4970
1968,8,2,2,62,5.4301
1968,8,2,3,54,2.1016
1968,8,2,4,61,4.9264
1968,8,2,5,58,4.7073
1968,8,3,1,51,1.9265
1968,8,3,2,80,1.8808
1968,8,3,3,84,1.5601
1968,8,3,4,102,1.5380
1968,8,3,5,104,1.3597
1968,9,1,1,249,8.4494
1968,9,1,2,110,8.3297
1968,9,1,3,90,6.6828
1968,9,1,4,85,7.0675
1968,9,1,5,101,6.0128
1968,9,2,1,59,7.5484
1968,9,2,2,62,6.4323
1968,9,2,3,54,7.1770
1968,9,2,4,60,7.3819
1968,9,2,5,58,6.9640
1968,9,3,1,51,7.7222
1968,9,3,2,80,6.6445
1968,9,3,3,84,4.9021
1968,9,3,4,102,4.0905
1968,9,3,5,104,2.0323
1968,10,1,1,248,-0.2062
1968,10,1,2,109,0.2197
1968,10,1,3,90,0.1162
1968,10,1,4,85,1.9059
1968,10,1,5,101,0.4669
1968,10,2,1,59,-0.6637
1968,10,2,2,62,-0.6504
1968,10,2,3,54,1.6210
1968,10,2,4,60,1.3966
1968,10,2,5,58,2.4111
1968,10,3,1,51,1.1631
1968,10,3,2,80,1.5373
1968,10,3,3,84,2.8993
1968,10,3,4,101,0.8995
1968,10,3,5,104,-0.9958
1968,11,1,1,247,7.2608
1968,11,1,2,109,6.3999
1968,11,1,3,90,6.7252
1968,11,1,4,85,6.9106
1968,11,1,5,101,8.1159
1968,11,2,1,59,8.5933
1968,11,2,2,62,8.3512
1968,11,2,3,54,7.2474
1968,11,2,4,61,6.7851
1968,11,2,5,58,8.2328
1968,11,3,1,51,6.0840
1968,11,3,2,80,4.1645
1968,11,3,3,84,5.8759
1968,11,3,4,101,5.2130
1968,11,3,5,104,5.3390
1968,12,1,1,248,4.5576
1968,12,1,2,110,0.0576
1968,12,1,3,90,0.2012
1968,12,1,4,85,1.9477
1968,12,1,5,101,1.2358
1968,12,2,1,59,-1.6347
1968,12,2,2,62,-1.4205
1968,12,2,3,54,-0.1438
1968,12,2,4,61,-1.8181
1968,12,2,5,58,-1.1658
1968,12,3,1,51,-3.3322
1968,12,3,2,80,-4.2460
1968,12,3,3,84,-4.2359
1968,12,3,4,101,-3.3682
1968,12,3,5,104,-4.4636
1969,1,1,1,248,-0.6025
1969,1,1,2,110,-0.6783
1969,1,1,3,90,-3.5066
1969,1,1,4,85,-0.7714
1969,1,1,5,101,-1.9867
1969,1,2,1,59,-1.4131
1969,1,2,2,62,-2.3654
1969,1,2,3,54,-1.3285
1969,1,2,4,61,-2.5466
1969,1,2,5,58,-1.9275
1969,1,3,1,51,1.0413
1969,1,3,2,80,-0.6998
1969,1,3,3,84,-0.5685
1969,1,3,4,100,-1.7172
1969,1,3,5,104,-1.9279
1969,2,1,1,245,-11.9471
1969,2,1,2,110,-10.1082
1969,2,1,3,90,-8.3421
1969,2,1,4,85,-9.2848
1969,2,1,5,101,-8.4467
1969,2,2,1,59,-10.9005
1969,2,2,2,62,-8.1762
1969,2,2,3,54,-7.7233
1969,2,2,4,61,-6.9937
1969,2,2,5,58,-8.8182
1969,2,3,1,51,-7.7850
1969,2,3,2,80,-4.8185
1969,2,3,3,84,-5.7969
1969,2,3,4,100,-4.1549
1969,2,3,5,104,-2.9056
1969,3,1,1,245,4.3851
1969,3,1,2,110,0.8278
1969,3,1,3,90,2.3933
1969,3,1,4,85,2.5557
1969,3,1,5,101,1.5760
1969,3,2,1,58,2.9767
1969,3,2,2,62,2.4438
1969,3,2,3,54,4.6906
1969,3,2,4,61,3.1909
1969,3,2,5,58,1.9734
1969,3,3,1,51,1.0692
1969,3,3,2,80,6.3230
1969,3,3,3,84,2.9351
1969,3,3,4,100,4.4174
1969,3,3,5,104,3.3763
1969,4,1,1,243,-0.1097
1969,4,1,2,110,-2.0459
1969,4,1,3,90,0.9483
1969,4,1,4,85,-0.7194
1969,4,1,5,101,0.0585
1969,4,2,1,58,-0.9775
1969,4,2,2,62,1.6926
1969,4,2,3,53,1.1569
1969,4,2,4,61,0.5195
1969,4,2,5,58,3.3182
1969,4,3,1,51,4.0043
1969,4,3,2,80,0.4212
1969,4,3,3,84,4.5233
1969,4,3,4,98,0.9435
1969,4,3,5,104,2.7343
1969,5,1,1,244,2.8669
1969,5,1,2,110,1.7100
1969,5,1,3,90,0.5562
1969,5,1,4,85,-0.6439
1969,5,1,5,101,-1.4515
1969,5,2,1,59,-2.4995
1969,5,2,2,62,-0.1099
1969,5,2,3,53,3.3216
1969,5,2,4,61,-0.9552
1969,5,2,5,58,0.6368
1969,5,3,1,50,-1.9296
1969,5,3,2,80,0.6334
1969,5,3,3,84,0.9525
1969,5,3,4,98,0.5245
1969,5,3,5,104,0.3587
1969,6,1,1,245,-15.5708
1969,6,1,2,110,-13.8453
1969,6,1,3,90,-11.8936
1969,6,1,4,85,-15.1825
1969,6,1,5,101,-10.2485
1969,6,2,1,59,-12.1796
1969,6,2,2,62,-12.2838
1969,6,2,3,54,-11.8861
1969,6,2,4,61,-9.7612
1969,6,2,5,58,-9.1962
1969,6,3,1,50,-10.1298
1969,6,3,2,80,-9.0738
1969,6,3,3,84,-6.9450
1969,6,3,4,99,-6.6063
1969,6,3,5,104,-1.7615
1969,7,1,1,287,-13.3508
1969,7,1,2,128,-11.2680
1969,7,1,3,104,-9.6597
1969,7,1,4,101,-11.0636
1969,7,1,5,102,-10.3344
1969,7,2,1,62,-11.6376
1969,7,2,2,62,-10.9100
1969,7,2,3,70,-7.4782
1969,7,2,4,64,-8.8435
1969,7,2,5,64,-8.7395
1969,7,3,1,55,-10.1478
1969,7,3,2,86,-8.6472
1969,7,3,3,87,-5.4876
1969,7,3,4,112,-7.0821
1969,7,3,5,105,-4.1032
1969,8,1,1,286,3.7261
1969,8,1,2,128,3.1866
1969,8,1,3,104,4.7383
1969,8,1,4,101,3.2604
1969,8,1,5,102,7.0691
1969,8,2,1,62,7.3862
1969,8,2,2,62,6.0392
1969,8,2,3,70,6.3332
1969,8,2,4,64,6.1645
1969,8,2,5,64,6.3740
1969,8,3,1,55,4.6441
1969,8,3,2,86,6.4928
1969,8,3,3,87,2.9905
