year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1976,12,1,4,322,10.6016
1976,12,1,5,370,10.7456
1976,12,2,1,266,9.1036
1976,12,2,2,220,9.0438
1976,12,2,3,215,10.0055
1976,12,2,4,186,10.1956
1976,12,2,5,209,8.6599
1976,12,3,1,231,4.7445
1976,12,3,2,263,5.4194
1976,12,3,3,288,5.5191
1976,12,3,4,300,6.1056
1976,12,3,5,276,5.7305
1977,1,1,1,580,4.4968
1977,1,1,2,442,5.2243
1977,1,1,3,396,5.2349
1977,1,1,4,314,6.0365
1977,1,1,5,360,3.0284
1977,1,2,1,265,0.5981
1977,1,2,2,213,1.5264
1977,1,2,3,207,1.1989
1977,1,2,4,184,1.2106
1977,1,2,5,208,0.4409
1977,1,3,1,219,-6.1095
1977,1,3,2,253,-4.7405
1977,1,3,3,284,-5.4448
1977,1,3,4,291,-4.6094
1977,1,3,5,273,-4.6903
1977,2,1,1,638,-1.4019
1977,2,1,2,496,-1.3687
1977,2,1,3,440,-0.4334
1977,2,1,4,364,0.5618
1977,2,1,5,413,-0.8656
1977,2,2,1,282,-0.5311
1977,2,2,2,237,-1.1766
1977,2,2,3,231,-1.2656
1977,2,2,4,213,-1.0993
1977,2,2,5,226,-1.0979
1977,2,3,1,239,-2.3515
1977,2,3,2,275,-1.5865
1977,2,3,3,309,-1.7833
1977,2,3,4,333,-1.8926
1977,2,3,5,300,-2.0712
1977,3,1,1,668,1.2583
1977,3,1,2,519,0.3159
1977,3,1,3,456,0.3564
1977,3,1,4,385,0.4331
1977,3,1,5,430,0.6612
1977,3,2,1,285,-0.5054
1977,3,2,2,244,0.2507
1977,3,2,3,241,-0.6078
1977,3,2,4,219,0.0454
1977,3,2,5,235,0.3972
1977,3,3,1,237,-1.7120
1977,3,3,2,280,-0.7957
1977,3,3,3,320,-1.3242
1977,3,3,4,331,-1.6981
1977,3,3,5,305,-1.6879
1977,4,1,1,658,1.3229
1977,4,1,2,495,1.9426
1977,4,1,3,429,1.7137
1977,4,1,4,386,1.0212
1977,4,1,5,434,2.1458
1977,4,2,1,277,2.0755
1977,4,2,2,236,1.4784
1977,4,2,3,232,1.4154
1977,4,2,4,217,2.9323
1977,4,2,5,238,1.0489
1977,4,3,1,231,-0.0435
1977,4,3,2,270,0.1973
1977,4,3,3,300,0.0585
1977,4,3,4,313,0.7301
1977,4,3,5,302,-0.8217
1977,5,1,1,696,-0.9566
1977,5,1,2,549,0.4289
1977,5,1,3,481,0.3602
1977,5,1,4,441,0.5304
1977,5,1,5,505,0.0306
1977,5,2,1,301,-0.7644
1977,5,2,2,259,-1.0479
1977,5,2,3,263,0.1550
1977,5,2,4,249,-0.6880
1977,5,2,5,268,-0.2617
1977,5,3,1,297,-2.3541
1977,5,3,2,303,-1.8606
1977,5,3,3,327,-2.1103
1977,5,3,4,338,-2.0314
1977,5,3,5,333,-1.8585
1977,6,1,1,708,7.5129
1977,6,1,2,572,6.5455
1977,6,1,3,499,7.3829
1977,6,1,4,468,7.0911
1977,6,1,5,523,7.8176
1977,6,2,1,310,7.5094
1977,6,2,2,267,6.8155
1977,6,2,3,269,7.1495
1977,6,2,4,253,7.8512
1977,6,2,5,274,7.1184
1977,6,3,1,298,4.5915
1977,6,3,2,308,3.9639
1977,6,3,3,330,4.6687
1977,6,3,4,348,4.6040
1977,6,3,5,336,6.1253
1977,7,1,1,691,-0.5477
1977,7,1,2,535,-0.4634
1977,7,1,3,469,0.1220
1977,7,1,4,447,-0.0230
1977,7,1,5,509,-0.6951
1977,7,2,1,297,-1.7217
1977,7,2,2,256,-1.8643
1977,7,2,3,258,-1.6101
1977,7,2,4,247,-0.8977
1977,7,2,5,267,-1.5062
1977,7,3,1,270,-1.0342
1977,7,3,2,276,-3.3187
1977,7,3,3,310,-2.3723
1977,7,3,4,329,-2.6394
1977,7,3,5,325,-1.5647
1977,8,1,1,736,-1.6989
1977,8,1,2,567,-2.5095
1977,8,1,3,511,-1.9139
1977,8,1,4,488,-1.2522
1977,8,1,5,526,-1.9594
1977,8,2,1,309,-0.2493
1977,8,2,2,277,-1.7133
1977,8,2,3,277,-0.5236
1977,8,2,4,274,-0.9505
1977,8,2,5,274,0.6370
1977,8,3,1,281,0.6306
1977,8,3,2,303,-1.1897
1977,8,3,3,342,-1.5490
1977,8,3,4,349,-1.6455
1977,8,3,5,341,-1.1311
1977,9,1,1,734,0.6227
1977,9,1,2,575,0.6036
1977,9,1,3,521,0.8344
1977,9,1,4,501,1.4749
1977,9,1,5,522,2.0436
1977,9,2,1,307,0.0543
1977,9,2,2,286,0.3463
1977,9,2,3,277,0.8094
1977,9,2,4,275,1.4806
1977,9,2,5,282,1.2542
1977,9,3,1,281,-0.4634
1977,9,3,2,303,-1.3250
1977,9,3,3,346,-0.5561
1977,9,3,4,356,-0.1696
1977,9,3,5,342,-0.0580
1977,10,1,1,707,-2.6588
1977,10,1,2,537,-3.8479
1977,10,1,3,494,-2.0736
1977,10,1,4,473,-2.0710
1977,10,1,5,501,-2.8591
1977,10,2,1,295,-3.0696
1977,10,2,2,259,-3.0257
1977,10,2,3,260,-2.1433
1977,10,2,4,274,-3.8716
1977,10,2,5,263,-3.4236
1977,10,3,1,269,-3.8113
1977,10,3,2,284,-3.5177
1977,10,3,3,324,-4.9713
1977,10,3,4,335,-4.2118
1977,10,3,5,329,-3.6600
1977,11,1,1,734,9.3553
1977,11,1,2,563,10.1367
1977,11,1,3,514,9.7582
1977,11,1,4,495,10.8962
