year,month,rank_ME,rank_OLAq_12,nstocks,ret_vw
1976,1,1,1,80,27.5182
1976,1,1,2,69,22.6249
1976,1,1,3,58,23.8645
1976,1,1,4,34,26.6569
1976,1,1,5,39,27.8275
1976,1,2,1,29,22.7221
1976,1,2,2,26,22.3486
1976,1,2,3,34,22.0348
1976,1,2,4,33,19.2213
1976,1,2,5,33,20.3018
1976,1,3,1,38,12.9603
1976,1,3,2,35,13.0300
1976,1,3,3,46,17.3025
1976,1,3,4,56,15.9771
1976,1,3,5,68,10.3749
1976,2,1,1,138,13.2289
1976,2,1,2,114,13.9163
1976,2,1,3,93,9.3418
1976,2,1,4,67,12.7493
1976,2,1,5,59,16.4896
1976,2,2,1,50,10.3585
1976,2,2,2,46,6.8354
1976,2,2,3,56,8.5224
1976,2,2,4,47,4.8545
1976,2,2,5,50,8.5674
1976,2,3,1,55,3.3514
1976,2,3,2,56,3.5556
1976,2,3,3,71,-0.2719
1976,2,3,4,91,0.6513
1976,2,3,5,99,-1.1546
1976,3,1,1,164,2.5102
1976,3,1,2,130,1.8379
1976,3,1,3,101,0.3958
1976,3,1,4,84,3.1510
1976,3,1,5,73,1.2926
1976,3,2,1,57,2.8415
1976,3,2,2,48,5.1077
1976,3,2,3,57,1.5808
1976,3,2,4,51,1.6722
1976,3,2,5,62,1.4845
1976,3,3,1,65,2.4550
1976,3,3,2,64,4.1715
1976,3,3,3,76,3.3199
1976,3,3,4,97,1.9604
1976,3,3,5,101,4.6846
1976,4,1,1,181,-3.6613
1976,4,1,2,136,-1.9635
1976,4,1,3,107,-0.9293
1976,4,1,4,90,-1.3630
1976,4,1,5,79,-3.1989
1976,4,2,1,68,-1.2976
1976,4,2,2,55,-1.5419
1976,4,2,3,61,0.8237
1976,4,2,4,56,-0.5889
1976,4,2,5,66,-2.1272
1976,4,3,1,71,-1.1743
1976,4,3,2,67,-2.2894
1976,4,3,3,82,0.6555
1976,4,3,4,105,-0.3299
1976,4,3,5,105,-0.8284
1976,5,1,1,266,-4.2852
1976,5,1,2,222,-1.6884
1976,5,1,3,168,-2.4077
1976,5,1,4,140,-2.9489
1976,5,1,5,115,-4.0512
1976,5,2,1,115,-1.7162
1976,5,2,2,88,-2.7958
1976,5,2,3,84,-0.8918
1976,5,2,4,78,-1.0048
1976,5,2,5,88,0.2007
1976,5,3,1,127,-1.5888
1976,5,3,2,100,-2.7221
1976,5,3,3,115,-1.8915
1976,5,3,4,142,0.2273
1976,5,3,5,133,1.3390
1976,6,1,1,275,3.1544
1976,6,1,2,242,4.3050
1976,6,1,3,183,3.6819
1976,6,1,4,151,3.6819
1976,6,1,5,122,4.2876
1976,6,2,1,123,3.9832
1976,6,2,2,96,6.5907
1976,6,2,3,91,4.9038
1976,6,2,4,87,4.6750
1976,6,2,5,93,3.1584
1976,6,3,1,134,6.0318
1976,6,3,2,104,4.3070
1976,6,3,3,123,5.1340
1976,6,3,4,145,3.2581
1976,6,3,5,143,3.2169
1976,7,1,1,278,-0.5941
1976,7,1,2,255,-0.2442
1976,7,1,3,195,-0.4808
1976,7,1,4,158,1.0064
1976,7,1,5,125,-0.7846
1976,7,2,1,128,-1.2516
1976,7,2,2,100,-1.0267
1976,7,2,3,98,-0.1371
1976,7,2,4,89,-0.5692
1976,7,2,5,101,-0.1940
1976,7,3,1,136,-0.9155
1976,7,3,2,106,-2.0953
1976,7,3,3,129,-1.8524
1976,7,3,4,150,-2.0277
1976,7,3,5,149,-0.9728
1976,8,1,1,326,-3.9347
1976,8,1,2,300,-3.6080
1976,8,1,3,219,-1.8426
1976,8,1,4,175,-2.6375
1976,8,1,5,147,-4.2298
1976,8,2,1,164,-2.5914
1976,8,2,2,157,-2.8823
1976,8,2,3,123,-2.5579
1976,8,2,4,124,-0.7859
1976,8,2,5,141,-3.1353
1976,8,3,1,164,-1.1772
1976,8,3,2,147,0.9893
1976,8,3,3,193,-1.2899
1976,8,3,4,207,-1.0377
1976,8,3,5,202,-0.7499
1976,9,1,1,363,1.2317
1976,9,1,2,317,1.7184
1976,9,1,3,232,1.6747
1976,9,1,4,186,3.1190
1976,9,1,5,153,3.5521
1976,9,2,1,178,3.2701
1976,9,2,2,164,1.4298
1976,9,2,3,133,2.4304
1976,9,2,4,129,4.0500
1976,9,2,5,145,3.4558
1976,9,3,1,168,2.4554
1976,9,3,2,150,2.3160
1976,9,3,3,202,2.2615
1976,9,3,4,212,2.8708
1976,9,3,5,205,3.0361
1976,10,1,1,454,-2.7723
1976,10,1,2,396,-2.5428
1976,10,1,3,289,-2.4520
1976,10,1,4,236,-1.7300
1976,10,1,5,185,-2.3564
1976,10,2,1,184,-3.4399
1976,10,2,2,172,-2.5322
1976,10,2,3,141,-1.6792
1976,10,2,4,136,-1.8364
1976,10,2,5,146,-4.4156
