year,month,rank_ME,rank_ATOq_12,nstocks,ret_vw
1972,1,1,1,24,15.7551
1972,1,1,2,17,16.5865
1972,1,1,3,12,13.9238
1972,1,1,4,12,13.4985
1972,1,1,5,16,11.0513
1972,1,2,1,8,9.3568
1972,1,2,2,7,10.7195
1972,1,2,3,11,6.4399
1972,1,2,4,6,6.3481
1972,1,2,5,9,4.8389
1972,1,3,1,7,7.0799
1972,1,3,2,9,5.8025
1972,1,3,3,7,5.1836
1972,1,3,4,13,2.0177
1972,1,3,5,6,-1.0092
1972,2,1,1,31,3.4393
1972,2,1,2,20,2.1462
1972,2,1,3,18,3.7640
1972,2,1,4,20,7.1744
1972,2,1,5,23,4.9833
1972,2,2,1,11,1.4986
1972,2,2,2,11,-0.1630
1972,2,2,3,19,2.1706
1972,2,2,4,15,8.7454
1972,2,2,5,13,1.3931
1972,2,3,1,15,4.7904
1972,2,3,2,15,-0.0830
1972,2,3,3,14,6.2079
1972,2,3,4,17,6.4371
1972,2,3,5,10,6.6359
1972,3,1,1,35,-1.1988
1972,3,1,2,28,-0.4515
1972,3,1,3,23,-0.7044
1972,3,1,4,31,1.1329
1972,3,1,5,29,-2.7137
1972,3,2,1,15,-1.6253
1972,3,2,2,13,-1.2061
1972,3,2,3,25,0.0817
1972,3,2,4,20,1.6698
1972,3,2,5,18,-2.9046
1972,3,3,1,21,-1.7424
1972,3,3,2,22,-0.7293
1972,3,3,3,18,2.1039
1972,3,3,4,25,1.5265
1972,3,3,5,14,-0.8627
1972,4,1,1,39,2.9508
1972,4,1,2,32,1.0330
1972,4,1,3,33,9.3380
1972,4,1,4,37,2.9754
1972,4,1,5,36,-3.6295
1972,4,2,1,17,1.7413
1972,4,2,2,14,4.6864
1972,4,2,3,28,1.5664
1972,4,2,4,23,-1.8707
1972,4,2,5,20,3.0544
1972,4,3,1,22,-0.2551
1972,4,3,2,25,-0.5139
1972,4,3,3,20,-0.1652
1972,4,3,4,26,1.0848
1972,4,3,5,17,0.1010
1972,5,1,1,64,-0.6195
1972,5,1,2,65,-2.6921
1972,5,1,3,87,-3.9629
1972,5,1,4,102,-2.0262
1972,5,1,5,93,-4.0444
1972,5,2,1,41,-0.3995
1972,5,2,2,44,-5.2816
