year,month,rank_ME,rank_OLEq_6,nstocks,ret_vw
1972,1,1,1,76,13.8556
1972,1,1,2,18,9.0466
1972,1,1,3,67,17.1058
1972,1,1,4,69,11.8232
1972,1,1,5,114,15.8363
1972,1,2,1,36,8.5559
1972,1,2,2,26,2.3270
1972,1,2,3,30,5.8242
1972,1,2,4,39,8.6219
1972,1,2,5,40,10.2280
1972,1,3,1,37,4.7047
1972,1,3,2,61,1.6103
1972,1,3,3,46,1.5987
1972,1,3,4,38,0.9672
1972,1,3,5,36,2.9711
1972,2,1,1,101,2.9761
1972,2,1,2,22,2.5725
1972,2,1,3,101,3.0881
1972,2,1,4,97,3.6062
1972,2,1,5,150,5.5829
1972,2,2,1,57,2.5326
1972,2,2,2,39,1.5397
1972,2,2,3,41,5.5658
1972,2,2,4,54,3.7059
1972,2,2,5,63,4.1051
1972,2,3,1,59,2.2974
1972,2,3,2,85,0.0704
1972,2,3,3,69,4.0734
1972,2,3,4,57,3.9862
1972,2,3,5,47,2.9029
1972,3,1,1,119,0.8495
1972,3,1,2,30,-4.3732
1972,3,1,3,107,-1.9465
1972,3,1,4,109,0.0701
1972,3,1,5,166,0.1555
1972,3,2,1,60,1.6722
1972,3,2,2,42,-1.0653
1972,3,2,3,45,-0.1071
1972,3,2,4,62,1.8658
1972,3,2,5,71,-1.6032
1972,3,3,1,73,2.8964
1972,3,3,2,86,0.4472
1972,3,3,3,78,1.5009
1972,3,3,4,64,-0.5075
1972,3,3,5,49,3.5052
1972,4,1,1,135,-0.8371
1972,4,1,2,34,-4.2956
1972,4,1,3,112,0.8013
1972,4,1,4,120,1.2605
1972,4,1,5,178,1.8041
1972,4,2,1,68,-1.0613
1972,4,2,2,44,0.3144
1972,4,2,3,49,0.2621
1972,4,2,4,63,-0.2439
1972,4,2,5,78,1.6067
1972,4,3,1,79,-1.1904
1972,4,3,2,88,-0.9487
1972,4,3,3,82,0.2806
1972,4,3,4,69,2.6407
1972,4,3,5,55,3.2092
1972,5,1,1,246,-1.2502
1972,5,1,2,124,-2.3066
1972,5,1,3,160,-1.0624
1972,5,1,4,177,-3.0661
1972,5,1,5,240,-3.3975
1972,5,2,1,113,-2.2327
1972,5,2,2,80,-0.0847
1972,5,2,3,98,-1.1371
1972,5,2,4,99,-1.9691
1972,5,2,5,108,-1.9694
1972,5,3,1,127,-1.4233
1972,5,3,2,155,0.7295
1972,5,3,3,145,0.6427
1972,5,3,4,148,1.2514
1972,5,3,5,81,3.2826
1972,6,1,1,272,-4.1829
1972,6,1,2,137,-4.1956
1972,6,1,3,167,-3.6062
1972,6,1,4,189,-3.2609
1972,6,1,5,260,-3.8086
1972,6,2,1,121,-2.8135
1972,6,2,2,92,-1.5905
1972,6,2,3,104,-1.8700
1972,6,2,4,104,-3.1840
1972,6,2,5,118,-5.7463
1972,6,3,1,134,-4.0534
1972,6,3,2,164,-1.1174
1972,6,3,3,160,-2.7743
1972,6,3,4,154,-2.4757
1972,6,3,5,89,-2.5102
1972,7,1,1,255,-3.1366
1972,7,1,2,143,-3.8546
1972,7,1,3,150,-3.4359
1972,7,1,4,176,-4.5038
1972,7,1,5,254,-5.6811
1972,7,2,1,112,-2.8323
1972,7,2,2,95,-0.9400
1972,7,2,3,99,-1.2034
1972,7,2,4,102,-2.2242
1972,7,2,5,115,-4.9217
1972,7,3,1,130,-2.6088
1972,7,3,2,159,0.7506
1972,7,3,3,155,-0.2462
1972,7,3,4,150,0.3284
1972,7,3,5,85,-4.1560
1972,8,1,1,299,0.1573
1972,8,1,2,187,0.6107
1972,8,1,3,208,2.8743
1972,8,1,4,263,1.1071
1972,8,1,5,307,-0.5844
1972,8,2,1,150,2.4920
1972,8,2,2,117,2.5252
1972,8,2,3,133,3.8103
1972,8,2,4,140,1.8952
1972,8,2,5,144,-0.8175
1972,8,3,1,204,5.6659
1972,8,3,2,218,2.0709
1972,8,3,3,239,4.7027
1972,8,3,4,203,2.4241
1972,8,3,5,113,1.7177
1972,9,1,1,317,-5.1985
1972,9,1,2,190,-4.1623
1972,9,1,3,226,-4.9006
1972,9,1,4,268,-4.3068
1972,9,1,5,328,-4.4987
1972,9,2,1,163,-2.6868
1972,9,2,2,119,-2.4376
1972,9,2,3,142,-2.3940
1972,9,2,4,141,-1.8699
1972,9,2,5,148,-2.5922
1972,9,3,1,211,-1.2502
1972,9,3,2,222,-0.1512
1972,9,3,3,245,-1.0699
1972,9,3,4,215,-0.4747
1972,9,3,5,121,-1.6223
1972,10,1,1,296,-2.7294
1972,10,1,2,186,-1.9583
1972,10,1,3,199,-1.1342
1972,10,1,4,253,-1.8450
1972,10,1,5,319,-3.7847
1972,10,2,1,150,-1.2282
1972,10,2,2,114,0.0199
1972,10,2,3,138,-1.2407
1972,10,2,4,134,0.0672
1972,10,2,5,138,-2.2108
1972,10,3,1,189,0.1148
1972,10,3,2,214,1.3078
1972,10,3,3,221,-0.5697
1972,10,3,4,200,2.3174
1972,10,3,5,115,0.9239
1972,11,1,1,375,5.1123
1972,11,1,2,175,3.8434
1972,11,1,3,241,3.8275
1972,11,1,4,282,5.0903
1972,11,1,5,352,5.2061
1972,11,2,1,182,4.9381
1972,11,2,2,128,6.2969
1972,11,2,3,149,7.1725
1972,11,2,4,146,6.1367
