year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1976,12,1,4,365,11.3538
1976,12,1,5,405,9.9725
1976,12,2,1,233,7.9287
1976,12,2,2,210,8.2365
1976,12,2,3,187,10.3984
1976,12,2,4,182,9.7718
1976,12,2,5,176,9.7155
1976,12,3,1,248,5.2638
1976,12,3,2,261,5.7748
1976,12,3,3,269,6.4297
1976,12,3,4,243,6.0004
1976,12,3,5,193,3.5826
1977,1,1,1,443,4.6303
1977,1,1,2,357,7.2023
1977,1,1,3,343,5.6999
1977,1,1,4,353,2.9785
1977,1,1,5,402,2.7125
1977,1,2,1,224,3.0660
1977,1,2,2,209,2.8183
1977,1,2,3,183,2.1784
1977,1,2,4,179,0.3649
1977,1,2,5,174,-0.7251
1977,1,3,1,231,-3.1301
1977,1,3,2,258,-2.9497
1977,1,3,3,267,-4.7089
1977,1,3,4,243,-5.3433
1977,1,3,5,190,-7.5122
1977,2,1,1,455,-0.9031
1977,2,1,2,391,-1.2736
1977,2,1,3,375,0.1122
1977,2,1,4,388,-0.9213
1977,2,1,5,416,-1.1590
1977,2,2,1,230,-0.6399
1977,2,2,2,223,-0.7627
1977,2,2,3,200,-1.7679
1977,2,2,4,189,-0.4395
1977,2,2,5,180,-2.3752
1977,2,3,1,239,-0.9730
1977,2,3,2,274,-1.6562
1977,2,3,3,277,-2.1519
1977,2,3,4,256,-2.0476
1977,2,3,5,192,-1.1236
1977,3,1,1,459,2.7044
1977,3,1,2,404,1.7344
1977,3,1,3,385,0.1439
1977,3,1,4,404,0.7070
1977,3,1,5,431,-0.6016
1977,3,2,1,232,-0.3624
1977,3,2,2,228,-0.1168
1977,3,2,3,205,2.1670
1977,3,2,4,198,0.2897
1977,3,2,5,182,-1.6383
1977,3,3,1,234,-1.0123
1977,3,3,2,277,-1.6339
1977,3,3,3,277,-1.3323
1977,3,3,4,256,-2.1528
1977,3,3,5,192,-1.7246
1977,4,1,1,438,0.8613
1977,4,1,2,395,1.8271
1977,4,1,3,376,1.4504
1977,4,1,4,406,1.8375
1977,4,1,5,429,1.4002
1977,4,2,1,218,1.6120
