year,month,rank_ME,rank_GPA,nstocks,ret_vw
1967,12,2,1,55,6.6017
1967,12,2,2,54,7.1471
1967,12,2,3,56,6.3221
1967,12,2,4,70,6.2602
1967,12,2,5,69,5.5202
1967,12,3,1,119,3.1311
1967,12,3,2,104,2.7592
1967,12,3,3,103,3.7884
1967,12,3,4,99,0.8937
1967,12,3,5,106,2.8035
1968,1,1,1,76,3.1963
1968,1,1,2,114,3.4999
1968,1,1,3,137,3.9240
1968,1,1,4,131,2.9568
1968,1,1,5,149,1.2775
1968,1,2,1,55,0.6784
1968,1,2,2,54,0.5395
1968,1,2,3,56,-1.5196
1968,1,2,4,70,-1.4492
1968,1,2,5,69,-1.4122
1968,1,3,1,119,-1.2785
1968,1,3,2,104,-2.4963
1968,1,3,3,103,-3.9114
1968,1,3,4,99,-6.5785
1968,1,3,5,106,-6.8306
1968,2,1,1,76,-5.5520
1968,2,1,2,114,-9.2598
1968,2,1,3,136,-7.3656
1968,2,1,4,131,-7.6691
1968,2,1,5,149,-4.8530
1968,2,2,1,54,-1.7995
1968,2,2,2,54,-2.5403
1968,2,2,3,56,-7.0483
1968,2,2,4,69,-5.7604
1968,2,2,5,69,-5.5124
1968,2,3,1,119,-2.5453
1968,2,3,2,104,-3.1836
1968,2,3,3,103,-3.7075
1968,2,3,4,99,-2.6784
1968,2,3,5,105,-2.7626
1968,3,1,1,76,-0.0113
1968,3,1,2,114,-1.8432
1968,3,1,3,136,-0.8455
1968,3,1,4,132,-2.8675
1968,3,1,5,149,1.0676
1968,3,2,1,54,-1.8765
1968,3,2,2,54,-0.8898
1968,3,2,3,56,-2.0473
1968,3,2,4,69,-1.6076
1968,3,2,5,69,-0.0685
1968,3,3,1,119,-2.9198
1968,3,3,2,104,0.1473
1968,3,3,3,103,-0.0840
1968,3,3,4,99,1.8283
1968,3,3,5,105,3.3187
1968,4,1,1,76,15.7949
1968,4,1,2,114,17.7569
1968,4,1,3,135,18.1659
1968,4,1,4,132,16.8680
1968,4,1,5,149,18.8403
1968,4,2,1,54,7.0387
1968,4,2,2,54,15.3183
1968,4,2,3,56,15.3614
1968,4,2,4,69,13.9241
1968,4,2,5,69,14.4640
1968,4,3,1,119,5.3864
1968,4,3,2,104,5.3408
1968,4,3,3,103,9.0119
1968,4,3,4,99,11.7070
1968,4,3,5,105,11.6697
1968,5,1,1,75,10.1105
1968,5,1,2,114,11.3535
1968,5,1,3,135,11.3471
1968,5,1,4,132,9.9137
1968,5,1,5,149,13.3354
1968,5,2,1,54,5.5159
1968,5,2,2,54,8.4463
1968,5,2,3,56,9.8507
1968,5,2,4,68,6.6403
1968,5,2,5,69,7.7993
1968,5,3,1,119,0.5530
1968,5,3,2,104,0.8515
1968,5,3,3,103,0.7701
1968,5,3,4,99,0.8597
1968,5,3,5,105,4.3327
1968,6,1,1,75,4.5776
1968,6,1,2,114,1.9251
1968,6,1,3,135,0.3926
1968,6,1,4,132,-0.0267
1968,6,1,5,149,-1.5313
1968,6,2,1,54,3.1120
1968,6,2,2,54,-0.8783
1968,6,2,3,56,-1.0937
1968,6,2,4,68,0.3209
1968,6,2,5,69,-0.6521
1968,6,3,1,119,6.4302
1968,6,3,2,104,1.5004
1968,6,3,3,103,1.0434
1968,6,3,4,99,-1.3225
1968,6,3,5,105,-0.4830
1968,7,1,1,74,-0.6743
1968,7,1,2,121,-4.5787
1968,7,1,3,146,-4.1917
1968,7,1,4,147,-3.4765
1968,7,1,5,175,-3.5556
1968,7,2,1,63,-0.8259
1968,7,2,2,64,-4.5742
1968,7,2,3,70,-3.7801
1968,7,2,4,76,-5.5112
1968,7,2,5,65,-3.6788
1968,7,3,1,118,-1.9346
1968,7,3,2,107,2.1987
1968,7,3,3,98,-1.4971
1968,7,3,4,97,-4.9985
1968,7,3,5,108,-4.7245
1968,8,1,1,74,2.8508
1968,8,1,2,121,3.2936
1968,8,1,3,146,5.4763
1968,8,1,4,147,3.7857
1968,8,1,5,174,6.0051
1968,8,2,1,63,1.0637
1968,8,2,2,64,4.9478
1968,8,2,3,70,4.5851
1968,8,2,4,75,3.8996
1968,8,2,5,65,4.0739
1968,8,3,1,118,0.1772
1968,8,3,2,106,1.7187
1968,8,3,3,98,2.1306
1968,8,3,4,97,1.6525
1968,8,3,5,108,0.9803
1968,9,1,1,74,8.8334
1968,9,1,2,121,7.4168
1968,9,1,3,146,8.3230
1968,9,1,4,147,5.8080
1968,9,1,5,174,7.5559
1968,9,2,1,63,4.0650
1968,9,2,2,64,8.3986
1968,9,2,3,70,6.6499
1968,9,2,4,74,6.8644
1968,9,2,5,65,7.6900
