year,month,rank_ME,rank_GLAq_1,nstocks,ret_vw
1976,1,1,1,85,27.4371
1976,1,1,2,46,21.2540
1976,1,1,3,39,24.8438
1976,1,1,4,58,23.0287
1976,1,1,5,90,27.6323
1976,1,2,1,36,21.6343
1976,1,2,2,37,20.7950
1976,1,2,3,31,17.4142
1976,1,2,4,31,25.7788
1976,1,2,5,43,19.0893
1976,1,3,1,48,13.6899
1976,1,3,2,68,12.2824
1976,1,3,3,60,15.3315
1976,1,3,4,59,9.8220
1976,1,3,5,61,12.4280
1976,2,1,1,85,13.4943
1976,2,1,2,74,12.0004
1976,2,1,3,55,13.9228
1976,2,1,4,60,16.3746
1976,2,1,5,105,11.7969
1976,2,2,1,45,6.6850
1976,2,2,2,46,9.3245
1976,2,2,3,28,7.0776
1976,2,2,4,45,8.1472
1976,2,2,5,47,8.2798
1976,2,3,1,53,2.2954
1976,2,3,2,67,1.6141
1976,2,3,3,73,0.1570
1976,2,3,4,64,0.6173
1976,2,3,5,68,-2.9616
1976,3,1,1,94,0.0139
1976,3,1,2,72,1.3637
1976,3,1,3,68,1.8274
1976,3,1,4,63,1.3156
1976,3,1,5,123,2.9653
1976,3,2,1,43,1.5134
1976,3,2,2,43,0.5571
1976,3,2,3,29,3.9572
1976,3,2,4,41,0.7034
1976,3,2,5,48,3.5533
1976,3,3,1,59,1.8277
1976,3,3,2,71,5.1838
1976,3,3,3,74,-0.8134
1976,3,3,4,66,4.4917
1976,3,3,5,67,5.0427
1976,4,1,1,98,-1.3142
1976,4,1,2,72,-0.8038
1976,4,1,3,66,0.2873
1976,4,1,4,65,-2.8093
1976,4,1,5,129,-4.2724
1976,4,2,1,47,0.9404
1976,4,2,2,46,0.0442
1976,4,2,3,31,-0.0644
1976,4,2,4,47,-1.2732
1976,4,2,5,50,-3.8387
1976,4,3,1,57,0.8728
1976,4,3,2,73,1.0231
1976,4,3,3,76,0.9976
1976,4,3,4,64,-0.6076
1976,4,3,5,71,-5.0678
1976,5,1,1,105,-2.9613
1976,5,1,2,97,-2.8099
1976,5,1,3,79,-0.7266
1976,5,1,4,109,-2.0838
1976,5,1,5,143,-4.3316
1976,5,2,1,60,-1.8599
1976,5,2,2,53,-0.6856
1976,5,2,3,60,2.5143
1976,5,2,4,44,-1.1901
1976,5,2,5,66,-3.7411
1976,5,3,1,77,-3.8654
1976,5,3,2,89,-0.6945
1976,5,3,3,83,0.6245
1976,5,3,4,94,1.4280
1976,5,3,5,87,-2.7991
1976,6,1,1,102,3.9368
1976,6,1,2,100,5.8200
1976,6,1,3,80,2.1675
1976,6,1,4,97,4.1185
1976,6,1,5,154,3.0307
1976,6,2,1,58,3.4165
1976,6,2,2,56,4.4719
1976,6,2,3,64,5.5284
1976,6,2,4,51,5.9484
1976,6,2,5,69,3.5912
1976,6,3,1,78,4.3234
1976,6,3,2,86,5.0276
1976,6,3,3,87,4.7874
1976,6,3,4,94,2.8780
1976,6,3,5,89,3.6514
1976,7,1,1,95,0.1480
1976,7,1,2,107,0.9635
1976,7,1,3,79,1.7742
1976,7,1,4,108,-0.9441
1976,7,1,5,148,-1.0690
1976,7,2,1,63,-0.0428
1976,7,2,2,65,-0.5996
1976,7,2,3,57,-1.2929
1976,7,2,4,44,-0.9689
1976,7,2,5,73,0.2874
1976,7,3,1,75,-0.5953
1976,7,3,2,84,-0.6733
1976,7,3,3,88,-1.8934
1976,7,3,4,97,-0.7937
1976,7,3,5,84,-2.6528
1976,8,1,1,142,-1.3404
1976,8,1,2,111,-4.4262
1976,8,1,3,102,-1.8958
1976,8,1,4,132,-3.4017
1976,8,1,5,171,-2.1603
1976,8,2,1,82,-4.6073
1976,8,2,2,77,-3.3287
1976,8,2,3,71,-1.1611
1976,8,2,4,78,-2.2220
1976,8,2,5,93,-1.8530
1976,8,3,1,96,1.8760
1976,8,3,2,106,-1.5652
1976,8,3,3,107,-1.4187
1976,8,3,4,114,-0.8858
1976,8,3,5,121,0.9808
1976,9,1,1,160,1.2766
1976,9,1,2,124,1.2847
1976,9,1,3,114,0.8247
1976,9,1,4,135,2.2780
1976,9,1,5,180,2.0867
1976,9,2,1,86,2.2393
1976,9,2,2,79,4.3907
1976,9,2,3,70,2.5153
1976,9,2,4,83,2.3281
1976,9,2,5,92,1.9121
1976,9,3,1,97,2.2240
1976,9,3,2,101,3.9907
1976,9,3,3,119,2.3841
1976,9,3,4,110,3.1493
1976,9,3,5,116,2.0723
1976,10,1,1,187,-3.2619
1976,10,1,2,144,-2.8113
1976,10,1,3,144,-2.0033
1976,10,1,4,164,-3.6432
1976,10,1,5,218,-2.5188
1976,10,2,1,87,-2.9784
1976,10,2,2,85,-2.1978
1976,10,2,3,71,-2.6350
1976,10,2,4,87,-2.2180
1976,10,2,5,99,-4.6283
1976,10,3,1,99,-1.8009
1976,10,3,2,109,-0.7254
1976,10,3,3,118,-2.5365
1976,10,3,4,114,-2.5870
1976,10,3,5,116,-3.5478
1976,11,1,1,211,2.0279
1976,11,1,2,141,1.6390
1976,11,1,3,157,2.6479
1976,11,1,4,177,2.8217
1976,11,1,5,253,3.7400
1976,11,2,1,86,4.6316
1976,11,2,2,94,4.6957
1976,11,2,3,70,5.4902
1976,11,2,4,82,4.9385
1976,11,2,5,98,4.2745
1976,11,3,1,114,1.1603
1976,11,3,2,109,1.3877
1976,11,3,3,117,-0.4279
1976,11,3,4,110,-0.8294
