year,month,rank_ME,rank_ROA_6,nstocks,ret_vw
1972,1,1,1,35,21.2969
1972,1,1,2,22,13.0918
1972,1,1,3,11,13.9031
1972,1,1,4,7,6.0648
1972,1,1,5,6,6.1720
1972,1,2,1,8,13.3700
1972,1,2,2,9,4.4986
1972,1,2,3,8,8.4093
1972,1,2,4,12,5.5357
1972,1,2,5,4,5.3686
1972,1,3,1,4,12.0607
1972,1,3,2,7,9.4110
1972,1,3,3,10,1.0990
1972,1,3,4,8,3.9364
1972,1,3,5,14,2.0217
1972,2,1,1,43,3.0891
1972,2,1,2,31,9.2700
1972,2,1,3,17,3.6862
1972,2,1,4,13,0.8597
1972,2,1,5,10,0.0326
1972,2,2,1,14,-0.2367
1972,2,2,2,13,-0.9505
1972,2,2,3,11,6.5468
1972,2,2,4,18,4.9274
1972,2,2,5,10,3.9017
1972,2,3,1,7,-3.7180
1972,2,3,2,13,4.4486
1972,2,3,3,16,4.0836
1972,2,3,4,16,4.9590
1972,2,3,5,20,7.0472
1972,3,1,1,55,-4.2279
1972,3,1,2,39,0.2243
1972,3,1,3,27,1.0264
1972,3,1,4,21,1.2804
1972,3,1,5,11,-0.4395
1972,3,2,1,20,-1.1953
1972,3,2,2,15,-3.5570
1972,3,2,3,18,-1.5595
1972,3,2,4,22,0.0091
1972,3,2,5,14,1.8843
1972,3,3,1,11,-1.5983
1972,3,3,2,21,-0.0759
1972,3,3,3,23,-1.8287
1972,3,3,4,22,2.2054
1972,3,3,5,26,0.3928
1972,4,1,1,72,4.3135
1972,4,1,2,45,2.4819
1972,4,1,3,33,-0.1591
1972,4,1,4,23,-1.3965
1972,4,1,5,14,2.0877
1972,4,2,1,21,3.0413
1972,4,2,2,20,2.7357
1972,4,2,3,24,2.4752
1972,4,2,4,24,1.3417
1972,4,2,5,16,-0.2819
1972,4,3,1,13,1.1662
1972,4,3,2,25,-0.0229
1972,4,3,3,26,-2.3446
1972,4,3,4,25,-0.4828
1972,4,3,5,29,1.6166
1972,5,1,1,157,-3.6141
1972,5,1,2,93,-3.8609
1972,5,1,3,67,-2.2297
1972,5,1,4,43,0.5400
1972,5,1,5,41,0.4206
1972,5,2,1,54,-3.8799
1972,5,2,2,48,-2.9522
1972,5,2,3,55,0.3748
1972,5,2,4,53,-0.9401
1972,5,2,5,42,-2.1980
1972,5,3,1,42,-1.1642
1972,5,3,2,79,0.3507
1972,5,3,3,98,2.8614
1972,5,3,4,94,2.4996
1972,5,3,5,111,6.3252
1972,6,1,1,209,-3.8306
1972,6,1,2,128,-5.0848
1972,6,1,3,99,-3.8650
1972,6,1,4,55,-4.2516
1972,6,1,5,59,0.7918
1972,6,2,1,69,-5.0892
1972,6,2,2,61,-3.7407
1972,6,2,3,71,-2.4784
1972,6,2,4,63,-2.1755
1972,6,2,5,53,-4.9691
1972,6,3,1,57,-6.3590
1972,6,3,2,96,-4.3435
1972,6,3,3,113,-4.0125
1972,6,3,4,116,-2.5968
1972,6,3,5,130,-1.7879
1972,7,1,1,225,-4.6175
1972,7,1,2,130,-3.9987
1972,7,1,3,108,-4.0407
1972,7,1,4,66,-2.7659
1972,7,1,5,63,-4.2550
1972,7,2,1,74,-2.0485
1972,7,2,2,68,-2.5262
1972,7,2,3,79,-3.6674
1972,7,2,4,63,-1.3031
1972,7,2,5,59,-0.8037
1972,7,3,1,60,-4.7239
1972,7,3,2,100,-1.7937
1972,7,3,3,117,-0.7938
1972,7,3,4,124,-1.4828
1972,7,3,5,142,1.7190
1972,8,1,1,231,1.4053
1972,8,1,2,134,1.3138
1972,8,1,3,108,-0.7926
1972,8,1,4,71,-1.0164
1972,8,1,5,66,-1.3756
1972,8,2,1,80,3.3347
1972,8,2,2,74,1.3956
1972,8,2,3,81,1.7617
1972,8,2,4,65,1.0957
1972,8,2,5,62,-0.1451
1972,8,3,1,59,4.4072
1972,8,3,2,100,4.1479
1972,8,3,3,121,3.8297
1972,8,3,4,127,5.6838
1972,8,3,5,150,1.9373
1972,9,1,1,237,-5.3634
1972,9,1,2,133,-4.0681
1972,9,1,3,112,-4.7670
1972,9,1,4,79,-4.9491
1972,9,1,5,67,-2.6688
1972,9,2,1,82,-3.2112
1972,9,2,2,72,-2.6848
1972,9,2,3,78,-2.3785
1972,9,2,4,69,-2.0818
1972,9,2,5,69,-3.1970
1972,9,3,1,61,-5.9930
1972,9,3,2,101,-2.0150
1972,9,3,3,122,-1.3940
1972,9,3,4,131,-1.5820
1972,9,3,5,155,0.1949
1972,10,1,1,220,-3.2900
1972,10,1,2,121,-2.4300
1972,10,1,3,102,-1.9099
1972,10,1,4,73,-1.9277
1972,10,1,5,71,0.5818
1972,10,2,1,82,-1.1430
1972,10,2,2,67,-1.4907
1972,10,2,3,69,-2.0137
1972,10,2,4,70,-0.7424
1972,10,2,5,67,-0.8117
1972,10,3,1,57,-0.2230
1972,10,3,2,96,0.5008
1972,10,3,3,113,1.6454
1972,10,3,4,126,1.3941
1972,10,3,5,147,-0.0428
1972,11,1,1,211,4.9820
1972,11,1,2,118,6.2566
1972,11,1,3,113,4.1537
1972,11,1,4,85,4.3434
1972,11,1,5,68,3.8667
1972,11,2,1,75,6.8168
1972,11,2,2,67,9.3704
1972,11,2,3,73,7.8417
1972,11,2,4,80,4.3850
1972,11,2,5,70,4.1535
1972,11,3,1,49,8.6566
1972,11,3,2,93,8.1797
1972,11,3,3,111,6.0573
1972,11,3,4,134,5.8698
1972,11,3,5,160,2.5784
1972,12,1,1,223,-4.0386
1972,12,1,2,118,-2.7084
1972,12,1,3,118,-1.5160
1972,12,1,4,84,-1.0331
1972,12,1,5,70,-0.1035
1972,12,2,1,75,-2.1904
1972,12,2,2,67,-3.7416
1972,12,2,3,72,-3.9155
1972,12,2,4,79,1.7492
1972,12,2,5,69,0.7698
1972,12,3,1,49,-4.5609
1972,12,3,2,94,-1.3717
1972,12,3,3,112,0.3513
1972,12,3,4,137,2.1968
1972,12,3,5,154,1.8924
1973,1,1,1,227,-4.8204
1973,1,1,2,121,-3.7965
1973,1,1,3,115,-5.6562
1973,1,1,4,80,-1.9408
1973,1,1,5,68,-7.1240
1973,1,2,1,69,-6.5614
1973,1,2,2,60,-7.0739
1973,1,2,3,68,-7.9904
1973,1,2,4,74,-5.0208
1973,1,2,5,62,-5.4128
1973,1,3,1,47,-9.4711
1973,1,3,2,90,-5.4059
1973,1,3,3,111,-3.5485
1973,1,3,4,133,-2.1367
1973,1,3,5,145,-1.8633
1973,2,1,1,230,-6.9433
1973,2,1,2,133,-10.0151
1973,2,1,3,122,-9.8100
1973,2,1,4,78,-10.0257
1973,2,1,5,67,-10.5683
1973,2,2,1,72,-7.9155
1973,2,2,2,67,-8.2917
1973,2,2,3,76,-9.2255
1973,2,2,4,72,-8.9972
1973,2,2,5,62,-7.8806
1973,2,3,1,46,-7.3001
1973,2,3,2,95,-5.9985
1973,2,3,3,108,-5.1475
1973,2,3,4,134,-6.2901
1973,2,3,5,143,-4.1019
1973,3,1,1,229,-5.5144
1973,3,1,2,140,-4.1743
1973,3,1,3,128,-1.1767
1973,3,1,4,80,-4.2514
1973,3,1,5,70,-4.3866
1973,3,2,1,73,-5.7671
1973,3,2,2,68,-3.8839
1973,3,2,3,77,-4.6635
1973,3,2,4,69,-5.6437
1973,3,2,5,62,-3.7594
1973,3,3,1,45,-1.4953
1973,3,3,2,100,-3.7377
1973,3,3,3,107,-3.3324
1973,3,3,4,138,-3.4094
1973,3,3,5,145,-3.3779
1973,4,1,1,143,-9.0496
1973,4,1,2,80,-10.0470
1973,4,1,3,70,-9.3743
1973,4,1,4,51,-9.2676
1973,4,1,5,30,-7.7493
1973,4,2,1,40,-11.1676
1973,4,2,2,36,-6.3654
1973,4,2,3,38,-7.1910
1973,4,2,4,39,-7.9720
1973,4,2,5,35,-10.0929
1973,4,3,1,15,-13.4406
1973,4,3,2,42,-8.3769
1973,4,3,3,45,-8.5117
