year,month,rank_ME,rank_CTOq_12,nstocks,ret_vw
1972,12,1,3,156,-1.6094
1972,12,1,4,193,-2.1844
1972,12,1,5,194,-3.2946
1972,12,2,1,80,-1.3842
1972,12,2,2,69,-0.4878
1972,12,2,3,90,-1.7000
1972,12,2,4,111,-1.9866
1972,12,2,5,105,-0.8688
1972,12,3,1,138,1.0482
1972,12,3,2,137,1.2058
1972,12,3,3,134,1.7164
1972,12,3,4,121,2.2378
1972,12,3,5,107,1.2220
1973,1,1,1,120,-1.0350
1973,1,1,2,131,-5.4996
1973,1,1,3,158,-2.3875
1973,1,1,4,194,-4.3845
1973,1,1,5,201,-5.8904
1973,1,2,1,81,-5.6941
1973,1,2,2,67,-5.4529
1973,1,2,3,89,-8.4481
1973,1,2,4,112,-8.2715
1973,1,2,5,107,-4.9559
1973,1,3,1,141,-2.4795
1973,1,3,2,136,-0.4872
1973,1,3,3,134,-4.5864
1973,1,3,4,123,-3.5579
1973,1,3,5,109,-4.2189
1973,2,1,1,121,-6.1532
1973,2,1,2,136,-9.3384
1973,2,1,3,161,-9.7335
1973,2,1,4,200,-8.2241
1973,2,1,5,207,-8.3216
1973,2,2,1,82,-7.8362
1973,2,2,2,69,-9.2192
1973,2,2,3,89,-9.0196
1973,2,2,4,113,-8.9807
1973,2,2,5,109,-8.2896
1973,2,3,1,140,-6.0855
1973,2,3,2,138,-3.9167
1973,2,3,3,136,-3.8873
1973,2,3,4,125,-3.7450
1973,2,3,5,111,-6.5560
1973,3,1,1,128,-3.3001
1973,3,1,2,140,-2.7735
1973,3,1,3,165,-3.1411
1973,3,1,4,202,-3.0150
1973,3,1,5,210,-2.9655
1973,3,2,1,85,-4.7698
1973,3,2,2,72,-2.5224
1973,3,2,3,90,-3.8694
1973,3,2,4,112,-3.3255
1973,3,2,5,108,-4.0079
1973,3,3,1,141,0.1220
1973,3,3,2,139,-1.3463
1973,3,3,3,138,-2.4029
1973,3,3,4,126,-2.7070
1973,3,3,5,112,-3.3364
1973,4,1,1,117,-6.3589
1973,4,1,2,133,-7.4906
1973,4,1,3,159,-8.0285
1973,4,1,4,193,-8.2826
1973,4,1,5,211,-7.3223
1973,4,2,1,84,-7.1351
1973,4,2,2,72,-8.6308
1973,4,2,3,87,-5.9606
1973,4,2,4,108,-5.6457
1973,4,2,5,105,-9.0208
1973,4,3,1,138,-6.1559
1973,4,3,2,130,-6.0677
1973,4,3,3,140,-6.0499
1973,4,3,4,126,-4.3502
1973,4,3,5,110,-7.9710
1973,5,1,1,132,-10.7322
1973,5,1,2,159,-8.6698
1973,5,1,3,189,-10.7015
1973,5,1,4,246,-10.9723
1973,5,1,5,263,-7.1486
1973,5,2,1,100,-10.3774
1973,5,2,2,87,-8.2857
1973,5,2,3,102,-10.1896
1973,5,2,4,139,-8.6587
1973,5,2,5,126,-7.6054
1973,5,3,1,152,-4.7190
1973,5,3,2,156,-2.9874
1973,5,3,3,168,-1.3237
1973,5,3,4,148,-1.5507
1973,5,3,5,120,-5.0572
1973,6,1,1,149,-3.1653
1973,6,1,2,178,-3.4350
1973,6,1,3,210,-3.3842
1973,6,1,4,271,-3.6599
1973,6,1,5,291,-4.3745
1973,6,2,1,107,-1.3091
1973,6,2,2,91,-3.7987
1973,6,2,3,108,-3.6114
1973,6,2,4,143,-4.7575
1973,6,2,5,125,-6.4082
1973,6,3,1,161,-0.5242
1973,6,3,2,158,-0.8913
1973,6,3,3,172,-3.1618
1973,6,3,4,149,-1.3824
1973,6,3,5,124,-4.8257
1973,7,1,1,150,12.3800
1973,7,1,2,181,14.5432
1973,7,1,3,211,18.0477
1973,7,1,4,276,15.2582
1973,7,1,5,297,12.6748
1973,7,2,1,103,11.2768
1973,7,2,2,91,13.5994
1973,7,2,3,111,16.5603
1973,7,2,4,138,12.7014
1973,7,2,5,126,14.0761
1973,7,3,1,163,8.6385
1973,7,3,2,160,7.2271
1973,7,3,3,174,10.7512
1973,7,3,4,148,8.1479
1973,7,3,5,123,8.8049
1973,8,1,1,152,-5.5375
1973,8,1,2,186,-5.1120
1973,8,1,3,212,-6.8384
1973,8,1,4,279,-7.3680
1973,8,1,5,298,-5.6911
1973,8,2,1,102,-5.4906
1973,8,2,2,91,-3.1395
1973,8,2,3,114,-5.0908
1973,8,2,4,138,-3.1436
1973,8,2,5,131,-1.2057
1973,8,3,1,164,-3.7170
1973,8,3,2,158,-2.9625
1973,8,3,3,173,-4.3086
1973,8,3,4,148,-5.1394
1973,8,3,5,122,-2.8863
1973,9,1,1,156,10.7330
1973,9,1,2,185,11.2190
1973,9,1,3,210,11.4640
1973,9,1,4,283,7.4445
1973,9,1,5,299,7.5130
1973,9,2,1,104,11.8784
1973,9,2,2,91,14.0589
1973,9,2,3,114,11.6983
1973,9,2,4,137,12.1447
1973,9,2,5,133,11.1010
1973,9,3,1,162,7.6867
1973,9,3,2,159,2.9120
1973,9,3,3,172,7.5625
1973,9,3,4,149,4.6283
1973,9,3,5,122,7.8556
1973,10,1,1,148,3.8603
1973,10,1,2,167,1.5729
1973,10,1,3,174,1.3536
1973,10,1,4,239,-1.4001
1973,10,1,5,279,-0.1262
1973,10,2,1,94,4.0564
1973,10,2,2,82,1.8317
1973,10,2,3,97,-1.2613
1973,10,2,4,125,-2.6886
1973,10,2,5,132,0.9354
1973,10,3,1,153,2.2984
1973,10,3,2,141,0.7956
1973,10,3,3,148,-0.1616
1973,10,3,4,133,-0.9222
1973,10,3,5,113,-3.5891
1973,11,1,1,160,-18.0936
1973,11,1,2,179,-22.4737
1973,11,1,3,195,-20.3638
1973,11,1,4,266,-20.8097
1973,11,1,5,279,-21.0181
1973,11,2,1,98,-18.0651
1973,11,2,2,94,-21.3762
1973,11,2,3,103,-20.7864
1973,11,2,4,129,-22.3146
1973,11,2,5,136,-20.1298
1973,11,3,1,157,-11.5681
1973,11,3,2,145,-14.3290
1973,11,3,3,153,-14.6631
1973,11,3,4,143,-13.0977
1973,11,3,5,112,-16.9028
1973,12,1,1,172,-3.4044
1973,12,1,2,184,-3.9247
1973,12,1,3,203,-5.8079
1973,12,1,4,274,-4.8523
1973,12,1,5,283,-3.4623
1973,12,2,1,98,-1.4535
1973,12,2,2,102,1.0787
1973,12,2,3,104,-3.0515
1973,12,2,4,134,-3.2776
1973,12,2,5,137,-1.6316
1973,12,3,1,158,3.0121
1973,12,3,2,145,1.3211
1973,12,3,3,155,-0.6886
1973,12,3,4,141,-2.8583
1973,12,3,5,114,-0.5393
1974,1,1,1,176,18.1191
1974,1,1,2,187,19.2325
1974,1,1,3,201,14.5760
1974,1,1,4,277,15.9946
1974,1,1,5,290,16.5956
1974,1,2,1,101,9.8518
1974,1,2,2,99,9.3185
1974,1,2,3,104,13.0411
1974,1,2,4,134,11.5541
1974,1,2,5,139,8.7765
1974,1,3,1,158,-3.6607
1974,1,3,2,145,0.6120
1974,1,3,3,156,-0.0503
1974,1,3,4,144,-0.0987
1974,1,3,5,113,5.7629
1974,2,1,1,176,-2.6329
1974,2,1,2,222,-0.3020
1974,2,1,3,216,-1.1226
1974,2,1,4,286,-0.8147
1974,2,1,5,304,-0.5964
1974,2,2,1,109,-0.4472
1974,2,2,2,112,-0.0749
1974,2,2,3,117,-0.7247
1974,2,2,4,136,0.8954
1974,2,2,5,142,1.4103
1974,2,3,1,216,0.5234
1974,2,3,2,162,0.9314
1974,2,3,3,162,0.1590
1974,2,3,4,146,-0.8307
1974,2,3,5,120,0.1670
1974,3,1,1,175,-0.5128
1974,3,1,2,234,-0.3133
1974,3,1,3,226,-0.3116
1974,3,1,4,306,2.6665
1974,3,1,5,314,1.9467
1974,3,2,1,114,-3.4128
1974,3,2,2,127,-1.9332
1974,3,2,3,126,-1.1655
1974,3,2,4,141,-0.9330
1974,3,2,5,143,0.4379
1974,3,3,1,236,-3.5403
1974,3,3,2,177,-2.0825
1974,3,3,3,173,-0.1812
1974,3,3,4,153,-0.4999
1974,3,3,5,122,-1.7198
1974,4,1,1,162,-8.1458
1974,4,1,2,233,-6.2074
1974,4,1,3,218,-4.9130
1974,4,1,4,311,-4.6448
1974,4,1,5,318,-5.1111
1974,4,2,1,112,-8.5606
1974,4,2,2,123,-5.3810
1974,4,2,3,128,-4.4420
1974,4,2,4,142,-3.8632
1974,4,2,5,144,-3.7440
1974,4,3,1,235,-6.5760
1974,4,3,2,177,-4.3407
1974,4,3,3,168,-2.9494
1974,4,3,4,155,-1.6249
1974,4,3,5,125,-2.6929
1974,5,1,1,175,-8.5707
1974,5,1,2,258,-7.3925
1974,5,1,3,247,-8.4793
1974,5,1,4,348,-7.7350
1974,5,1,5,359,-6.9661
1974,5,2,1,137,-8.8365
1974,5,2,2,145,-8.5969
1974,5,2,3,151,-7.8893
1974,5,2,4,166,-5.2401
1974,5,2,5,173,-7.1602
1974,5,3,1,264,-7.1705
1974,5,3,2,229,-2.6730
1974,5,3,3,215,-2.2290
1974,5,3,4,189,-0.0669
1974,5,3,5,148,-1.9850
1974,6,1,1,190,-2.7188
1974,6,1,2,273,-3.6509
1974,6,1,3,264,-3.1980
1974,6,1,4,370,-2.5630
1974,6,1,5,370,-2.8523
1974,6,2,1,153,-2.8279
1974,6,2,2,155,-1.3063
1974,6,2,3,157,-2.8042
1974,6,2,4,169,-1.7788
1974,6,2,5,179,-1.6478
1974,6,3,1,268,-3.9822
1974,6,3,2,238,-1.9499
1974,6,3,3,225,-2.3404
1974,6,3,4,192,-0.8611
1974,6,3,5,153,-2.1228
1974,7,1,1,191,-3.9694
1974,7,1,2,277,-2.0025
1974,7,1,3,268,-5.2565
1974,7,1,4,376,-4.2688
1974,7,1,5,368,-5.3285
1974,7,2,1,151,-2.1754
1974,7,2,2,153,-3.6941
1974,7,2,3,160,-4.6862
1974,7,2,4,166,-4.2595
