year,month,rank_ME,rank_RNAq_6,nstocks,ret_vw
1976,12,1,4,290,10.5236
1976,12,1,5,281,11.4790
1976,12,2,1,156,8.7295
1976,12,2,2,166,8.7312
1976,12,2,3,180,9.4836
1976,12,2,4,177,9.9311
1976,12,2,5,196,8.9553
1976,12,3,1,109,5.1010
1976,12,3,2,181,6.7331
1976,12,3,3,218,5.7665
1976,12,3,4,263,5.5192
1976,12,3,5,259,5.1530
1977,1,1,1,432,5.5519
1977,1,1,2,342,5.5671
1977,1,1,3,258,3.4411
1977,1,1,4,244,3.4560
1977,1,1,5,255,2.2798
1977,1,2,1,138,3.3953
1977,1,2,2,147,1.0729
1977,1,2,3,155,1.5575
1977,1,2,4,140,2.3724
1977,1,2,5,172,-1.0074
1977,1,3,1,93,-4.8536
1977,1,3,2,155,-3.2748
1977,1,3,3,186,-5.4445
1977,1,3,4,216,-6.2789
1977,1,3,5,218,-4.5549
1977,2,1,1,471,-2.3031
1977,2,1,2,398,-1.8136
1977,2,1,3,314,-0.4490
1977,2,1,4,282,0.5226
1977,2,1,5,270,-0.3415
1977,2,2,1,150,-1.7183
1977,2,2,2,177,-0.5633
1977,2,2,3,182,0.0358
1977,2,2,4,167,-1.4981
1977,2,2,5,183,-1.7891
1977,2,3,1,106,-0.5989
1977,2,3,2,177,-2.4569
1977,2,3,3,213,-1.4340
1977,2,3,4,237,-2.3996
1977,2,3,5,231,-1.4752
1977,3,1,1,491,0.5516
1977,3,1,2,413,1.3734
1977,3,1,3,334,1.8639
1977,3,1,4,291,0.4937
1977,3,1,5,275,1.0491
1977,3,2,1,159,-0.5196
1977,3,2,2,179,0.9208
1977,3,2,3,181,0.0440
1977,3,2,4,173,-1.0824
1977,3,2,5,182,0.6826
1977,3,3,1,107,-1.0018
1977,3,3,2,177,-1.8869
1977,3,3,3,218,-1.3867
1977,3,3,4,240,-1.8414
1977,3,3,5,230,-1.2693
1977,4,1,1,443,0.5213
1977,4,1,2,350,1.9978
1977,4,1,3,284,0.7761
1977,4,1,4,246,1.8032
1977,4,1,5,250,1.6837
1977,4,2,1,143,0.5240
1977,4,2,2,151,0.9724
1977,4,2,3,152,2.6438
1977,4,2,4,146,2.1805
1977,4,2,5,161,1.2211
1977,4,3,1,86,0.2424
1977,4,3,2,149,1.5051
1977,4,3,3,178,0.1672
1977,4,3,4,196,0.8115
1977,4,3,5,205,-1.6789
1977,5,1,1,489,0.1818
1977,5,1,2,394,-0.5161
1977,5,1,3,343,0.9380
1977,5,1,4,284,-0.4568
1977,5,1,5,288,-0.7503
1977,5,2,1,151,-1.6619
1977,5,2,2,174,0.5339
1977,5,2,3,174,0.0474
1977,5,2,4,181,0.3279
1977,5,2,5,189,0.1713
1977,5,3,1,95,-3.7487
1977,5,3,2,170,-1.2558
1977,5,3,3,221,-2.6172
1977,5,3,4,226,-1.5786
1977,5,3,5,234,-1.7465
1977,6,1,1,504,7.2862
1977,6,1,2,407,7.1953
1977,6,1,3,358,7.2191
1977,6,1,4,309,7.7420
1977,6,1,5,299,8.4545
1977,6,2,1,157,7.4373
1977,6,2,2,179,8.8073
1977,6,2,3,184,7.9968
1977,6,2,4,189,6.9867
1977,6,2,5,196,6.9380
1977,6,3,1,102,2.3166
1977,6,3,2,169,4.3819
1977,6,3,3,230,3.9593
1977,6,3,4,231,4.6373
1977,6,3,5,239,6.6496
1977,7,1,1,474,-0.2956
1977,7,1,2,353,-0.5700
1977,7,1,3,306,-0.0270
1977,7,1,4,271,-0.2534
1977,7,1,5,254,0.3835
1977,7,2,1,149,-1.6036
1977,7,2,2,157,-0.8825
1977,7,2,3,167,-1.4279
1977,7,2,4,179,-1.6400
1977,7,2,5,182,-1.0300
1977,7,3,1,98,-5.1905
1977,7,3,2,152,-1.7812
1977,7,3,3,209,-2.5295
1977,7,3,4,198,-1.5486
1977,7,3,5,217,-1.2154
1977,8,1,1,527,-2.9584
1977,8,1,2,400,-1.6459
1977,8,1,3,345,-0.8733
1977,8,1,4,310,-1.0791
1977,8,1,5,290,-0.0617
1977,8,2,1,173,-2.5148
1977,8,2,2,182,-0.7705
1977,8,2,3,191,-2.0569
1977,8,2,4,206,-0.2866
1977,8,2,5,199,1.2737
1977,8,3,1,112,-4.1091
1977,8,3,2,187,-2.4932
1977,8,3,3,248,-1.8862
1977,8,3,4,242,-0.5886
1977,8,3,5,240,-0.5718
1977,9,1,1,526,0.4918
1977,9,1,2,407,1.2903
1977,9,1,3,361,1.7404
1977,9,1,4,316,1.0382
1977,9,1,5,295,2.2193
1977,9,2,1,177,-0.6944
1977,9,2,2,189,0.9136
1977,9,2,3,200,2.0839
1977,9,2,4,212,1.9153
1977,9,2,5,204,1.0616
1977,9,3,1,115,-3.7636
1977,9,3,2,192,-0.6066
1977,9,3,3,251,-0.0092
1977,9,3,4,250,-0.1962
1977,9,3,5,248,-0.5030
1977,10,1,1,488,-3.3320
1977,10,1,2,363,-2.6235
1977,10,1,3,320,-2.1536
1977,10,1,4,286,-2.2796
1977,10,1,5,263,-2.7860
1977,10,2,1,157,-4.1308
1977,10,2,2,168,-3.3414
1977,10,2,3,176,-1.7738
1977,10,2,4,192,-1.7087
1977,10,2,5,189,-4.1876
1977,10,3,1,97,-3.3876
1977,10,3,2,174,-4.4377
1977,10,3,3,223,-4.9572
1977,10,3,4,222,-3.7155
1977,10,3,5,234,-3.4768
1977,11,1,1,524,8.2120
1977,11,1,2,423,9.7305
1977,11,1,3,374,10.1408
1977,11,1,4,320,10.0506
1977,11,1,5,303,10.7558
1977,11,2,1,180,7.9959
1977,11,2,2,196,9.2209
1977,11,2,3,193,10.2563
1977,11,2,4,215,9.7183
1977,11,2,5,211,8.9692
1977,11,3,1,160,4.1721
1977,11,3,2,207,5.0095
1977,11,3,3,272,4.9762
1977,11,3,4,262,3.9332
1977,11,3,5,251,3.4165
1977,12,1,1,536,0.4272
1977,12,1,2,423,2.2792
1977,12,1,3,377,1.7812
1977,12,1,4,319,2.6165
1977,12,1,5,298,3.0139
1977,12,2,1,184,0.1959
1977,12,2,2,195,1.6873
1977,12,2,3,190,2.9095
1977,12,2,4,222,0.9106
1977,12,2,5,215,1.9102
1977,12,3,1,157,0.3783
1977,12,3,2,207,-0.2832
1977,12,3,3,269,0.0708
