year,month,rank_ME,rank_dROE_6,nstocks,ret_vw
1967,1,1,1,12,23.4957
1967,1,1,2,5,19.4983
1967,1,1,3,6,16.1468
1967,1,1,4,4,14.8742
1967,1,1,5,6,20.5141
1967,1,2,1,34,21.5928
1967,1,2,2,14,11.8528
1967,1,2,3,16,10.8034
1967,1,2,4,16,13.6953
1967,1,2,5,19,20.5258
1967,1,3,1,61,10.7316
1967,1,3,2,87,7.9227
1967,1,3,3,80,3.3342
1967,1,3,4,85,7.4308
1967,1,3,5,81,9.7924
1967,2,1,1,17,2.6087
1967,2,1,2,9,0.5029
1967,2,1,3,8,0.4654
1967,2,1,4,7,3.6671
1967,2,1,5,12,2.7965
1967,2,2,1,45,0.4593
1967,2,2,2,27,2.1649
1967,2,2,3,26,2.5415
1967,2,2,4,26,1.8516
1967,2,2,5,26,1.0782
1967,2,3,1,96,-0.6738
1967,2,3,2,134,1.7788
1967,2,3,3,135,-0.5736
1967,2,3,4,130,1.6478
1967,2,3,5,107,1.8699
1967,3,1,1,17,4.6061
1967,3,1,2,10,3.9744
1967,3,1,3,9,2.0307
1967,3,1,4,8,8.6561
1967,3,1,5,13,11.7698
1967,3,2,1,49,6.7794
1967,3,2,2,29,2.9932
1967,3,2,3,29,3.8593
1967,3,2,4,26,4.4643
1967,3,2,5,32,7.9447
1967,3,3,1,103,5.9643
1967,3,3,2,140,4.5261
1967,3,3,3,140,2.6915
1967,3,3,4,135,3.5309
1967,3,3,5,111,4.2968
1967,4,1,1,21,2.8650
1967,4,1,2,10,-0.0217
1967,4,1,3,12,0.8063
1967,4,1,4,9,4.1322
1967,4,1,5,14,4.4579
1967,4,2,1,50,4.2361
1967,4,2,2,33,3.9794
1967,4,2,3,29,3.4620
1967,4,2,4,30,4.1029
1967,4,2,5,33,3.3121
1967,4,3,1,105,8.3430
1967,4,3,2,148,4.1531
1967,4,3,3,147,2.3082
1967,4,3,4,137,3.7793
1967,4,3,5,113,7.0968
1967,5,1,1,29,4.9094
1967,5,1,2,19,0.7772
1967,5,1,3,16,3.4882
1967,5,1,4,12,-0.8508
1967,5,1,5,21,3.4868
1967,5,2,1,62,-4.2015
1967,5,2,2,47,-2.1072
1967,5,2,3,40,-3.7018
1967,5,2,4,40,-0.5227
1967,5,2,5,46,-1.6293
1967,5,3,1,142,-6.3931
1967,5,3,2,191,-3.8746
1967,5,3,3,190,-3.7380
1967,5,3,4,189,-4.4545
1967,5,3,5,155,-5.1767
1967,6,1,1,29,9.9608
1967,6,1,2,19,3.3647
1967,6,1,3,18,1.9470
1967,6,1,4,13,9.0641
1967,6,1,5,24,12.1295
1967,6,2,1,65,7.6329
1967,6,2,2,49,4.2638
1967,6,2,3,40,3.5259
1967,6,2,4,42,5.3911
1967,6,2,5,48,7.4449
1967,6,3,1,144,0.6570
1967,6,3,2,198,3.2017
1967,6,3,3,196,0.2191
1967,6,3,4,201,1.6226
1967,6,3,5,160,2.6228
1967,7,1,1,28,7.8350
1967,7,1,2,18,9.2121
1967,7,1,3,16,9.4164
1967,7,1,4,11,10.6525
1967,7,1,5,23,6.8320
1967,7,2,1,60,7.6112
1967,7,2,2,45,7.7499
1967,7,2,3,34,6.5610
1967,7,2,4,36,7.2745
1967,7,2,5,45,10.2639
1967,7,3,1,123,6.2408
1967,7,3,2,163,4.3620
1967,7,3,3,171,4.7632
1967,7,3,4,171,6.3745
1967,7,3,5,141,5.0546
1967,8,1,1,34,3.3313
1967,8,1,2,24,1.9351
1967,8,1,3,25,2.4817
1967,8,1,4,16,-2.0648
1967,8,1,5,32,-0.6814
1967,8,2,1,71,0.6924
1967,8,2,2,54,1.7008
1967,8,2,3,46,0.1725
1967,8,2,4,44,-0.2797
1967,8,2,5,56,-1.4269
1967,8,3,1,142,-0.2476
1967,8,3,2,200,-0.2917
1967,8,3,3,207,-0.9730
1967,8,3,4,201,-1.7075
1967,8,3,5,174,-0.8379
1967,9,1,1,34,5.4386
1967,9,1,2,25,2.8609
1967,9,1,3,24,3.6889
1967,9,1,4,15,11.8270
1967,9,1,5,33,7.5263
1967,9,2,1,72,1.5779
1967,9,2,2,53,4.0344
1967,9,2,3,46,0.2583
1967,9,2,4,46,4.0023
1967,9,2,5,61,5.3862
1967,9,3,1,143,4.0436
1967,9,3,2,200,5.4727
1967,9,3,3,211,2.6752
1967,9,3,4,202,1.6658
1967,9,3,5,175,3.1911
1967,10,1,1,32,-2.9854
1967,10,1,2,22,-0.6077
1967,10,1,3,21,-3.5020
1967,10,1,4,11,-0.8703
1967,10,1,5,28,0.3596
1967,10,2,1,58,-2.6620
1967,10,2,2,48,-5.4036
1967,10,2,3,40,-3.1499
1967,10,2,4,38,-1.9834
1967,10,2,5,56,-4.8680
1967,10,3,1,117,-4.4818
1967,10,3,2,155,-0.0209
