year,month,rank_ME,rank_CTO,nstocks,ret_vw
1967,12,2,1,47,6.2727
1967,12,2,2,43,5.7955
1967,12,2,3,47,4.8644
1967,12,2,4,62,6.8115
1967,12,2,5,65,7.2157
1967,12,3,1,121,2.2389
1967,12,3,2,116,3.3150
1967,12,3,3,103,2.8009
1967,12,3,4,91,1.3505
1967,12,3,5,87,3.1660
1968,1,1,1,39,4.2906
1968,1,1,2,57,4.9334
1968,1,1,3,76,-0.5735
1968,1,1,4,89,3.3459
1968,1,1,5,153,3.1081
1968,1,2,1,47,2.9209
1968,1,2,2,43,0.3176
1968,1,2,3,47,0.1265
1968,1,2,4,62,-1.4032
1968,1,2,5,65,-2.5541
1968,1,3,1,121,0.4176
1968,1,3,2,116,-4.2417
1968,1,3,3,103,-4.6132
1968,1,3,4,91,-7.2481
1968,1,3,5,87,-7.3664
1968,2,1,1,39,-1.8029
1968,2,1,2,57,-8.7188
1968,2,1,3,76,-4.9298
1968,2,1,4,89,-6.4713
1968,2,1,5,152,-6.3587
1968,2,2,1,47,-1.8334
1968,2,2,2,41,-2.3568
1968,2,2,3,47,-4.5288
1968,2,2,4,62,-6.2692
1968,2,2,5,65,-6.1142
1968,2,3,1,121,-2.2729
1968,2,3,2,116,-3.1434
1968,2,3,3,103,-3.5925
1968,2,3,4,91,-3.2804
1968,2,3,5,86,-2.4928
1968,3,1,1,39,-3.8657
1968,3,1,2,58,-2.0224
1968,3,1,3,76,-0.1132
1968,3,1,4,89,0.0800
1968,3,1,5,152,-0.9692
1968,3,2,1,47,-1.7546
1968,3,2,2,41,-1.1877
1968,3,2,3,47,-2.7539
1968,3,2,4,62,-0.3692
1968,3,2,5,65,-1.1958
1968,3,3,1,121,-2.2726
1968,3,3,2,116,1.6287
1968,3,3,3,103,1.0109
1968,3,3,4,91,1.0875
1968,3,3,5,86,2.4066
1968,4,1,1,39,14.5930
1968,4,1,2,58,19.0188
1968,4,1,3,75,16.0179
1968,4,1,4,89,14.7095
1968,4,1,5,152,18.3137
1968,4,2,1,47,8.1928
1968,4,2,2,41,14.0280
1968,4,2,3,47,13.5591
1968,4,2,4,62,13.9429
1968,4,2,5,65,14.3657
1968,4,3,1,121,3.2301
1968,4,3,2,116,7.7014
1968,4,3,3,103,12.3476
1968,4,3,4,91,11.4157
1968,4,3,5,86,12.3627
1968,5,1,1,39,12.3124
1968,5,1,2,58,9.7208
1968,5,1,3,75,11.1729
1968,5,1,4,89,11.1514
1968,5,1,5,152,11.2172
1968,5,2,1,47,4.4038
1968,5,2,2,41,7.3509
1968,5,2,3,47,8.1623
1968,5,2,4,61,7.7072
1968,5,2,5,65,8.1721
1968,5,3,1,121,-0.2133
1968,5,3,2,115,2.3982
1968,5,3,3,103,1.9568
1968,5,3,4,91,0.7730
