year,month,rank_ME,rank_RNAq_1,nstocks,ret_vw
1976,1,1,1,81,23.5721
1976,1,1,2,56,24.4316
1976,1,1,3,63,26.2151
1976,1,1,4,41,24.6390
1976,1,1,5,55,27.8205
1976,1,2,1,32,23.8484
1976,1,2,2,24,18.9259
1976,1,2,3,42,18.6852
1976,1,2,4,43,21.3045
1976,1,2,5,34,20.3588
1976,1,3,1,33,19.2150
1976,1,3,2,49,14.4829
1976,1,3,3,49,12.3213
1976,1,3,4,60,17.8357
1976,1,3,5,74,8.2571
1976,2,1,1,113,14.5046
1976,2,1,2,64,14.4486
1976,2,1,3,67,10.5970
1976,2,1,4,56,15.3630
1976,2,1,5,52,12.7396
1976,2,2,1,36,9.7539
1976,2,2,2,40,9.7806
1976,2,2,3,42,6.2706
1976,2,2,4,43,6.2630
1976,2,2,5,46,8.3790
1976,2,3,1,41,4.4443
1976,2,3,2,48,1.0947
1976,2,3,3,57,1.0202
1976,2,3,4,64,0.1728
1976,2,3,5,85,-2.0483
1976,3,1,1,116,2.4901
1976,3,1,2,77,0.2329
1976,3,1,3,70,2.5423
1976,3,1,4,63,3.0899
1976,3,1,5,64,0.1314
1976,3,2,1,36,4.0662
1976,3,2,2,35,0.1148
1976,3,2,3,36,0.6327
1976,3,2,4,47,2.7304
1976,3,2,5,47,2.0115
1976,3,3,1,46,5.9105
1976,3,3,2,45,0.6095
1976,3,3,3,62,4.3199
1976,3,3,4,68,0.5865
1976,3,3,5,85,4.9468
1976,4,1,1,112,-3.8459
1976,4,1,2,78,-0.7838
1976,4,1,3,73,-0.9441
1976,4,1,4,63,-0.9250
1976,4,1,5,74,-3.5537
1976,4,2,1,43,1.0144
1976,4,2,2,37,-3.2087
1976,4,2,3,41,2.3093
1976,4,2,4,45,-2.6335
1976,4,2,5,51,-2.0521
1976,4,3,1,46,1.4571
1976,4,3,2,43,-1.6746
1976,4,3,3,64,0.5703
1976,4,3,4,74,-0.6596
1976,4,3,5,84,-1.6389
1976,5,1,1,137,-2.4745
1976,5,1,2,99,0.5907
1976,5,1,3,77,-2.2675
1976,5,1,4,84,-5.4661
1976,5,1,5,86,-3.7266
1976,5,2,1,54,-0.7745
1976,5,2,2,42,0.1034
1976,5,2,3,47,0.5363
1976,5,2,4,65,-1.2375
1976,5,2,5,58,-2.7880
1976,5,3,1,53,0.4065
1976,5,3,2,68,-2.7902
1976,5,3,3,85,1.4789
1976,5,3,4,89,-0.3279
1976,5,3,5,96,-0.2892
1976,6,1,1,135,3.8679
1976,6,1,2,96,3.9348
1976,6,1,3,90,2.2636
1976,6,1,4,82,5.2299
1976,6,1,5,81,3.4958
1976,6,2,1,59,5.4803
1976,6,2,2,54,4.9006
1976,6,2,3,48,2.9717
1976,6,2,4,66,3.1603
1976,6,2,5,58,5.1261
1976,6,3,1,53,4.2341
1976,6,3,2,69,4.9452
1976,6,3,3,89,2.6527
1976,6,3,4,88,3.6386
1976,6,3,5,95,4.9981
1976,7,1,1,141,1.3797
1976,7,1,2,98,-1.0839
1976,7,1,3,95,0.1659
