year,month,rank_ME,rank_CLAq_1,nstocks,ret_vw
1976,1,1,1,79,28.4102
1976,1,1,2,80,23.6236
1976,1,1,3,32,23.0667
1976,1,1,4,36,24.7676
1976,1,1,5,53,26.0824
1976,1,2,1,29,22.9318
1976,1,2,2,31,18.8860
1976,1,2,3,39,17.9639
1976,1,2,4,17,22.3738
1976,1,2,5,39,24.1035
1976,1,3,1,39,12.2542
1976,1,3,2,46,14.0736
1976,1,3,3,45,12.0124
1976,1,3,4,61,16.2047
1976,1,3,5,52,10.4377
1976,2,1,1,107,12.4405
1976,2,1,2,77,11.0444
1976,2,1,3,53,11.5154
1976,2,1,4,36,17.5844
1976,2,1,5,65,15.6500
1976,2,2,1,42,6.5814
1976,2,2,2,39,8.5276
1976,2,2,3,38,8.2177
1976,2,2,4,28,6.7800
1976,2,2,5,34,9.6093
1976,2,3,1,32,2.6244
1976,2,3,2,45,3.0750
1976,2,3,3,56,1.5421
1976,2,3,4,68,-1.9903
1976,2,3,5,68,-1.0022
1976,3,1,1,108,0.0650
1976,3,1,2,93,3.2373
1976,3,1,3,66,1.7221
1976,3,1,4,42,1.5260
1976,3,1,5,68,2.5478
1976,3,2,1,39,2.9544
1976,3,2,2,35,3.8481
1976,3,2,3,34,2.6364
1976,3,2,4,33,1.8906
1976,3,2,5,34,1.9067
1976,3,3,1,38,4.7494
1976,3,3,2,46,3.5533
1976,3,3,3,60,2.5667
1976,3,3,4,66,1.9837
1976,3,3,5,69,5.3844
1976,4,1,1,108,-1.8823
1976,4,1,2,87,-4.0415
1976,4,1,3,68,-0.7055
1976,4,1,4,46,-0.6658
1976,4,1,5,76,-3.5635
1976,4,2,1,44,-0.9455
1976,4,2,2,37,-2.7491
1976,4,2,3,37,0.0612
1976,4,2,4,38,-0.3534
1976,4,2,5,35,-2.7865
1976,4,3,1,38,-1.9621
1976,4,3,2,48,-0.7498
1976,4,3,3,62,0.5205
1976,4,3,4,66,0.2506
1976,4,3,5,70,-1.4046
1976,5,1,1,100,-3.1329
1976,5,1,2,83,-2.9174
1976,5,1,3,133,-3.5809
1976,5,1,4,73,-1.4288
1976,5,1,5,89,-2.0483
1976,5,2,1,54,-2.7367
1976,5,2,2,36,0.1901
1976,5,2,3,44,-0.6432
1976,5,2,4,52,-0.9925
1976,5,2,5,63,-0.8119
1976,5,3,1,66,-3.2501
1976,5,3,2,80,-1.0550
1976,5,3,3,64,-2.0421
1976,5,3,4,77,2.6965
1976,5,3,5,78,-0.4275
1976,6,1,1,96,3.6652
1976,6,1,2,92,3.6613
1976,6,1,3,120,3.5793
1976,6,1,4,73,5.5637
1976,6,1,5,92,2.4165
1976,6,2,1,52,2.7294
1976,6,2,2,43,4.5484
1976,6,2,3,52,4.2784
1976,6,2,4,52,4.6630
1976,6,2,5,67,6.1449
1976,6,3,1,66,4.9065
1976,6,3,2,83,5.4848
1976,6,3,3,63,4.2926
1976,6,3,4,79,2.2690
1976,6,3,5,76,3.8012
1976,7,1,1,91,0.1797
1976,7,1,2,98,0.6280
1976,7,1,3,123,0.8079
1976,7,1,4,74,-0.9764
1976,7,1,5,87,-1.5446
1976,7,2,1,59,0.5026
1976,7,2,2,42,-2.3664
1976,7,2,3,56,-1.2199
1976,7,2,4,45,-0.5605
1976,7,2,5,67,0.3793
1976,7,3,1,63,-0.6058
1976,7,3,2,81,-1.4777
1976,7,3,3,58,-2.5954
1976,7,3,4,82,-0.6465
1976,7,3,5,76,-1.5263
1976,8,1,1,169,-3.6346
1976,8,1,2,125,-2.8511
1976,8,1,3,91,-1.5461
1976,8,1,4,94,-1.4168
1976,8,1,5,89,-2.7654
1976,8,2,1,85,-4.4785
1976,8,2,2,74,-1.4734
1976,8,2,3,57,-2.9177
1976,8,2,4,67,-1.8421
1976,8,2,5,64,-1.4941
1976,8,3,1,58,0.7328
1976,8,3,2,81,-0.4855
1976,8,3,3,96,-2.3765
1976,8,3,4,109,-0.4817
1976,8,3,5,113,-0.0550
1976,9,1,1,195,-0.2251
1976,9,1,2,135,2.9999
1976,9,1,3,100,2.8079
1976,9,1,4,95,1.1963
1976,9,1,5,97,2.5284
1976,9,2,1,85,2.8244
1976,9,2,2,75,2.1799
1976,9,2,3,58,1.7314
1976,9,2,4,72,3.8252
1976,9,2,5,64,3.0131
1976,9,3,1,52,2.8080
1976,9,3,2,85,1.8553
1976,9,3,3,93,1.5035
1976,9,3,4,110,3.9320
1976,9,3,5,115,2.8706
1976,10,1,1,240,-3.6379
1976,10,1,2,159,-2.2731
1976,10,1,3,120,-1.7045
1976,10,1,4,119,-2.7219
1976,10,1,5,113,-3.0471
1976,10,2,1,82,-4.2881
1976,10,2,2,82,-4.5582
1976,10,2,3,62,-1.8781
1976,10,2,4,72,-2.7059
1976,10,2,5,78,-2.9155
1976,10,3,1,54,-2.0742
