year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1967,12,2,1,104,6.6344
1967,12,2,2,103,4.5872
1967,12,2,3,98,5.0470
1967,12,2,4,109,6.1009
1967,12,2,5,129,8.6201
1967,12,3,1,119,3.4665
1967,12,3,2,201,3.5815
1967,12,3,3,222,2.8689
1967,12,3,4,227,2.3802
1967,12,3,5,183,2.8461
1968,1,1,1,250,3.4353
1968,1,1,2,128,3.8294
1968,1,1,3,113,4.0169
1968,1,1,4,114,2.6266
1968,1,1,5,187,3.3598
1968,1,2,1,92,0.6643
1968,1,2,2,95,1.8514
1968,1,2,3,76,-1.1163
1968,1,2,4,90,-1.9716
1968,1,2,5,114,-2.2616
1968,1,3,1,91,-4.4869
1968,1,3,2,157,-3.0092
1968,1,3,3,175,-3.6708
1968,1,3,4,189,-4.0642
1968,1,3,5,155,-8.2335
1968,2,1,1,270,-6.8532
1968,2,1,2,159,-6.9127
1968,2,1,3,138,-6.9325
1968,2,1,4,144,-6.2198
1968,2,1,5,188,-6.3872
1968,2,2,1,110,-2.7527
1968,2,2,2,108,-5.1627
1968,2,2,3,94,-5.5075
1968,2,2,4,101,-5.2408
1968,2,2,5,122,-5.8964
1968,2,3,1,107,-2.8077
1968,2,3,2,186,-2.6604
1968,2,3,3,204,-1.6359
1968,2,3,4,203,-2.7414
1968,2,3,5,169,-3.9637
1968,3,1,1,275,-1.5816
1968,3,1,2,171,-1.0910
1968,3,1,3,147,-2.8054
1968,3,1,4,159,-1.4260
1968,3,1,5,191,0.1765
1968,3,2,1,107,-0.5264
1968,3,2,2,105,-1.5425
1968,3,2,3,91,-3.1134
1968,3,2,4,108,-1.7397
1968,3,2,5,128,0.1924
1968,3,3,1,108,0.0154
1968,3,3,2,191,-0.5383
1968,3,3,3,208,-0.5519
1968,3,3,4,205,1.3286
1968,3,3,5,169,3.1486
1968,4,1,1,247,15.8276
1968,4,1,2,143,14.7629
1968,4,1,3,129,16.7327
1968,4,1,4,148,16.7576
1968,4,1,5,176,18.5605
1968,4,2,1,95,11.7396
1968,4,2,2,93,10.4133
1968,4,2,3,76,11.5746
1968,4,2,4,101,14.0960
1968,4,2,5,112,18.6587
1968,4,3,1,97,9.3937
1968,4,3,2,161,8.0925
1968,4,3,3,176,6.6549
1968,4,3,4,162,9.6903
1968,4,3,5,151,11.2690
1968,5,1,1,290,9.9910
1968,5,1,2,169,9.2412
1968,5,1,3,158,11.2437
1968,5,1,4,182,11.6525
1968,5,1,5,213,12.8780
1968,5,2,1,113,4.8908
1968,5,2,2,109,6.4793
1968,5,2,3,100,5.6934
1968,5,2,4,126,7.5290
1968,5,2,5,129,9.9930
1968,5,3,1,114,2.2246
1968,5,3,2,197,0.4450
1968,5,3,3,214,-0.6421
1968,5,3,4,204,2.4915
1968,5,3,5,189,3.0068
1968,6,1,1,294,0.8989
1968,6,1,2,171,2.3517
1968,6,1,3,158,1.7209
1968,6,1,4,187,0.8712
1968,6,1,5,220,-0.2230
1968,6,2,1,115,-1.3108
1968,6,2,2,106,3.1704
1968,6,2,3,103,1.0169
1968,6,2,4,125,-0.9987
