year,month,rank_ME,nstocks,ret_vw
1967,1,1,723,20.0457
1967,1,2,180,16.7438
1967,1,3,140,18.7668
1967,1,4,134,17.4516
1967,1,5,125,13.2105
1967,1,6,125,13.9602
1967,1,7,122,10.7876
1967,1,8,119,9.2042
1967,1,9,119,8.6391
1967,1,10,117,6.9909
1967,2,1,720,6.1239
1967,2,2,180,4.7782
1967,2,3,139,1.5423
1967,2,4,134,2.8792
1967,2,5,124,2.2435
1967,2,6,126,0.8909
1967,2,7,122,2.0489
1967,2,8,119,0.3557
1967,2,9,119,0.9376
1967,2,10,117,0.9211
1967,3,1,718,7.2679
1967,3,2,180,7.4618
1967,3,3,138,5.7337
1967,3,4,134,6.9786
1967,3,5,124,5.4075
1967,3,6,126,6.1000
1967,3,7,122,5.6912
1967,3,8,119,5.1734
1967,3,9,119,4.4787
1967,3,10,117,3.9409
1967,4,1,713,5.2674
1967,4,2,180,3.4162
1967,4,3,138,3.9197
1967,4,4,133,3.4590
1967,4,5,124,3.9163
1967,4,6,126,4.6209
1967,4,7,121,4.2732
1967,4,8,119,5.0612
1967,4,9,119,2.9810
1967,4,10,117,4.5554
1967,5,1,708,-0.2071
1967,5,2,180,-0.2011
1967,5,3,138,-1.1792
1967,5,4,132,-1.6858
1967,5,5,124,-1.9316
1967,5,6,125,-0.4566
1967,5,7,121,-0.8749
1967,5,8,119,-2.5062
1967,5,9,119,-3.8482
1967,5,10,117,-5.1139
1967,6,1,704,14.2499
1967,6,2,180,9.9751
1967,6,3,138,7.0820
1967,6,4,130,8.1673
1967,6,5,119,6.2039
1967,6,6,124,5.4872
1967,6,7,119,4.3337
1967,6,8,118,3.4436
1967,6,9,119,2.2739
1967,6,10,117,1.4002
1967,7,1,702,10.0518
1967,7,2,206,8.6094
1967,7,3,169,8.7184
1967,7,4,142,7.2058
1967,7,5,139,6.1192
1967,7,6,128,6.1784
1967,7,7,123,5.1377
1967,7,8,122,5.7251
1967,7,9,118,5.4147
1967,7,10,117,4.0280
1967,8,1,695,0.9753
1967,8,2,204,-0.2701
1967,8,3,168,0.4318
1967,8,4,140,-1.4344
1967,8,5,138,0.0382
1967,8,6,127,0.1083
1967,8,7,121,0.2321
1967,8,8,122,-0.6956
1967,8,9,118,-0.5339
1967,8,10,117,-0.8933
1967,9,1,690,9.0612
1967,9,2,204,7.4865
1967,9,3,168,6.1103
1967,9,4,140,4.3857
1967,9,5,136,3.4294
1967,9,6,127,4.0426
1967,9,7,120,4.6660
1967,9,8,122,1.5750
1967,9,9,118,2.1245
1967,9,10,117,3.4744
1967,10,1,685,-1.1686
1967,10,2,203,-2.4331
1967,10,3,167,-3.1711
1967,10,4,139,-1.9954
1967,10,5,135,-3.6709
1967,10,6,127,-2.0467
1967,10,7,117,-3.8720
1967,10,8,120,-5.6033
1967,10,9,119,-4.7432
1967,10,10,117,-1.7554
1967,11,1,683,-0.8138
1967,11,2,201,1.2146
1967,11,3,164,0.6678
1967,11,4,136,1.0880
1967,11,5,134,1.3437
1967,11,6,127,0.9200
1967,11,7,117,1.3752
1967,11,8,121,1.2276
1967,11,9,119,0.4485
1967,11,10,116,0.7303
1967,12,1,675,11.3789
1967,12,2,201,9.1478
1967,12,3,163,8.7776
1967,12,4,136,7.4528
1967,12,5,134,6.1830
1967,12,6,126,6.0341
1967,12,7,116,3.5608
1967,12,8,121,2.6968
1967,12,9,119,2.6920
1967,12,10,116,2.3912
1968,1,1,670,5.0661
1968,1,2,201,0.3583
1968,1,3,163,0.2720
1968,1,4,135,-1.3909
1968,1,5,134,-1.3444
1968,1,6,126,-3.3241
1968,1,7,113,-2.9311
1968,1,8,121,-3.8315
1968,1,9,119,-3.7515
1968,1,10,116,-4.5882
1968,2,1,661,-7.8049
1968,2,2,197,-5.8810
1968,2,3,161,-5.8151
1968,2,4,132,-6.2904
1968,2,5,129,-3.1822
1968,2,6,125,-5.3746
1968,2,7,113,-4.8224
1968,2,8,120,-4.5237
1968,2,9,119,-3.2859
1968,2,10,116,-2.3961
1968,3,1,662,-1.1289
1968,3,2,197,-1.0033
1968,3,3,160,-1.7011
1968,3,4,131,-0.9442
1968,3,5,128,-1.6350
1968,3,6,125,1.5046
1968,3,7,112,0.3598
1968,3,8,120,-0.6640
1968,3,9,118,0.0550
1968,3,10,116,1.1903
1968,4,1,659,17.5121
1968,4,2,195,16.7674
1968,4,3,160,14.5177
1968,4,4,131,15.0813
1968,4,5,128,11.8153
1968,4,6,124,12.7865
1968,4,7,112,10.8340
1968,4,8,120,10.4702
1968,4,9,118,9.1863
1968,4,10,116,7.8921
1968,5,1,654,13.9869
1968,5,2,195,8.4950
1968,5,3,159,9.5788
1968,5,4,131,6.5027
1968,5,5,127,5.0975
1968,5,6,124,5.4223
1968,5,7,110,5.3380
1968,5,8,119,3.6214
1968,5,9,118,2.7030
1968,5,10,115,0.9205
1968,6,1,650,0.9053
1968,6,2,195,0.0186
1968,6,3,158,-1.4371
1968,6,4,127,0.5446
1968,6,5,127,1.0755
1968,6,6,124,0.3205
1968,6,7,110,1.9473
1968,6,8,119,1.3230
1968,6,9,118,1.4785
1968,6,10,115,0.8393
1968,7,1,686,-2.7166
1968,7,2,228,-4.5836
1968,7,3,160,-2.4979
1968,7,4,147,-5.1771
1968,7,5,149,-2.8251
1968,7,6,123,-5.0527
1968,7,7,120,-5.2068
1968,7,8,124,-2.3487
1968,7,9,116,-2.5869
1968,7,10,115,-1.5090
1968,8,1,676,4.2328
1968,8,2,228,4.4041
1968,8,3,159,3.5700
1968,8,4,144,2.4139
1968,8,5,148,4.0566
1968,8,6,123,2.3055
1968,8,7,119,1.4220
1968,8,8,122,2.4042
1968,8,9,115,1.3489
1968,8,10,115,1.2834
1968,9,1,674,7.0924
1968,9,2,227,6.9650
1968,9,3,158,6.9169
1968,9,4,144,6.7656
1968,9,5,148,6.9189
1968,9,6,123,4.8317
1968,9,7,119,6.1961
1968,9,8,122,6.4010
1968,9,9,115,5.2697
1968,9,10,115,3.0141
1968,10,1,672,-0.2403
1968,10,2,226,0.5997
1968,10,3,158,1.3340
1968,10,4,142,0.2078
1968,10,5,147,1.3405
1968,10,6,121,1.2897
1968,10,7,118,1.3185
1968,10,8,121,0.6028
1968,10,9,115,1.5950
1968,10,10,115,0.6293
1968,11,1,666,7.1838
1968,11,2,223,7.0257
1968,11,3,155,7.7247
1968,11,4,142,8.6022
1968,11,5,147,7.5358
1968,11,6,120,8.0812
1968,11,7,118,6.7685
1968,11,8,121,7.5850
1968,11,9,114,6.5518
1968,11,10,115,4.9178
1968,12,1,662,3.1893
1968,12,2,223,1.7313
1968,12,3,155,-0.5604
1968,12,4,140,-1.4145
1968,12,5,146,-1.3375
1968,12,6,120,-1.9914
1968,12,7,118,-3.2625
1968,12,8,120,-3.3839
1968,12,9,114,-2.5817
1968,12,10,115,-4.5007
1969,1,1,655,-0.4713
1969,1,2,222,-1.1268
1969,1,3,155,-0.8151
1969,1,4,138,-0.8193
1969,1,5,144,-1.1058
1969,1,6,120,-2.2447
1969,1,7,118,-2.0595
1969,1,8,119,0.4731
1969,1,9,114,0.0227
1969,1,10,115,-1.0079
1969,2,1,649,-10.7146
1969,2,2,220,-10.0771
1969,2,3,153,-8.7810
1969,2,4,136,-8.2322
1969,2,5,143,-7.8851
1969,2,6,120,-7.6290
1969,2,7,118,-7.4517
1969,2,8,119,-6.7563
1969,2,9,114,-6.1737
1969,2,10,115,-3.5317
1969,3,1,645,2.7424
1969,3,2,219,2.6666
1969,3,3,151,2.8630
1969,3,4,136,2.5005
1969,3,5,142,2.0260
1969,3,6,120,1.3052
1969,3,7,118,1.7230
1969,3,8,118,2.2573
1969,3,9,114,1.2477
1969,3,10,115,4.2117
1969,4,1,640,-0.8563
1969,4,2,217,0.4675
1969,4,3,150,1.2084
1969,4,4,136,0.8849
1969,4,5,142,0.8456
1969,4,6,120,0.6032
1969,4,7,118,1.9799
1969,4,8,118,0.9716
1969,4,9,114,1.8678
1969,4,10,114,2.5574
1969,5,1,637,1.3950
