year,month,rank_ME,nstocks,ret_vw
1968,8,5,148,4.0539
1968,8,6,123,2.3056
1968,8,7,119,1.4223
1968,8,8,122,2.4014
1968,8,9,115,1.3425
1968,8,10,115,1.2764
1968,9,1,674,7.0899
1968,9,2,227,6.9581
1968,9,3,158,6.9104
1968,9,4,144,6.7614
1968,9,5,147,6.9278
1968,9,6,123,4.8240
1968,9,7,119,6.1896
1968,9,8,122,6.3960
1968,9,9,115,5.2649
1968,9,10,115,3.0144
1968,10,1,670,-0.2519
1968,10,2,225,0.4372
1968,10,3,158,1.3336
1968,10,4,142,0.2088
1968,10,5,147,1.3413
1968,10,6,121,1.2907
1968,10,7,118,1.3193
1968,10,8,121,0.6012
1968,10,9,115,1.5930
1968,10,10,115,0.6304
1968,11,1,666,7.1800
1968,11,2,222,7.0425
1968,11,3,155,7.7146
1968,11,4,142,8.5931
1968,11,5,147,7.5275
1968,11,6,120,8.0719
1968,11,7,118,6.7588
1968,11,8,121,7.5766
1968,11,9,114,6.5357
1968,11,10,115,4.9167
1968,12,1,661,3.1712
1968,12,2,223,1.7332
1968,12,3,155,-0.5586
1968,12,4,140,-1.4128
1968,12,5,146,-1.3345
1968,12,6,120,-1.9841
1968,12,7,118,-3.2566
1968,12,8,120,-3.3769
1968,12,9,114,-2.5799
1968,12,10,115,-4.4983
1969,1,1,655,-0.4720
1969,1,2,222,-1.1291
1969,1,3,154,-0.7122
1969,1,4,138,-0.8223
1969,1,5,144,-1.1083
1969,1,6,120,-2.2453
1969,1,7,118,-2.0594
1969,1,8,119,0.4710
1969,1,9,114,0.0219
1969,1,10,115,-1.0083
1969,2,1,648,-10.7746
1969,2,2,220,-10.0691
1969,2,3,152,-8.7628
1969,2,4,136,-8.2265
1969,2,5,143,-7.8744
1969,2,6,120,-7.6163
1969,2,7,118,-7.4430
1969,2,8,119,-6.7403
1969,2,9,114,-6.1582
1969,2,10,115,-3.5132
1969,3,1,644,2.7817
1969,3,2,219,2.6621
1969,3,3,150,3.0356
1969,3,4,136,2.4991
