year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1967,12,2,1,104,6.6458
1967,12,2,2,103,4.5967
1967,12,2,3,98,5.0503
1967,12,2,4,109,6.1033
1967,12,2,5,129,8.6238
1967,12,3,1,119,3.4700
1967,12,3,2,201,3.5843
1967,12,3,3,222,2.8688
1967,12,3,4,227,2.3796
1967,12,3,5,183,2.8453
1968,1,1,1,252,3.6728
1968,1,1,2,130,4.2691
1968,1,1,3,114,4.0331
1968,1,1,4,114,2.6284
1968,1,1,5,187,3.3647
1968,1,2,1,92,0.6609
1968,1,2,2,95,1.8507
1968,1,2,3,76,-1.1182
1968,1,2,4,90,-1.9739
1968,1,2,5,114,-2.2636
1968,1,3,1,91,-4.4889
1968,1,3,2,157,-3.0127
1968,1,3,3,175,-3.6751
1968,1,3,4,189,-4.0655
1968,1,3,5,155,-8.2347
1968,2,1,1,270,-6.8558
1968,2,1,2,159,-6.9155
1968,2,1,3,138,-6.9358
1968,2,1,4,144,-6.2230
1968,2,1,5,188,-6.3887
1968,2,2,1,110,-2.7567
1968,2,2,2,108,-5.1699
1968,2,2,3,94,-5.5157
1968,2,2,4,101,-5.2418
1968,2,2,5,122,-5.8948
1968,2,3,1,107,-2.8174
1968,2,3,2,186,-2.6666
1968,2,3,3,204,-1.6459
1968,2,3,4,203,-2.7462
1968,2,3,5,169,-3.9682
1968,3,1,1,275,-1.5821
1968,3,1,2,171,-1.0897
1968,3,1,3,147,-2.8084
1968,3,1,4,159,-1.4269
1968,3,1,5,191,0.1800
1968,3,2,1,107,-0.5217
1968,3,2,2,105,-1.5448
1968,3,2,3,91,-3.1163
1968,3,2,4,108,-1.7401
1968,3,2,5,128,0.1938
1968,3,3,1,108,0.0146
1968,3,3,2,191,-0.5387
1968,3,3,3,208,-0.5532
1968,3,3,4,205,1.3290
1968,3,3,5,169,3.1507
1968,4,1,1,247,15.8319
1968,4,1,2,143,14.7687
1968,4,1,3,129,16.7442
1968,4,1,4,148,16.7744
1968,4,1,5,176,18.5669
1968,4,2,1,95,11.7448
1968,4,2,2,93,10.4183
1968,4,2,3,76,11.5856
1968,4,2,4,101,14.1006
1968,4,2,5,112,18.6701
1968,4,3,1,97,9.3983
1968,4,3,2,161,8.0962
1968,4,3,3,176,6.6569
1968,4,3,4,162,9.6923
1968,4,3,5,151,11.2704
1968,5,1,1,290,9.9958
1968,5,1,2,169,9.2485
1968,5,1,3,158,11.2537
1968,5,1,4,182,11.6604
1968,5,1,5,213,12.8859
1968,5,2,1,114,4.7783
1968,5,2,2,110,6.4629
1968,5,2,3,100,5.7036
1968,5,2,4,126,7.5356
1968,5,2,5,129,9.9975
1968,5,3,1,114,2.2222
1968,5,3,2,197,0.4426
1968,5,3,3,214,-0.6498
1968,5,3,4,204,2.4963
1968,5,3,5,189,3.0026
1968,6,1,1,294,0.8967
1968,6,1,2,171,2.3495
1968,6,1,3,158,1.7193
1968,6,1,4,187,0.8686
1968,6,1,5,220,-0.2268
1968,6,2,1,115,-1.3202
1968,6,2,2,106,3.1621
1968,6,2,3,103,1.0175
1968,6,2,4,125,-1.0014
1968,6,2,5,133,0.6718
1968,6,3,1,118,-0.1421
1968,6,3,2,197,2.2552
1968,6,3,3,217,2.4896
1968,6,3,4,216,-0.1548
1968,6,3,5,193,-0.0186
1968,7,1,1,266,-2.8790
1968,7,1,2,139,-3.3862
1968,7,1,3,131,-4.2639
1968,7,1,4,170,-3.2357
1968,7,1,5,208,-3.8929
1968,7,2,1,108,-3.2168
1968,7,2,2,85,-1.6687
1968,7,2,3,92,-2.6459
1968,7,2,4,112,-3.4606
1968,7,2,5,123,-6.2342
1968,7,3,1,101,-2.5739
1968,7,3,2,176,0.0971
1968,7,3,3,187,1.3073
1968,7,3,4,183,-3.2991
