year,month,rank_ME,rank_FP_6,nstocks,ret_vw
1976,12,1,5,285,11.0240
1976,12,2,1,83,8.0801
1976,12,2,2,115,8.4357
1976,12,2,3,112,8.3415
1976,12,2,4,147,9.7940
1976,12,2,5,110,11.4742
1976,12,3,1,159,5.3236
1976,12,3,2,212,5.2723
1976,12,3,3,185,5.1472
1976,12,3,4,143,7.3818
1976,12,3,5,45,10.0702
1977,1,1,1,67,2.7283
1977,1,1,2,75,3.3758
1977,1,1,3,125,5.1346
1977,1,1,4,185,3.2784
1977,1,1,5,284,3.6639
1977,1,2,1,87,1.1733
1977,1,2,2,115,1.4971
1977,1,2,3,112,0.9168
1977,1,2,4,139,0.7130
1977,1,2,5,113,1.6345
1977,1,3,1,153,-3.5762
1977,1,3,2,201,-5.6925
1977,1,3,3,176,-6.5095
1977,1,3,4,132,-3.5708
1977,1,3,5,46,-4.2152
1977,2,1,1,97,0.5816
1977,2,1,2,94,0.3782
1977,2,1,3,131,1.4980
1977,2,1,4,213,-0.7237
1977,2,1,5,363,-3.4865
1977,2,2,1,120,-1.6102
1977,2,2,2,125,0.2522
1977,2,2,3,122,-0.1213
1977,2,2,4,162,0.3207
1977,2,2,5,135,-1.6211
1977,2,3,1,190,-1.7284
1977,2,3,2,234,-1.8311
1977,2,3,3,221,-1.6528
1977,2,3,4,157,-2.4955
1977,2,3,5,52,-3.9928
1977,3,1,1,100,1.9792
1977,3,1,2,102,0.1860
1977,3,1,3,155,1.8191
1977,3,1,4,228,1.2503
1977,3,1,5,404,0.8498
1977,3,2,1,133,-0.9132
1977,3,2,2,131,0.4099
1977,3,2,3,134,-0.6532
1977,3,2,4,176,-0.1523
1977,3,2,5,139,-1.4946
1977,3,3,1,191,-1.6705
1977,3,3,2,236,-1.6872
1977,3,3,3,233,-1.9843
1977,3,3,4,164,-0.1602
1977,3,3,5,56,0.2252
1977,4,1,1,108,2.0049
1977,4,1,2,110,-1.2351
1977,4,1,3,166,2.9506
1977,4,1,4,234,1.9012
1977,4,1,5,416,0.4601
1977,4,2,1,138,2.3822
1977,4,2,2,132,2.1164
1977,4,2,3,149,2.4970
1977,4,2,4,177,1.0258
1977,4,2,5,137,0.9035
1977,4,3,1,191,-0.3854
1977,4,3,2,250,1.0851
1977,4,3,3,244,-1.2406
1977,4,3,4,168,0.2650
1977,4,3,5,57,0.0621
1977,5,1,1,122,0.1671
1977,5,1,2,136,0.3357
1977,5,1,3,187,-0.1957
1977,5,1,4,275,-0.7174
1977,5,1,5,450,0.4634
1977,5,2,1,154,0.1785
1977,5,2,2,156,0.2088
1977,5,2,3,166,-0.7080
1977,5,2,4,187,0.2991
1977,5,2,5,145,0.4583
1977,5,3,1,214,-1.7027
1977,5,3,2,271,-1.9358
1977,5,3,3,276,-2.6786
1977,5,3,4,201,-1.7519
1977,5,3,5,58,-0.5305
1977,6,1,1,137,7.9671
1977,6,1,2,147,7.4087
1977,6,1,3,196,6.7029
1977,6,1,4,295,7.9001
1977,6,1,5,467,8.5789
1977,6,2,1,161,6.5851
1977,6,2,2,170,6.6333
