year,month,rank_ME,rank_TBIq_6,nstocks,ret_vw
1967,12,2,1,93,9.6523
1967,12,2,2,94,5.8180
1967,12,2,3,78,4.5670
1967,12,2,4,82,5.7170
1967,12,2,5,91,4.1406
1967,12,3,1,130,4.6562
1967,12,3,2,173,3.5621
1967,12,3,3,185,1.7607
1967,12,3,4,166,2.2914
1967,12,3,5,134,2.0252
1968,1,1,1,112,3.5889
1968,1,1,2,84,2.6379
1968,1,1,3,80,3.3351
1968,1,1,4,92,3.5096
1968,1,1,5,152,2.2514
1968,1,2,1,80,-0.3667
1968,1,2,2,82,-1.6982
1968,1,2,3,70,0.3503
1968,1,2,4,78,-2.1804
1968,1,2,5,76,-1.5949
1968,1,3,1,117,-4.0463
1968,1,3,2,140,-5.0410
1968,1,3,3,138,-3.3823
1968,1,3,4,132,-6.4041
1968,1,3,5,107,-6.4070
1968,2,1,1,135,-6.5858
1968,2,1,2,102,-5.7469
1968,2,1,3,96,-4.5280
1968,2,1,4,112,-5.0158
1968,2,1,5,175,-6.3923
1968,2,2,1,90,-4.5613
1968,2,2,2,95,-4.4191
1968,2,2,3,80,-5.5134
1968,2,2,4,98,-4.9522
1968,2,2,5,95,-6.5328
1968,2,3,1,126,-3.3048
1968,2,3,2,160,-4.1441
1968,2,3,3,160,-2.8090
1968,2,3,4,151,-2.6625
1968,2,3,5,114,-2.6937
1968,3,1,1,145,-0.4050
1968,3,1,2,111,-0.9581
1968,3,1,3,98,-0.1332
1968,3,1,4,123,-0.0223
1968,3,1,5,182,-1.5148
1968,3,2,1,90,-1.8578
1968,3,2,2,98,-1.7116
1968,3,2,3,82,-0.9275
1968,3,2,4,100,-0.3906
1968,3,2,5,102,-0.1510
1968,3,3,1,126,-0.6988
1968,3,3,2,162,0.4156
1968,3,3,3,165,0.2085
1968,3,3,4,151,1.5697
1968,3,3,5,114,4.3267
1968,4,1,1,129,18.8101
1968,4,1,2,100,15.9299
1968,4,1,3,89,14.6072
1968,4,1,4,113,15.6655
1968,4,1,5,171,16.9163
1968,4,2,1,84,15.6021
1968,4,2,2,86,13.5422
1968,4,2,3,74,14.4061
1968,4,2,4,86,13.3841
1968,4,2,5,95,15.5447
1968,4,3,1,117,7.1277
1968,4,3,2,141,8.8409
1968,4,3,3,143,8.1298
1968,4,3,4,142,12.2844
1968,4,3,5,109,10.7985
1968,5,1,1,173,9.4635
1968,5,1,2,129,9.2145
1968,5,1,3,114,12.3238
1968,5,1,4,128,11.6377
1968,5,1,5,217,11.2465
1968,5,2,1,104,5.2446
1968,5,2,2,99,8.9317
1968,5,2,3,97,8.3424
1968,5,2,4,104,8.6249
1968,5,2,5,127,7.1751
1968,5,3,1,141,2.8291
1968,5,3,2,182,0.9733
1968,5,3,3,177,0.0345
1968,5,3,4,175,1.5304
1968,5,3,5,144,3.7262
1968,6,1,1,180,1.4414
1968,6,1,2,130,3.5861
1968,6,1,3,120,0.9972
1968,6,1,4,139,1.7284
1968,6,1,5,220,1.5080
1968,6,2,1,104,0.9722
1968,6,2,2,103,-1.7644
1968,6,2,3,98,0.6554
1968,6,2,4,109,0.2235
1968,6,2,5,127,0.1999
1968,6,3,1,138,1.3448
1968,6,3,2,183,0.2000
1968,6,3,3,181,1.1481
1968,6,3,4,182,-0.1279
1968,6,3,5,148,-0.8256
1968,7,1,1,157,-2.9658
1968,7,1,2,111,-4.8798
1968,7,1,3,106,-3.9266
1968,7,1,4,118,-2.5094
1968,7,1,5,198,-2.7457
1968,7,2,1,92,-1.6904
1968,7,2,2,85,-3.6544
1968,7,2,3,83,-3.7913
1968,7,2,4,101,-4.3003
1968,7,2,5,109,-6.0971
1968,7,3,1,125,-0.5156
1968,7,3,2,159,-1.9214
