year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1967,12,2,1,40,4.4647
1967,12,2,2,36,6.3025
1967,12,2,3,35,7.8044
1967,12,2,4,47,9.6880
1967,12,2,5,48,6.4384
1967,12,3,1,83,0.4865
1967,12,3,2,83,3.0516
1967,12,3,3,83,3.8201
1967,12,3,4,70,2.3044
1967,12,3,5,65,3.3672
1968,1,1,1,63,4.5504
1968,1,1,2,71,3.3396
1968,1,1,3,60,5.6643
1968,1,1,4,82,1.6091
1968,1,1,5,93,4.5588
1968,1,2,1,39,-2.2219
1968,1,2,2,35,-0.3435
1968,1,2,3,33,0.8268
1968,1,2,4,44,1.9007
1968,1,2,5,48,-0.8017
1968,1,3,1,84,-9.5231
1968,1,3,2,82,-5.2829
1968,1,3,3,87,-4.2749
1968,1,3,4,72,-3.2946
1968,1,3,5,64,-6.2688
1968,2,1,1,52,-7.5556
1968,2,1,2,80,-6.0258
1968,2,1,3,72,-6.7941
1968,2,1,4,78,-6.1791
1968,2,1,5,95,-3.8713
1968,2,2,1,49,-8.7389
1968,2,2,2,39,-5.2377
1968,2,2,3,46,-3.6008
1968,2,2,4,35,-4.6755
1968,2,2,5,41,-1.2207
1968,2,3,1,80,-5.0308
1968,2,3,2,80,-3.5268
1968,2,3,3,71,-3.8919
1968,2,3,4,80,-1.9901
1968,2,3,5,73,-2.9122
1968,3,1,1,58,-2.1966
1968,3,1,2,83,-1.8670
1968,3,1,3,79,0.2506
1968,3,1,4,79,0.3031
1968,3,1,5,89,-2.3541
1968,3,2,1,50,-0.8183
1968,3,2,2,38,-3.2804
1968,3,2,3,45,-1.2303
1968,3,2,4,32,-0.1463
1968,3,2,5,47,0.6013
1968,3,3,1,75,1.6666
1968,3,3,2,80,-0.0499
1968,3,3,3,71,0.2194
1968,3,3,4,81,0.2343
1968,3,3,5,76,3.2788
1968,4,1,1,63,16.7679
1968,4,1,2,83,16.4897
1968,4,1,3,81,16.2042
1968,4,1,4,72,18.1496
1968,4,1,5,94,16.9489
1968,4,2,1,45,15.8741
1968,4,2,2,38,13.9814
1968,4,2,3,45,15.0112
1968,4,2,4,35,13.5806
1968,4,2,5,42,12.1223
1968,4,3,1,79,12.0615
1968,4,3,2,82,10.4817
1968,4,3,3,67,9.5627
1968,4,3,4,82,6.6298
1968,4,3,5,77,9.7720
1968,5,1,1,113,10.9678
1968,5,1,2,90,11.0046
1968,5,1,3,72,13.5697
1968,5,1,4,68,12.5362
1968,5,1,5,117,13.2117
1968,5,2,1,57,8.0339
1968,5,2,2,44,5.8448
1968,5,2,3,32,9.1880
1968,5,2,4,35,5.0662
1968,5,2,5,56,9.2109
1968,5,3,1,74,2.2701
1968,5,3,2,77,2.3207
1968,5,3,3,92,4.3131
1968,5,3,4,88,-0.0276
1968,5,3,5,65,2.7332
1968,6,1,1,117,-0.0089
1968,6,1,2,89,0.8155
1968,6,1,3,60,3.1201
1968,6,1,4,67,1.2389
1968,6,1,5,131,0.0338
1968,6,2,1,56,-0.4178
1968,6,2,2,42,-0.2627
1968,6,2,3,33,-1.0340
1968,6,2,4,39,1.2641
1968,6,2,5,52,-0.7512
1968,6,3,1,75,-0.0404
1968,6,3,2,78,0.2812
1968,6,3,3,96,-0.2051
1968,6,3,4,86,1.0809
1968,6,3,5,65,-0.5209
1968,7,1,1,119,-3.4774
1968,7,1,2,82,-4.1165
1968,7,1,3,58,-3.2985
1968,7,1,4,69,-1.8263
1968,7,1,5,132,-2.9113
1968,7,2,1,57,-7.8231
1968,7,2,2,43,-4.7781
1968,7,2,3,38,-2.1179
1968,7,2,4,39,-0.4604
1968,7,2,5,53,-3.2591
1968,7,3,1,75,-5.9757
1968,7,3,2,78,-5.0065
1968,7,3,3,91,-1.7021
1968,7,3,4,87,1.0130
1968,7,3,5,62,-3.8833
1968,8,1,1,116,3.3866
1968,8,1,2,90,3.1947
1968,8,1,3,60,4.5223
1968,8,1,4,70,4.4102
1968,8,1,5,127,6.9426
1968,8,2,1,53,2.8600
1968,8,2,2,55,3.6801
1968,8,2,3,39,3.8723
1968,8,2,4,38,4.0392
1968,8,2,5,47,5.9644
1968,8,3,1,79,0.3843
1968,8,3,2,72,2.4884
1968,8,3,3,83,0.7172
1968,8,3,4,95,1.6451
1968,8,3,5,66,1.9051
1968,9,1,1,120,7.6355
1968,9,1,2,95,4.8473
1968,9,1,3,64,5.8414
1968,9,1,4,62,9.4235
1968,9,1,5,129,7.3609
1968,9,2,1,58,8.1169
1968,9,2,2,54,5.2997
1968,9,2,3,33,9.2687
1968,9,2,4,39,6.7712
1968,9,2,5,46,7.2466
1968,9,3,1,74,5.7873
1968,9,3,2,71,4.9406
1968,9,3,3,88,5.9684
1968,9,3,4,94,2.0299
1968,9,3,5,68,5.4342
1968,10,1,1,122,0.3017
