year,month,rank_ME,rank_OLAq_1,nstocks,ret_vw
1976,1,1,1,90,27.3425
1976,1,1,2,69,22.6431
1976,1,1,3,59,23.9294
1976,1,1,4,35,27.1327
1976,1,1,5,41,27.6239
1976,1,2,1,29,22.7205
1976,1,2,2,26,22.3592
1976,1,2,3,34,22.0424
1976,1,2,4,33,19.2399
1976,1,2,5,33,20.3291
1976,1,3,1,38,12.9625
1976,1,3,2,35,13.0315
1976,1,3,3,46,17.2983
1976,1,3,4,56,15.9828
1976,1,3,5,68,10.3785
1976,2,1,1,113,13.6161
1976,2,1,2,75,13.3671
1976,2,1,3,57,9.4069
1976,2,1,4,49,12.9465
1976,2,1,5,44,17.1552
1976,2,2,1,34,8.8102
1976,2,2,2,32,7.5672
1976,2,2,3,40,8.3505
1976,2,2,4,35,5.3568
1976,2,2,5,40,9.6673
1976,2,3,1,34,3.7793
1976,2,3,2,44,2.8028
1976,2,3,3,50,0.1101
1976,2,3,4,63,-0.1091
1976,2,3,5,78,-1.3809
1976,3,1,1,123,2.1093
1976,3,1,2,80,0.7663
1976,3,1,3,63,0.5262
1976,3,1,4,62,3.4081
1976,3,1,5,58,1.6533
1976,3,2,1,36,2.9787
1976,3,2,2,27,5.7389
1976,3,2,3,32,1.9692
1976,3,2,4,34,2.3557
1976,3,2,5,46,1.2028
1976,3,3,1,39,3.8373
1976,3,3,2,48,4.1772
1976,3,3,3,52,3.5474
1976,3,3,4,65,2.3802
1976,3,3,5,75,4.6075
1976,4,1,1,126,-3.8738
1976,4,1,2,78,-1.2151
1976,4,1,3,62,-1.0747
1976,4,1,4,65,-1.2900
1976,4,1,5,55,-3.5055
1976,4,2,1,42,-0.4385
1976,4,2,2,32,-3.2204
1976,4,2,3,34,0.6403
1976,4,2,4,40,-1.2026
1976,4,2,5,43,-2.4811
1976,4,3,1,38,-0.2120
1976,4,3,2,47,-1.9437
1976,4,3,3,54,-0.0746
1976,4,3,4,69,-0.3033
1976,4,3,5,76,-0.8918
1976,5,1,1,101,-3.0648
1976,5,1,2,125,-2.6260
1976,5,1,3,87,-1.2986
1976,5,1,4,85,-1.5236
1976,5,1,5,82,-5.3280
1976,5,2,1,53,-2.9580
1976,5,2,2,52,-1.0159
1976,5,2,3,41,-0.7607
1976,5,2,4,38,1.1234
1976,5,2,5,65,-1.2418
1976,5,3,1,65,-3.4156
1976,5,3,2,55,0.2636
1976,5,3,3,65,-3.5125
1976,5,3,4,85,0.7962
1976,5,3,5,95,0.8680
1976,6,1,1,94,3.7150
1976,6,1,2,130,4.2021
1976,6,1,3,91,4.3534
1976,6,1,4,86,2.1877
1976,6,1,5,74,3.8599
1976,6,2,1,54,2.9320
1976,6,2,2,56,5.5302
1976,6,2,3,47,5.1163
1976,6,2,4,45,6.6261
1976,6,2,5,64,3.1609
1976,6,3,1,65,4.6597
1976,6,3,2,55,5.8402
1976,6,3,3,67,6.1019
1976,6,3,4,84,2.7831
1976,6,3,5,96,2.9901
1976,7,1,1,91,0.1219
1976,7,1,2,127,0.6266
1976,7,1,3,100,-1.1691
1976,7,1,4,85,0.8761
1976,7,1,5,71,-0.8801
1976,7,2,1,58,0.5238
1976,7,2,2,59,-2.5718
1976,7,2,3,40,0.0111
1976,7,2,4,45,0.6870
1976,7,2,5,67,-0.8020
1976,7,3,1,63,-0.2787
1976,7,3,2,52,-1.4420
1976,7,3,3,68,-1.3802
1976,7,3,4,83,-1.9950
1976,7,3,5,94,-1.3818
1976,8,1,1,221,-2.5691
1976,8,1,2,155,-2.4258
1976,8,1,3,116,-2.3081
1976,8,1,4,96,-3.2578
1976,8,1,5,101,-2.0243
1976,8,2,1,73,-3.8612
1976,8,2,2,81,-3.3580
1976,8,2,3,44,-1.6693
1976,8,2,4,64,-1.2270
1976,8,2,5,95,-2.2745
1976,8,3,1,49,0.7518
1976,8,3,2,68,-1.1276
1976,8,3,3,102,-0.8490
1976,8,3,4,106,-1.0081
1976,8,3,5,134,-0.1086
1976,9,1,1,208,-0.7273
1976,9,1,2,133,1.5084
1976,9,1,3,100,2.5404
1976,9,1,4,90,3.4070
1976,9,1,5,93,3.3989
