year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1976,12,1,5,191,11.1996
1976,12,2,1,30,8.3856
1976,12,2,2,35,7.9214
1976,12,2,3,32,10.3013
1976,12,2,4,40,7.5181
1976,12,2,5,44,8.8661
1976,12,3,1,85,6.5461
1976,12,3,2,75,5.3608
1976,12,3,3,67,5.0766
1976,12,3,4,39,7.2138
1976,12,3,5,19,10.4006
1977,1,1,1,32,1.7646
1977,1,1,2,26,3.8332
1977,1,1,3,59,4.3324
1977,1,1,4,92,3.9100
1977,1,1,5,195,5.3923
1977,1,2,1,28,-0.8880
1977,1,2,2,38,0.5992
1977,1,2,3,31,0.2193
1977,1,2,4,39,2.5781
1977,1,2,5,46,6.8488
1977,1,3,1,86,-3.4234
1977,1,3,2,75,-6.5941
1977,1,3,3,65,-1.3675
1977,1,3,4,41,0.5562
1977,1,3,5,18,1.6344
1977,2,1,1,46,0.5774
1977,2,1,2,37,-0.2248
1977,2,1,3,61,0.5531
1977,2,1,4,108,-0.3687
1977,2,1,5,237,-2.3294
1977,2,2,1,41,-1.1839
1977,2,2,2,42,0.6074
1977,2,2,3,44,-1.9454
1977,2,2,4,46,-0.2778
1977,2,2,5,47,-2.5136
1977,2,3,1,98,-2.7385
1977,2,3,2,83,-0.6160
1977,2,3,3,71,0.8419
1977,2,3,4,45,-4.0528
1977,2,3,5,25,-5.6331
1977,3,1,1,47,0.7817
1977,3,1,2,43,3.6334
1977,3,1,3,64,0.6669
1977,3,1,4,121,0.8304
1977,3,1,5,250,0.6173
1977,3,2,1,39,-0.1375
1977,3,2,2,41,-0.8097
1977,3,2,3,47,0.4827
1977,3,2,4,44,1.6817
1977,3,2,5,47,0.3612
1977,3,3,1,99,-1.7755
1977,3,3,2,87,-1.6244
1977,3,3,3,68,-0.8081
1977,3,3,4,48,-0.0800
1977,3,3,5,26,-1.1793
1977,4,1,1,45,-1.5863
1977,4,1,2,44,0.5641
1977,4,1,3,69,2.1535
1977,4,1,4,120,2.0880
1977,4,1,5,256,0.4282
1977,4,2,1,41,0.0956
1977,4,2,2,42,1.1003
1977,4,2,3,40,2.6393
1977,4,2,4,46,1.9100
1977,4,2,5,48,3.1839
1977,4,3,1,99,1.0534
1977,4,3,2,86,1.1565
1977,4,3,3,73,-0.4663
1977,4,3,4,45,2.4103
1977,4,3,5,27,3.6602
1977,5,1,1,51,-1.7163
1977,5,1,2,41,-1.9705
1977,5,1,3,69,-1.1886
1977,5,1,4,138,1.1843
1977,5,1,5,280,0.4979
1977,5,2,1,40,0.3312
1977,5,2,2,50,0.2905
1977,5,2,3,49,-1.1786
1977,5,2,4,47,1.3668
1977,5,2,5,62,1.2263
1977,5,3,1,115,-1.6872
1977,5,3,2,99,-3.0173
1977,5,3,3,75,-2.5407
1977,5,3,4,62,0.6201
1977,5,3,5,25,1.1124
1977,6,1,1,54,7.0112
1977,6,1,2,38,8.7639
1977,6,1,3,75,6.9458
1977,6,1,4,134,8.1233
1977,6,1,5,280,7.7468
1977,6,2,1,42,5.9998
1977,6,2,2,47,5.0599
1977,6,2,3,51,5.5832
1977,6,2,4,50,8.9286
1977,6,2,5,61,11.1121
1977,6,3,1,116,5.1124
1977,6,3,2,100,3.2101
1977,6,3,3,75,3.1715
1977,6,3,4,60,2.7996
1977,6,3,5,28,5.8055
1977,7,1,1,57,-3.0297
1977,7,1,2,37,1.5298
1977,7,1,3,73,-0.8485
1977,7,1,4,137,0.7401
1977,7,1,5,280,-0.2405
1977,7,2,1,41,-0.1156
1977,7,2,2,51,-1.2664
1977,7,2,3,50,-2.0232
1977,7,2,4,50,-0.6673
1977,7,2,5,65,-1.7046
1977,7,3,1,115,-1.2298
1977,7,3,2,98,-4.5787
1977,7,3,3,77,-3.5512
1977,7,3,4,61,-1.5214
1977,7,3,5,27,-3.7256
1977,8,1,1,55,0.2536
1977,8,1,2,37,1.0458
1977,8,1,3,79,-0.8593
1977,8,1,4,125,-3.3658
1977,8,1,5,257,-3.0978
1977,8,2,1,37,0.7112
1977,8,2,2,42,-1.1471
1977,8,2,3,40,-1.9251
1977,8,2,4,55,-2.1853
1977,8,2,5,59,-2.6476
1977,8,3,1,108,-3.6063
1977,8,3,2,86,-1.3637
1977,8,3,3,74,-2.4443
1977,8,3,4,42,-3.8838
1977,8,3,5,24,-2.8930
1977,9,1,1,51,1.4346
1977,9,1,2,44,7.0518
1977,9,1,3,71,0.8619
1977,9,1,4,122,-1.4464
1977,9,1,5,262,1.4295
1977,9,2,1,39,-1.1680
1977,9,2,2,45,2.3745
1977,9,2,3,41,2.3082
1977,9,2,4,53,1.8280
1977,9,2,5,58,0.7432
1977,9,3,1,106,0.7300
1977,9,3,2,82,-1.6576
1977,9,3,3,73,2.0980
1977,9,3,4,45,-0.5791
1977,9,3,5,24,0.7422
1977,10,1,1,47,-0.6629
1977,10,1,2,41,-0.9027
1977,10,1,3,76,-0.0564
1977,10,1,4,118,-3.6044
1977,10,1,5,266,-3.6663
1977,10,2,1,40,-3.4615
1977,10,2,2,50,-5.0073
1977,10,2,3,38,-2.6879
1977,10,2,4,55,-4.0765
1977,10,2,5,56,-5.4958
1977,10,3,1,105,-3.3209
1977,10,3,2,83,-5.1494
1977,10,3,3,71,-4.9165
1977,10,3,4,44,-4.0073
1977,10,3,5,23,-7.2907
1977,11,1,1,45,10.1471
1977,11,1,2,34,8.9170
1977,11,1,3,71,10.2863
1977,11,1,4,126,11.3722
1977,11,1,5,288,9.1192
1977,11,2,1,40,10.4214
1977,11,2,2,45,12.0037
1977,11,2,3,45,6.6273
1977,11,2,4,53,10.1701
1977,11,2,5,59,11.3662
1977,11,3,1,106,3.2828
1977,11,3,2,92,5.6001
1977,11,3,3,66,2.2127
1977,11,3,4,45,6.7367
1977,11,3,5,24,8.6305
1977,12,1,1,47,3.3867
1977,12,1,2,34,0.0677
1977,12,1,3,67,1.4794
1977,12,1,4,142,0.0597
1977,12,1,5,276,2.5240
1977,12,2,1,44,1.7180
1977,12,2,2,45,-0.5165
1977,12,2,3,48,1.5825
1977,12,2,4,56,-0.3237
1977,12,2,5,51,2.9887
1977,12,3,1,107,0.9294
1977,12,3,2,90,0.6021
1977,12,3,3,67,0.6218
1977,12,3,4,44,2.1923
1977,12,3,5,24,0.7826
1978,1,1,1,46,-0.0581
1978,1,1,2,34,-0.8432
1978,1,1,3,70,-1.0862
1978,1,1,4,140,-1.1805
1978,1,1,5,275,0.5954
1978,1,2,1,46,-4.7576
1978,1,2,2,46,-5.5055
1978,1,2,3,46,-5.8413
1978,1,2,4,60,-2.4085
1978,1,2,5,46,-2.3855
1978,1,3,1,108,-7.0759
1978,1,3,2,91,-7.1077
1978,1,3,3,69,-5.6445
1978,1,3,4,42,-6.3368
1978,1,3,5,30,-5.9164
1978,2,1,1,49,4.6750
1978,2,1,2,39,2.5769
1978,2,1,3,71,2.1966
1978,2,1,4,141,3.0412
1978,2,1,5,264,3.5825
1978,2,2,1,50,1.3624
1978,2,2,2,48,1.7371
1978,2,2,3,43,0.9826
1978,2,2,4,61,4.2153
1978,2,2,5,51,1.7308
1978,2,3,1,106,-1.0202
1978,2,3,2,88,-2.2952
1978,2,3,3,69,0.5968
1978,2,3,4,43,-2.0688
1978,2,3,5,27,-0.8272
1978,3,1,1,50,8.5913
1978,3,1,2,43,7.0441
1978,3,1,3,70,7.5971
1978,3,1,4,136,8.5056
1978,3,1,5,266,9.8784
1978,3,2,1,47,6.6942
1978,3,2,2,45,5.4046
1978,3,2,3,44,8.6066
1978,3,2,4,57,6.3016
1978,3,2,5,51,6.8934
1978,3,3,1,111,2.7465
1978,3,3,2,85,3.8680
1978,3,3,3,68,2.3501
1978,3,3,4,43,6.5940
1978,3,3,5,30,1.1506
1978,4,1,1,51,7.7312
1978,4,1,2,41,9.7761
1978,4,1,3,68,6.5703
1978,4,1,4,136,9.2715
1978,4,1,5,264,8.5758
1978,4,2,1,47,7.9579
1978,4,2,2,46,8.6416
1978,4,2,3,46,7.9803
1978,4,2,4,53,8.1917
1978,4,2,5,57,6.6215
1978,4,3,1,109,9.5817
1978,4,3,2,83,9.7169
1978,4,3,3,73,6.5612
1978,4,3,4,44,5.8156
1978,4,3,5,25,8.1634
1978,5,1,1,59,7.5590
1978,5,1,2,59,5.6734
1978,5,1,3,98,8.3691
1978,5,1,4,132,8.5686
1978,5,1,5,239,6.3424
1978,5,2,1,60,5.2335
1978,5,2,2,55,5.4058
1978,5,2,3,62,6.4362
1978,5,2,4,46,6.5631
1978,5,2,5,75,3.2844
1978,5,3,1,144,1.6495
1978,5,3,2,104,2.1700
1978,5,3,3,81,-0.1295
1978,5,3,4,86,1.5505
1978,5,3,5,52,-0.2826
1978,6,1,1,61,-0.5732
1978,6,1,2,58,-2.1120
1978,6,1,3,103,0.4146
1978,6,1,4,132,-0.7721
1978,6,1,5,235,1.0779
1978,6,2,1,60,-1.4139
1978,6,2,2,54,-0.9431
1978,6,2,3,56,0.2995
1978,6,2,4,48,-0.8743
1978,6,2,5,72,3.6945
1978,6,3,1,141,-2.1534
1978,6,3,2,105,-2.2953
1978,6,3,3,85,-2.2721
1978,6,3,4,87,0.3877
1978,6,3,5,50,1.3497
1978,7,1,1,57,5.5551
1978,7,1,2,60,5.7125
1978,7,1,3,100,4.2151
1978,7,1,4,130,5.1538
1978,7,1,5,234,6.9659
1978,7,2,1,63,4.2748
1978,7,2,2,57,5.9028
1978,7,2,3,52,6.8723
1978,7,2,4,47,7.8122
1978,7,2,5,77,6.6355
1978,7,3,1,138,6.1123
1978,7,3,2,102,6.1882
1978,7,3,3,85,3.0573
1978,7,3,4,91,4.2540
1978,7,3,5,50,4.9489
1978,8,1,1,60,11.5189
1978,8,1,2,62,7.5010
1978,8,1,3,88,9.9254
1978,8,1,4,114,6.3452
1978,8,1,5,240,10.3279
1978,8,2,1,52,11.1024
1978,8,2,2,50,9.3391
1978,8,2,3,53,7.6809
1978,8,2,4,41,6.1081
1978,8,2,5,74,7.3087
1978,8,3,1,126,3.2785
1978,8,3,2,91,3.2053
1978,8,3,3,70,4.1008
1978,8,3,4,81,2.0889
1978,8,3,5,50,3.4084
1978,9,1,1,56,-0.1984
1978,9,1,2,64,-0.8495
1978,9,1,3,86,-0.7963
1978,9,1,4,107,-0.0397
1978,9,1,5,242,0.1875
1978,9,2,1,53,-3.5535
1978,9,2,2,52,-1.8156
1978,9,2,3,49,-0.7415
1978,9,2,4,47,-0.3226
1978,9,2,5,78,-1.1248
1978,9,3,1,123,0.8463
1978,9,3,2,92,0.2251
1978,9,3,3,69,1.4955
1978,9,3,4,75,-0.8102
1978,9,3,5,49,-0.6196
1978,10,1,1,57,-20.0907
1978,10,1,2,64,-20.9975
1978,10,1,3,87,-24.8028
1978,10,1,4,105,-21.9725
1978,10,1,5,244,-23.5120
1978,10,2,1,55,-19.3619
1978,10,2,2,48,-18.5907
1978,10,2,3,55,-22.3522
1978,10,2,4,47,-17.0041
1978,10,2,5,72,-20.0087
1978,10,3,1,123,-9.6531
1978,10,3,2,96,-10.3966
1978,10,3,3,65,-7.4272
1978,10,3,4,74,-9.1286
1978,10,3,5,51,-14.3143
1978,11,1,1,56,8.6151
1978,11,1,2,56,10.4603
1978,11,1,3,87,5.9464
1978,11,1,4,106,8.2163
1978,11,1,5,250,7.9633
1978,11,2,1,54,7.1488
1978,11,2,2,50,5.0240
1978,11,2,3,52,10.1673
1978,11,2,4,45,5.8500
1978,11,2,5,71,6.3869
1978,11,3,1,125,3.6221
1978,11,3,2,101,2.8655
1978,11,3,3,70,4.1430
1978,11,3,4,75,3.1576
1978,11,3,5,45,4.5134
1978,12,1,1,56,0.9731
1978,12,1,2,57,3.4845
1978,12,1,3,85,1.9348
1978,12,1,4,104,0.7970
1978,12,1,5,244,-1.0455
1978,12,2,1,54,2.5521
1978,12,2,2,52,3.1223
1978,12,2,3,48,3.1052
1978,12,2,4,48,-0.6157
1978,12,2,5,73,0.4997
1978,12,3,1,123,2.5484
1978,12,3,2,100,-0.1541
1978,12,3,3,73,-0.6852
1978,12,3,4,71,-0.8551
1978,12,3,5,46,-0.4516
1979,1,1,1,58,9.7333
1979,1,1,2,55,11.0153
1979,1,1,3,85,11.8928
1979,1,1,4,105,11.0337
1979,1,1,5,247,9.7503
1979,1,2,1,49,8.5193
1979,1,2,2,52,8.1145
1979,1,2,3,48,11.1669
1979,1,2,4,47,10.8813
1979,1,2,5,71,6.6731
1979,1,3,1,126,2.9741
1979,1,3,2,103,7.2061
1979,1,3,3,74,4.7260
1979,1,3,4,70,6.2410
1979,1,3,5,46,5.6961
1979,2,1,1,56,1.0446
1979,2,1,2,47,-2.8193
1979,2,1,3,83,-0.9162
1979,2,1,4,108,-2.0964
1979,2,1,5,250,-2.9897
1979,2,2,1,53,-4.4820
1979,2,2,2,48,-3.1767
1979,2,2,3,55,-2.9477
1979,2,2,4,46,-1.8423
1979,2,2,5,72,-3.1280
1979,2,3,1,124,-2.4898
1979,2,3,2,101,-2.1715
1979,2,3,3,71,-1.3041
1979,2,3,4,77,-1.6167
1979,2,3,5,45,-2.1757
1979,3,1,1,56,9.2768
1979,3,1,2,45,7.0922
1979,3,1,3,85,8.7890
1979,3,1,4,108,10.4349
