year,month,rank_ME,rank_OPA,nstocks,ret_vw
1967,12,2,1,59,10.2839
1967,12,2,2,50,5.1864
1967,12,2,3,55,5.8360
1967,12,2,4,51,5.7510
1967,12,2,5,56,5.8119
1967,12,3,1,48,3.8758
1967,12,3,2,84,2.8191
1967,12,3,3,90,2.0914
1967,12,3,4,92,3.3102
1967,12,3,5,109,2.4711
1968,1,1,1,231,5.4038
1968,1,1,2,113,3.1731
1968,1,1,3,80,1.5683
1968,1,1,4,91,1.9112
1968,1,1,5,63,-0.0191
1968,1,2,1,59,1.0635
1968,1,2,2,50,0.7699
1968,1,2,3,55,0.3727
1968,1,2,4,51,-3.6254
1968,1,2,5,56,-4.0487
1968,1,3,1,48,-6.4671
1968,1,3,2,84,-1.5656
1968,1,3,3,90,-4.3933
1968,1,3,4,92,-6.2719
1968,1,3,5,109,-6.4711
1968,2,1,1,230,-8.4584
1968,2,1,2,113,-7.2081
1968,2,1,3,79,-5.8206
1968,2,1,4,91,-6.3395
1968,2,1,5,63,-5.5451
1968,2,2,1,59,-4.0715
1968,2,2,2,49,-6.3213
1968,2,2,3,55,-5.8885
1968,2,2,4,51,-4.1366
1968,2,2,5,56,-5.2162
1968,2,3,1,48,-5.7257
1968,2,3,2,84,-2.6122
1968,2,3,3,90,-3.1315
1968,2,3,4,91,-3.6399
1968,2,3,5,109,-2.9592
1968,3,1,1,231,-1.9738
1968,3,1,2,113,-0.3492
1968,3,1,3,79,-0.6052
1968,3,1,4,91,-0.9783
1968,3,1,5,63,-0.4170
1968,3,2,1,59,-1.9441
1968,3,2,2,49,-1.3167
1968,3,2,3,55,-0.6460
1968,3,2,4,51,-0.5104
1968,3,2,5,56,-1.0063
1968,3,3,1,48,2.1524
1968,3,3,2,84,-0.1275
1968,3,3,3,90,0.9912
1968,3,3,4,91,1.6102
1968,3,3,5,109,2.3413
1968,4,1,1,231,19.8837
1968,4,1,2,113,18.0778
1968,4,1,3,78,19.2977
1968,4,1,4,91,15.4826
1968,4,1,5,63,14.9270
1968,4,2,1,59,13.8532
1968,4,2,2,49,13.4384
1968,4,2,3,55,15.4302
1968,4,2,4,51,13.4185
1968,4,2,5,56,14.7694
1968,4,3,1,48,14.5029
1968,4,3,2,84,7.0063
1968,4,3,3,90,7.0140
1968,4,3,4,91,10.9404
1968,4,3,5,109,10.8613
1968,5,1,1,230,12.5105
1968,5,1,2,113,10.5165
1968,5,1,3,78,11.2096
1968,5,1,4,91,9.9522
1968,5,1,5,63,14.1192
1968,5,2,1,59,9.0332
1968,5,2,2,49,8.8237
1968,5,2,3,55,8.0521
1968,5,2,4,51,7.7089
1968,5,2,5,56,6.3783
1968,5,3,1,48,4.7069
1968,5,3,2,84,0.9654
1968,5,3,3,90,-0.1665
1968,5,3,4,91,2.5086
1968,5,3,5,109,2.8562
1968,6,1,1,230,-1.0752
1968,6,1,2,113,2.1762
1968,6,1,3,78,0.9656
1968,6,1,4,91,-0.5055
1968,6,1,5,63,-0.6931
1968,6,2,1,59,-1.2887
1968,6,2,2,49,-0.2333
1968,6,2,3,55,-0.8839
1968,6,2,4,50,-0.6702
1968,6,2,5,56,1.2680
1968,6,3,1,48,1.0101
1968,6,3,2,84,1.7605
1968,6,3,3,90,0.6789
1968,6,3,4,91,-1.0242
1968,6,3,5,109,-0.4267
1968,7,1,1,250,-2.1054
1968,7,1,2,110,-3.2390
1968,7,1,3,90,-4.3709
1968,7,1,4,85,-4.0648
1968,7,1,5,101,-4.8381
1968,7,2,1,59,-5.8728
1968,7,2,2,62,-4.1071
1968,7,2,3,54,-1.6852
1968,7,2,4,62,-3.7927
1968,7,2,5,58,-6.5840
1968,7,3,1,52,-2.6770
