year,month,rank_ME,rank_CTOq_12,nstocks,ret_vw
1972,1,1,1,24,15.6514
1972,1,1,2,15,13.1490
1972,1,1,3,14,19.8988
1972,1,1,4,16,13.5514
1972,1,1,5,12,8.9546
1972,1,2,1,7,6.1004
1972,1,2,2,6,18.3714
1972,1,2,3,9,8.7269
1972,1,2,4,12,4.4179
1972,1,2,5,7,4.6104
1972,1,3,1,8,7.2966
1972,1,3,2,10,6.3493
1972,1,3,3,9,2.9645
1972,1,3,4,7,1.8671
1972,1,3,5,9,-0.0822
1972,2,1,1,31,3.7031
1972,2,1,2,17,1.3467
1972,2,1,3,20,4.6916
1972,2,1,4,25,5.1634
1972,2,1,5,21,5.5793
1972,2,2,1,9,-0.1346
1972,2,2,2,9,-2.0602
1972,2,2,3,15,1.2959
1972,2,2,4,21,7.8449
1972,2,2,5,14,1.7488
1972,2,3,1,15,4.3080
1972,2,3,2,16,4.7102
1972,2,3,3,15,3.9134
1972,2,3,4,14,6.9167
1972,2,3,5,10,4.6203
1972,3,1,1,35,-0.9017
1972,3,1,2,23,-2.0372
1972,3,1,3,27,-0.0519
1972,3,1,4,36,-1.1771
1972,3,1,5,25,-1.2046
1972,3,2,1,13,-1.8688
1972,3,2,2,11,0.8883
1972,3,2,3,20,-1.8925
1972,3,2,4,25,0.0678
1972,3,2,5,19,-1.6236
1972,3,3,1,22,-2.0156
1972,3,3,2,23,-1.5351
1972,3,3,3,18,2.8904
1972,3,3,4,19,2.1330
1972,3,3,5,16,-1.1922
1972,4,1,1,39,3.0942
1972,4,1,2,27,4.7794
1972,4,1,3,34,3.6716
1972,4,1,4,42,1.8059
1972,4,1,5,32,-3.4392
1972,4,2,1,15,4.5888
1972,4,2,2,12,2.1704
1972,4,2,3,21,4.2127
1972,4,2,4,28,-1.4914
1972,4,2,5,22,1.9274
1972,4,3,1,24,-0.2443
1972,4,3,2,24,0.3834
1972,4,3,3,20,-1.7586
1972,4,3,4,23,2.2157
1972,4,3,5,18,-1.2325
1972,5,1,1,60,-0.6708
1972,5,1,2,69,-3.6509
1972,5,1,3,82,-2.5324
1972,5,1,4,102,-1.7233
1972,5,1,5,105,-4.4302
1972,5,2,1,41,-1.4132
1972,5,2,2,35,-3.3700
1972,5,2,3,54,-4.6268
1972,5,2,4,70,-1.9850
1972,5,2,5,60,1.0395
1972,5,3,1,99,3.2970
1972,5,3,2,96,2.7476
1972,5,3,3,92,3.4975
1972,5,3,4,77,5.1019
1972,5,3,5,68,3.2041
1972,6,1,1,88,-4.3881
1972,6,1,2,86,-2.9859
1972,6,1,3,103,-1.3701
1972,6,1,4,129,-2.6102
1972,6,1,5,137,-5.0093
1972,6,2,1,52,-3.3777
1972,6,2,2,42,-3.2574
1972,6,2,3,61,-3.4433
1972,6,2,4,80,-2.9218
1972,6,2,5,76,-4.7368
1972,6,3,1,119,-3.4955
1972,6,3,2,113,-4.0941
1972,6,3,3,105,-0.2080
1972,6,3,4,88,-2.7426
1972,6,3,5,84,-1.8003
1972,7,1,1,91,-4.3034
1972,7,1,2,91,-3.9159
1972,7,1,3,104,-2.8912
1972,7,1,4,140,-3.0881
1972,7,1,5,156,-6.5673
1972,7,2,1,58,-1.3495
1972,7,2,2,46,-1.7028
1972,7,2,3,64,-3.9690
1972,7,2,4,84,-1.4740
1972,7,2,5,82,-1.4571
1972,7,3,1,122,-1.2455
1972,7,3,2,115,0.8455
1972,7,3,3,109,0.3584
1972,7,3,4,91,1.5472
1972,7,3,5,93,-2.9185
1972,8,1,1,91,2.8815
1972,8,1,2,94,2.1633
1972,8,1,3,112,0.5473
1972,8,1,4,146,-0.0838
1972,8,1,5,165,-1.3653
1972,8,2,1,63,1.2599
