year,month,rank_ME,rank_OLEq_1,nstocks,ret_vw
1972,1,1,1,76,13.8619
1972,1,1,2,18,9.0466
1972,1,1,3,67,17.1118
1972,1,1,4,69,11.8251
1972,1,1,5,114,15.8371
1972,1,2,1,36,8.5637
1972,1,2,2,26,2.3196
1972,1,2,3,30,5.8214
1972,1,2,4,39,8.6240
1972,1,2,5,40,10.2342
1972,1,3,1,37,4.7064
1972,1,3,2,61,1.6138
1972,1,3,3,46,1.5962
1972,1,3,4,38,0.9672
1972,1,3,5,36,2.9732
1972,2,1,1,71,1.8758
1972,2,1,2,14,6.1757
1972,2,1,3,81,2.6085
1972,2,1,4,76,3.5630
1972,2,1,5,128,6.0830
1972,2,2,1,44,2.9361
1972,2,2,2,33,0.3691
1972,2,2,3,30,4.5096
1972,2,2,4,40,4.0300
1972,2,2,5,52,4.1440
1972,2,3,1,45,0.3340
1972,2,3,2,70,0.5619
1972,2,3,3,53,3.7303
1972,2,3,4,48,4.2829
1972,2,3,5,36,3.3759
1972,3,1,1,77,0.3912
1972,3,1,2,25,-3.7175
1972,3,1,3,74,-1.5177
1972,3,1,4,75,0.1390
1972,3,1,5,129,-0.1347
1972,3,2,1,36,1.4355
1972,3,2,2,33,-1.0422
1972,3,2,3,25,-0.1742
1972,3,2,4,44,2.1758
1972,3,2,5,53,-0.8694
1972,3,3,1,56,3.7588
1972,3,3,2,66,-0.4967
1972,3,3,3,57,1.5079
1972,3,3,4,49,-0.0190
1972,3,3,5,36,3.4076
1972,4,1,1,81,-2.5060
1972,4,1,2,28,-2.4741
1972,4,1,3,73,1.4504
1972,4,1,4,79,1.5902
1972,4,1,5,131,2.4302
1972,4,2,1,40,-1.8068
1972,4,2,2,32,-0.0243
1972,4,2,3,31,0.5710
1972,4,2,4,40,0.4386
1972,4,2,5,56,1.4113
1972,4,3,1,56,-1.6170
1972,4,3,2,69,-0.7214
1972,4,3,3,59,-0.0349
1972,4,3,4,50,2.7672
1972,4,3,5,38,3.0285
1972,5,1,1,130,-1.7071
1972,5,1,2,96,-0.6840
1972,5,1,3,48,-0.4999
1972,5,1,4,61,-3.8368
1972,5,1,5,136,-3.3288
1972,5,2,1,47,-4.5740
1972,5,2,2,38,-0.2831
1972,5,2,3,49,-1.5900
1972,5,2,4,40,-0.4428
1972,5,2,5,63,-2.2040
1972,5,3,1,56,1.0949
1972,5,3,2,70,3.2390
1972,5,3,3,65,-2.0707
1972,5,3,4,80,0.9632
1972,5,3,5,48,4.9594
1972,6,1,1,145,-4.2391
1972,6,1,2,89,-3.7367
1972,6,1,3,44,-4.8856
1972,6,1,4,66,-4.1397
1972,6,1,5,140,-2.9350
1972,6,2,1,51,-5.3538
1972,6,2,2,43,-1.8674
1972,6,2,3,47,-2.6765
1972,6,2,4,41,-1.8937
1972,6,2,5,67,-4.8403
1972,6,3,1,56,-5.3861
1972,6,3,2,70,1.2164
1972,6,3,3,73,-2.4307
1972,6,3,4,76,-2.9144
