year,month,rank_ME,rank_CLAq_1,nstocks,ret_vw
1976,1,1,1,87,28.3517
1976,1,1,2,82,23.5942
1976,1,1,3,32,23.0913
1976,1,1,4,38,24.6466
1976,1,1,5,55,26.3324
1976,1,2,1,29,22.9299
1976,1,2,2,31,18.8978
1976,1,2,3,39,17.9699
1976,1,2,4,17,22.3859
1976,1,2,5,39,24.1349
1976,1,3,1,39,12.2614
1976,1,3,2,46,14.0827
1976,1,3,3,45,12.0157
1976,1,3,4,61,16.2001
1976,1,3,5,52,10.4399
1976,2,1,1,107,12.4454
1976,2,1,2,77,11.0459
1976,2,1,3,53,11.5323
1976,2,1,4,36,17.5948
1976,2,1,5,65,15.6523
1976,2,2,1,42,6.5876
1976,2,2,2,39,8.5390
1976,2,2,3,38,8.2491
1976,2,2,4,28,6.7886
1976,2,2,5,34,9.6117
1976,2,3,1,32,2.6520
1976,2,3,2,45,3.0850
1976,2,3,3,56,1.5355
1976,2,3,4,68,-2.0027
1976,2,3,5,68,-1.0281
1976,3,1,1,112,0.0703
1976,3,1,2,93,3.2409
1976,3,1,3,68,1.5156
1976,3,1,4,44,1.4540
1976,3,1,5,69,2.4234
1976,3,2,1,39,2.9386
1976,3,2,2,35,3.8428
1976,3,2,3,34,2.6290
1976,3,2,4,33,1.8928
1976,3,2,5,34,1.9098
1976,3,3,1,38,4.7512
1976,3,3,2,46,3.5477
1976,3,3,3,60,2.5691
1976,3,3,4,66,1.9841
1976,3,3,5,69,5.3828
1976,4,1,1,109,-1.9533
1976,4,1,2,87,-4.0425
1976,4,1,3,68,-0.7069
1976,4,1,4,46,-0.6668
1976,4,1,5,76,-3.5654
1976,4,2,1,44,-0.9438
1976,4,2,2,37,-2.7532
1976,4,2,3,37,0.0634
1976,4,2,4,38,-0.3553
1976,4,2,5,35,-2.7883
1976,4,3,1,38,-1.9626
1976,4,3,2,48,-0.7486
1976,4,3,3,62,0.5205
1976,4,3,4,66,0.2489
1976,4,3,5,70,-1.4048
1976,5,1,1,100,-3.1345
1976,5,1,2,84,-2.9295
1976,5,1,3,133,-3.5855
1976,5,1,4,73,-1.4340
1976,5,1,5,90,-2.0450
1976,5,2,1,54,-2.7413
1976,5,2,2,36,0.1828
1976,5,2,3,44,-0.6505
1976,5,2,4,52,-1.0012
1976,5,2,5,63,-0.8167
1976,5,3,1,66,-3.2576
1976,5,3,2,80,-1.0506
1976,5,3,3,64,-2.0650
1976,5,3,4,77,2.7143
1976,5,3,5,78,-0.4307
1976,6,1,1,96,3.6745
1976,6,1,2,92,3.6759
1976,6,1,3,121,3.4572
1976,6,1,4,73,5.5711
1976,6,1,5,93,2.4175
1976,6,2,1,52,2.7422
1976,6,2,2,43,4.5496
1976,6,2,3,52,4.2822
1976,6,2,4,52,4.6748
1976,6,2,5,67,6.1580
1976,6,3,1,66,4.9205
1976,6,3,2,83,5.4883
1976,6,3,3,63,4.2992
1976,6,3,4,79,2.2722
1976,6,3,5,76,3.8030
1976,7,1,1,91,0.1780
1976,7,1,2,99,0.6285
1976,7,1,3,123,0.8052
1976,7,1,4,74,-0.9813
1976,7,1,5,87,-1.5462
1976,7,2,1,59,0.5052
1976,7,2,2,42,-2.3643
1976,7,2,3,56,-1.2219
1976,7,2,4,45,-0.5611
1976,7,2,5,67,0.3734
1976,7,3,1,63,-0.6091
1976,7,3,2,81,-1.4783
1976,7,3,3,58,-2.5974
1976,7,3,4,82,-0.6470
1976,7,3,5,76,-1.5272
1976,8,1,1,210,-3.4797
1976,8,1,2,152,-2.5316
1976,8,1,3,112,-1.7396
1976,8,1,4,116,-1.6056
1976,8,1,5,99,-2.7255
1976,8,2,1,86,-4.4663
1976,8,2,2,76,-1.5261
1976,8,2,3,58,-2.9939
1976,8,2,4,71,-2.0064
1976,8,2,5,66,-1.5759
1976,8,3,1,59,0.7120
1976,8,3,2,81,-0.4877
1976,8,3,3,96,-2.3830
1976,8,3,4,110,-0.5006
1976,8,3,5,113,-0.0583
1976,9,1,1,195,-0.2230
1976,9,1,2,135,2.9997
1976,9,1,3,100,2.8064
1976,9,1,4,97,1.2796
1976,9,1,5,97,2.5326
1976,9,2,1,85,2.8270
1976,9,2,2,75,2.1777
1976,9,2,3,58,1.7285
1976,9,2,4,72,3.8243
1976,9,2,5,64,3.0132
1976,9,3,1,52,2.8083
1976,9,3,2,85,1.8540
1976,9,3,3,93,1.5010
1976,9,3,4,110,3.9322
