year,month,rank_ME,rank_CTO,nstocks,ret_vw
1967,12,2,1,47,6.2812
1967,12,2,2,43,5.8061
1967,12,2,3,47,4.8717
1967,12,2,4,62,6.8189
1967,12,2,5,65,7.2191
1967,12,3,1,121,2.2413
1967,12,3,2,116,3.3158
1967,12,3,3,103,2.8012
1967,12,3,4,91,1.3463
1967,12,3,5,87,3.1687
1968,1,1,1,39,4.2855
1968,1,1,2,58,5.9986
1968,1,1,3,77,0.0731
1968,1,1,4,89,3.3444
1968,1,1,5,153,3.1124
1968,1,2,1,47,2.9193
1968,1,2,2,43,0.3174
1968,1,2,3,47,0.1226
1968,1,2,4,62,-1.4116
1968,1,2,5,65,-2.5537
1968,1,3,1,121,0.4133
1968,1,3,2,116,-4.2412
1968,1,3,3,103,-4.6175
1968,1,3,4,91,-7.2506
1968,1,3,5,87,-7.3705
1968,2,1,1,39,-1.8018
1968,2,1,2,57,-8.7246
1968,2,1,3,77,-5.6516
1968,2,1,4,89,-6.4776
1968,2,1,5,152,-6.3595
1968,2,2,1,47,-1.8474
1968,2,2,2,41,-2.3599
1968,2,2,3,47,-4.5333
1968,2,2,4,62,-6.2723
1968,2,2,5,65,-6.1125
1968,2,3,1,121,-2.2836
1968,2,3,2,116,-3.1546
1968,2,3,3,103,-3.5949
1968,2,3,4,91,-3.2873
1968,2,3,5,86,-2.4896
1968,3,1,1,39,-3.8691
1968,3,1,2,58,-2.0243
1968,3,1,3,77,0.2547
1968,3,1,4,89,0.0850
1968,3,1,5,152,-0.9669
1968,3,2,1,47,-1.7569
1968,3,2,2,41,-1.1891
1968,3,2,3,47,-2.7544
1968,3,2,4,62,-0.3612
1968,3,2,5,65,-1.1929
1968,3,3,1,121,-2.2754
1968,3,3,2,116,1.6294
1968,3,3,3,103,1.0098
1968,3,3,4,91,1.0890
1968,3,3,5,86,2.4109
1968,4,1,1,39,14.5946
1968,4,1,2,58,19.0211
1968,4,1,3,76,16.3120
1968,4,1,4,89,14.7190
1968,4,1,5,152,18.3253
1968,4,2,1,47,8.2015
1968,4,2,2,41,14.0355
1968,4,2,3,47,13.5689
1968,4,2,4,62,13.9522
1968,4,2,5,65,14.3721
1968,4,3,1,121,3.2288
1968,4,3,2,116,7.7024
1968,4,3,3,103,12.3519
1968,4,3,4,91,11.4197
1968,4,3,5,86,12.3675
1968,5,1,1,39,12.3055
1968,5,1,2,58,9.7251
1968,5,1,3,76,11.3743
1968,5,1,4,89,11.1652
1968,5,1,5,152,11.2270
1968,5,2,1,47,4.4053
1968,5,2,2,41,7.3629
1968,5,2,3,47,8.1687
1968,5,2,4,62,7.5489
1968,5,2,5,65,8.1754
1968,5,3,1,121,-0.2178
1968,5,3,2,115,2.3969
1968,5,3,3,103,1.9612
1968,5,3,4,91,0.7660
1968,5,3,5,86,3.1732
1968,6,1,1,39,1.0726
1968,6,1,2,58,1.5923
1968,6,1,3,76,1.2360
1968,6,1,4,89,-1.2730
1968,6,1,5,152,0.2962
1968,6,2,1,47,3.1976
1968,6,2,2,41,0.7174
1968,6,2,3,47,-0.3047
1968,6,2,4,61,0.1847
1968,6,2,5,65,-0.7646
1968,6,3,1,121,5.4822
1968,6,3,2,115,0.4702
1968,6,3,3,103,-0.3409
1968,6,3,4,91,-0.4832
1968,6,3,5,86,0.2675
1968,7,1,1,59,-0.1201
1968,7,1,2,84,-2.2603
1968,7,1,3,110,-4.1523
1968,7,1,4,148,-4.7817
1968,7,1,5,199,-3.2489
1968,7,2,1,61,-1.5568
1968,7,2,2,40,-2.2829
1968,7,2,3,53,-3.8456
1968,7,2,4,71,-4.5644
1968,7,2,5,80,-5.3502
1968,7,3,1,119,-0.3319
1968,7,3,2,126,0.4496
1968,7,3,3,96,-4.2819
1968,7,3,4,86,-5.1505
1968,7,3,5,89,-5.1291
1968,8,1,1,59,5.9802
1968,8,1,2,84,3.6247
1968,8,1,3,110,3.9399
1968,8,1,4,148,3.9385
1968,8,1,5,199,5.1523
1968,8,2,1,61,0.9941
1968,8,2,2,40,4.3547
1968,8,2,3,53,5.6150
1968,8,2,4,70,3.5698
1968,8,2,5,80,4.7296
1968,8,3,1,119,0.8745
1968,8,3,2,125,1.1055
1968,8,3,3,96,3.0476
1968,8,3,4,86,1.3008
1968,8,3,5,89,0.8957
1968,9,1,1,59,10.6203
1968,9,1,2,84,8.9033
1968,9,1,3,109,5.6311
1968,9,1,4,148,7.1877
1968,9,1,5,199,6.7679
1968,9,2,1,61,3.7395
1968,9,2,2,40,7.2875
1968,9,2,3,53,6.8605
1968,9,2,4,70,7.0598
1968,9,2,5,80,7.8471
1968,9,3,1,119,2.4476
1968,9,3,2,125,3.9285
1968,9,3,3,96,4.6841
1968,9,3,4,86,3.5264
1968,9,3,5,89,5.5286
1968,10,1,1,59,-1.3908
1968,10,1,2,84,-0.9149
1968,10,1,3,109,0.2472
1968,10,1,4,148,2.1234
1968,10,1,5,199,0.7187
1968,10,2,1,61,1.2523
1968,10,2,2,40,-0.5040
1968,10,2,3,52,1.2339
1968,10,2,4,70,1.0212
1968,10,2,5,80,1.4804
1968,10,3,1,119,1.3921
1968,10,3,2,125,0.0860
1968,10,3,3,96,0.8404
1968,10,3,4,86,2.4890
1968,10,3,5,88,-0.8300
1968,11,1,1,59,4.9338
1968,11,1,2,83,7.2684
1968,11,1,3,109,5.8932
1968,11,1,4,147,7.2652
1968,11,1,5,199,8.0416
1968,11,2,1,61,7.9041
1968,11,2,2,40,6.9111
1968,11,2,3,53,8.4903
1968,11,2,4,70,7.9739
1968,11,2,5,80,8.9434
1968,11,3,1,119,7.0829
1968,11,3,2,125,6.5734
1968,11,3,3,96,3.1440
1968,11,3,4,86,3.9383
1968,11,3,5,88,5.7162
1968,12,1,1,58,2.9792
1968,12,1,2,84,2.0489
1968,12,1,3,109,2.1140
1968,12,1,4,148,0.8128
1968,12,1,5,199,2.3287
1968,12,2,1,61,-2.2888
1968,12,2,2,40,0.6213
1968,12,2,3,53,-1.6396
1968,12,2,4,70,-1.4659
1968,12,2,5,80,-1.6106
1968,12,3,1,119,-4.5901
1968,12,3,2,125,-3.3428
1968,12,3,3,96,-4.5984
1968,12,3,4,86,-4.4414
1968,12,3,5,88,-3.9047
1969,1,1,1,58,-1.1109
1969,1,1,2,84,-0.9595
1969,1,1,3,109,-0.3444
1969,1,1,4,148,-0.4289
1969,1,1,5,199,-2.2536
1969,1,2,1,61,2.0907
1969,1,2,2,40,-0.8736
1969,1,2,3,53,-1.6080
1969,1,2,4,70,-2.3968
1969,1,2,5,80,-2.4278
1969,1,3,1,119,1.7468
1969,1,3,2,124,-1.5681
1969,1,3,3,96,-0.5062
1969,1,3,4,86,-0.8197
1969,1,3,5,88,-3.5067
1969,2,1,1,58,-11.8768
1969,2,1,2,83,-10.0029
1969,2,1,3,109,-9.7529
1969,2,1,4,148,-9.2982
1969,2,1,5,198,-10.1066
1969,2,2,1,61,-7.5480
1969,2,2,2,40,-8.7020
1969,2,2,3,53,-8.0717
1969,2,2,4,70,-8.4357
1969,2,2,5,80,-7.6715
1969,2,3,1,119,-4.8389
1969,2,3,2,124,-4.6540
1969,2,3,3,96,-4.1355
1969,2,3,4,86,-3.5721
1969,2,3,5,88,-6.2107
1969,3,1,1,58,2.7814
1969,3,1,2,82,1.5078
1969,3,1,3,109,3.3063
1969,3,1,4,148,1.8970
1969,3,1,5,198,3.1103
1969,3,2,1,61,1.0613
1969,3,2,2,40,3.0109
1969,3,2,3,53,4.6830
1969,3,2,4,70,0.4052
1969,3,2,5,80,3.8309
1969,3,3,1,119,-0.3555
1969,3,3,2,124,4.9305
1969,3,3,3,96,4.0674
1969,3,3,4,86,4.2223
1969,3,3,5,88,1.2896
1969,4,1,1,58,-0.9273
1969,4,1,2,82,-1.1480
1969,4,1,3,109,-1.2013
1969,4,1,4,148,-0.2044
1969,4,1,5,198,-0.1129
1969,4,2,1,60,2.4022
1969,4,2,2,40,3.7475
1969,4,2,3,53,0.0063
1969,4,2,4,70,1.2722
1969,4,2,5,80,1.4474
1969,4,3,1,119,3.4746
1969,4,3,2,124,1.1821
1969,4,3,3,96,3.2672
1969,4,3,4,86,2.1127
1969,4,3,5,88,2.5815
1969,5,1,1,58,4.1770
1969,5,1,2,81,3.1530
1969,5,1,3,109,-0.1583
1969,5,1,4,148,1.4050
1969,5,1,5,198,-0.4553
1969,5,2,1,61,1.3149
1969,5,2,2,40,1.3188
1969,5,2,3,53,-1.0831
1969,5,2,4,69,0.3071
1969,5,2,5,80,-0.0348
1969,5,3,1,119,0.3672
1969,5,3,2,124,0.7052
1969,5,3,3,96,-0.0811
1969,5,3,4,85,1.3095
1969,5,3,5,87,-2.3280
1969,6,1,1,58,-14.9994
1969,6,1,2,82,-14.2162
1969,6,1,3,109,-12.1303
1969,6,1,4,148,-14.8377
1969,6,1,5,198,-12.7342
1969,6,2,1,61,-9.1199
1969,6,2,2,40,-11.3158
1969,6,2,3,53,-11.3006
1969,6,2,4,70,-10.5679
1969,6,2,5,80,-10.6736
1969,6,3,1,118,-6.1376
1969,6,3,2,123,-5.6683
1969,6,3,3,96,-5.5694
1969,6,3,4,86,-4.7198
1969,6,3,5,87,-6.2397
1969,7,1,1,57,-11.4024
1969,7,1,2,99,-10.7772
1969,7,1,3,113,-11.4089
1969,7,1,4,160,-11.0283
1969,7,1,5,222,-12.1350
1969,7,2,1,54,-6.9266
1969,7,2,2,56,-9.6992
1969,7,2,3,55,-9.5029
1969,7,2,4,73,-9.0354
1969,7,2,5,90,-9.5025
1969,7,3,1,132,-5.7075
1969,7,3,2,121,-5.9199
1969,7,3,3,109,-5.1417
1969,7,3,4,80,-6.1296
1969,7,3,5,92,-7.8193
1969,8,1,1,57,3.5453
1969,8,1,2,98,3.1598
1969,8,1,3,112,3.6917
1969,8,1,4,160,3.0311
1969,8,1,5,222,5.1272
1969,8,2,1,54,3.1125
1969,8,2,2,56,6.5289
1969,8,2,3,55,4.9755
1969,8,2,4,73,5.9196
1969,8,2,5,90,7.7334
1969,8,3,1,132,1.5604
1969,8,3,2,121,5.5859
1969,8,3,3,109,5.3479
1969,8,3,4,80,5.5149
1969,8,3,5,92,7.0035
1969,9,1,1,57,-2.0085
1969,9,1,2,98,1.2237
1969,9,1,3,113,-4.5604
1969,9,1,4,160,-4.1463
1969,9,1,5,222,-3.7346
1969,9,2,1,54,-0.8059
1969,9,2,2,55,-0.8940
1969,9,2,3,55,-2.2391
1969,9,2,4,72,1.4729
1969,9,2,5,90,-0.4823
1969,9,3,1,132,-4.6085
1969,9,3,2,121,-4.7671
1969,9,3,3,109,0.2137
1969,9,3,4,80,-0.2006
1969,9,3,5,92,-2.2918
1969,10,1,1,57,9.1716
1969,10,1,2,98,9.6347
1969,10,1,3,113,8.7609
1969,10,1,4,160,10.8590
1969,10,1,5,222,11.8929
1969,10,2,1,54,6.4542
1969,10,2,2,54,8.9672
1969,10,2,3,55,6.3839
1969,10,2,4,72,7.9403
1969,10,2,5,90,8.7636
1969,10,3,1,131,5.1241
1969,10,3,2,121,3.4292
1969,10,3,3,109,4.7321
1969,10,3,4,80,6.2769
1969,10,3,5,92,7.7329
1969,11,1,1,57,-6.3995
1969,11,1,2,98,-7.1504
1969,11,1,3,112,-5.9232
1969,11,1,4,160,-6.4863
1969,11,1,5,222,-7.4961
1969,11,2,1,54,-4.9079
1969,11,2,2,54,-6.2936
1969,11,2,3,55,-2.9280
1969,11,2,4,72,-4.9835
1969,11,2,5,90,-4.3867
1969,11,3,1,132,-3.1777
1969,11,3,2,121,-3.5766
1969,11,3,3,109,-1.8019
1969,11,3,4,80,-3.2991
1969,11,3,5,92,-3.2676
1969,12,1,1,57,-8.4298
1969,12,1,2,98,-7.8991
1969,12,1,3,113,-5.6650
1969,12,1,4,160,-7.8826
1969,12,1,5,222,-8.0499
1969,12,2,1,54,-5.2893
1969,12,2,2,54,-5.4511
1969,12,2,3,55,-4.4254
1969,12,2,4,72,-4.0597
1969,12,2,5,89,-3.5537
1969,12,3,1,132,-2.6262
1969,12,3,2,121,-1.4994
1969,12,3,3,109,-0.8018
1969,12,3,4,80,-0.5360
1969,12,3,5,92,-1.5682
1970,1,1,1,57,-2.0051
1970,1,1,2,98,-1.2675
1970,1,1,3,113,-1.6688
1970,1,1,4,160,-3.5496
1970,1,1,5,222,-4.9830
1970,1,2,1,54,-3.7829
1970,1,2,2,54,-5.7490
1970,1,2,3,55,-4.7331
1970,1,2,4,72,-5.9916
1970,1,2,5,90,-7.1772
1970,1,3,1,132,-5.5257
1970,1,3,2,121,-9.5338
1970,1,3,3,109,-8.1319
1970,1,3,4,80,-7.4574
1970,1,3,5,92,-8.2044
1970,2,1,1,57,3.9535
1970,2,1,2,97,2.2793
1970,2,1,3,113,3.9731
1970,2,1,4,160,2.9949
1970,2,1,5,222,2.5771
1970,2,2,1,54,7.1015
1970,2,2,2,54,7.0802
1970,2,2,3,55,5.1837
1970,2,2,4,72,1.2155
1970,2,2,5,89,4.2381
1970,2,3,1,132,9.3428
1970,2,3,2,121,4.4055
1970,2,3,3,109,4.1189
1970,2,3,4,79,6.1647
1970,2,3,5,92,6.4294
1970,3,1,1,57,-1.3535
1970,3,1,2,97,-2.1720
1970,3,1,3,113,-3.6222
1970,3,1,4,160,-4.2494
1970,3,1,5,222,-3.3033
1970,3,2,1,54,0.0619
1970,3,2,2,55,-0.0291
1970,3,2,3,55,-0.5681
1970,3,2,4,71,-3.0791
1970,3,2,5,90,-3.0296
1970,3,3,1,132,1.0704
1970,3,3,2,121,0.2375
1970,3,3,3,109,-0.6512
1970,3,3,4,80,0.7257
1970,3,3,5,92,-1.9936
1970,4,1,1,57,-18.6599
1970,4,1,2,97,-17.8919
1970,4,1,3,112,-14.8980
1970,4,1,4,160,-17.8814
1970,4,1,5,221,-18.5950
1970,4,2,1,54,-11.5207
1970,4,2,2,55,-14.6429
1970,4,2,3,55,-13.0010
1970,4,2,4,72,-14.7447
1970,4,2,5,89,-17.8966
1970,4,3,1,132,-8.3943
1970,4,3,2,121,-7.7359
1970,4,3,3,109,-11.1399
1970,4,3,4,80,-8.9764
1970,4,3,5,92,-12.1352
1970,5,1,1,56,-6.0603
1970,5,1,2,97,-8.9419
1970,5,1,3,112,-9.8209
1970,5,1,4,159,-8.6738
1970,5,1,5,221,-10.0332
1970,5,2,1,54,-6.7279
1970,5,2,2,55,-10.3802
1970,5,2,3,55,-12.2125
1970,5,2,4,72,-9.4185
1970,5,2,5,89,-9.8602
1970,5,3,1,132,-4.1266
1970,5,3,2,121,-2.7476
1970,5,3,3,109,-8.2223
1970,5,3,4,80,-7.2898
1970,5,3,5,92,-7.9308
1970,6,1,1,56,-6.2590
1970,6,1,2,95,-9.0757
1970,6,1,3,111,-7.5487
1970,6,1,4,159,-9.2012
1970,6,1,5,221,-9.5338
1970,6,2,1,53,-5.5080
1970,6,2,2,55,-7.1403
1970,6,2,3,54,-5.4644
1970,6,2,4,71,-8.3468
1970,6,2,5,89,-6.7545
1970,6,3,1,132,-6.0360
1970,6,3,2,121,-4.1755
1970,6,3,3,109,-6.0455
1970,6,3,4,80,-3.1129
1970,6,3,5,92,-5.5011
1970,7,1,1,60,8.9460
1970,7,1,2,110,0.9461
1970,7,1,3,144,6.2326
1970,7,1,4,171,3.3938
1970,7,1,5,253,5.5110
1970,7,2,1,63,5.9536
1970,7,2,2,52,9.0903
1970,7,2,3,65,9.2665
1970,7,2,4,70,7.0491
1970,7,2,5,101,6.8216
1970,7,3,1,139,10.0359
1970,7,3,2,125,6.6080
1970,7,3,3,108,7.4990
1970,7,3,4,89,6.1308
1970,7,3,5,85,6.8216
1970,8,1,1,60,5.2331
1970,8,1,2,109,6.8815
1970,8,1,3,143,5.0090
1970,8,1,4,171,8.0681
1970,8,1,5,253,6.2147
1970,8,2,1,63,7.2392
1970,8,2,2,52,8.5099
1970,8,2,3,65,4.1441
1970,8,2,4,70,8.9744
1970,8,2,5,100,5.7411
1970,8,3,1,139,4.2690
1970,8,3,2,125,5.4310
1970,8,3,3,108,4.7019
1970,8,3,4,89,4.8741
1970,8,3,5,85,5.2407
1970,9,1,1,60,13.1961
1970,9,1,2,109,14.3271
1970,9,1,3,142,13.2516
1970,9,1,4,170,17.7695
1970,9,1,5,252,15.0009
1970,9,2,1,63,7.7223
1970,9,2,2,52,12.4991
1970,9,2,3,64,11.8890
1970,9,2,4,70,8.8002
1970,9,2,5,100,13.3314
1970,9,3,1,139,0.1548
1970,9,3,2,125,3.8972
1970,9,3,3,108,6.1369
1970,9,3,4,88,3.8838
1970,9,3,5,85,7.2890
1970,10,1,1,60,-5.0306
1970,10,1,2,108,-9.2856
