year,month,rank_ME,rank_dROA_6,nstocks,ret_vw
1973,1,1,1,22,-7.5362
1973,1,1,2,10,-4.7672
1973,1,1,3,10,-2.1043
1973,1,1,4,16,-3.0658
1973,1,1,5,33,-2.0531
1973,1,2,1,6,-5.2389
1973,1,2,2,5,-13.4346
1973,1,2,3,8,-11.3825
1973,1,2,4,10,-8.5146
1973,1,2,5,13,-5.9138
1973,1,3,1,12,-6.3752
1973,1,3,2,12,-2.8992
1973,1,3,3,11,0.6698
1973,1,3,4,12,-6.0450
1973,1,3,5,7,-7.8735
1973,2,1,1,32,-8.4051
1973,2,1,2,17,-10.5768
1973,2,1,3,15,-11.7547
1973,2,1,4,23,-8.8659
1973,2,1,5,50,-13.0827
1973,2,2,1,7,-4.5973
1973,2,2,2,7,2.0281
1973,2,2,3,12,-9.4995
1973,2,2,4,19,-11.2687
1973,2,2,5,21,-9.0896
1973,2,3,1,21,-7.9829
1973,2,3,2,20,-6.3242
1973,2,3,3,20,-7.9401
1973,2,3,4,20,-3.3170
1973,2,3,5,13,-3.1985
1973,3,1,1,41,-7.1047
1973,3,1,2,25,-7.3616
1973,3,1,3,20,2.4807
1973,3,1,4,39,-5.4495
1973,3,1,5,58,-1.7246
1973,3,2,1,12,-7.0729
1973,3,2,2,13,-6.9928
1973,3,2,3,18,-9.1496
1973,3,2,4,21,-5.1400
1973,3,2,5,25,-1.4470
1973,3,3,1,24,-3.9246
1973,3,3,2,26,-5.5379
1973,3,3,3,27,-2.5988
1973,3,3,4,27,-3.0860
1973,3,3,5,18,-1.2542
1973,4,1,1,49,-8.2633
1973,4,1,2,30,-11.6714
1973,4,1,3,25,-6.9122
1973,4,1,4,46,-10.4189
1973,4,1,5,68,-7.9786
1973,4,2,1,14,-5.2899
1973,4,2,2,14,-10.6239
1973,4,2,3,20,-9.4304
1973,4,2,4,23,-8.0191
1973,4,2,5,29,-6.0619
1973,4,3,1,28,-8.0548
1973,4,3,2,28,-7.1135
1973,4,3,3,31,-9.3375
1973,4,3,4,31,-7.7351
1973,4,3,5,23,-4.9758
1973,5,1,1,104,-14.2698
1973,5,1,2,77,-11.1908
1973,5,1,3,78,-3.3239
1973,5,1,4,86,-10.1329
1973,5,1,5,149,-10.3029
1973,5,2,1,62,-9.8714
1973,5,2,2,52,-10.4644
1973,5,2,3,52,-8.5724
1973,5,2,4,57,-9.2796
1973,5,2,5,64,-9.8790
1973,5,3,1,79,-5.7720
1973,5,3,2,97,-4.6705
1973,5,3,3,105,-2.5440
1973,5,3,4,104,-3.1120
1973,5,3,5,91,-3.8413
1973,6,1,1,165,-3.7124
1973,6,1,2,101,-5.5815
1973,6,1,3,94,-3.4949
1973,6,1,4,116,-1.5041
1973,6,1,5,187,-4.4392
1973,6,2,1,76,-8.5176
1973,6,2,2,66,-7.5871
1973,6,2,3,57,-3.6803
1973,6,2,4,65,-2.6472
1973,6,2,5,74,-3.9307
1973,6,3,1,95,-1.3880
1973,6,3,2,118,-1.0508
1973,6,3,3,122,-3.0902
1973,6,3,4,120,-2.9696
1973,6,3,5,101,-5.7450
1973,7,1,1,183,15.0093
1973,7,1,2,105,16.4926
1973,7,1,3,95,11.8124
1973,7,1,4,115,16.2127
1973,7,1,5,199,15.9194
1973,7,2,1,83,13.0832
1973,7,2,2,69,13.5662
1973,7,2,3,58,13.2688
1973,7,2,4,68,13.5741
1973,7,2,5,79,14.0370
1973,7,3,1,100,11.0006
1973,7,3,2,119,8.5752
1973,7,3,3,120,8.3489
1973,7,3,4,123,9.5100
1973,7,3,5,100,8.9304
1973,8,1,1,192,-7.1062
1973,8,1,2,110,-7.5618
1973,8,1,3,99,-5.3486
1973,8,1,4,118,-5.6187
1973,8,1,5,200,-4.8149
1973,8,2,1,86,-2.8107
1973,8,2,2,72,-6.1111
1973,8,2,3,59,-5.3419
1973,8,2,4,69,-4.1487
1973,8,2,5,85,-0.7362
1973,8,3,1,106,-6.2590
1973,8,3,2,120,-4.0287
1973,8,3,3,124,-2.5674
1973,8,3,4,120,-1.7175
1973,8,3,5,102,-1.5553
1973,9,1,1,204,8.7511
1973,9,1,2,121,11.7016
1973,9,1,3,104,7.1725
1973,9,1,4,120,10.3795
1973,9,1,5,203,9.3562
1973,9,2,1,95,9.6006
1973,9,2,2,76,11.2402
1973,9,2,3,64,12.8179
1973,9,2,4,70,12.7116
1973,9,2,5,84,12.5972
1973,9,3,1,107,7.0060
1973,9,3,2,125,0.7832
1973,9,3,3,128,5.8688
1973,9,3,4,120,7.6160
1973,9,3,5,103,5.5368
1973,10,1,1,196,-1.2681
1973,10,1,2,118,-3.9592
1973,10,1,3,97,-2.2204
1973,10,1,4,102,1.2541
1973,10,1,5,182,5.0786
1973,10,2,1,94,-2.1541
1973,10,2,2,72,-2.5457
1973,10,2,3,54,-2.4787
1973,10,2,4,64,1.8420
1973,10,2,5,80,4.3888
1973,10,3,1,101,-1.5238
1973,10,3,2,109,1.6703
1973,10,3,3,119,0.6626
1973,10,3,4,110,2.2134
1973,10,3,5,98,0.1770
1973,11,1,1,200,-20.8090
1973,11,1,2,145,-19.3186
1973,11,1,3,119,-21.5202
1973,11,1,4,115,-21.0914
1973,11,1,5,194,-21.1343
1973,11,2,1,94,-20.1508
1973,11,2,2,82,-21.7621
1973,11,2,3,62,-19.0434
1973,11,2,4,69,-18.9550
1973,11,2,5,88,-21.1333
1973,11,3,1,106,-10.4814
1973,11,3,2,111,-9.5727
1973,11,3,3,133,-12.5644
1973,11,3,4,120,-14.7927
1973,11,3,5,99,-14.1989
1973,12,1,1,212,-8.2564
1973,12,1,2,158,-6.4961
