year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1985,12,1,4,786,4.1163
1985,12,1,5,628,4.6745
1985,12,2,1,215,5.3020
1985,12,2,2,259,3.8194
1985,12,2,3,279,4.0929
1985,12,2,4,236,4.5436
1985,12,2,5,173,3.8883
1985,12,3,1,141,2.6802
1985,12,3,2,239,4.3424
1985,12,3,3,264,4.0465
1985,12,3,4,236,4.5041
1985,12,3,5,200,5.0083
1986,1,1,1,810,1.8196
1986,1,1,2,823,0.8790
1986,1,1,3,861,3.0201
1986,1,1,4,667,2.4644
1986,1,1,5,532,3.0115
1986,1,2,1,190,-1.2040
1986,1,2,2,227,0.4752
1986,1,2,3,236,2.1145
1986,1,2,4,206,1.0861
1986,1,2,5,146,1.6086
1986,1,3,1,123,1.3305
1986,1,3,2,194,0.6622
1986,1,3,3,224,-0.4395
1986,1,3,4,184,0.8753
1986,1,3,5,153,-0.2121
1986,2,1,1,921,4.3405
1986,2,1,2,976,5.6003
1986,2,1,3,1005,6.3472
1986,2,1,4,816,6.1013
1986,2,1,5,625,6.1823
1986,2,2,1,218,7.1693
1986,2,2,2,264,7.0054
1986,2,2,3,276,8.3355
1986,2,2,4,237,7.4239
1986,2,2,5,165,5.4043
1986,2,3,1,161,8.4619
1986,2,3,2,216,7.3897
1986,2,3,3,259,7.2404
1986,2,3,4,212,8.9783
1986,2,3,5,176,7.3409
1986,3,1,1,941,4.1374
1986,3,1,2,1010,4.5149
1986,3,1,3,1014,5.2241
1986,3,1,4,838,4.3283
1986,3,1,5,623,4.9797
1986,3,2,1,220,4.7198
1986,3,2,2,273,5.2639
1986,3,2,3,289,4.7123
1986,3,2,4,241,5.5258
1986,3,2,5,167,7.0732
1986,3,3,1,159,4.4084
1986,3,3,2,219,4.9217
1986,3,3,3,263,4.5577
1986,3,3,4,216,7.3199
1986,3,3,5,175,6.3709
1986,4,1,1,827,1.4202
1986,4,1,2,842,0.4504
1986,4,1,3,843,1.5866
1986,4,1,4,717,2.6236
1986,4,1,5,562,1.9355
1986,4,2,1,188,0.7273
1986,4,2,2,239,2.8133
1986,4,2,3,255,1.7144
1986,4,2,4,213,0.6677
1986,4,2,5,145,1.2724
1986,4,3,1,142,-0.5948
1986,4,3,2,185,-0.1029
1986,4,3,3,216,-0.0530
1986,4,3,4,176,-2.2592
1986,4,3,5,145,1.9907
1986,5,1,1,954,3.8284
1986,5,1,2,988,4.0154
1986,5,1,3,1002,3.5582
1986,5,1,4,841,3.7917
1986,5,1,5,672,4.8246
1986,5,2,1,227,3.0879
1986,5,2,2,276,3.3246
1986,5,2,3,290,4.0849
1986,5,2,4,260,4.0276
1986,5,2,5,171,4.1767
1986,5,3,1,172,2.8379
1986,5,3,2,234,6.5132
1986,5,3,3,267,5.2421
1986,5,3,4,217,5.8230
1986,5,3,5,180,6.4983
1986,6,1,1,945,-1.7511
1986,6,1,2,988,-0.5518
1986,6,1,3,1009,0.0172
1986,6,1,4,841,1.3523
1986,6,1,5,684,1.4530
1986,6,2,1,232,-3.5202
1986,6,2,2,283,-1.4169
1986,6,2,3,300,-0.6254
1986,6,2,4,262,0.7207
1986,6,2,5,177,1.1569
1986,6,3,1,176,-1.9173
1986,6,3,2,236,1.4235
1986,6,3,3,271,1.8108
1986,6,3,4,211,1.9995
1986,6,3,5,179,1.7420
1986,7,1,1,784,-10.9006
1986,7,1,2,808,-10.2274
1986,7,1,3,842,-9.2731
1986,7,1,4,718,-7.1154
1986,7,1,5,588,-7.6988
1986,7,2,1,207,-11.3904
1986,7,2,2,242,-11.3625
1986,7,2,3,254,-9.9545
1986,7,2,4,236,-8.7897
1986,7,2,5,159,-9.0257
1986,7,3,1,156,-8.9296
1986,7,3,2,199,-7.5822
1986,7,3,3,219,-6.1632
1986,7,3,4,177,-5.6179
1986,7,3,5,149,-6.2540
1986,8,1,1,885,1.1846
1986,8,1,2,953,0.8410
1986,8,1,3,978,1.1806
1986,8,1,4,825,0.8090
1986,8,1,5,654,1.3719
1986,8,2,1,223,3.7708
1986,8,2,2,273,3.6967
1986,8,2,3,289,4.2529
1986,8,2,4,280,3.8589
1986,8,2,5,182,4.1919
1986,8,3,1,182,6.5635
1986,8,3,2,239,5.4474
1986,8,3,3,273,6.2730
1986,8,3,4,201,7.2997
1986,8,3,5,172,7.4554
1986,9,1,1,887,-6.8282
1986,9,1,2,947,-6.0239
1986,9,1,3,985,-6.1658
1986,9,1,4,831,-5.3550
1986,9,1,5,660,-5.7051
1986,9,2,1,217,-6.9070
1986,9,2,2,271,-5.8666
1986,9,2,3,283,-6.0656
1986,9,2,4,274,-5.3596
1986,9,2,5,183,-5.5931
1986,9,3,1,183,-6.6466
1986,9,3,2,236,-7.4556
1986,9,3,3,276,-7.8349
1986,9,3,4,207,-8.1533
1986,9,3,5,175,-7.4020
1986,10,1,1,789,1.7084
1986,10,1,2,807,2.5411
1986,10,1,3,864,2.9727
1986,10,1,4,688,2.9461
1986,10,1,5,568,3.3753
1986,10,2,1,198,3.3740
1986,10,2,2,232,3.9096
1986,10,2,3,247,4.7236
1986,10,2,4,230,4.2793
1986,10,2,5,160,4.3097
1986,10,3,1,143,7.1508
1986,10,3,2,206,7.0681
1986,10,3,3,238,5.2584
1986,10,3,4,174,6.9253
1986,10,3,5,152,5.1310
1986,11,1,1,908,-0.8696
1986,11,1,2,900,-0.1119
1986,11,1,3,979,0.3195
1986,11,1,4,795,-0.1085
1986,11,1,5,655,-0.2240
1986,11,2,1,219,-1.7324
1986,11,2,2,271,0.4995
1986,11,2,3,289,0.5277
1986,11,2,4,257,1.5405
1986,11,2,5,178,1.2910
1986,11,3,1,169,2.0317
1986,11,3,2,237,2.9570
1986,11,3,3,270,2.9597
1986,11,3,4,226,2.5970
1986,11,3,5,181,2.0571
1986,12,1,1,901,-3.5523
1986,12,1,2,906,-4.3310
1986,12,1,3,976,-2.8511
1986,12,1,4,803,-2.0979
1986,12,1,5,642,-1.9845
1986,12,2,1,215,-1.9993
1986,12,2,2,273,-3.2950
1986,12,2,3,287,-1.8620
1986,12,2,4,259,-1.9672
1986,12,2,5,174,-0.9279
1986,12,3,1,167,-3.5408
1986,12,3,2,235,-2.7313
1986,12,3,3,271,-2.4948
1986,12,3,4,232,-1.9962
1986,12,3,5,187,-3.2354
1987,1,1,1,769,10.3563
1987,1,1,2,747,11.2815
1987,1,1,3,825,10.1993
1987,1,1,4,669,9.9873
1987,1,1,5,547,12.1080
1987,1,2,1,174,14.9498
1987,1,2,2,240,13.8412
1987,1,2,3,236,13.4452
1987,1,2,4,215,11.6574
1987,1,2,5,146,12.5794
1987,1,3,1,133,13.9965
1987,1,3,2,185,14.2795
1987,1,3,3,220,12.8467
1987,1,3,4,191,13.6090
1987,1,3,5,153,14.5903
1987,2,1,1,885,7.7899
1987,2,1,2,910,9.2527
1987,2,1,3,950,7.8030
1987,2,1,4,793,9.1740
1987,2,1,5,632,9.2337
1987,2,2,1,198,9.7216
1987,2,2,2,261,8.0639
1987,2,2,3,274,7.7240
1987,2,2,4,247,9.3130
1987,2,2,5,166,9.0519
1987,2,3,1,157,6.4665
1987,2,3,2,216,6.0329
1987,2,3,3,239,5.7947
1987,2,3,4,228,3.5664
1987,2,3,5,192,5.3391
1987,3,1,1,888,3.3429
1987,3,1,2,911,1.4076
1987,3,1,3,961,3.2645
