year,month,rank_ME,rank_RNAq_12,nstocks,ret_vw
1976,12,1,4,344,10.1857
1976,12,1,5,340,11.1178
1976,12,2,1,182,9.0080
1976,12,2,2,202,9.5096
1976,12,2,3,207,8.4208
1976,12,2,4,223,9.8078
1976,12,2,5,223,9.9537
1976,12,3,1,132,6.5534
1976,12,3,2,204,6.2193
1976,12,3,3,268,5.8793
1976,12,3,4,300,5.7348
1976,12,3,5,306,5.0742
1977,1,1,1,520,5.6467
1977,1,1,2,436,5.2046
1977,1,1,3,367,4.0632
1977,1,1,4,341,3.2776
1977,1,1,5,337,2.7848
1977,1,2,1,177,3.4906
1977,1,2,2,200,1.8487
1977,1,2,3,201,1.9457
1977,1,2,4,208,1.6898
1977,1,2,5,223,-1.2190
1977,1,3,1,129,-3.8060
1977,1,3,2,203,-3.9288
1977,1,3,3,259,-5.1434
1977,1,3,4,297,-6.0395
1977,1,3,5,295,-4.7651
1977,2,1,1,538,-1.4685
1977,2,1,2,473,-1.3057
1977,2,1,3,405,-0.5395
1977,2,1,4,372,-0.0758
1977,2,1,5,354,-0.5493
1977,2,2,1,187,-1.7169
1977,2,2,2,220,-1.0572
1977,2,2,3,219,-0.4573
1977,2,2,4,229,-1.7278
1977,2,2,5,234,-1.1153
1977,2,3,1,137,-1.6739
1977,2,3,2,220,-1.8302
1977,2,3,3,282,-1.6459
1977,2,3,4,315,-2.3305
1977,2,3,5,306,-1.6479
1977,3,1,1,558,0.8708
1977,3,1,2,496,1.3283
1977,3,1,3,430,1.4684
1977,3,1,4,385,0.0687
1977,3,1,5,365,1.1461
1977,3,2,1,198,-0.8808
1977,3,2,2,224,1.2191
1977,3,2,3,224,-0.1615
1977,3,2,4,238,-1.0182
1977,3,2,5,234,0.6202
1977,3,3,1,141,-0.4830
1977,3,3,2,220,-2.0984
1977,3,3,3,284,-1.4823
1977,3,3,4,315,-1.6623
1977,3,3,5,303,-1.3328
1977,4,1,1,554,0.9153
1977,4,1,2,486,1.7100
1977,4,1,3,418,1.0009
1977,4,1,4,369,1.8655
1977,4,1,5,352,1.7536
1977,4,2,1,195,1.1051
1977,4,2,2,220,1.9278
1977,4,2,3,221,2.2387
1977,4,2,4,231,2.2833
1977,4,2,5,226,1.6314
1977,4,3,1,136,0.9818
1977,4,3,2,214,1.5232
1977,4,3,3,272,0.5270
1977,4,3,4,304,0.6757
1977,4,3,5,295,-1.6830
1977,5,1,1,585,0.6152
1977,5,1,2,522,-0.2323
1977,5,1,3,469,0.2580
1977,5,1,4,399,0.1073
1977,5,1,5,380,-0.5192
1977,5,2,1,213,-1.4081
1977,5,2,2,234,0.1333
1977,5,2,3,240,0.2210
1977,5,2,4,250,0.2355
1977,5,2,5,250,-0.3758
1977,5,3,1,143,-3.1850
1977,5,3,2,229,-1.5021
1977,5,3,3,304,-2.6985
1977,5,3,4,322,-1.5907
1977,5,3,5,309,-1.8106
1977,6,1,1,594,7.6131
1977,6,1,2,534,7.1386
1977,6,1,3,479,6.9583
1977,6,1,4,416,7.9456
1977,6,1,5,386,8.0924
1977,6,2,1,213,8.4420
1977,6,2,2,233,8.5494
1977,6,2,3,243,7.8218
1977,6,2,4,255,6.8484
1977,6,2,5,259,6.8573
1977,6,3,1,143,3.1559
1977,6,3,2,229,4.3639
1977,6,3,3,303,3.8788
1977,6,3,4,323,4.5968
1977,6,3,5,310,6.4641
1977,7,1,1,578,-1.1251
1977,7,1,2,516,-0.1758
1977,7,1,3,444,-0.5543
1977,7,1,4,388,-0.6731
1977,7,1,5,364,0.2674
1977,7,2,1,207,-1.5899
1977,7,2,2,227,-1.3198
1977,7,2,3,239,-1.5946
1977,7,2,4,233,-1.6799
1977,7,2,5,246,-0.9857
1977,7,3,1,136,-4.3434
1977,7,3,2,222,-1.6195
1977,7,3,3,285,-2.4358
1977,7,3,4,288,-1.7566
1977,7,3,5,278,-1.4432
1977,8,1,1,605,-2.9641
1977,8,1,2,550,-2.1957
1977,8,1,3,473,-1.0620
1977,8,1,4,414,-1.2645
1977,8,1,5,388,-0.5003
1977,8,2,1,215,-2.2565
1977,8,2,2,243,-0.8095
1977,8,2,3,249,-1.8698
1977,8,2,4,250,-0.4605
1977,8,2,5,257,1.0240
1977,8,3,1,140,-2.4259
1977,8,3,2,241,-2.8333
1977,8,3,3,305,-1.9217
1977,8,3,4,308,-0.4218
1977,8,3,5,287,-0.8649
1977,9,1,1,605,0.6993
1977,9,1,2,542,1.2587
1977,9,1,3,478,1.6541
1977,9,1,4,417,1.2965
1977,9,1,5,388,2.2732
1977,9,2,1,217,-0.6635
1977,9,2,2,246,0.8923
1977,9,2,3,254,2.0149
1977,9,2,4,254,1.8306
1977,9,2,5,257,1.1387
1977,9,3,1,138,-3.1490
1977,9,3,2,244,-0.5211
1977,9,3,3,308,-0.3287
1977,9,3,4,312,-0.0688
1977,9,3,5,291,-0.5447
1977,10,1,1,596,-3.4623
1977,10,1,2,497,-2.4276
1977,10,1,3,445,-2.5151
1977,10,1,4,393,-1.9846
1977,10,1,5,372,-2.8660
1977,10,2,1,215,-4.1580
1977,10,2,2,240,-3.5182
1977,10,2,3,240,-1.8358
