year,month,rank_ME,rank_OLAq_12,nstocks,ret_vw
1976,1,1,1,90,27.3425
1976,1,1,2,69,22.6431
1976,1,1,3,59,23.9294
1976,1,1,4,35,27.1327
1976,1,1,5,41,27.6239
1976,1,2,1,29,22.7205
1976,1,2,2,26,22.3592
1976,1,2,3,34,22.0424
1976,1,2,4,33,19.2399
1976,1,2,5,33,20.3291
1976,1,3,1,38,12.9625
1976,1,3,2,35,13.0315
1976,1,3,3,46,17.2983
1976,1,3,4,56,15.9828
1976,1,3,5,68,10.3785
1976,2,1,1,138,13.2395
1976,2,1,2,114,13.9189
1976,2,1,3,93,9.3451
1976,2,1,4,67,12.7613
1976,2,1,5,59,16.4922
1976,2,2,1,50,10.3624
1976,2,2,2,46,6.8476
1976,2,2,3,56,8.5357
1976,2,2,4,47,4.8583
1976,2,2,5,50,8.5769
1976,2,3,1,55,3.3578
1976,2,3,2,56,3.5698
1976,2,3,3,71,-0.2837
1976,2,3,4,91,0.6522
1976,2,3,5,99,-1.1749
1976,3,1,1,171,2.3442
1976,3,1,2,132,1.8139
1976,3,1,3,104,0.1862
1976,3,1,4,84,3.1591
1976,3,1,5,76,1.2905
1976,3,2,1,57,2.8351
1976,3,2,2,48,5.1056
1976,3,2,3,57,1.5703
1976,3,2,4,51,1.6734
1976,3,2,5,62,1.4821
1976,3,3,1,65,2.4539
1976,3,3,2,64,4.1703
1976,3,3,3,76,3.3203
1976,3,3,4,97,1.9600
1976,3,3,5,101,4.6840
1976,4,1,1,183,-3.7193
1976,4,1,2,136,-1.9655
1976,4,1,3,107,-0.9312
1976,4,1,4,90,-1.3628
1976,4,1,5,79,-3.1980
1976,4,2,1,68,-1.2975
1976,4,2,2,55,-1.5431
1976,4,2,3,61,0.8234
1976,4,2,4,56,-0.5915
1976,4,2,5,66,-2.1261
1976,4,3,1,71,-1.1759
1976,4,3,2,67,-2.2886
1976,4,3,3,82,0.6539
1976,4,3,4,105,-0.3311
1976,4,3,5,105,-0.8285
1976,5,1,1,267,-4.2897
1976,5,1,2,225,-1.6812
1976,5,1,3,168,-2.4121
1976,5,1,4,140,-2.9549
1976,5,1,5,115,-4.0562
1976,5,2,1,115,-1.7211
1976,5,2,2,88,-2.8119
1976,5,2,3,84,-0.9024
1976,5,2,4,78,-1.0156
1976,5,2,5,88,0.1955
1976,5,3,1,127,-1.5904
1976,5,3,2,100,-2.7254
1976,5,3,3,115,-1.9105
1976,5,3,4,142,0.2227
1976,5,3,5,133,1.3522
1976,6,1,1,276,3.0962
1976,6,1,2,243,4.2695
1976,6,1,3,184,3.6804
1976,6,1,4,152,3.6801
1976,6,1,5,123,4.2898
1976,6,2,1,123,3.9887
1976,6,2,2,96,6.5959
1976,6,2,3,91,4.9099
1976,6,2,4,87,4.6904
1976,6,2,5,93,3.1652
1976,6,3,1,134,6.0451
1976,6,3,2,104,4.3138
1976,6,3,3,123,5.1404
1976,6,3,4,145,3.2623
1976,6,3,5,143,3.2172
1976,7,1,1,279,-0.5889
1976,7,1,2,256,-0.2446
1976,7,1,3,196,-0.4792
1976,7,1,4,158,1.0024
1976,7,1,5,125,-0.7892
1976,7,2,1,128,-1.2503
1976,7,2,2,100,-1.0258
1976,7,2,3,98,-0.1379
1976,7,2,4,89,-0.5711
1976,7,2,5,101,-0.1976
1976,7,3,1,136,-0.9159
1976,7,3,2,106,-2.0954
1976,7,3,3,129,-1.8551
1976,7,3,4,150,-2.0294
1976,7,3,5,149,-0.9731
1976,8,1,1,405,-3.8521
1976,8,1,2,368,-3.6826
1976,8,1,3,264,-1.9494
1976,8,1,4,211,-2.6169
1976,8,1,5,173,-4.0264
1976,8,2,1,168,-2.6181
1976,8,2,2,158,-2.9492
1976,8,2,3,126,-2.5408
1976,8,2,4,129,-0.8597
1976,8,2,5,143,-3.1498
1976,8,3,1,165,-1.1935
1976,8,3,2,148,0.9835
1976,8,3,3,195,-1.3030
1976,8,3,4,208,-1.0449
1976,8,3,5,204,-0.7601
1976,9,1,1,363,1.2314
1976,9,1,2,317,1.7179
1976,9,1,3,232,1.6746
1976,9,1,4,188,3.1524
1976,9,1,5,155,3.5958
