year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1967,12,2,1,60,3.8227
1967,12,2,2,48,5.3404
1967,12,2,3,39,5.2905
1967,12,2,4,43,5.4209
1967,12,2,5,68,11.2207
1967,12,3,1,68,2.0313
1967,12,3,2,91,3.9074
1967,12,3,3,107,1.2572
1967,12,3,4,111,3.1450
1967,12,3,5,100,2.6462
1968,1,1,1,144,5.7843
1968,1,1,2,87,5.0066
1968,1,1,3,65,4.2180
1968,1,1,4,62,0.0602
1968,1,1,5,107,0.9336
1968,1,2,1,55,0.6013
1968,1,2,2,48,0.9310
1968,1,2,3,39,1.9422
1968,1,2,4,44,0.1503
1968,1,2,5,71,-3.6808
1968,1,3,1,69,-2.5326
1968,1,3,2,90,-4.5003
1968,1,3,3,108,-0.4704
1968,1,3,4,106,-5.9397
1968,1,3,5,108,-7.2505
1968,2,1,1,117,-8.3264
1968,2,1,2,70,-4.6974
1968,2,1,3,72,-4.7624
1968,2,1,4,65,-5.6896
1968,2,1,5,119,-6.7122
1968,2,2,1,59,-6.6427
1968,2,2,2,52,-3.9243
1968,2,2,3,38,-1.9069
1968,2,2,4,60,-4.8838
1968,2,2,5,61,-6.2165
1968,2,3,1,72,-3.4042
1968,2,3,2,90,-2.1648
1968,2,3,3,105,-2.5412
1968,2,3,4,95,-3.4335
1968,2,3,5,108,-3.5232
1968,3,1,1,132,-2.4019
1968,3,1,2,69,-2.2201
1968,3,1,3,73,2.1429
1968,3,1,4,74,-2.0429
1968,3,1,5,122,-0.5174
1968,3,2,1,53,-0.0388
1968,3,2,2,52,-0.7354
1968,3,2,3,38,-2.9091
1968,3,2,4,59,-3.3396
1968,3,2,5,67,0.8862
1968,3,3,1,73,0.2757
1968,3,3,2,89,-2.4622
1968,3,3,3,109,-0.1592
1968,3,3,4,94,1.4633
1968,3,3,5,105,2.1499
1968,4,1,1,135,15.4958
1968,4,1,2,72,13.8342
1968,4,1,3,72,13.4992
1968,4,1,4,83,17.3404
1968,4,1,5,121,19.1382
1968,4,2,1,53,12.5469
1968,4,2,2,52,13.8005
1968,4,2,3,38,8.9793
1968,4,2,4,59,14.7123
1968,4,2,5,67,16.7437
1968,4,3,1,72,9.8694
1968,4,3,2,88,7.9574
1968,4,3,3,109,5.0711
1968,4,3,4,91,10.3669
1968,4,3,5,107,10.6256
1968,5,1,1,167,9.2271
1968,5,1,2,80,10.5916
1968,5,1,3,48,9.8876
1968,5,1,4,91,12.7735
1968,5,1,5,142,13.8473
1968,5,2,1,53,9.0383
1968,5,2,2,50,5.9107
1968,5,2,3,56,5.7224
1968,5,2,4,54,4.5422
1968,5,2,5,76,9.7946
1968,5,3,1,83,0.6945
1968,5,3,2,99,2.1567
1968,5,3,3,109,-0.6742
1968,5,3,4,102,1.5121
1968,5,3,5,108,4.4423
1968,6,1,1,155,1.0400
1968,6,1,2,79,1.7081
1968,6,1,3,52,1.2036
1968,6,1,4,90,2.6986
1968,6,1,5,150,-0.1552
1968,6,2,1,55,-0.2588
1968,6,2,2,49,1.3676
1968,6,2,3,55,2.0787
1968,6,2,4,57,0.8646
1968,6,2,5,71,-0.8709
1968,6,3,1,83,0.7988
1968,6,3,2,97,0.6996
