year,month,rank_ME,rank_RDM,nstocks,ret_vw
1977,6,1,4,165,7.1905
1977,6,1,5,285,6.4635
1977,6,2,1,58,5.9884
1977,6,2,2,54,6.9597
1977,6,2,3,63,6.2296
1977,6,2,4,59,6.5348
1977,6,2,5,39,11.4573
1977,6,3,1,104,4.3008
1977,6,3,2,88,3.9194
1977,6,3,3,69,5.4322
1977,6,3,4,58,3.2759
1977,6,3,5,45,5.3831
1977,7,1,1,105,0.3513
1977,7,1,2,117,-0.5585
1977,7,1,3,137,0.0192
1977,7,1,4,147,0.9562
1977,7,1,5,300,-0.1367
1977,7,2,1,59,-0.7698
1977,7,2,2,57,-2.0196
1977,7,2,3,46,-2.7173
1977,7,2,4,60,-2.6668
1977,7,2,5,44,0.0918
1977,7,3,1,105,-2.1955
1977,7,3,2,78,-1.4948
1977,7,3,3,78,-2.1539
1977,7,3,4,61,-1.4754
1977,7,3,5,45,-3.8875
1977,8,1,1,104,-3.0602
1977,8,1,2,117,1.0366
1977,8,1,3,136,-0.0080
1977,8,1,4,146,-1.0834
1977,8,1,5,300,-1.2415
1977,8,2,1,59,1.6924
1977,8,2,2,56,-0.9648
1977,8,2,3,46,-1.3290
1977,8,2,4,60,2.4949
1977,8,2,5,43,-2.4194
1977,8,3,1,105,-3.2341
1977,8,3,2,78,-1.3645
1977,8,3,3,78,0.4588
1977,8,3,4,61,-0.0586
1977,8,3,5,45,-2.3857
1977,9,1,1,104,-0.9505
1977,9,1,2,116,2.3759
1977,9,1,3,134,-0.3032
1977,9,1,4,145,1.4401
1977,9,1,5,301,0.2707
1977,9,2,1,59,-0.5364
1977,9,2,2,56,-0.4355
1977,9,2,3,45,-0.8749
1977,9,2,4,60,0.3952
1977,9,2,5,43,2.8236
1977,9,3,1,104,1.0239
1977,9,3,2,78,-0.4398
1977,9,3,3,78,-1.6890
1977,9,3,4,61,1.2692
1977,9,3,5,45,-0.8907
1977,10,1,1,104,-3.7682
1977,10,1,2,114,-2.5716
1977,10,1,3,134,-2.2605
1977,10,1,4,142,-2.9348
1977,10,1,5,299,-2.6463
1977,10,2,1,59,-5.2662
1977,10,2,2,56,-1.7263
1977,10,2,3,44,1.8517
1977,10,2,4,60,-2.6592
1977,10,2,5,43,-3.4752
1977,10,3,1,104,-4.7566
1977,10,3,2,77,-3.0766
1977,10,3,3,77,-3.9643
1977,10,3,4,61,-4.6824
1977,10,3,5,45,-4.4201
1977,11,1,1,104,7.9583
1977,11,1,2,113,8.6910
1977,11,1,3,135,8.3848
1977,11,1,4,143,10.8743
1977,11,1,5,296,10.8749
1977,11,2,1,59,8.6138
1977,11,2,2,56,9.2431
1977,11,2,3,44,7.9209
1977,11,2,4,60,9.9477
1977,11,2,5,42,9.3989
1977,11,3,1,104,2.4438
1977,11,3,2,77,4.1840
1977,11,3,3,77,2.8860
1977,11,3,4,61,3.4273
1977,11,3,5,45,6.3386
1977,12,1,1,103,0.7752
1977,12,1,2,112,0.5243
1977,12,1,3,134,2.0780
1977,12,1,4,144,3.2528
1977,12,1,5,296,2.6784
1977,12,2,1,59,1.3276
1977,12,2,2,55,1.6701
1977,12,2,3,44,1.8322
1977,12,2,4,60,1.2645
1977,12,2,5,42,-0.9069
1977,12,3,1,103,1.6549
1977,12,3,2,77,-0.1759
1977,12,3,3,78,1.0657
1977,12,3,4,61,0.0032
1977,12,3,5,45,1.3980
1978,1,1,1,103,-0.6244
1978,1,1,2,111,-1.9531
1978,1,1,3,134,-2.3010
1978,1,1,4,141,-2.0099
1978,1,1,5,290,-1.8425
1978,1,2,1,59,-4.7646
1978,1,2,2,54,-5.2890
1978,1,2,3,44,-5.4535
1978,1,2,4,59,-4.6849
1978,1,2,5,42,-2.9726
1978,1,3,1,103,-6.0837
1978,1,3,2,77,-6.0525
1978,1,3,3,78,-4.8858
1978,1,3,4,60,-6.5391
1978,1,3,5,45,-5.7445
1978,2,1,1,103,1.8527
1978,2,1,2,110,3.9678
1978,2,1,3,135,2.3866
1978,2,1,4,142,5.3970
1978,2,1,5,285,4.3533
1978,2,2,1,59,3.7103
1978,2,2,2,53,0.5934
1978,2,2,3,43,3.5362
1978,2,2,4,59,2.1702
1978,2,2,5,41,2.6246
1978,2,3,1,103,0.0967
1978,2,3,2,77,-1.6798
1978,2,3,3,77,-3.8541
1978,2,3,4,60,-1.7127
1978,2,3,5,45,-0.8000
1978,3,1,1,103,10.5828
1978,3,1,2,110,5.5616
1978,3,1,3,133,9.1860
1978,3,1,4,142,7.7288
1978,3,1,5,284,10.3923
1978,3,2,1,59,5.5319
1978,3,2,2,53,6.9106
1978,3,2,3,43,6.3908
1978,3,2,4,59,5.3049
1978,3,2,5,41,9.6402
1978,3,3,1,103,2.6402
1978,3,3,2,77,3.0021
1978,3,3,3,77,-0.1511
1978,3,3,4,60,5.3109
1978,3,3,5,45,6.4719
1978,4,1,1,103,8.1934
1978,4,1,2,110,8.8553
1978,4,1,3,132,9.2868
1978,4,1,4,141,11.5728
1978,4,1,5,284,10.9949
1978,4,2,1,59,8.8593
1978,4,2,2,53,9.3402
1978,4,2,3,43,8.3109
1978,4,2,4,59,10.2082
1978,4,2,5,41,9.5471
1978,4,3,1,103,6.2553
1978,4,3,2,77,8.0192
1978,4,3,3,77,12.7142
1978,4,3,4,60,10.3148
1978,4,3,5,45,13.2659
1978,5,1,1,102,7.3903
1978,5,1,2,109,6.4411
1978,5,1,3,132,5.7791
1978,5,1,4,139,9.6048
1978,5,1,5,283,12.8185
1978,5,2,1,56,7.1290
1978,5,2,2,52,5.0651
1978,5,2,3,43,7.3084
1978,5,2,4,59,8.2930
1978,5,2,5,41,9.2032
1978,5,3,1,103,0.6600
1978,5,3,2,77,2.5334
1978,5,3,3,77,1.5399
1978,5,3,4,59,2.4372
1978,5,3,5,45,5.3431
1978,6,1,1,101,1.4771
1978,6,1,2,105,-1.1876
1978,6,1,3,131,1.6534
1978,6,1,4,136,1.6636
1978,6,1,5,281,-0.5871
1978,6,2,1,55,-0.3838
1978,6,2,2,52,-0.6142
1978,6,2,3,43,0.0474
1978,6,2,4,57,-2.6403
1978,6,2,5,41,-0.6633
1978,6,3,1,103,-2.6743
1978,6,3,2,77,-1.5339
1978,6,3,3,76,-1.2127
1978,6,3,4,59,-0.1336
1978,6,3,5,44,-0.7820
1978,7,1,1,113,7.1213
1978,7,1,2,106,4.4362
1978,7,1,3,152,5.5993
1978,7,1,4,130,4.6478
1978,7,1,5,240,8.8943
1978,7,2,1,53,4.5886
1978,7,2,2,49,5.4902
1978,7,2,3,53,9.3431
1978,7,2,4,59,8.3159
1978,7,2,5,47,8.6950
1978,7,3,1,91,3.0363
1978,7,3,2,75,5.0245
1978,7,3,3,75,8.0807
1978,7,3,4,64,7.1954
1978,7,3,5,49,8.4699
1978,8,1,1,113,8.6263
1978,8,1,2,104,7.8953
1978,8,1,3,151,10.7420
1978,8,1,4,130,9.5690
1978,8,1,5,238,12.2060
1978,8,2,1,52,9.0180
1978,8,2,2,49,8.2613
1978,8,2,3,53,10.2920
1978,8,2,4,59,8.6167
1978,8,2,5,47,11.2245
1978,8,3,1,91,4.2109
1978,8,3,2,75,3.0197
1978,8,3,3,75,3.4838
1978,8,3,4,63,3.0175
1978,8,3,5,49,2.5822
1978,9,1,1,113,-0.4908
1978,9,1,2,103,0.2087
1978,9,1,3,146,-0.6830
1978,9,1,4,129,-0.5181
1978,9,1,5,238,-2.0611
1978,9,2,1,53,-1.8542
1978,9,2,2,48,-1.3225
1978,9,2,3,51,-2.2392
1978,9,2,4,59,-3.1836
1978,9,2,5,47,-4.0398
1978,9,3,1,89,2.5252
1978,9,3,2,74,0.1292
1978,9,3,3,75,-3.1823
1978,9,3,4,63,-1.5257
1978,9,3,5,49,-1.7823
1978,10,1,1,113,-23.1492
1978,10,1,2,104,-25.2745
1978,10,1,3,146,-25.7079
1978,10,1,4,129,-26.4751
1978,10,1,5,238,-28.1942
1978,10,2,1,53,-19.1451
1978,10,2,2,48,-20.5389
1978,10,2,3,50,-22.7062
1978,10,2,4,59,-22.8344
1978,10,2,5,46,-26.3155
1978,10,3,1,89,-7.4124
1978,10,3,2,74,-10.1550
1978,10,3,3,75,-7.9871
1978,10,3,4,63,-11.6499
