year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1990,12,1,3,265,1.2862
1990,12,1,4,299,3.2685
1990,12,1,5,487,-1.3444
1990,12,2,1,47,5.1716
1990,12,2,2,53,12.0346
1990,12,2,3,61,7.9962
1990,12,2,4,77,3.9958
1990,12,2,5,130,6.7052
1990,12,3,1,55,5.6371
1990,12,3,2,50,4.1890
1990,12,3,3,64,1.0080
1990,12,3,4,56,3.2020
1990,12,3,5,73,3.2250
1991,1,1,1,151,12.5821
1991,1,1,2,135,12.6811
1991,1,1,3,214,11.0235
1991,1,1,4,239,13.3783
1991,1,1,5,417,18.8854
1991,1,2,1,32,7.8434
1991,1,2,2,31,13.1584
1991,1,2,3,44,10.7753
1991,1,2,4,69,14.2084
1991,1,2,5,108,23.1327
1991,1,3,1,24,5.1010
1991,1,3,2,37,7.5111
1991,1,3,3,36,9.6466
1991,1,3,4,36,6.5296
1991,1,3,5,46,9.6018
1991,2,1,1,164,13.0799
1991,2,1,2,152,9.6831
1991,2,1,3,231,13.2428
1991,2,1,4,276,14.1322
1991,2,1,5,456,18.4236
1991,2,2,1,34,10.1643
1991,2,2,2,36,8.7111
1991,2,2,3,51,10.0258
1991,2,2,4,68,10.8541
1991,2,2,5,109,10.6148
1991,2,3,1,26,6.9229
1991,2,3,2,40,6.0221
1991,2,3,3,42,4.9913
1991,2,3,4,37,7.5436
1991,2,3,5,50,6.9215
1991,3,1,1,170,9.9535
1991,3,1,2,153,8.4522
1991,3,1,3,232,9.3381
1991,3,1,4,289,10.7812
1991,3,1,5,460,15.5701
1991,3,2,1,33,3.8329
1991,3,2,2,41,8.2726
1991,3,2,3,50,9.2145
1991,3,2,4,69,8.2525
1991,3,2,5,111,8.8551
1991,3,3,1,29,2.6243
1991,3,3,2,40,2.3673
1991,3,3,3,45,1.0624
1991,3,3,4,39,1.7019
1991,3,3,5,51,0.9410
1991,4,1,1,159,0.3543
1991,4,1,2,143,1.4361
1991,4,1,3,198,-1.3637
1991,4,1,4,258,2.5001
1991,4,1,5,422,1.6728
1991,4,2,1,38,-2.0895
1991,4,2,2,39,2.0039
1991,4,2,3,48,-3.5700
1991,4,2,4,69,-0.8289
1991,4,2,5,110,-2.3317
1991,4,3,1,27,3.3946
1991,4,3,2,41,-1.2283
1991,4,3,3,44,1.4682
1991,4,3,4,40,-1.7194
1991,4,3,5,51,-2.2187
1991,5,1,1,202,6.4045
1991,5,1,2,198,4.9317
1991,5,1,3,255,5.5400
1991,5,1,4,285,3.0472
1991,5,1,5,497,2.2122
1991,5,2,1,55,2.3588
1991,5,2,2,54,4.1533
1991,5,2,3,70,3.5976
1991,5,2,4,83,1.7604
1991,5,2,5,134,5.2315
1991,5,3,1,56,3.0514
1991,5,3,2,62,6.9191
1991,5,3,3,67,2.2932
1991,5,3,4,59,4.4299
1991,5,3,5,78,5.9829
1991,6,1,1,200,-4.7786
1991,6,1,2,191,-4.1259
1991,6,1,3,257,-6.4510
1991,6,1,4,282,-8.8162
1991,6,1,5,496,-7.7647
1991,6,2,1,55,-2.8471
1991,6,2,2,51,-4.0843
1991,6,2,3,74,-5.7291
1991,6,2,4,88,-9.9441
1991,6,2,5,133,-9.7527
1991,6,3,1,54,-4.9061
1991,6,3,2,61,-4.4572
1991,6,3,3,68,-2.3944
1991,6,3,4,57,-4.7848
1991,6,3,5,80,-6.9030
1991,7,1,1,181,2.8775
1991,7,1,2,165,3.2835
1991,7,1,3,228,2.8580
1991,7,1,4,261,3.1620
1991,7,1,5,439,4.8212
1991,7,2,1,53,5.8198
1991,7,2,2,45,2.8907
1991,7,2,3,70,7.1589
